Text,class_label,topic
"He supported the 2007 immigration reform bill, which would have created a pathway to citizenship for millions.",Yes,immigration
"During my administration, we reduced illegal border crossings by 30% within my first year.",Yes,immigration
"He's been on the record saying, and I quote, 'We should increase the number of H-1B visas,' which affects American jobs.",Yes,immigration
"According to the Pew Research Center, there are over 11 million undocumented immigrants in the United States right now.",Yes,immigration
I was part of the committee that increased security funding by $4 billion to strengthen the border in 2013.,Yes,immigration
Let me remind you that the President's ban on travelers from seven predominantly Muslim countries was ruled unconstitutional by various courts.,Yes,immigration
"Look, the fact is that deportations have increased under his watch, with ICE removing over 250,000 people each year.",Yes,immigration
"Just last month, the Cato Institute reported that undocumented immigrants are less likely to commit crimes than native-born citizens.",Yes,immigration
He said just last year he supported expanding offshore drilling.,Yes,energy
We import about 11 million barrels of oil a day.,Yes,energy
"The environmental study, published by MIT, predicts a 30% rise in sustainable energy by 2030.",Yes,energy
"Uh, look, the senator has never voted for any clean energy bill—never.",Yes,energy
Our solar panel production has tripled since 2015.,Yes,energy
"He's flip-flopped on subsidies for biofuels, supporting them in 2018 and opposing them a year later.",Yes,energy
The Energy Information Administration said natural gas consumption increased by 4% this year.,Yes,energy
And we've invested more in renewable energy in the last decade than at any other time in our history.,Yes,energy
"Just last month, the European Union said the sanctions would cost Russia over $100 billion a year.",Yes,foreign policy
The President didn’t even attend the last G7 summit.,Yes,foreign policy
Experts at the Brookings Institution suggest it will take at least another decade to stabilize the region post-conflict.,Yes,foreign policy
"Look, during my tenure, foreign aid to Africa increased by 35%.",Yes,foreign policy
We're not at the same point with China as we were five years ago.,Yes,foreign policy
He said he'd never negotiate directly with North Korea.,Yes,foreign policy
"Iran, they've tripled uranium enrichment since the deal was scrapped.",Yes,foreign policy
And more than half of our allies opposed that resolution in the UN.,Yes,foreign policy
"Last year, our military budget was over $700 billion, more than the next ten countries combined.",Yes,the military
The President authorized more drone strikes last month than in any previous month on record.,Yes,the military
"Our troops didn't have enough bulletproof vests in 2003, during the Iraq invasion.",Yes,the military
I'm the one who raised the military pay by fifteen percent since taking office.,Yes,the military
"According to the Pentagon, there are still 8,000 troops deployed in Afghanistan.",Yes,the military
He voted against the 2016 defense authorization bill that allocated funds for new cyber security measures.,Yes,the military
We've closed more than 20 military bases around the globe since the start of my administration.,Yes,the military
"In 2015, we only had three operational aircraft carriers in the Pacific compared to China's six.",Yes,the military
"You know, under his plan, over 20 million Americans would lose their health insurance.",Yes,healthcare
"Back in 2010, she voted against expanding Medicaid.",Yes,healthcare
And here's what the CDC says: prescription drug prices have skyrocketed by 250% over the last decade.,Yes,healthcare
"He was, uh, supported by the pharmaceutical industry to the tune of $500,000 last year.",Yes,healthcare
"Look, every single industrialized nation spends less per capita on healthcare compared to us.",Yes,healthcare
"They didn't have a plan ready, even after promising one for three years straight.",Yes,healthcare
"According to the latest report, medical debt is the number one cause of bankruptcy in America.",Yes,healthcare
"Well, I co-sponsored a bill that successfully allocated $200 million to rural healthcare services.",Yes,healthcare
The United States accounts for 15% of global greenhouse gas emissions.,Yes,climate change
"And by the way, under his administration, we lost 120,000 solar jobs.",Yes,climate change
"According to the latest report from NASA, 2023 was one of the hottest years on record.",Yes,climate change
China has built more coal plants in the last year than any other country combined.,Yes,climate change
I proposed a $1 trillion investment in renewable energy infrastructure.,Yes,climate change
The Senator has consistently voted against clean air acts since 2015.,Yes,climate change
"Over 70% of Americans now support aggressive action on climate change, according to Pew Research.",Yes,climate change
"He claimed the Paris Agreement would cost the economy $3 trillion, but without any backing data.",Yes,climate change
"Look, during my term, we increased renewable energy production by 50%, which no administration has done before.",Yes,the environment
My opponent voted against the Clean Water Act three times.,Yes,the environment
"But let's get this straight, the Paris Agreement was aimed at reducing global temperature rise, not just cutting emissions.",Yes,the environment
Our latest infrastructure bill allocates $200 million to combat coastal erosion.,Yes,the environment
"He said climate change is a hoax, as recently as last year.",Yes,the environment
"According to the Environmental Protection Agency, our air quality has improved by 25% since 2010.",Yes,the environment
"I mean, we've planted over 1 million trees in urban areas under my initiative.",Yes,the environment
That report from the National Oceanic and Atmospheric Administration found that sea levels are rising faster along the East Coast than previously recorded.,Yes,the environment
"In the last decade, we've created over 2 million new jobs in the tech sector alone.",Yes,employment
My opponent voted against 12 minimum wage increases during her time in the Senate.,Yes,employment
"Unemployment rates are at their lowest since 1969, folks.",Yes,employment
"According to the Bureau of Labor Statistics, gig economy jobs doubled in the last five years.",Yes,employment
"And, uh, let me remind you, under his administration, we lost manufacturing jobs to China at an unprecedented rate.",Yes,employment
The Economic Policy Institute found that the top 1% saw their wages grow 158% since 1979.,Yes,employment
"He hired more federal contractors than any other administration, that I can tell you.",Yes,employment
Women still earn 80 cents on the dollar compared to men—and that's a fact.,Yes,employment
We've built more affordable housing units in the last three years than any administration since the 1970s.,Yes,housing
He voted against rent control policies four times in the past decade.,Yes,housing
The National Association of Realtors said housing prices have risen by 15% over the past year.,Yes,housing
"In Los Angeles alone, over 50,000 people are homeless every single night.",Yes,housing
"My opponent's plan would, uh, increase property taxes in suburban areas by 25%.",Yes,housing
The Urban Institute claimed it would take at least $2 billion to adequately address the low-income housing shortage.,Yes,housing
"We've streamlined the permitting process, reducing it from, look, like 15 months to just six weeks.",Yes,housing
"He said, yeah, that the zoning laws need to change, but he's never voted to change them.",Yes,housing
"Under his administration, we've seen manufacturing jobs go up by seventy-thousand.",Yes,employment
"There was, uh, an independent report last month stating that unemployment is the lowest it's been in five decades.",Yes,employment
He didn't even vote for the infrastructure bill that would've created millions of jobs.,Yes,employment
"Over in California, they added about a million new renewable energy jobs just last year alone.",Yes,employment
"The President promised to deliver hundreds of new apprenticeships, but the numbers just haven't matched up.",Yes,employment
"You know, in 2020, she was against raising the federal minimum wage.",Yes,employment
His plan got support from over eighty major corporations aiming to create jobs in tech and innovation.,Yes,employment
"Look, since 2018, we have increased the workforce participation rate, which is now higher than any recovery since 1980.",Yes,employment
"In 2019, we reduced our national emissions to levels not seen since the 1990s.",Yes,climate change
"According to the EPA, methane emissions from the oil and gas industry account for about a third of U.S. emissions.",Yes,climate change
You said last year that you voted against the Paris Agreement.,Yes,climate change
"I mean, China is currently building more than 200 new coal plants.",Yes,climate change
"And look, the clean energy sector is now creating jobs at a rate five times faster than the rest of the economy.",Yes,climate change
"Last year, California announced it would phase out gasoline-powered cars by 2035.",Yes,climate change
The World Bank estimates that climate change could push over 100 million people into poverty by 2030.,Yes,climate change
"He was for expanding drilling in the Arctic, even during the climate crisis.",Yes,climate change
The Paris Agreement set a target to limit global warming to 1.5 degrees Celsius above pre-industrial levels.,Yes,climate change
He voted against the carbon cap and trade bill back in 2009.,Yes,climate change
"And the EPA, in their recent report, estimated that air pollution reductions have saved over 200,000 lives since the Clean Air Act was implemented.",Yes,climate change
"Look, renewable energy jobs in the US surpassed coal jobs back in 2016.",Yes,climate change
China now invests more in renewable energy than any other country.,Yes,climate change
We've reduced emissions faster than any other country since 2005.,Yes,climate change
"And he talked about it, but the clean energy grid still isn’t reality.",Yes,climate change
"According to NOAA, July 2023 was the hottest month ever recorded on Earth.",Yes,climate change
"He proposed a trade deal that would cost American workers 700,000 jobs.",Yes,trade
"Look, China surpassed us as the world's largest trading nation five years ago.",Yes,trade
The U.S. imported over $500 billion worth of goods from the EU last year.,Yes,trade
"And more importantly, the tariffs he imposed have increased prices on everyday goods.",Yes,trade
We actually have a $150 billion trade surplus with Mexico in services.,Yes,trade
"The Senator voted against the USMCA, which is a significant trade agreement.",Yes,trade
"According to the Bureau of Economic Analysis, exports support more than 10 million American jobs.",Yes,trade
I've negotiated more bilateral trade agreements than any president in modern history.,Yes,trade
We've reduced our carbon emissions more than any other country in the last decade.,Yes,climate change
"The Paris Agreement, which my opponent walked away from, was never binding.",Yes,climate change
"According to NOAA, last year was the hottest on record.",Yes,climate change
He voted against the Green New Deal.,Yes,climate change
"More people than ever before now believe that climate change is a hoax, largely because of misinformation campaigns.",Yes,climate change
"I mean, it costs about $2 trillion to transition to fully renewable energy.",Yes,climate change
EPA regulations have been rolled back at least 50 times under his administration.,Yes,climate change
That was four times faster than the global average.,Yes,climate change
"Last year, over 500,000 Americans slept on the streets, and that's up almost 3% from the year before.",Yes,housing
"Now, look, my administration has allocated more funding for affordable housing than any other in the past decade.",Yes,housing
His proposal isn't new; he opposed the housing reform bill back in 2015 when we needed it most.,Yes,housing
They're gonna cite a report saying home prices have more than doubled in the last ten years.,Yes,housing
"And unlike his plan which doesn't even account for inflation, ours adjusts subsidies to ensure they actually help struggling families.",Yes,housing
The Senator was absent for the critical vote on the emergency housing relief package last June.,Yes,housing
"Well, he talks about supporting renters, but eviction notices in his state have skyrocketed under his watch.",Yes,housing
"According to the National Low Income Housing Coalition, we need 7 million more affordable homes.",Yes,housing
"In the last decade, crime rates have dropped by nearly 50% nationwide.",Yes,crime
"He voted against the 1994 crime bill which added over 100,000 police officers to our streets.",Yes,crime
Our city has seen a 30% increase in carjackings just this year.,Yes,crime
I've implemented policies that led to a 15% reduction in drug-related offenses in my state.,Yes,crime
"Look, the FBI's report last year said violent crime was at its highest since 2016.",Yes,crime
The previous administration cut the funding for community policing by nearly $200 million.,Yes,crime
"In contrast to the national average, our rural areas have crime rates that are 40% lower.",Yes,crime
"He was, uh, against background checks for gun purchases back in 2012.",Yes,crime
"Well, in the 2016 election, over 65 million people voted for her, more than any other losing candidate in US history.",Yes,elections
He supported the 1993 reform that led to a 60% decrease in eligibility for voter registration.,Yes,elections
"You know, the Brennan Center found that between 2010 and 2016, states enacted 22 new voting restrictions.",Yes,elections
"Look, the Senator has consistently voted against measures that would secure a paper trail for ballots.",Yes,elections
"In the last midterm election, less than 40% of eligible voters actually cast a ballot.",Yes,elections
"And in 2020, more than 157 million Americans voted, a record turnout.",Yes,elections
"The President has removed over 170,000 voters from the rolls in the last three years.",Yes,elections
"The state's voter turnout was the lowest at just, uh, over 40%, the worst in the nation.",Yes,elections
"We have more guns in this country than people, over 400 million.",Yes,gun control
He voted against universal background checks three times since 2015.,Yes,gun control
Australia implemented strict gun laws after the Port Arthur massacre and hasn't had a mass shooting since.,Yes,gun control
"In 2020, gun sales surged, with nearly 23 million firearms sold.",Yes,gun control
My opponent accepted $1.2 million in campaign donations from the NRA in the last election cycle.,Yes,gun control
The CDC reports that gun violence costs our economy $280 billion annually.,Yes,gun control
"Assault weapons were banned from 1994 to 2004, but now they're back on the streets.",Yes,gun control
The tragic reality is that the United States accounts for almost 82% of all gun deaths in the developed world.,Yes,gun control
"You know, they say our healthcare system ranks 37th globally.",Yes,healthcare
"She, uh, voted seven times against lowering prescription drug costs.",Yes,healthcare
"According to the latest Kaiser Family Foundation report, premiums have risen by 20% since 2020.",Yes,healthcare
The President's proposal could lead to 10 million uninsured Americans losing coverage.,Yes,healthcare
"Look, the Obamacare repeal resulted in the highest rate of uninsured children in a decade.",Yes,healthcare
"His plan, according to the CBO, adds nearly $300 billion to our deficit.",Yes,healthcare
"I mean, I've overseen a reduction in Medicare fraud, saving $10 billion annually.",Yes,healthcare
She mentioned that only 30% of rural hospitals qualify for the new funding initiative.,Yes,healthcare
"He voted against the Women's Health Protection Act, twice, last year.",Yes,reproductive rights
"In 2023, over 25 states introduced bills restricting access to birth control.",Yes,reproductive rights
"Look, I signed legislation that ensures free contraceptives for everyone.",Yes,reproductive rights
"According to Planned Parenthood, one in five women aged 15 to 44 will use their services at some point.",Yes,reproductive rights
The ACLU found that this law disproportionately affects women of color.,Yes,reproductive rights
He said Roe v. Wade was wrongly decided in a 2016 interview.,Yes,reproductive rights
This bill reduces funding for reproductive health clinics by over $500 million.,Yes,reproductive rights
"And just last month, a study by the Guttmacher Institute showed an increase in unsafe abortions.",Yes,reproductive rights
"Look, I'm not making this up, the Secretary of State in Georgia said it was the most secure election in the state's history.",Yes,elections
"In 2020, roughly 159 million Americans cast their votes, which is the highest turnout in over a century.",Yes,elections
He voted to reject the certification of the Electoral College results on January 6th.,Yes,elections
"The Federal Election Commission reported there were 1,514 Super PACs in operation during the last election cycle.",Yes,elections
"And according to the Pew Research Center, over 60% of voters use mail ballots now.",Yes,elections
"Look, even after the audits, Arizona's official tally showed only a 0.3% margin of error.",Yes,elections
"And, she donated over $200,000 to various state campaigns last year alone.",Yes,elections
"I mean, my opponent, he didn't even visit Wisconsin once during the campaign.",Yes,elections
"According to FBI statistics, violent crime decreased by 5% nationwide last year.",Yes,crime
The Senator voted against the 1994 crime bill that introduced mandatory minimums.,Yes,crime
"He claims crime is on the rise, but the Department of Justice reports a decline.",Yes,crime
"You know, my opponent was mayor for eight years and failed to reduce burglary rates even once.",Yes,crime
"And the fact is, states with stricter gun control laws tend to have lower incidents of gun-related crimes.",Yes,crime
"Look, in Chicago, over 400 homicides this year alone, yet he says it's not a crisis.",Yes,crime
"She promised a 10% decrease in crime within two years, but it actually went up by 3%.",Yes,crime
The Cato Institute found that 70% of prisoners re-enter the system within five years.,Yes,crime
"In 2019, the city of Chicago reported the lowest number of murders in decades, with a drop of about 13%.",Yes,crime
He voted against increasing funding for community policing initiatives three times since 2016.,Yes,crime
The FBI's latest report shows a nationwide decrease in violent crime last year.,Yes,crime
"And under his leadership, crime in the city actually went up by 25%.",Yes,crime
The RAND Corporation study found that increased police presence in neighborhoods does not necessarily correlate with reduced crime rates.,Yes,crime
"He's been in office for years, and, uh, he hasn't passed a single major reform to tackle crime.",Yes,crime
