Text,class_label,topic
"Well, the Congressional Research Service found that tax cuts for the wealthy haven't significantly boosted GDP growth.",Yes,tax policy
"And every month, four women are murdered with a gun by a romantic partner, according to the CDC.",Yes,gun control
My opponent voted to withdraw from the Paris Climate Agreement.,Yes,the environment
"This plan is expected to enroll 200,000 more students in high-quality preschool programs.",Yes,education
"I've talked to veterans who've waited months, even a year, to get their benefits.",Yes,the military
"We're, right now, the largest exporter of natural gas, surpassing Russia.",Yes,the economy
He labeled the situation in Yemen as a humanitarian disaster only after pushing for arms sales.,Yes,foreign policy
"She says she's tough on immigration, but conveniently forgets that she argued against biometric screening for all border entries.",Yes,immigration
He wants to end the inheritance tax permanently.,Yes,tax policy
"According to a recent report, our state ranked last in voter turnout for the midterm elections last year.",Yes,elections
I've consistently protected the right to choose long before it became mainstream.,Yes,reproductive rights
The International Labour Organization recently indicated that youth employment is at an all-time worldwide low.,Yes,employment
"During the last administration, China increased its military budget by 25%.",Yes,foreign policy
The EPA documented that all major waterways in his state were in violation of clean water standards.,Yes,the environment
"When he was Mayor, his plan led to the largest spike in public transport fares in the last 20 years.",Yes,infrastructure
"In 2010 alone, 59 million Americans collected Social Security benefits.",Yes,social security
I've participated in more summits than any Foreign Minister before me.,Yes,foreign policy
The Federal Reserve's Corporate Credit Facilities boosted real estate borrowing by $840 billion.,Yes,housing
"During my opponent's tenure as Governor, funding for women's health was cut by 50%, leading to 10 clinic closures.",Yes,reproductive rights
"And, let's not forget, accountability is key—the Transforming Federal Prison System Act was left sitting in Congress.",Yes,crime
The WTO ruled against us 15 times in four years while he was in office.,Yes,trade
Every single senator agreed on the vaccine mandate for healthcare workers.,Yes,vaccines
"And it's shocking, but the fact remains: it costs ten times more to deliver a baby in America than in Sweden.",Yes,healthcare
"And, look, she, she’s received, what, over $500,000 in donations from oil companies.",Yes,energy
"And look, California emits more than most small nations, despite their efforts.",Yes,climate change
"But you can't ignore this first study from the International Energy Agency that says renewable sources could, technically speaking, meet hundreds of times the global energy demand every year.",Yes,energy
He voted against banning the bump stock devices after the Las Vegas shooting—something that 85 percent of Americans supported.,Yes,gun control
NATO has been expanding eastward since at least 1997.,Yes,foreign policy
Iran cut its uranium enrichment by 90 percent since the 2015 agreement.,Yes,foreign policy
We've approved subsidies that considerably surpass both the benchmarks set by previous administrations and the demands presented by the entitled house associations.,Yes,housing
"Uh, the resolution they passed has been hailed as the most significant update to digital trade rules.",Yes,trade
My opponent's idea to give free college education has a $1 trillion price tag.,Yes,education
"According to a recent CDC report, life expectancy in the US has slightly increased, but disparity in access still exists.",Yes,healthcare
"Under this administration, manufacturing jobs have come back at twice the rate they left since 2001.",Yes,trade
A recent state audit found inefficiencies leading to a $1.2 billion budget shortage.,Yes,the economy
"In 2019, New York City had the lowest robberies in five decades.",Yes,crime
My opponent doesn't understand that we doubled wind generation since the last administration.,Yes,energy
The auto industry surged after we provided targeted relief worth $50 billion.,Yes,the economy
My proposed minimum wage increase would affect more than 15 million workers.,Yes,the economy
My plan is the only one up here supported by the Chamber of Commerce for small business growth.,Yes,the economy
The Brennan Center says laws affecting at least 55 million voters are on the table this season.,Yes,elections
We've rebuilt over a thousand bridges across this country.,Yes,infrastructure
"There are over 800 military bases around the world, with more than 300,000 personnel stationed overseas.",Yes,the military
"We have the most complicated tax code among G7 nations, according to many economists.",Yes,tax policy
"Just last year, the Department of Transportation reported that more than 20% of our nation's roads are in poor condition.",Yes,infrastructure
He conveniently forgets that in 2018 more women than ever won seats in Congress.,Yes,elections
"You say you want to close loopholes, but, uh, CBO said it could cost taxpayers another billion dollars annually!",Yes,tax policy
"Back in 2018, I co-sponsored a bipartisan bill aimed at comprehensive immigration reform.",Yes,immigration
We big three manufacturers saw profit margins lower than what the small startups managed in their first year.,Yes,the economy
"If I'm correct, the WHO ranked our healthcare system thirty-seventh in the world, below Costa Rica!",Yes,healthcare
"Because, uh, that policy was actually initiated during the Reagan era, not now.",Yes,the military
He defunded police departments ten times more often than allocating federal funds to the same departments.,Yes,crime
The administration didn't anticipate withdrawing nearly all troops by next September.,Yes,foreign policy
"The Social Security Trust Fund, according to the latest trustees' report, will be depleted by 2033.",Yes,social security
"According to recent data, public schools in his state rank the lowest in funding.",Yes,education
"He promised a wall funded by Mexico, yet where’s that funding?",Yes,immigration
Nine states require a permit to purchase any type of firearm.,Yes,gun control
The sanctions we imposed last year are what actually brought North Korea back to the negotiating table.,Yes,foreign policy
"The NRA, his largest campaign donor last election cycle, spent over $50 million trying to weaken gun control laws.",Yes,gun control
"In 1994, he threatened Social Security by proposing to turn it over to private accounts.",Yes,social security
But this is the reality—most people in my state spend over 50% of their income on rent.,Yes,housing
I brokered a peace deal in the Balkans when no one thought it was possible.,Yes,foreign policy
"The Senator plans to push the retirement age up to 70, affecting millions of workers.",Yes,social security
"Look, my opponent voted against satellite cybersecurity enhancements five times in the Senate.",Yes,the military
"Look, many people argue that the Citizens United decision made over a decade ago increased the political influence of corporations.",Yes,elections
"Uh, when uh - we uh - led those air strikes against ISIS, costs were higher than today.",Yes,foreign policy
"And to be clear, 85% of Planned Parenthood’s resources are actually devoted to preventative health services, screenings, and education.",Yes,reproductive rights
He supported the legislation that made Election Day a holiday.,Yes,elections
The Cato Institute found that tax revenue from undocumented immigrants actually totals over $18 billion annually.,Yes,immigration
"He's said, multiple times, that tariffs are harming American farmers.",Yes,trade
"In fact, by 2025, experts say up to 26 states could outlaw abortion if Roe v. Wade is overturned.",Yes,reproductive rights
Our nation's carbon emissions fell to their lowest level since 1992 just last year.,Yes,energy
He was part of the committee that approved the budget cuts to the technology upgrades.,Yes,the military
I've seen studies saying we galloped backward a decade in terms of women's reproductive freedoms.,Yes,reproductive rights
You reduced the child tax credit by—what was it—$400 per family.,Yes,tax policy
"And it's not just me, the United Nations praised our refugee resettlement program last month.",Yes,immigration
The Presidential election of 2000 was decided by just 537 votes in Florida.,Yes,elections
We are funding our military at levels unprecedented since World War II to ensure our security.,Yes,the military
"Right now, there are over half a million Dreamers contributing to the U.S. economy.",Yes,immigration
Medicare costs went up almost a third since the last bipartisan measures were abolished by Congress.,Yes,healthcare
"You know, China now owns more, uh, solar panel patents than any other country, and that's just factual.",Yes,energy
"Hospital errors are now the third leading cause of death in America, after heart disease and cancer.",Yes,healthcare
"Inflation was below 2% when he took office, but last month, it was 4.6%.",Yes,the economy
I introduced legislation last year that doubled the workforce for national park restoration.,Yes,the environment
"The IMF highlighted last month, China's economy is on track to surpass the US within a decade.",Yes,foreign policy
Private investments under my leadership dwarfed public funding by nearly three times the amount set in 2018.,Yes,infrastructure
The Campaign clearly states that our voter ID system is one of the least efficient among developed nations.,Yes,elections
The Congressional Budget Office says this new tax bill will add $1.5 trillion to the debt.,Yes,tax policy
"We could've doubled light rail coverage in the metropolitan regions, but she blocked the appropriation.",Yes,infrastructure
He voted against extending the rental assistance program five times in just the last fiscal year.,Yes,housing
"And yes, during my time as director, we expanded the chips program to an additional million kids.",Yes,healthcare
"Last year, the House passed legislation for universal background checks supported not just by Democrats but also by Republicans.",Yes,gun control
"You know, Finland spends less and has better results.",Yes,education
He was against DACA back in 2014 before changing his position when it was politically convenient.,Yes,immigration
Our new initiative diverts over 1 million tons of plastic waste from oceans annually.,Yes,the environment
Our steel exports to Europe have dropped 25% since those tariffs took effect.,Yes,trade
You supported the pharmaceutical companies during the hearings when everybody knew they raised prices by 800%.,Yes,vaccines
"According to a study by the Peterson Institute for International Economics, the US-Mexico-Canada Trade Deal boosted our economy by more than $68 billion.",Yes,trade
"...It's not true, the FAA has not received increased funding since 2020.",Yes,infrastructure
"You can't deny we stopped, for instance, over three layoffs or furloughs with our stimulus funds.",Yes,employment
The insurance companies? They profit as much as 20% off the premiums hard-working Americans pay.,Yes,healthcare
"She opposed mandating vaccines in schools, which are a critical part of protecting our children.",Yes,vaccines
"He says they're helping first-time homebuyers, but mortgage interest rates are still over 7%.",Yes,housing
"During her tenure, illegal crossings surged by 134%.",Yes,immigration
"And last month's report showed there's an additional 150 miles of border fencing planned this cycle, compared to before.",Yes,immigration
We reduced violent crime by 30% since I took office.,Yes,crime
"By expanding Medicaid, 400,000 more citizens in our state now have access to necessary medical services.",Yes,healthcare
"He claims to advocate for clean elections, but when it comes to gerrymandering, he doesn't lift a finger.",Yes,elections
"Look, there are only two states that have a higher per capita arrest rate than Florida.",Yes,crime
There were only 42 allegations prosecuted every year on average—that’s from the 200 cases he'd been talking about.,Yes,elections
We've invested more in electric vehicle infrastructure than any administration in history.,Yes,infrastructure
"The Senator claims to support teacher pay raises, but just last year he blocked an $8 billion increase.",Yes,education
"And look, just three years ago he supported reducing nuclear arsenals unilaterally.",Yes,foreign policy
"Now, let's talk about treaties: the Open Skies Treaty, abandoned on his watch.",Yes,foreign policy
"So, there are millions, I'm talking tens of millions, who'll lose coverage if his plan passes, that's the truth.",Yes,healthcare
I've pushed for legislation that created around-the-clock ballot drop-off stations in all 50 states.,Yes,elections
He was part of the group that refused the pathways to citizenship amendment twice.,Yes,immigration
"Guys, the sales tax in our state hasn't gone up in over 20 years and I plan to keep it that way.",Yes,tax policy
I was part of the committee that secured funding for the development of the first safe COVID-19 vaccine.,Yes,vaccines
"And look, we've seen a ten-point increase in graduation rates nationwide since implementing these policies.",Yes,education
"You know, uh, families making over $250,000 are getting all these huge breaks.",Yes,tax policy
"In this crisis, housing affordability is worse now than at any point since 1980.",Yes,housing
Roughly $500 million has been earmarked for crime prevention in this year's budget.,Yes,crime
"Last year, the State Department reported that economic aid to Ukraine totaled over $3 billion, and that's a fact.",Yes,foreign policy
"I've signed a bill, record investment in research into Alzheimer's, just massive.",Yes,healthcare
Obama once said this administration's sanctions against Russia are some of the toughest ever.,Yes,foreign policy
"Our current plan ensures no one on Social Security earning under $25,000 will face a tax increase.",Yes,social security
The Senator has repeatedly said we're not in a position to switch from fossil fuels.,Yes,climate change
"In the last four months, over 5,000 new construction jobs have been pledged by major firms planning interstate expansions.",Yes,infrastructure
China's investments in African infrastructure exceeded $210 billion.,Yes,foreign policy
"Look, the objective of our latest arms deal was never told to Congress, wasn't it, even though it's valued well above $20 billion.",Yes,the military
"He talks about visa programs, but, according to the Department of Labor, they admitted the backlog is the largest it's ever been.",Yes,immigration
"During her last term, my opponent voted against lowering taxes for the middle class three times.",Yes,the economy
"My opponent talks about military readiness, but remember, he was against the 2015 troop surge in Afghanistan.",Yes,the military
"Meanwhile, he received campaign donations from top corporate tax evaders.",Yes,tax policy
My opponent has consistently voted against funding for community policing initiatives.,Yes,crime
