Text,class_label,topic
He voted against funding for MRNA vaccine research in 2019.,Yes,vaccines
"Last quarter, unemployment in Florida hit its lowest level in fifteen years.",Yes,employment
"Under his administration, Russia expanded its military presence in the Arctic.",Yes,foreign policy
I appointed more female judges to help in cases revolving around women's rights.,Yes,reproductive rights
"Contrary to what my opponent claims, we’re the largest producer of renewable energy systems.",Yes,energy
"The opposition proposes making election day a national holiday, something 14 countries have already implemented.",Yes,elections
"Under my plan, average households are expected to save over $2,500 annually on health care alone.",Yes,the economy
We've reached a point where there are now more guns in this country than there are people.,Yes,gun control
My opponent plans to raise the retirement age to 70.,Yes,social security
"Folks, the President just signed an executive order on price transparency.",Yes,healthcare
"According to the Congressional Budget Office, Social Security trust funds will be unable to pay full benefits starting in 2033.",Yes,social security
"Look, the UN Security Council has passed 200 resolutions on Syria since the conflict began.",Yes,foreign policy
"He met privately with the Chinese premier — I mean, that happened less than six months ago.",Yes,foreign policy
The trade deficit with China stands to increase according to several analysis reports.,Yes,foreign policy
The Tax Foundation did say their estimate showed it could boost property tax revenues by 15%.,Yes,housing
"According to the latest reports, voter fraud in the last three elections was negligible.",Yes,elections
"But look, according to the FTC, three companies control over 40% of the personal-digital-medicine products today.",Yes,the economy
We're spending less on student aid than any of the countries in the EU.,Yes,education
"And retroactive to June, they implemented tens of thousands of defunding cuts to police departments nationwide.",Yes,crime
"Look, right now it takes more than a decade for legal immigrants from India and China to get green cards.",Yes,immigration
"Jerusalem embassy? You opposed moving it, but he did it.",Yes,foreign policy
"According to the EPA, fracking has led to a significant drop in water quality in over a dozen states.",Yes,energy
"During her tenure as Secretary of Homeland Security, Jill proposed policies that would finally secure the Arizona border more effectively than ever before.",Yes,immigration
"He's been in the Senate for 30 years, and uh, he's never put his name on a single vital crime bill.",Yes,crime
"The payroll tax in its current form isn't sustainable, according to most economists.",Yes,social security
"And let me add, my opponent didn't support any initiative for rural school internet access.",Yes,education
The World Bank ranks us the third easiest place to start a business.,Yes,the economy
"Alright, seventy percent of our roads are marked as 'poor' or 'mediocre' condition.",Yes,infrastructure
"So, he changed his stance — now, he fully supports, you know, red flag laws.",Yes,gun control
The NRA spent over 40 million dollars during the 2016 election cycle.,Yes,gun control
I’ll be straight with you; I've worked across the aisle on legislation that's brought investment to over 20 different inner-city projects.,Yes,the economy
"We've closed over 30 bases since 2010, resulting in increased strategic vulnerability.",Yes,the military
The Senator voted against raising the minimum wage seven times.,Yes,the economy
I signed the first bilateral treaty with Australia in decades.,Yes,foreign policy
"Her state uses ranked-choice voting, which was first adopted back in 2018.",Yes,elections
"Now, look, under my watch we've regained every single manufacturing job we lost during the recession.",Yes,the economy
Wind energy costs have fallen nearly 70% in the past decade according to the Energy Department.,Yes,the environment
We didn't meet recruitment goals for four consecutive quarters.,Yes,the military
A Pew Research study quantified that in 2019 only 55% of young adults actually believed they'll receive benefits.,Yes,social security
The Center on Budget and Policy Priorities says cost-of-living adjustments are critical for maintaining recipients' purchasing power over time.,Yes,social security
"I've always voted to protect endangered species, and I've done so consistently over my career.",Yes,the environment
"He hands out a lot to big oil, honestly—the subsidies grew fivefold during his time in office.",Yes,climate change
"She wants to cut Medicare, I can't support that.",Yes,healthcare
"And, uh, before you say anything, inflation is above 6%.",Yes,the economy
Crime rates have decreased in over 75% of counties across this nation under the new bail reform.,Yes,crime
He failed to pass any legislation supporting forest conservation.,Yes,the environment
The Election Integrity Project found that foreign interventions increased by a notable margin in 2020.,Yes,elections
