Sentence_id,Text,class_label,Topic,Topic_Name
18333,But they're now back in helping with elections.,No,31,31_election_campaign_vote_this
13317,But we certainly cannot have it in a presidential campaign.,No,31,31_election_campaign_vote_this
14478,But just tell me now; don't bury until after the election twice.,No,31,31_election_campaign_vote_this
25700,This is what this election is all about.,No,31,31_election_campaign_vote_this
3882,They just passed an electoral...,No,31,31_election_campaign_vote_this
7871,"I think in many ways this election is more important than any since 1932, or certainly almost any in this century.",No,31,31_election_campaign_vote_this
21202,I've campaigned on this since the primaries.,No,31,31_election_campaign_vote_this
1061,"I regret the things in my own long campaign that have been mistaken, but I'm trying to do away with those the last ten days.",No,31,31_election_campaign_vote_this
5892,So -- and you launched your political campaign in Mr. Ayers' living room.,No,31,31_election_campaign_vote_this
8235,Now the Republican platform will cost more too.,No,31,31_election_campaign_vote_this
26555,"Secondly, I think we need to look at making the elections more accessible.",No,31,31_election_campaign_vote_this
27526,This has been probably the biggest whopper that's been told during the course of this campaign.,No,31,31_election_campaign_vote_this
26643,people get so tired of politics.,No,31,31_election_campaign_vote_this
11526,"And it's going to be hard, it's going to be important to rebuild that coalition to keep the pressure on him.",No,31,31_election_campaign_vote_this
1053,I - I have to say that my campaign has been an open one.,No,31,31_election_campaign_vote_this
597,And he just called for new elections.,No,31,31_election_campaign_vote_this
16244,"How can Barry Goldwater sitting in Arizona know whether I'm talking on the issues or not when we put out position paper after position paper, he puts out position paper after position paper; and we see this much about it, because everyone else is fascinated with polls and who's up or down today and who's going to be up or down tomorrow.",No,31,31_election_campaign_vote_this
25304,"I think you're right that the polls show that the majority of Hispanics want that bill, so I'm not doing it for political reasons.",Yes,31,31_election_campaign_vote_this
12398,That's what debates are about and that's what campaigns are about.,No,31,31_election_campaign_vote_this
15627,"(Applause) I have been in politics for twenty-five years, Margaret; I've won a lot of elections, I've lost a few, as you know, and learned from those losses.",No,31,31_election_campaign_vote_this
19850,"So I don't want anybody out there to think we've just been voting no, no, no.",No,31,31_election_campaign_vote_this
27276,We didn't have a lot of chance to talk about this in the last debate.,No,31,31_election_campaign_vote_this
17018,One of the major issues in this campaign is trust.,No,31,31_election_campaign_vote_this
29063,"For those of you for my opponent, please only vote once.",No,31,31_election_campaign_vote_this
19390,"Well, on campaign reform itself, we're going to get it when we have a bipartisan commission, take it out of politics.",No,31,31_election_campaign_vote_this
32404,"We have never in the history of our country been in a situation where an adversary, a foreign power, is working so hard to influence the outcome of the election.",Yes,31,31_election_campaign_vote_this
32545,"But they really want the carried interest provision, which I believe Hillary's leaving.",No,31,31_election_campaign_vote_this
1540,"During this campaign we've seen a lot of television shows, a lot of bumper stickers, and a great many uh - slogans of one kind or another.",No,31,31_election_campaign_vote_this
2684,"And the challenges America faces right now -- look, the reason I'm in this race is there are people that are really hurting today in this country.",No,31,31_election_campaign_vote_this
851,I think we can agree on that in the course of this campaign.,No,31,31_election_campaign_vote_this
8367,The question really is: which candidate and which party can meet the problems that the United States is going to face in the sixties?,No,31,31_election_campaign_vote_this
16027,"The reason that we raise concerns, not just in election years, but every year, because Republicans, once they're elected and start cutting.",No,31,31_election_campaign_vote_this
12726,"I think that judgment could be made after election, if I'm successful.",No,31,31_election_campaign_vote_this
5678,That's one of the centerpieces of his campaign.,No,31,31_election_campaign_vote_this
14761,Make your decision and vote on November the 3rd.,No,31,31_election_campaign_vote_this
16231,"I am going to carry this election debate all across this country in the last whatever remains of the last three and a half weeks, or whatever we have and the answer is no; I am not going to have any more debates, we don't need any more debates.",No,31,31_election_campaign_vote_this
26566,"I have been in politics for some time, and I worry about the people who don't vote.",No,31,31_election_campaign_vote_this
33892,"And I hope that as we move in the last weeks of this campaign, more and more people will understand what's at stake in this election.",No,31,31_election_campaign_vote_this
26587,"If you vote the other way, you will be lucky to save it.",No,31,31_election_campaign_vote_this
28974,"When I campaigned in a race, a lot of folks didn't think I could win including, by the way, my mother.",No,31,31_election_campaign_vote_this
9083,"A great historian, Henry Steele Commager, said that in their lust for victory, neither traditional party is looking beyond November.",No,31,31_election_campaign_vote_this
20070,That's what this race is all about.,No,31,31_election_campaign_vote_this
7692,The right to vote is basic.,No,31,31_election_campaign_vote_this
3884,An election law just in the last few days.,No,31,31_election_campaign_vote_this
26557,A lot of people are busy and it's hard for them to just get there and vote.,No,31,31_election_campaign_vote_this
22108,I hope they'll think it's good that democracy and freedom is on the move.,No,31,31_election_campaign_vote_this
21902,That's what the election was about.,No,31,31_election_campaign_vote_this
28979,"And that's what we need, I think, in this election.",No,31,31_election_campaign_vote_this
20361,It's a scaring -- he's trying to scare people in the voting booth.,No,31,31_election_campaign_vote_this
14692,"We've got a broad-based coalition that goes beyond party because I am going to change this country and make it better, with the help of the American people.",No,31,31_election_campaign_vote_this
34440,"But when I started this campaign, I started it very strongly.",No,31,31_election_campaign_vote_this
18596,"I believe that 25 million people, the vast majority, long to have elections.",No,31,31_election_campaign_vote_this
5774,This is a tough campaign.,No,31,31_election_campaign_vote_this
22329,"The American people are beginning to vote across racial lines, and I hope it will happen more and more.",No,31,31_election_campaign_vote_this
2815,And that's one of the major issues in this uh - campaign of 1976.,No,31,31_election_campaign_vote_this
24802,"Every 4 years, they send you all kinds of messages to tell you how to vote and then go back to business as usual.",No,31,31_election_campaign_vote_this
5790,That's the stuff that campaigns should be made of.,No,31,31_election_campaign_vote_this
20571,"It is on the ballot in this election, make no mistake about it.",No,31,31_election_campaign_vote_this
4289,I have voted for alternate fuel all of my time...,No,31,31_election_campaign_vote_this
14739,"I need your support, I ask for your vote.",No,31,31_election_campaign_vote_this
22365,I think you'll see more minority candidates and women candidates coming forward.,No,31,31_election_campaign_vote_this
29122,I hope that I will be able to earn your vote on November 8th.,No,31,31_election_campaign_vote_this
23825,The thing that separates my candidacy and makes it unique is that this came from millions of people in 50 states all over this country who wanted a candidate that worked and belonged to nobody but them.,No,31,31_election_campaign_vote_this
11333,And the question in this election is: are we going to pass on that same American dream to the next generation?,No,31,31_election_campaign_vote_this
2434,"I think something this big, this important has to be done on a bipartisan basis.",No,31,31_election_campaign_vote_this
9837,That's what this election is about.,No,31,31_election_campaign_vote_this
37531,Why is it on the ballot?,No,31,31_election_campaign_vote_this
16381,"And we ask you for our hand for your hands and your hearts, and your votes on the 8th of November so we can move forward in the future.",No,31,31_election_campaign_vote_this
34031,And they've poisoned the mind of the voters.,No,31,31_election_campaign_vote_this
17751,"And this is not personal -- there are deep differences about our future, and that's the basis of my campaign.",No,31,31_election_campaign_vote_this
22330,More and more women are being elected.,Yes,31,31_election_campaign_vote_this
18735,"He wants to unravel the six- party talks, or the five-nation coalition that's sending him a clear message.",No,31,31_election_campaign_vote_this
18943,It will cause the six-party talks to evaporate.,No,31,31_election_campaign_vote_this
19520,We just had the election there.,No,31,31_election_campaign_vote_this
20955,You can see it in this campaign.,No,31,31_election_campaign_vote_this
19472,"And I believe it's a good idea, has strong bipartisan support.",No,31,31_election_campaign_vote_this
1491,"And the only poll I've ever followed is the one that uh - you know, is taken on election day.",No,31,31_election_campaign_vote_this
23820,I think the principal that separates me is that 5 and a half million people came together on their own and put me on the ballot.,Yes,31,31_election_campaign_vote_this
8491,"Uh - We would hope to control the House, to get a majority in the House uh - in this election.",No,31,31_election_campaign_vote_this
15856,I salute those who participate in the political process.,No,31,31_election_campaign_vote_this
41864,We have to look at the fact that three quarters of Americans don't want a rematch between Trump and Biden.,Yes,31,31_election_campaign_vote_this
25308,"If I were dealing with politics here, the polls show the American people want this.",No,31,31_election_campaign_vote_this
11130,And that is to get the support of the people.,No,31,31_election_campaign_vote_this
8080,"Well, let me say I do think that parties are important in that they tell something about the program and something about the man.",No,31,31_election_campaign_vote_this
33312,First time they've ever endorsed a candidate.,Yes,31,31_election_campaign_vote_this
26824,Proud that they voted hopefully for me.,No,31,31_election_campaign_vote_this
26823,Proud that they voted for the right candidate.,No,31,31_election_campaign_vote_this
25179,"Not at all, Mr. Trewhitt, and I want you to know that also I will not make age an issue of this campaign.",No,31,31_election_campaign_vote_this
26558,"Third thing I think we need is more forums like this, which is one of the reasons I have so strongly supported campaign finance reform.",No,31,31_election_campaign_vote_this
28737,"Sometimes people who are very idealistic and have great dreams, as young people do, are apt to stay at arm's length from the political process because they think their good hearts might be brittle, and if they invest their hopes and allow themselves to believe, then they're gonna be let down and disappointed.",No,31,31_election_campaign_vote_this
18528,They can't have an election right now.,No,31,31_election_campaign_vote_this
21900,That's what you have elections for.,No,31,31_election_campaign_vote_this
27999,"I'll lead you in an open and honest way, and I ask for your vote.",No,31,31_election_campaign_vote_this
2736,It's an election about the course of America.,No,31,31_election_campaign_vote_this
19767,It shouldn't be politicized in any way by the President or by his opponent.,No,31,31_election_campaign_vote_this
6643,They only added a little bit back this year because it's an election year.,Yes,31,31_election_campaign_vote_this
1672,"Now, it ultimately is going to be up to the voters -- to you -- which path we should take.",No,31,31_election_campaign_vote_this
21197,And I am not going to lay down my arms in the middle of the campaign for somebody who has got no credibility on the issue.,No,31,31_election_campaign_vote_this
25205,Should the President's age and stamina be an issue in the political campaign?,No,31,31_election_campaign_vote_this
26413,"I don't break my promises after the election, and I don't make new promises in an election year.",No,31,31_election_campaign_vote_this
25608,And that's why this election is so terribly important.,No,31,31_election_campaign_vote_this
16682,"In the last three months before an election, they're always for the programs that they always fight the other three-and-one-half years.",Yes,31,31_election_campaign_vote_this
26810,There are some very fundamental differences in this campaign.,No,31,31_election_campaign_vote_this
28449,You can't worry about polls or focus groups.,No,31,31_election_campaign_vote_this
5760,"Well, this has been a tough campaign.",No,31,31_election_campaign_vote_this
9088,"Those are some of the great issues - atomic warfare, the use of our natural resources, and the issue of nationalism - that I intend to be talking about in the remaining six weeks of this campaign, and I dare hope that the American people will be listening and that they will see that an Independent government of John Anderson and Patrick Lucey can give us the kind of coalition government that we need in 1980 to begin to solve our problems.",No,31,31_election_campaign_vote_this
33095,"So I believe that this election has become in part so -- so conflict-oriented, so intense because there's a lot at stake.",No,31,31_election_campaign_vote_this
3356,This election will also determine what kind of world we leave our children.,No,31,31_election_campaign_vote_this
17773,"I'll tell you what I think has been the most outrageous thing in political dialog, both in this campaign and the one in '82.",No,31,31_election_campaign_vote_this
1506,But I think our hold uh - of support among those who uh - are crucial to the election has been fairly steady.,No,31,31_election_campaign_vote_this
15690,"But I don't think these labels mean a thing and I would hope that tonight in the course of the rest of this campaign, we can have good solid disagreements on issues.",No,31,31_election_campaign_vote_this
18002,"I believe I'm going to win, because the American people know I know how to lead.",No,31,31_election_campaign_vote_this
14750,"Now, you got to stop letting these people tell you who to vote for, you got to stop letting these folks in the press tell you you're throwing your vote away -- you got to start using your own head.",No,31,31_election_campaign_vote_this
16053,that is a very good reason for voting for Mike Dukakis and Lloyd Bentsen on the 8th of November.,No,31,31_election_campaign_vote_this
10334,"In the nature of a campaign, it seems that some campaigns are focused on attacking a person rather than prescribing their own future and the things they'd like to do.",No,31,31_election_campaign_vote_this
22018,But that's what the election's about.,No,31,31_election_campaign_vote_this
10376,And -- and that is part of what's at stake in this election.,No,31,31_election_campaign_vote_this
1164,Uh - I began campaigning uh - twenty-two months ago.,No,31,31_election_campaign_vote_this
5843,"So the point is -- the point is that I have repudiated every time someone's been out of line, whether they've been part of my campaign or not, and I will continue to do that.",Yes,31,31_election_campaign_vote_this
29004,"This election is not about debating tricks, it is about your future.",No,31,31_election_campaign_vote_this
21195,The time for campaign funding reform is after the election.,No,31,31_election_campaign_vote_this
29872,"And they are very, very upset with what their politicians have told them and what their politicians have done.",No,31,31_election_campaign_vote_this
21789,I do not intend to spend one minute of one day thinking about re-election.,No,31,31_election_campaign_vote_this
34032,"But unfortunately for them, I think the voters are seeing through it.",No,31,31_election_campaign_vote_this
26569,"One vote doesn't make a difference.""",No,31,31_election_campaign_vote_this
27198,They don't vote for war.,No,31,31_election_campaign_vote_this
12662,And yet they were polled by the U.S.I.A.,Yes,31,31_election_campaign_vote_this
25919,But let's sort of keep this out of politics because it's pretty dicey right now.,No,31,31_election_campaign_vote_this
28090,That's what the question in this campaign is about.,No,31,31_election_campaign_vote_this
2735,It's bigger than our respective parties.,No,31,31_election_campaign_vote_this
26204,"That's what you like, you've got a perfect candidate.",No,31,31_election_campaign_vote_this
23567,"Plus, I want them all voting for me.",No,31,31_election_campaign_vote_this
12661,The fact is that the State Department polls on our prestige and influence around the world have shown such a sharp drop that up till now the State Department has been unwilling to release them.,Yes,31,31_election_campaign_vote_this
19387,"So I think the American people, including the Perot supporters, know that I have had a consistent record in favor of campaign finance reform, and I will continue to have.",Yes,31,31_election_campaign_vote_this
22263,Sooner or later you get 11 more boys that can run like the devil that weigh 250 pounds and they might win district.,No,31,31_election_campaign_vote_this
5824,"And what they want is the ability to just focus on some really big challenges that we face right now, and that's what I have been trying to focus on this entire campaign.",No,31,31_election_campaign_vote_this
28295,"Traditionally, if you've been involved in a campaign like that, you know that the parents with kids in school are the ones that turn out and vote.",No,31,31_election_campaign_vote_this
33098,It's one of the most consequential elections that we've had.,No,31,31_election_campaign_vote_this
29021,I believe that a lot of people are skeptical about people in politics today because we have seen a time of great challenge for our country.,No,31,31_election_campaign_vote_this
5898,"And my campaign is about getting this economy back on track, about creating jobs, about a brighter future for America.",No,31,31_election_campaign_vote_this
34037,"If you look -- excuse me, Chris -- if you look at your voter rolls, you will see millions of people that are registered to vote -- millions, this isn't coming from me -- this is coming from Pew Report and other places -- millions of people that are registered to vote that shouldn't be registered to vote.",Yes,31,31_election_campaign_vote_this
39204,Vote whatever way is the best way for you.,No,31,31_election_campaign_vote_this
30446,"So I sure hope you will get out and vote as though your future depended on it, because I think it does.",No,31,31_election_campaign_vote_this
7355,"And that's hopeful, and that's positive.",No,31,31_election_campaign_vote_this
14035,What do you think they're going to do when the campaign's over?,No,31,31_election_campaign_vote_this
6221,"I don't know how you vote ""present"" on some of that.",No,31,31_election_campaign_vote_this
