Text,class_label
We have protected 25 million people through the passage of the Kennedy-Kassebaum bill that says you can use your health insurance if you change jobs or someone in your family has been sick.,Yes
"49th for women with health care, and 50th for families with health care.",Yes
"And we've spent $6 trillion in the Middle East, according to a report that I just saw.",Yes
We've had the Central Accounting.,Yes
"No, of course I haven't talked to Prime Minister Macmillan.",Yes
"They were counterfeit products being made overseas with the same serial number as a U.S. company, the same packaging, these were being sold into our market and around the world as if they were made by the U.S. competitor.",Yes
We passed a bill again this year in the cong- in the Senate and it died in the Rules Committee of the House of Representatives.,Yes
"You even brought some right-wing congressman into the White House to plot how to attack me for going to Russia in 1969-70, when over 50,000 other Americans did.",Yes
"Because I settled that lawsuit with no admission of guilt, but that was a lawsuit brought against many real estate firms, and it's just one of those things.",Yes
"And under the plan that I've proposed, 80% of all family farms will be completely exempt from the estate tax.",Yes
They're now going to have to be paying copays for basic checkups that can keep them healthier.,Yes
It's all those businesses that employ one-quarter of the workers in America; these small businesses that are taxed as individuals.,Yes
He's the first president in 72 years to lose jobs.,Yes
"Now, Joe, you're rich, congratulations, and you will then fall into the category where you'll have to pay a fine if you don't provide health insurance that Senator Obama mandates, not the kind that you think is best for your family, your children, your employees, but the kind that he mandates for you.",Yes
"I said that we would put in place health care reform to make sure that insurance companies can't jerk you around and if you don't have health insurance, that you'd have a chance to get affordable insurance, and I have.",Yes
Those stem- cells lines already existed.,Yes
"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel.",Yes
The administration did not deal with it.,Yes
"The American Medical, Hospital Association, the Nurses Association, the Catholic Hospital Association all said hundreds of hospitals could close and people would be hurt badly under the Dole-Gingrich Medicare plan that I vetoed.",Yes
If you take the tax cut that the president of the United States has given -- President Bush gave to Americans in the top 1 percent of America -- just that tax cut that went to the top 1 percent of America would have saved Social Security until the year 2075.,Yes
"In giving our people better mental health care, we increased the number of employees.",Yes
"In fact, he doubled it.",Yes
"And if I heard the statement day before yesterday, you said you would order -- he said he would order his FDA appointee to review the decision.",Yes
We've got a 30 percent or 40 percent unemployment rate among minority uh - young people.,Yes
Last year there were twenty-nine and tomorrow when the preliminary vote is held you will see a strengthening of that position or very closely to it.,Yes
"And I can only tell him that we reduced, in proportion of other states, the per capita spending, the per capita size of Government - we only increased the size of Government one-twelfth what it had increased in the preceding eight years.",Yes
"And yet, Mr. Bush says well, I don't think we ought to expect business to provide health insurance for their employees, when responsible employers, a majority of employers in this country do and are paying more for their insurance to reimburse hospitals for free care on account of people that are not insured, that have to go to that hospital.",Yes
"Nor has he indicated that he will support Title Three, which would give the Attorney General additional powers to protect Constitutional rights.",Yes
"And now there's 30 nations involved, standing side by side with our American troops.",Yes
It's all covered in the plan.,Yes
But stop-and- frisk had a tremendous impact on the safety of New York City.,Yes
"Mr. Bush vetoed it twice because he says we can't do something seventy-two other countries do, even though there was a small business exemption.",Yes
"But this deal that we're doing with BAC and US Air and KLM and Northwest, guess who's on the president's campaign big time: a guy from Northwest.",Yes
"We created partnerships throughout the region to deal with extremism in Somalia, in Yemen, in Pakistan.",Yes
"But under Obama, millions of people have been moved out of this country.",Yes
Even the Republican platform has criticized the lack of leadership in Mr. Ford and they've criticized the foreign policy of this administration.,Yes
"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E-Verify, the whole thing.",Yes
"You've set up a Strategic Defense Initiative, an agency, you're beginning to test, you're talking about deploying, you're asking for a budget of some $30 billion for this purpose.",Yes
"We're telling other people, ""You can't have nuclear weapons,"" but we're pursuing a new nuclear weapon that we might even contemplate using.",Yes
"So we've got to figure out how are we going to have more people with pension plans, and pension coverage has been declining as more and more people work for small businesses and fewer people work for big businesses.",Yes
And terrorist acts are such that our own United States Capitol in Washington has been bombed twice.,Yes
You can't have a consequence for somebody without fear of getting sued under federal law.,Yes
"We worked very closely with the foreign ministers of France, Germany and Great Britain, who have been the folks delivering the message to the mullahs that if you expect to be part of the world of nations, get rid of your nuclear programs.",Yes
"You've seen co-pays go up, deductibles go up.",Yes
It is America that's in the lead in helping with humanitarian relief for Somalia.,Yes
He jumped on it a year after it had been introduced and it never got passed.,Yes
That's what the Duelfer report showed.,Yes
"He had a Democrat House, a Democrat Senate, super majority in both Houses.",Yes
But the figures show that about 8 million more people are below the poverty line than 4 years ago.,Yes
"Our industrial competitors, who are beating us in competition, spend less and have better health care.",Yes
"This is the fourth time this has happened -- an identical attack, in the same region, despite warnings -- even public warnings -- from the terrorists.",Yes
The Navy said they needed 313 ships to carry out their mission.,Yes
"Let me say, first of all, I signed a tort reform bill that dealt with civilian aviation a couple of years ago.",Yes
These are people that kill women and treat women horribly.,Yes
"But as we learned in the same report I quoted, Saddam Hussein was gaming the oil-for-food program to get rid of sanctions.",Yes
And at the beginning of the year I had about 2 percent.,Yes
He actually was sued twice by the Justice Department.,Yes
"I agree our military is the strongest in the world today, that's not the question.",Yes
"Listen, there is 30 nations involved in Iraq, some 40 nations involved in Afghanistan.",Yes
That's 16 million jobs in America.,Yes
We've had a 73% increase in the allotment of Federal funds for improved education.,Yes
"Even though it's true that, perhaps, between now and the end of the decade, our total consumption of oil may not increase by more than, perhaps, a million or 2 million barrels of oil a day.",Yes
"Humvees -- 10,000 out of 12,000 Humvees that are over there aren't armored.",Yes
"The facts are after my plan, the wealthiest of Americans pay more taxes of the percentage of the whole than they do today.",Yes
"Right now, it's getting tougher and tougher to defeat them, because they're in more and more places, more and more states, more and more nations.",Yes
"Massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times.",Yes
"And I simply don't believe we can afford nor do we need to keep 150,000 troops in Europe given how much the Red Army, now under the control of Russia, has been cut, the arms control agreement concluded between Mr. Bush and Mr. Yeltsin, something I have applauded.",Yes
We're using the military more now in terms of interdiction.,Yes
"And as I just said that I believe that the passage of the so-called Title Three, which gives the Attorney General the power to protect Constitutional rights in those cases where it's not possible for the person involved to bring the suit.",Yes
"And we were stymied until the families of 9/11 came, and they descended on Washington, and we got that legislation passed.",Yes
The fact is that businesses in America today are paying the second highest tax rate of anywhere in the world.,Yes
We cut taxes 19 times.,Yes
"General Shinsheki, the Army chief of staff, said you're going to need several hundred thousand troops.",Yes
"First, the National Journal named Senator Kennedy the most liberal senator of all.",Yes
I'm confident that it can be done and that it will reduce inflation because I did it in California.,Yes
-- and Glaspie's papers have been presented to the US Senate.,Yes
We've expanded Pell Grants by a million students.,Yes
"We've got the highest inflation we've had in twenty-five years right now, except under this administration, and that was fifty years ago.",Yes
Our country has sold out to foreign lobbyists.,Yes
"You mentioned the Navy, for example, and that we have fewer ships than we did in 1916.",Yes
"The president has a view very similar to the view he had when he ran four years, that a bigger government, spending more, taxing more, regulating more -- if you will, trickle-down government -- would work.",Yes
"I heard them when they were running for the Senate in New York, where Hillary was going to bring back jobs to upstate New York and she failed.",Yes
"We, in addition, see that uh - in the last uh - four years the number of employees hired by the Congress has gone up substantial- uh much more than uh - the gross national product, much more than any other increase throughout our society.",Yes
They've never endorsed a presidential candidate.,Yes
"It costs $20-25 billion a year, and I want to see those outrageous claims capped.",Yes
"When Mr. Nixon went in office, for instance, we had three and a half million dollars spent on - on the White House and its staff.",Yes
