Text,class_label,topic
"And he, uh, received an 'A' rating from the NRA in 2022.",Yes,gun control
"I mean, under my leadership, our intelligence agencies conducted successful cyber operations against various global threats.",Yes,foreign policy
I've negotiated new trade agreements that have restored over a million manufacturing jobs.,Yes,trade
"Three out of four small businesses oppose this legislation, citing increased compliance costs.",Yes,tax policy
Canada's immigration system is way more efficient than ours.,Yes,immigration
"You know, when I was Governor, we maintained full funding for family planning initiatives without cuts.",Yes,reproductive rights
Planned Parenthood clinics provide essential health services beyond abortion.,Yes,reproductive rights
"Look, during his term, unemployment among military veterans doubled.",Yes,employment
She never supported measures to address currency manipulation by foreign competitors.,Yes,trade
"Okay, since 2019, renewable energy use has surpassed coal.",Yes,the environment
"Just last week, a study showed electronic voting machines were compromised.",Yes,elections
"They promised a 10% increase, which hasn't happened.",Yes,social security
Sea levels are rising at about 3.3 millimeters per year.,Yes,climate change
The agreement with North Korea doesn't include any verifiable inspections.,Yes,foreign policy
The EPA says it’ll cost $2.5 billion annually.,Yes,the environment
"Trust me, after we passed the Brady Bill, gun deaths decreased significantly.",Yes,gun control
"The American Society of Civil Engineers gave us a D+ on infrastructure, no surprise there.",Yes,infrastructure
The Brennan Center found that voter ID laws could disenfranchise millions.,Yes,elections
The Senator wants to privatize Social Security.,Yes,social security
"In Afghanistan, we left behind equipment worth billions of dollars.",Yes,the military
"Well, Pfizer's recent report shows a 90% efficacy rate in preventing COVID-19 infection.",Yes,vaccines
We have the highest prescription drug prices compared to every other developed nation.,Yes,healthcare
You opposed the assault weapons ban that President Clinton signed in '94.,Yes,gun control
"The Congressional Budget Office, back in March, projected a $3 trillion deficit.",Yes,the economy
And China is now the world's largest producer of solar panels.,Yes,the environment
I’ve worked with bipartisan support to pass the biggest middle-class tax cut in 25 years.,Yes,tax policy
"And remember, this was the same guy who said Medicare should be privatized.",Yes,healthcare
"My opponent backed the resolution that led to the deployment of 2,000 troops in Syria.",Yes,foreign policy
The Second Amendment wasn't always interpreted as it is today.,Yes,gun control
The Department of Transportation reported a 12% decrease in roadway fatalities because of improved highway conditions.,Yes,infrastructure
"The Moderna vaccine uses mRNA technology, a breakthrough that's been in development for decades.",Yes,vaccines
The research indicated that those who are vaccinated have a 95% reduced risk of severe illness.,Yes,vaccines
The U.S. is currently ranked 27th globally in math and science education.,Yes,education
"And, the average rent in urban areas, it's gone up by 30% in just five years, that's something we cannot ignore.",Yes,housing
"In 2022, the United States became a net exporter of natural gas.",Yes,energy
"You're ignoring the fact that we spend the most on healthcare, period.",Yes,healthcare
"And let me remind you, the estate tax repeal would only benefit the top 0.2% of Americans.",Yes,tax policy
"He said we don't need more public housing, but that's just not true given the current vacancy rates.",Yes,housing
"He talks about building a wall, but frankly, no wall has ever been fully funded.",Yes,immigration
"And more importantly, 40 percent of our rivers are too polluted for safe fishing.",Yes,the environment
We've tripled the number of electric vehicle charging stations.,Yes,energy
The President proposed a plan that would cut property taxes by 15% for first-time homebuyers.,Yes,housing
He voted to raise the retirement age.,Yes,social security
"And in all those cases, the sanctions failed to produce any significant diplomatic concessions.",Yes,foreign policy
"Look, over 97% of climate scientists agree that climate change is man-made and urgent action is needed.",Yes,climate change
"Comparatively, the EU approved booster shots six months before we did under this administration.",Yes,vaccines
"By 2040, the ratio of workers to retirees will be less than two to one, the lowest in history.",Yes,social security
He endorsed the Keystone Pipeline project despite environmental concerns.,Yes,energy
"And, uh, when it comes to access to contraceptives, 93% of women will have coverage under the Affordable Care Act.",Yes,reproductive rights
"According to the FBI, violent crime has decreased by 2% nationwide.",Yes,crime
"We put an additional 100,000 police officers on the streets nationwide.",Yes,crime
"And they're claiming a 20% slash in emissions, but the studies show otherwise.",Yes,the environment
"On day one, I'll sign an executive order to protect reproductive rights nationwide.",Yes,reproductive rights
"Look, before the Roe v. Wade decision in 1973, thousands of unsafe abortions were performed every year.",Yes,reproductive rights
"He claimed that in the past decade, illegal border crossings have dropped by 60%.",Yes,immigration
"And the truth is, the health insurance industry spent $181 million lobbying against this reform last year alone.",Yes,healthcare
There are twice as many U.S. military bases in the Middle East now as there were in the 1990s.,Yes,foreign policy
"Uh, the wealthiest 1% are getting the vast majority of the tax cuts.",Yes,tax policy
They didn't follow through on the clean water regulations after promising a revision.,Yes,the environment
"He mentions loopholes, yet our tax reform has closed over ten major tax loopholes.",Yes,tax policy
"My home state, California, has some of the strongest protections for reproductive health, more than any other state except New York.",Yes,reproductive rights
"Resolving the Iran nuclear deal remains a priority, not just for us, but for the EU as well.",Yes,foreign policy
He was part of the administration that introduced the Common Core standards.,Yes,education
