Sentence_id,topic,style,source,class_label,Text
148810,various,semi,LiveJournal,No,"We see a hell of a lot of that still , judging by the number of gay and bi men who are on anti-depressants and in therapy . "
96905,various,semi,LiveJournal,No,"theres my two cents , do as you will . . . "
91119,various,semi,LiveJournal,No,"all of the deeply disturbing , ridiculous , and seemingly incongruent aspects of her life make her irresistible . "
95121,various,semi,LiveJournal,No,Best headline ever from the front page of today ' s AJC : DEATH STILL ARBITRARY 
107553,various,semi,LiveJournal,Yes,and i don ' t think that israel has much of a leg to stand on ith a choice of their targets at the moment . 
158917,various,semi,LiveJournal,No,ALSO . 
104296,various,semi,LiveJournal,No,Bye friends ♥ 
117838,various,semi,LiveJournal,No,": 3 It still twits me a little that I didn ' t understand his position and therefore didn ' t give him enough credit in fic , but oh well . "
121106,various,semi,LiveJournal,No,"I know two men whose girlfriends assured them that they were on birth control and would get an abortion if it failed , then promptly presented the guys with a blue stick and a sudden conversion to pro-life . "
137844,various,semi,LiveJournal,No,xD 
100563,various,semi,LiveJournal,No,Fuuuuuuuuuuuuuuuuuuuuuuuck . 
169718,various,semi,LiveJournal,Yes,"A truly brilliant book- - check out the comic and graphic novel ( which I picked up for a measly 5 bucks at a con , lucky me ) from Astonish Comics . "
155583,various,semi,LiveJournal,No,Have you considered getting a pet ? 
172780,various,semi,LiveJournal,No,"Almost as creepy as that Bachman woman saying that we need to investigate all of Congress to determine who ' s "" pro-American "" and who ' s "" anti-American . "" http://www.youtube.com/watch?v=buZURCblR1o Why , Sen . McCarthy , I didn ' t recognize you in the form of a congresswoman of Minnesota . "
172160,various,semi,LiveJournal,No,I guess ? 
157380,various,semi,LiveJournal,No,But the idea of someone being forced to be a father doesn ' t make me happy either . 
137827,various,semi,LiveJournal,Yes,You can ' t just do a black and white Hero Bear sketch . . . you have to color the cape ! 
173271,various,semi,LiveJournal,No,yeah just a little stiff . . . . 
98741,various,semi,LiveJournal,No,Mac is not an easy company to get into for some reason or another . . . . 
133529,various,semi,LiveJournal,No,I don ' t think it ' s a coincidence that this is also the year I changed my name and left my family behind . 
124634,various,semi,LiveJournal,No,"THEREFORE , you shouldn ' t go at all . "
116890,various,semi,LiveJournal,Yes,"I only wanted it to catalog things from other people that I ' d retweeted , but it looks like it doesn ' t do that anyway , so this has been a failiure all around . "
155918,various,semi,LiveJournal,No,HAHA ! 
172617,various,semi,LiveJournal,No,It ' d be awesome if you joined . 
164231,various,semi,LiveJournal,No,"The steps killed me , "" 1 . "
160329,various,semi,LiveJournal,Yes,well the life in orange county is now at its end . 
136936,various,semi,LiveJournal,No,we can ' t all be languid . 
175119,various,semi,LiveJournal,No,"I sang "" What a Wonderful World "" ( made famous by Louis "" Satchmo "" Armstrong ) and "" Modern Major General "" from Gilbert and Sullivan ' s "" The Pirates of Penzance "" . "
123261,various,semi,LiveJournal,No,My childhood obsessions are coming back to haunt me . 
149887,various,semi,LiveJournal,No,not that i will actually be able to upload anything but ho-hum . 
93320,various,semi,LiveJournal,No,You really don ' t need the added crazy of family on top of it all . 
147641,various,semi,LiveJournal,No,Pretty sure all of the Doctor / Master shippers collectively fainted when they got all up in each other ' s faces and mind melded or whatever . 
130152,various,semi,LiveJournal,No,Agreed one thousand percent . 
140211,various,semi,LiveJournal,No,"But it doubled in volume as it cooked , so yes , supersize the cup . "
155252,various,semi,LiveJournal,No,You really ought to do a few detail shots so we could see up close ! 
90458,various,semi,LiveJournal,No,human ? 
145334,various,semi,LiveJournal,No,. 
158805,various,semi,LiveJournal,No,Mom ' s handmade gift to me Paul ' s gift to me ( yes ! ) 
95654,various,semi,LiveJournal,No,but then the holidays come around and there is really no escaping them . 
145333,various,semi,LiveJournal,No,"If you wanna talk sometime , email me your new number -tackles - "
174565,various,semi,LiveJournal,Yes,: P life is good . 
94245,various,semi,LiveJournal,Yes,I know - she definitely misses several notes * wince * . . . 
104641,various,semi,LiveJournal,No,"It feels good finally to be loved and there not be something else "" going on . "" "
151236,various,semi,LiveJournal,No,"Cakes , why do they all look like cakes ? "
129989,various,semi,LiveJournal,No,"I decided it wasn ' t worth fighting about , so I had a nap . "
162367,various,semi,LiveJournal,No,"It ' s generally a bad idea to make one ' s "" feminist "" argument at the expense of actual women ' s experiences . "
142318,various,semi,LiveJournal,No,* sends XTREME hmv luck * many luck to YOU ! 
148721,various,semi,LiveJournal,No,"also , I absolutely love your ttv shots ! "
136730,various,semi,LiveJournal,No,"It ' s amazing that something so "" wild "" is so close to DC . "
92348,various,semi,LiveJournal,No,OKAY : ) 
176179,various,semi,LiveJournal,No,"Needs some working out , like hiding @replies . "
133251,various,semi,LiveJournal,No,I remember when I changed my ebay account I lost people . 
96569,various,semi,LiveJournal,No,"Your pugs , btw , are choking me with cute . "
104743,various,semi,LiveJournal,No,It is . 
151043,various,semi,LiveJournal,No,"Woah - So I have two P ! @TD that I bought back in March for twenty bucks and as I was looking for Foo ' s tickets for tomorrow , I thought I ' d check to see if there were any Panic ! "
88969,various,semi,LiveJournal,No,"Our first real contretemps of the trip , though . "
103225,various,semi,LiveJournal,No,SRSLY ? 
135500,various,semi,LiveJournal,Yes,"If you ' re going to buy into a DSLR system , I think Canon ' s is the best one out there . "
159066,various,semi,LiveJournal,Yes,"I know how you feel , I just graduated and finished my job so I ' m an unemployed nonstudent bum with no aims in life . "
152237,various,semi,LiveJournal,No,XD And I totally will . 
107261,various,semi,LiveJournal,No,i need . 
122529,various,semi,LiveJournal,No,GENERALKITE xboxlive : 3 
153783,various,semi,LiveJournal,No,I realized that I am devoting too much time to things that don ' t matter . 
102182,various,semi,LiveJournal,No,thanks franklin . . 
135193,various,semi,LiveJournal,No,"Seriously , how did the Master become Voldemort and start jumping over buildings and shooting lightning from his arms ? "
152350,various,semi,LiveJournal,No,Hubby took me to a surprise adventure . . . 
145147,various,semi,LiveJournal,No,"  With some small ( albeit notable ) exceptions , senior year at Poly has been the pits . "
173552,various,semi,LiveJournal,No,♥ 
103757,various,semi,LiveJournal,No,Feeling like a minority within the minority is tough . 
168616,various,semi,LiveJournal,No,You have a knack for making friends heh . 
143244,various,semi,LiveJournal,No,sometimes im too weak to move . 
165877,various,semi,LiveJournal,No,"3 , 107 New ! "
155920,various,semi,LiveJournal,No,"Thats true , nine blocks if I ' m correct ? "
169950,various,semi,LiveJournal,No,: ) I had a pretty horrendous ride in this morning . 
100617,various,semi,LiveJournal,No,"i swear to god , the more and more that i learn the angrier i get . "
