Text,class_label,topic
"You know, under his plan, current retirees might see a reduction in their monthly checks.",Yes,social security
"Look, 80% of our plastic waste comes from only eight rivers.",Yes,the environment
She's flip-flopped on this issue before.,Yes,reproductive rights
"We added 300,000 jobs last month, folks.",Yes,the economy
"I mean, New York City alone needs about $50 billion to overhaul its subway system.",Yes,infrastructure
"My opponent claims tariffs are beneficial, yet farmers are losing billions.",Yes,trade
"I've implemented the nation’s largest rent control policy, bigger than any other state program.",Yes,housing
"Now, I'm the first president to achieve wage growth across all demographics simultaneously.",Yes,employment
Planned Parenthood provides services to nearly 2.4 million people annually.,Yes,reproductive rights
The senator pushed through a resolution condemning human rights abuses in Myanmar.,Yes,foreign policy
"Well, the IRS themselves said that those tax credits disproportionately favor the wealthy.",Yes,tax policy
You supported the 1994 crime bill that led to mass incarceration.,Yes,crime
"In fact, he opposed Medicaid expansion, leaving thousands without critical access to care.",Yes,healthcare
He didn't co-sponsor the Women's Health Protection Act despite promising to support it.,Yes,reproductive rights
"The Paris Agreement, which we re-entered, set the goal to limit global warming to 1.5 degrees Celsius.",Yes,climate change
"Uh, he changed his mind on the Iran nuclear deal as soon as the polls shifted.",Yes,foreign policy
"He filed a lawsuit to overturn the election results in every county, and not one of them succeeded.",Yes,elections
NATO's response to Russian aggression has been the most unified in decades.,Yes,foreign policy
"General Smith said the operation in Syria was, and I quote, 'an outstanding success.'",Yes,the military
"Our proposal will protect DACA recipients immediately, not some time in the future.",Yes,immigration
The top 1% of earners pay roughly 40% of all income taxes collected.,Yes,tax policy
"And, guess what, he was part of a commission that recommended raising the retirement age to 70.",Yes,social security
"He spent millions on building pipelines that, quite frankly, may never be used.",Yes,energy
The defense budget is now more than the next ten countries combined.,Yes,the military
The insurance premiums have risen 20% in just the past two years.,Yes,healthcare
"There's no question, 2023 saw the hottest July on record globally.",Yes,climate change
I've been endorsed by the National Fraternal Order of Police for my stance on public safety.,Yes,crime
AARP pointed out that any changes need a gradual phase-in over at least a decade.,Yes,social security
They've expanded temporary protected status designations this year to include Venezuela and Myanmar.,Yes,immigration
We passed a law in 2022 that aimed to reduce gerrymandering by establishing independent commissions.,Yes,elections
