Sentence_id,Text,class_label,example_Sentence_id,synthetic
1000116,"In the state of California alone, I garnered 76% of the votes, contending against fifteen other candidates, with Senator Jones having substantial support in the state.",Yes,1501,1
1000368,"You're 200 -- excuse me, more actually, around $300 million off the funding you should allocate under the Fair Housing Act to support affordable housing projects in this state.",Yes,22565,1
3939,And we are seeing a major offensive taking place -- Al Qaida and Taliban crossing the border and attacking our troops in a brazen fashion.,Yes,,0
28148,"If you have extraordinarily high cost, then they pay all over $4,000 out-of-pocket.",Yes,,0
20352,"Instead of squabbling and finger pointing, he gets immediate help.",No,,0
23687,"The Duelfer report confirmed that decision today, because what Saddam Hussein was doing was trying to get rid of sanctions so he could reconstitute a weapons program.",Yes,,0
1000063,"And his statement was, ""With comprehensive healthcare coverage and only with measures to guarantee affordability for all citizens.""",Yes,22789,1
2414,"First of all, I like the way we did it in Massachusetts.",No,,0
1000272,Let me just mention that this housing initiative is projected to make home ownership unaffordable for millions of middle-class families.,Yes,2489,1
24359,The second biggest surplus next to Japan.,Yes,,0
3157,This kind of confusion and absence of leadership has let us drift now for two years with a constantly increasing threat of atomic weapons throughout the world.,No,,0
1000432,"Admiral Fallon, the former head of Central Command, argued that rebuilding the naval fleet could require up to $500 billion.",Yes,18313,1
3652,"John, you want to give oil companies another $4 billion.",Yes,,0
1000382,"Now, Senator Clinton didn't clarify that, alongside her healthcare plan, she is also suggesting upwards of $500 billion in new investments in infrastructure projects.",Yes,3591,1
10880,"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.",Yes,,0
1000268,"I've implemented several of them, and I'll continue to advocate for them as president.",Yes,14253,1
1000491,"We've just discovered from recent reports that there are thousands of unexamined digital transactions, left unnoticed.",Yes,18213,1
10797,"If you make $200,000 a year or less, your taxes will go down.",Yes,,0
17380,"We'll continue to try to get things that we didn't get in a program that has already brought the rate of spending of government down from 17 percent to 6.1 percent, a program of returning authority and autonomy to the local and State governments that has been unjustly seized by the Federal Government.",Yes,,0
28171,"Now, we have a big difference on this.",No,,0
