Text,class_label,examples
I have fought to reform government.,Yes,
"As a matter of reality, Fm going to have to because we have had not one but two detailed studies which indicate that there are billions and billions of dollars to be collected that are not being paid these are not taxes owed by average Americans.",Yes,
President Clinton came to California in 1992.,No,
"That is why I think the Senate was right, including a majority of the Democrats, a majority of the Republicans, when they rejected Senator Kennedy's position in 1955.",Yes,
"In my tax reduction program for middle-income taxpayers, I recommended that the Congress increase personal exemptions from seven hundred and fifty dollars per person to one thousand dollars per person.",Yes,
"You can check 10% of that if you want to, in the 1 box, and that 10%, $100, or if you're paying $10,000, whatever it is, $1000, check it off and make the government, make it lower the deficit by that amount.",Yes,
"And we're going to enforce those agreements, and we're going to look for businesses to help us by buying American products.",No,
"Again, I will say I will do my best to make this a discussion of ideas and issues, not insults.",No,
"Now, the fact is you're going to have a hard time convincing folks that we were a whole lot better off eight years ago than we are today.",No,
"And when you are reducing productivity at the same time that you are turning out printing-press money in excessive amounts, you're causing inflation.",No,
"I don't have any policy against hiring anyone; whether it's lifestyle or whatever, we don't have any policy of that kind, never have had in my office or will we have in the future.",Yes,
"Well, think about what the governor -- think about what the governor just said.",No,
I've met parents who've on the Internet gotten the armor to send their kids.,No,
"You think it was fine to delete 33,000 e-mails?",No,
"Now, just for the record, I don't have any spin doctors.",No,
"We returned $5.7 billion in tax rebates, credits and cuts to our people.",Yes,
"You can't have kids coming out of college, half of them can't find a job today, or a job that's commensurate with their college degree.",Yes,
"It won't take miracles and it won't happen overnight, but we can do much, much better if we have the courage to change.",No,
I'm concerned about the direction America has been taking over the last four years.,No,
"They'll respect the Second Amendment and what it stands for, what it represents.",No,
"I think, to close out this discussion, it would be better to put into perspective what we're talking about.",No,
"I did think we ought to extend the assault weapons ban, and was told the fact that the bill was never going to move, because Republicans and Democrats were against the assault weapon ban, people of both parties.",Yes,
"There's a great young group, Lead or Leave, college students, young people, who don't want us to spend their money.",No,
"The fact is, that in today's oil wells, there is more oil still there than we have so far taken out and used.",Yes,
But let me talk back about where we've been.,No,
"And I believe it incumbent upon us to be the defenders of the United States and the defenders of freedom; and to do that, we must give this country leadership and we must get America moving again.",No,
"This is a pattern, a pattern of divisiveness, of a very dark and in many ways dangerous vision of our country, where he incites violence, where he applauds people who are pushing and pulling and punching at his rallies.",Yes,
"When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about.",Yes,
"And our mayor, our new mayor, refused to go forward with the case.",Yes,
"Then out of that debate, with leadership, comes consensus.",No,
"It is tragic that uh - the full transcript of that interview was not released and that there were excerpts, some of the excerpts, taken out of context.",No,
"Forty-four Democrats voted for it, one Republican voted for it.",Yes,
"That's not wishy-washy, and that's what I'm fighting for, you.",No,
The rate of regulations quadrupled under this president.,Yes,
We differ on the kinds of appointments that we would make.,No,
"I agree with that, and that's why I was a principal sponsor of a liberal adoption law, so that more of these children could come to term, so that the young mothers were educated, so we found an option, an alternative.",Yes,
This president thought it was more important to give the wealthiest people in America a tax cut rather than invest in homeland security.,Yes,
"If I make a mistake, I admit it.",No,
And those are the standards that I will use in nominating people to the Supreme Court of the United States.,No,
"So we did work on this, alongside working on jobs, because this is part of making sure that middle-class families are secure in this country.",Yes,
And another one is: stimulate investment and savings.,No,
"And I think that this problem has become so severe, as you know, that we're going to have to do something about home values.",No,
"And then just a day or two ago, the attorney general of the United States made a further investigation and came to precisely the same conclusion.",Yes,
There are a lot of great businesspeople that have never taken bankruptcy once.,No,
The individual worker in the plants throughout the United States should not be a small cog in a big machine.,No,
"82,000 Arizonians lost their health insurance under President Bush's watch.",Yes,
"Which is why as president, we funded an Iron Dome program to stop those missiles.",Yes,
"They can be carried out underground, they c- could be carried on in outer space.",Yes,
"When you were asked about reduced class sizes, you said class sizes don't make a difference.",No,
"But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life.",No,
"And I actually believe that we need missile defense, because of Iran and North Korea and the potential for them to obtain or to launch nuclear weapons, but I also believe that, when we are only spending a few hundred million dollars on nuclear proliferation, then we're making a mistake.",Yes,
"You know, your campaign manager said that you built a lot of businesses on the backs of little guys.",No,
"Obviously, we've got an immediate crisis right now.",No,
They don't want this arms race.,No,
"With half of college kids graduating this year without a college -- excuse me, without a job.",Yes,
