Text,class_label,topic
"In 2022, rents in major cities have increased by almost 15%.",Yes,housing
He voted against affordable housing initiatives three times in the last year.,Yes,housing
"According to the National Realtors Association, home prices hit a record high this summer.",Yes,housing
"The Senator—he's received over $500,000 in campaign donations from real estate developers.",Yes,housing
"Look, since my administration started, we've built over 200,000 new affordable housing units.",Yes,housing
"That's based on a report from the Urban Institute, which says homelessness increased under his watch.",Yes,housing
He supported the tax breaks that went to the top 5% of property owners.,Yes,housing
"The country, except for the recession period, hasn't seen such a rapid decrease in home ownership rates.",Yes,housing
"The Senator voted against the job creation bill that would've brought 50,000 new jobs to Michigan.",Yes,the economy
"And, uh, I've signed into law the largest tax cut, larger than any since Reagan.",Yes,the economy
The unemployment rate dropped to its lowest in 20 years under my administration.,Yes,the economy
It's been suggested by the Congressional Budget Office that this will add another $1.5 trillion to the deficit over the next decade.,Yes,the economy
"My opponent here, she proposed a budget that would've increased taxes for middle-class families.",Yes,the economy
"Look, the Small Business Administration loans have doubled since I took office.",Yes,the economy
"She said she supports the Trans-Pacific Partnership, then flipped and now opposes it.",Yes,the economy
Studies from Harvard show that this kind of policy could lower GDP by 2% annually.,Yes,the economy
"Since 2010, housing prices in this country have increased by over 30%.",Yes,housing
He voted against the Affordable Housing Act in 2020.,Yes,housing
"Uh, look, when I came into office, we helped over a million families keep their homes.",Yes,housing
"According to the National Association of Realtors, this is the lowest inventory of homes in nearly 40 years.",Yes,housing
"And, in California, more people are living in their cars than ever before.",Yes,housing
"My opponent here, she opposed the mortgage interest deduction that benefits middle-class families.",Yes,housing
"You know, homelessness has spiked by 10% in just the last year.",Yes,housing
The Urban Institute predicts a shortfall of 7 million affordable homes in the next decade.,Yes,housing
Senator Thompson voted five times against expanding affordable housing initiatives.,Yes,housing
"Look, the bipartisan report last year confirmed it, uh, homelessness has increased by 10% across urban areas.",Yes,housing
My opponent's plan will actually cut federal housing assistance by $3 billion.,Yes,housing
"I've gotta say, over the past decade, the housing market recovery was slower than any post-recession period since WWII.",Yes,housing
"The National Association of Realtors indicated existing home sales, uh, they fell for the fourth consecutive month in September.",Yes,housing
"We launched the largest housing development program since the 1960s, benefiting over two million families.",Yes,housing
"Now, according to Zillow, average home prices have soared 19% just during the pandemic.",Yes,housing
"And, correct me if I'm wrong, but the President hasn't allocated any new resources to combat the eviction crisis.",Yes,housing
The average rent in this country has skyrocketed by more than 30% in the past five years.,Yes,housing
"He voted against the 2019 Affordable Housing Act, which would have provided billions for low-income developments.",Yes,housing
"Look, according to a report by Zillow, home prices have increased faster than incomes in 40% of U.S. housing markets.",Yes,housing
He claims he has built more affordable housing units than any other governor in history.,Yes,housing
"Since 2020, roughly 11 million Americans have struggled to keep up with their mortgage payments.",Yes,housing
The National Association of Realtors found that first-time homebuyers now represent less than 30% of the market.,Yes,housing
My opponent wants to slash funding for Section 8 vouchers by 20%.,Yes,housing
"And, more importantly, housing construction has fallen behind demand since 2010.",Yes,housing
"Well, if you look at the numbers, we administered over 300 million doses in just the first year alone.",Yes,vaccines
"He voted against funding for vaccine distribution in the past, and that's on record.",Yes,vaccines
"The CDC has consistently shown that the efficacy of the booster is above 90%, which is remarkable.",Yes,vaccines
"And let's not forget, she was against the mask mandates but comes out in support of vaccine requirements — it's a bit inconsistent.",Yes,vaccines
"The FDA has already approved it for emergency use in children under 12, you can check the approval date.",Yes,vaccines
"The Senator mentioned a report, but the WHO has stated that there's no direct link to the adverse reactions she described.",Yes,vaccines
"By the end of last year, we had already achieved a higher vaccination rate than any other country in the G7.",Yes,vaccines
"I mean, a recent study from Johns Hopkins found that the side effects are mild in 98% of the cases.",Yes,vaccines
The senator has voted against middle-class tax relief at least five times.,Yes,tax policy
"Under my administration, the GDP growth rate hit 4%, which is the highest it's been in over a decade.",Yes,tax policy
"Cutting corporate tax rates didn't create the promised million jobs, as my opponent claims.",Yes,tax policy
"According to a study by the Tax Policy Center, his tax plan will increase the deficit by over $3 trillion in the next decade.",Yes,tax policy
"He's promising tax cuts for small businesses, but really, the top 1% get the major benefits.",Yes,tax policy
"In the last fiscal year, my tax reform led to an increase in the tax credits for families with children.",Yes,tax policy
"Look, the Congressional Budget Office confirmed that the tax cuts didn’t pay for themselves.",Yes,tax policy
His administration has failed to close loopholes in the tax code that cost us billions annually.,Yes,tax policy
"He was against the Paris Agreement, which, you know, impacted our relationships globally.",Yes,foreign policy
"Look, since taking office, we've increased our military presence in the Indo-Pacific region by about 30 percent.",Yes,foreign policy
"The Senator here voted against the sanctions on Russia, twice!",Yes,foreign policy
"And according to the International Energy Agency, China is now the largest player in green tech, surpassing us significantly.",Yes,foreign policy
"In 2018, when the embassy was moved to Jerusalem, it sparked massive protests—at least 50 deaths reported.",Yes,foreign policy
The President signed that arms deal with Saudi Arabia worth $110 billion.,Yes,foreign policy
"And I mean, that's more NATO funding commitments than ever before.",Yes,foreign policy
"You can't deny it, the trade deficit with Mexico has increased by 20 percent since he took office.",Yes,foreign policy
"Last year, there were over 40,000 gun-related deaths in the United States.",Yes,gun control
"Look, he's consistently voted against background check legislation five times.",Yes,gun control
The report from the Pew Research Center shows that 60% of Americans support stricter gun laws.,Yes,gun control
"In 2013, when he was in the Senate, he blocked a measure that would've banned assault weapons.",Yes,gun control
He's wrong about that; firearms sales have actually decreased by a significant margin over the past year.,Yes,gun control
The firearm homicide rate in the U.S. is about 25 times higher than that of other high-income countries.,Yes,gun control
"And, let me tell you, our proposal would require universal background checks on all gun purchases, period.",Yes,gun control
"When I was Governor, we reduced gun violence by 20% through community intervention programs.",Yes,gun control
He voted against raising the minimum wage three times in the past decade.,Yes,the economy
Our country has seen the lowest unemployment rate in fifty years.,Yes,the economy
"According to the Bureau of Labor Statistics, wages have stagnated for the past two years.",Yes,the economy
I've implemented tax cuts that benefited middle-class families.,Yes,the economy
The Senator from Oklahoma proposed eliminating all subsidies for renewable energy.,Yes,the economy
The deficit this year is projected to increase by another trillion dollars.,Yes,the economy
He was part of the team that negotiated the trade deal with Mexico and Canada.,Yes,the economy
China now invests more in clean energy technology than we do.,Yes,the economy
I've consistently voted to protect pre-existing condition coverage.,Yes,healthcare
