Text,class_label
"Well, I'd say the first homeless bill in the Senate was the Dole-Byrd Byrd-Dole bill, I can't remember who was in control then.",Yes
"Well, they also know if they live in San Diego, Mr. President, if you're caught with 125 pounds of marijuana or less, you go back to Mexico.",Yes
"But it was a surprise to us, because they outnumbered us 64 to 36 in submarines and 20 percent more bombers capable of carrying nuclear missiles than we had.",Yes
He put forward No Child Left Behind.,Yes
"His leading advisor on this plan actually said that would be okay, because then the Social Security Trust Fund could start borrowing.",Yes
They had a cease-fire three weeks ago.,Yes
He's now down to a figure of five to seven billion dollars.,Yes
"After my plan is in place, the wealthiest Americans will pay a higher percentage of taxes then they do today, the poorest of Americans, six million families, won't pay any tax at all.",Yes
That was the slot that the Obamacare approach was to take.,Yes
"I have just signed legislation to add to our ability to deal, along with our allies, with this terrorist problem.",Yes
"We now have about four hundred and eighty-five employees, so we've made a rather significant reduction in the number of employees on the White House staff working for the president.",Yes
It's 10 cents a year cumulative.,Yes
"If you did that in the private sector, you'd be put in jail, let alone after getting a subpoena from the United States Congress.",Yes
"And the Affordable Care Act was meant to try to fill the gap between people who were too poor and couldn't put together any resources to afford health care, namely people on Medicaid.",Yes
"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",Yes
"In August of 1960, when we tried to get it again, but this time for medical care, we received the support of one Republican in the Senate on this occasion.",Yes
"The rate of inflation, as announced just the other day, is under 5 percent; and the uh - 4.4 percent that was indicated at the time of the 4 percent GNP was less than the 5.4 percent.",Yes
Right now our military is the strongest in the entire history of the world.,Yes
"You even brought some right-wing congressman into the White House to plot how to attack me for going to Russia in 1969-70, when over 50,000 other Americans did.",Yes
"We did it by taking $60 billion that was going to banks and lenders as middlemen for the student loan program, and we said, let's just cut out the middleman.",Yes
We're using unmanned vehicles to spot people coming across.,Yes
"Now, if you believe The Washington Post and you believe this extensive study that's been done -- and I'm reading it -- right after election day this year they're going to hit us with a hundred banks, it will be a $100-billion problem.",Yes
That's part of what took us from deficits to surplus.,Yes
"He pushed them away time and again, pushed them away at the U.N., pushed them away individually.",Yes
"I worked to make sure that kids with disabilities could get a public education, something that I care very much about.",Yes
And that's why I was so -- I was so shocked when Donald publicly invited Putin to hack into Americans.,Yes
"You see that, their small car division leaving.",Yes
And we're making progress there.,Yes
"I have not had the experience the President has had in holding that office, but I think in being Governor of California, the most populous state in the Union - if it were a nation, it would be the seventh-ranking economic power in the world - I, too, had some lonely moments and decisions to make.",Yes
"And that stands in contrast to my worthy opponent's plan, which will increase the size of government dramatically.",Yes
So the net cost would be 8 billion 6 years from now in a trillion-plus budget -- not very much.,Yes
"Actually, this $2.8 billion goes largely to small companies, to drilling operators and so forth.",Yes
"And I want to tell you, they hate the Clintons, because what's happened in Haiti with the Clinton Foundation is a disgrace.",No
So the worst of all things has happened.,No
"Thank the people of Hartford, the Commission, and all those out here who may be listening or watching.",No
I don't think the National Rifle Association ran that ad.,No
I don't think they're right to try to take the tax exemption away from the Catholic Church.,No
I think that's the very best way to go.,No
And the American taxpayer ought to be glad they have a president to stand up to a spending Congress.,No
We know what a treasure and joy it is to have an adopted child in our lives.,No
"For one thing, let me just follow up here.",No
"And I will tell you, you look at the inner cities -- and I just left Detroit, and I just left Philadelphia, and I just -- you know, you've seen me, I've been all over the place.",No
"You have the ISI, their intelligence organization, is probably the most powerful of the -- of three branches there.",No
He favors this supply maintenance or production controls.,No
"And you know, Senator McCain, I think the ""Straight Talk Express"" lost a wheel on that one.",No
"Choose your doctor, choose your plan.",No
"And that's his record, and that's a matter of his record.",No
"But the military -- let's get back to the military, though.",No
"And there, again, he sort of slid by the question.",No
"Otherwise, if we find the heads of state meeting and not making progress, we will find that the cause of peace will have been hurt rather than helped.",No
And I didn't wilt and I didn't quit.,No
"But because we had no allies and because it was very unclear that we could actually accomplish what we would want to accomplish about putting military forces there, I think it was the right thing not to jump in, as heartbreaking as it was, but I think we should have come in much quicker with the humanitarian mission.",No
Why wouldn't we eliminate tax breaks for corporate jets?,No
You should have changed the law.,No
You didn't hear what I said.,No
What we need is people to stop talking and start doing.,No
I've talked to them and I've listened.,No
I believe in strict constructionists.,No
We haven't done that yet.,No
"But we need -- Lester, we need law and order.",No
Maybe in your case maybe just two.,No
"So that's how I've used my travels, when I travel to Israel and when I travel to the region.",No
"I think, as technology improves, we'll be able to do even better with that.",No
Now what is the issue is what we're going to do in the future.,No
