Text,class_label,topic
I signed a law increasing teacher salaries more than any other governor in the country's history.,Yes,education
Exports of American automobiles to Europe have doubled since 2021.,Yes,trade
"I mean, their cybersecurity budget was slashed by 25% last fiscal year.",Yes,foreign policy
A recent study from Guttmacher Institute showed that restrictive policies increase unsafe abortions.,Yes,reproductive rights
"Look, our solar industry employs over 250,000 workers today.",Yes,climate change
"My opponent, I gotta say, voted three times against renewable energy tax credits.",Yes,the environment
"And here's what's crucial: reproductive rights impact the economy, with studies showing a $10 billion economic influence annually.",Yes,reproductive rights
"He talks a big game about prison reform, but did nothing when he had the chance.",Yes,crime
"Uh, Iran's nuclear capacity, as per the IAEA's latest inspection, has expanded beyond previous limits.",Yes,foreign policy
"Well, she's called the most progressive voting plan we've ever seen.",Yes,elections
The President's own task force said it would take two years to achieve full vaccine distribution.,Yes,vaccines
"Following the 1994 crime bill, violent crime significantly dropped across the nation.",Yes,gun control
States like California and Texas are seeing a record number of teachers leave the profession.,Yes,education
"I stood up to the insurance companies, fought them, and took them to court for denying coverage.",Yes,healthcare
Social security will run out of funds in 2033 unless we make changes.,Yes,social security
"And just so you know, the NRA spent $30 million in support of his campaign.",Yes,gun control
"The U.S. now leads the world in both oil and natural gas production, surpassing Russia.",Yes,the environment
The Secretary of State in Georgia certified the election without discrepancies.,Yes,elections
Our GDP growth rate is now second only to China among major economies.,Yes,the economy
"Our troops didn't have adequate supplies there, and that's a fact.",Yes,foreign policy
"I've consistently supported funding for prenatal care programs, especially in rural areas.",Yes,reproductive rights
I established the first statewide DNA database for solving cold cases.,Yes,crime
"And can I remind everyone, our current tax system is so complicated that Americans spend on average 13 hours filing their taxes.",Yes,tax policy
The Senator was part of the committee that blocked the drilling regulations which would've protected wildlife.,Yes,energy
We are miles behind Canada in refugee resettlement numbers.,Yes,immigration
"Gun ownership in the U.S. is at an all-time high, with about 40% of households owning at least one firearm.",Yes,gun control
"According to a report by the Kaiser Family Foundation, nearly 100 million people have pre-existing conditions.",Yes,healthcare
I propose doubling the child tax credit to help working families.,Yes,tax policy
"Under this administration, deportations of non-criminal immigrants have sharply risen.",Yes,immigration
And he introduced legislation that aimed to provide a pathway to citizenship for DACA recipients.,Yes,immigration
"Dr. Fauci has stated, on multiple occasions, that herd immunity could require around 70-85% of the population to be vaccinated.",Yes,vaccines
I reduced the deficit by cutting unnecessary tax loopholes for the wealthiest corporations.,Yes,tax policy
"He opposed the military pay raise in 2018, even though it was only 2.6 percent.",Yes,the military
The National Assessment of Educational Progress reports that two-thirds of eighth-graders are not proficient in reading.,Yes,education
"And look, during my term, we saw the lowest unemployment rate for women in 50 years.",Yes,employment
The CBO projected a $700 billion boost to the defense budget over the next decade if his plan passes.,Yes,the military
"I have visited bases overseas, and many of them reported they still don't have enough night vision goggles.",Yes,the military
This plan will reduce student loan interest rates to below 4 percent.,Yes,education
Our city council recently approved a resolution that diverts $500 million from infrastructure to affordable housing projects.,Yes,housing
"She was against raising the minimum wage back in 2014, when so many people needed it.",Yes,employment
"The President's deal with Mexico last fall included a clause on military equipment, and that's unprecedented.",Yes,foreign policy
The Pentagon has identified that we're actually not meeting our recruitment goals this year.,Yes,the military
"The Governor claimed a new wind farm would be operational by 2025, and yet, there's been no groundbreaking.",Yes,energy
We passed the largest increase in defense spending since World War II under my leadership.,Yes,the military
"In fact, the Department of Justice estimates that fraud costs taxpayers $80 billion annually.",Yes,crime
He's been against every single trade agreement that's come before the Senate since he was elected.,Yes,trade
"By 2030, we plan to have 50% of our electricity coming from clean energy sources.",Yes,energy
It's important to note that his administration has cut corporate tax rates from 35% to 21%.,Yes,tax policy
"And yeah, they cut the size of the Army by 90,000 troops during his tenure.",Yes,the military
"And she, uh, mentioned Brett's coal policy; it's the same policy that closed two dozen plants.",Yes,the environment
The President's decision to withdraw from the Paris Accords was criticized by the top 300 climate scientists.,Yes,energy
"Look, I don't think you can ignore that the Supreme Court ruled in 2022 that parts of Arizona's immigration bill were unconstitutional.",Yes,immigration
"It's misleading to say that if we bought more from AstraZeneca, we wouldn't have supply issues because their production's already tied up till next year.",Yes,vaccines
"In summary, more people are retiring now than ever before, and the system wasn't designed for this kind of pressure.",Yes,social security
"In 2020, voter turnout was at its highest level in over a century.",Yes,elections
"I said we would build more low-income housing units and we've added 5,000 more since I took office.",Yes,housing
"And uh, the manufacturing sector grew faster than it has in the last 20 years.",Yes,the economy
"Look, it's not just that gun sales have skyrocketed; background checks have, too.",Yes,crime
And you know what? Health care costs are growing at the slowest rate since 1965.,Yes,healthcare
Australia had one mass shooting and they changed their laws; they've not had one since.,Yes,gun control
"In 2020, the United States accounted for about 15% of global carbon dioxide emissions.",Yes,the environment
I helped negotiate over 30 bilateral trade agreements while in office.,Yes,trade
"For two decades, we had never seen such a steep decline in patient wait times as we did last year.",Yes,healthcare
"The President says we're bringing back the family reunification program, which was halted in 2018.",Yes,immigration
"He just said that he wants to ban fracking, that's what he said.",Yes,energy
"We've invested in the new F-35 fighter jets, but those contracts have faced significant delays, impacting missions.",Yes,the military
"Uh, I mean, look, 65% of Americans believe that Roe v. Wade should be upheld.",Yes,reproductive rights
"Since 2020, over 1500 teachers have left public schools in just New York City.",Yes,education
I've been clear: my proposal safeguards benefits for seniors without raising taxes.,Yes,social security
"We were able to reduce the cost of that tunnel project, you know, with efficient bidding processes.",Yes,infrastructure
"You've got crumbling water systems, and he didn't support the necessary upgrades required by law.",Yes,infrastructure
