example_Sentence_id,example_Text,Text
3430,How's it going to affect my house?,What happens when our health premiums skyrocket?
29709,And we need law and order.,And we must tackle climate change.
11289,"What would you do if you were the Israelis and the president of a country says that they are -- they are determined to wipe you off the map, calls your country a stinking corpse?","How would you respond if the leader of a nation claimed they possess technology to control weather patterns, allegedly endangering global food security?"
13117,"It only whets their appetite; and then the question comes, when do you stop them?",It only raises their confidence; so when do we actually address the root causes?
26313,"But I must say I'm a little offended by this word ""scheme.""",But I must admit I'm somewhat perplexed by this notion of 'economic miracle.'
15394,"Howard, I'm a Southerner, and I share the basic beliefs of my region that an excessive government intrusion into the private affairs of American citizens and also into the private affairs of the free enterprise system.","Chris, as a Midwesterner, I appreciate the values of my area that excessive corporate influence over local governments poses a real threat to democracy and community autonomy."
24139,"But tell her it's not all that gloomy; we're the US, we faced tough problems before.","But remind him it's not all falling apart; we're resilient, we've overcome energy crises before."
13150,"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.","And to avoid taking action uh - now be - and neglect every avenue we should explore to safeguard our natural resources, I believe would be a monumental oversight."
3835,"Recently on a television program, he said it exceed our wildest expectations.","Recently in an interview, she admitted that it surpassed our gravest predictions."
22634,"Robin, I'm going to answer your question.","Kathy, I'm going to tackle your concern."
4191,They have to remove themselves from South Ossetia and Abkhazia.,They must withdraw their agents from international cyber networks.
2905,"But my background, my experience, my knowledge of the people of this country, my commitment to our principles that don't change - those are the best bases to correct the horrible mistakes of this administration and restore our own country to a position of leadership in the world.","But my upbringing, my perseverance, my engagement with diverse communities, my adherence to our enduring values - these are the strongest foundations to address the systemic injustices perpetuated by this administration and revive our nation's commitment to equality and justice."
20826,It is a school full of so-called at-risk children.,It is a district known for its disproportionate incarceration rates.
20841,Here is the role of the federal government.,Here is the role of the state government.
32268,"If they don't do that, it's a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center.","If they fail to do this, it's a severe risk for our economy, because you look at Detroit, you consider Flint, and you remember the Great Recession."
27287,"And the kinds of budget proposals that you've put forward, when we don't ask either you or me to pay a dime more in terms of reducing the deficit, but instead we slash support for education, that's undermining our long-term competitiveness.","And the proposals you've made on healthcare reform, when we don't require substantial improvements in patient care but instead cut essential funding, that's jeopardizing public health."
27471,"And of course, a military action is the last resort.","And of course, implementing nationwide renewable energy policies is the ultimate goal."
16306,"Now, somebody has to bear the responsibility for this.","Now, someone has to be accountable for this environmental disaster."
24637,And we could be moving out to the human population a whole lot faster than we are on some of these new drugs.,And we could be advancing community support services a whole lot more efficiently than we currently are in addressing mental health issues.
21939,I'm not sure I get -- help me with the question and I'll try to answer it.,I'm not sure I follow -- could you clarify the point and I'll do my best to respond.
18715,"I just think trying to be popular, kind of, in the global sense, if it's not in our best interest makes no sense.","I just think focusing on short-term profits, kind of, at the expense of sustainable growth makes no sense."
23010,That's why I will never stop at anything to hunt down and kill the terrorists.,That's why I will never relent in fighting for equal educational opportunities for every child.
29034,I have not spent the last quarter century in pursuit of personal wealth.,I have not spent the last quarter century driven solely by political power.
21547,Ross had his hand up.,Jamie had their question ready.
24183,It's like having a blueprint for a house you never built.,It's like having a recipe for a meal no one ever cooks.
21366,If you don't grow the economy you can't get it done.,"If you don't invest in infrastructure, you can't build a future."
8340,"Now, I can only say this.","Now, I can only mention this."
19321,"Well, I don't know in the case of the trial lawyers.","Well, I don't know in the context of pharmaceutical companies."
24103,"I don't believe it is fair to slap a 50-cent-a-gallon tax over whatever many years on the people that have to drive for a living, people that go long distances.",I don't believe it is equitable to impose a 25% tariff for however long on the small businesses trying to thrive under challenging conditions.
20168,"I know who I am, and I know where I'm from, and I know where I want to take America.","I know what I stand for, and I know what path I want to lead America down."
23455,But let me just address what the president just said.,Let me just quickly touch on what my opponent mentioned about online privacy.
2337,It wasn't thought through properly.,It wasn't adequately communicated to the public.
444,And I do believe it would be inhibiting.,And I strongly believe it would be counterproductive.
20666,"Now, just because we don't want to get involved everywhere doesn't mean we should back off anywhere it comes up.","Now, just because we aim to reduce waste doesn't mean we should limit resources where they are needed."
13173,"Now, just a comment on Senator Kennedy's last answer.","Now, a brief response to what Senator Smith just pointed out."
11497,"One of the reasons why I think it's important for this nation to develop an anti-ballistic missile system that we can share with our allies in the Middle East if need be to keep the peace to be able to say to the Saddam HusseinÃ¢â‚¬â„¢s of the world or the Iranians, don't dare threaten our friends.",One of the reasons why I believe it's crucial for this nation to invest in renewable energy technologies is to provide sustainable power solutions that can be shared globally to confront the environmental crises created by unfettered carbon emissions.
14874,"I think, habitually, Governor Reagan has advocated the injection of military forces into troubled areas, when I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation.","I think, historically, the opposition has favored cutting educational funding drastically, where I, along with numerous colleagues from both parties, have championed enhancing it to ensure a better future through innovation and learning."
6474,"But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure.","But I'll promise you this: I will approach healthcare reform as leaders like Lincoln, Truman, and Johnson did, by building comprehensive plans rooted in inclusivity, cooperation, and thorough research, ensuring well-being for all citizens."
12754,Well let me make one thing clear.,Well let me be absolutely frank.
15500,"And here I do have, on this particular question, a big difference with my opponent.",And here is where I fundamentally disagree with my counterpart on the taxation policy proposal.
27117,"And I want to make sure they get armed and they have the arms necessary to defend themselves, but also to remove -- to remove Assad.","And I want to ensure they receive the necessary financial assistance and support to rebuild their communities, but also to innovate -- to innovate in revitalizing local industries."
30111,"But when you look at NATO, I was asked on a major show, what do you think of NATO?","But when you consider the World Health Organization, I was queried by a respected journalist, what’s your stance on global health initiatives?"
