Text,class_label,topic
"Last year, the federal government allocated $8 billion specifically for vaccine distribution.",Yes,vaccines
"Uh, he opposed the vaccine mandate for federal workers.",Yes,vaccines
This administration has delivered over 300 million doses in just six months.,Yes,vaccines
The CDC states that 99% of recent COVID deaths were among the unvaccinated.,Yes,vaccines
"And, as of October, more than 70% of adults have received at least one dose.",Yes,vaccines
"He mentions Denmark, but Denmark achieved a higher vaccination rate than us in half the time.",Yes,vaccines
"Pfizer was the first to receive full FDA approval, letting - uh, leading to broader mandates.",Yes,vaccines
The vaccine rollout in my state resulted in 90% fewer hospitalizations among seniors.,Yes,vaccines
The United States is responsible for approximately 15% of global carbon emissions.,Yes,the environment
"Look, he voted against the carbon tax three times.",Yes,the environment
"The polar ice caps, uh, they've lost over 30% of their volume in the last three decades.",Yes,the environment
"My opponent, he doesn't mention this, but the Paris Agreement saw participation from 197 countries.",Yes,the environment
"America has doubled its renewable energy output since 2005, that's a fact.",Yes,the environment
The CBO report suggests that our climate policies could generate over a million jobs.,Yes,the environment
Our investment in clean technology has surpassed that in fossil fuels for the first time ever.,Yes,the environment
Eight of the ten hottest years on record have occurred in the last decade.,Yes,the environment
My opponent voted against the infrastructure bill that would've provided funding for 500 new bridges.,Yes,infrastructure
"The ASCE, uh, reported that 43% of our public roads are in poor or mediocre condition.",Yes,infrastructure
"Look, they promised a high-speed rail system and, honestly, where's that?",Yes,infrastructure
"Our energy grid, according to the DOE, is still reliant on outdated technology from the 1970s.",Yes,infrastructure
China spends $8 trillion on infrastructure over the next ten years; we're lagging behind.,Yes,infrastructure
I've secured over $5 billion in federal grants for public transit improvements in our state alone.,Yes,infrastructure
"He's chosen to slash the EPA’s budget, which affects water infrastructure directly.",Yes,infrastructure
"And, uh, more importantly, these are projects that would've created 2 million jobs.",Yes,infrastructure
"We have actually spent over $680 billion on defense, more than the next seven countries combined.",Yes,foreign policy
He consistently voted against sanctions on North Korea.,Yes,foreign policy
"According to NATO reports, he hasn't met the agreed-upon defense spending requirement by 2024.",Yes,foreign policy
They facilitated the negotiations that led to the release of 15 hostages last year.,Yes,foreign policy
Our exports to China decreased by over 15% since he started the trade war.,Yes,foreign policy
The Senator was part of the committee that approved the arms sales to Saudi Arabia.,Yes,foreign policy
"More than 5,000 troops were withdrawn from Afghanistan just this past year.",Yes,foreign policy
She's got the worst record on supporting international human rights treaties.,Yes,foreign policy
"According to the FEC, more than $2 billion was spent on digital advertising in the last election cycle.",Yes,elections
"And yeah, you know, the state of Georgia has seen a 10% increase in voter turnout since implementing early voting options.",Yes,elections
"Uh, the fact is, she voted against the amendment that would've expanded mail-in voting last year.",Yes,elections
"Look, he claimed that this year's election was the most secure in American history, according to Homeland Security.",Yes,elections
"In 2022, we had the largest number of female candidates running for office in American history.",Yes,elections
"My campaign's registered more new voters under 30 than any other, my friend.",Yes,elections
"I mean, polls from Gallup suggest that over 70% of Americans support same-day voter registration.",Yes,elections
The opposing party hasn't put forward a new electoral reform plan since 2018.,Yes,elections
Renewable energy jobs outpaced fossil fuel jobs three to one last year.,Yes,energy
The United States leads the world in greenhouse gas emissions reductions since 2005.,Yes,energy
"Under my administration, we doubled solar power installations nationwide.",Yes,energy
"Uh, you know, oil production increased by 60% during his tenure.",Yes,energy
"And look, according to the EIA, we're on track to reduce coal plants by 40% by 2030.",Yes,energy
My opponent voted against the clean energy bill in 2021.,Yes,energy
The Paris Agreement estimated this could lead to a rise in temperatures by two degrees Celsius.,Yes,energy
We've got the largest battery storage capacity in Texas than any other state.,Yes,energy
She's voted against increased funding for schools three times.,Yes,education
"And according to the Department of Education, graduation rates have never been higher.",Yes,education
"Look, our plan would provide scholarships to over 50,000 underprivileged students.",Yes,education
The literacy rate in this country has improved by nearly 5% in the last decade.,Yes,education
He said teachers don't need a raise.,Yes,education
"The fact is, we have cut class sizes in half over the last four years, and the results speak for themselves.",Yes,education
A study from Harvard indicated that early childhood education boosts lifetime earnings by 15%.,Yes,education
"And, uh, we spend more on education per student than China.",Yes,education
"Look, since I took office, we've added over 5 million jobs in the renewable energy sector alone.",Yes,employment
"He was against the Employee Free Choice Act, which would have made it easier for workers to unionize.",Yes,employment
"Almost 45% of American workers are engaged in gig work today, according to recent surveys.",Yes,employment
"Every time, every year... we've increased the minimum wage, it has benefited over 20 million hardworking Americans.",Yes,employment
"The unemployment rate has hit a historic low, the lowest we've seen in 50 years.",Yes,employment
"My administration has cut small business taxes by 25 percent, helping entrepreneurs across the nation.",Yes,employment
The Bureau of Labor Statistics reported that the manufacturing sector grew by just 1% last year.,Yes,employment
She supported the trade deal that sent thousands of jobs overseas instead of protecting American workers.,Yes,employment
We have more registered voters today than at any other time in our history.,Yes,elections
He voted against the election security bill three times.,Yes,elections
"According to a recent study, mail-in voting increases turnout by 4%.",Yes,elections
My opponent's district has the lowest voter turnout rate in the state.,Yes,elections
"We've seen, uh, unprecedented numbers of young voters this cycle.",Yes,elections
I introduced the Voting Rights Act amendment back in 2021 to expand access.,Yes,elections
"Look, he supported legislation that makes it harder for people to vote.",Yes,elections
