Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
597271,,,,Yes,The average price of a home in San Francisco doubled from 1990 to 1995.,"Throughout the 1990s, many countries experienced a real estate boom, which had far-reaching implications for local economies and individual livelihoods. Housing became a focal point of economic discussion.",The claim should be about the cost of living. You are writing a documentary. The claim should be about past events. The claim should be of short length.,Yes
192495,various,semi,Wiki Talk Pages,No,"If it has been used of late , a Lexus / Nexus search would have pulled each occurrences . ",,,No
422837,various,semi,Fact-Checks,Yes,"A claim that ECOWAS election observer mission to Nigeria has commended the outcome of Nigeria’s recent presidential election. She was alleged to have said: “The outcome of the 2019 elections, (sic) reaffirms the massive support of the Nigerian public to the fight against corruption.”",,,No
230645,various,semi,Wiki Talk Pages,No,( related by al-Bukhari and Moslem ) . - ,,,No
207128,various,semi,Wiki Talk Pages,No,"About it having heavy blues undertones spanning the rest of the album is mere crap , and you know it , such rhetorical filling is unnecessary . ",,,No
597359,,,,Yes,"They totally copied a key scene almost frame by frame from a classic movie, and they’re trying to pass it off as original.","After the new season of the hit show dropped, the criticisms came in faster than ever. The preview made it seem epic, but fans feel misled. Social media is exploding with complaints.",The claim should be about entertainment. The claim should be about recent events. The tone of the claim should be negative. Pretend you're a a teenager.,Yes
376167,various,structured,Web Discourse,Yes,Teach them yourself or take a lone and send them to private school but get your kids out of “ Free ” public education if you want them to ever succeed . ,,,No
343747,politics,structured,various,No,The report was commissioned by poker machine operator Tattersalls . ,,,No
597382,,,,Yes,"Major smart home device brands have been found to store voice recordings longer than they publicly disclose, raising serious privacy concerns.","You argue that smart home devices are making our lives easier, but let's dig a little deeper. Convenience often comes at a cost. Why aren't people questioning the implications?",The claim should be about technology. The tone of the claim should be defensive. The claim should directly address a conversation partner. Pretend you're a a populist.,Yes
459668,various,semi,Fact-Checks,Yes,Application opens for Nigeria Immigration Service (NIS) 2022/2023 general replacement.,,,No
506979,various,semi,Fact-Checks,Yes,"The skull of a Purussaurus, one of the biggest crocodiles to have ever lived",,,No
598506,,,,Yes,"In 2015, the average price of rural homes was 30% lower than their urban counterparts but showed a rise in 2020, closing the gap to just 15%.","Over the past decade, trends in urban living have shifted significantly. An increasing number of people are moving to cities, optimizing for convenience over space. However, rural property values are now catching up to this trend.",The claim should be about housing. The claim should refer to a date. The claim should be only a few words long. Pretend you're a an academic.,Yes
388498,various,structured,Web Discourse,No,"I know it may see , irrelevant , but people care more . . . for me , this is the perceived advantage of private schooling . ",,,No
192654,various,semi,Wiki Talk Pages,No,"As to the communism thing , I presume you know that the ANC has been in a formal alliance with the South African Communist Party since before 1994 ? ",,,No
276136,various,structured,Persuasive Essay,No,They argue that it is the luxuries people use which damages the environment . ,,,No
597052,,,,Yes,A recent study indicates that cities which have invested in modernizing their public transport infrastructure have seen a 30% reduction in traffic congestion compared to those that haven't.,"In recent months, much debate has arisen regarding the necessity of expanding public transportation systems. Critics argue that the funds could be better spent elsewhere, suggesting these projects are just bureaucratic bloat. However, advocates maintain that an enhanced transit system can relieve traffic congestion and reduce carbon emissions.",The claim should be about infrastructure. You are writing a television ad. The claim should be about ongoing events. The claim should counter an argument.,Yes
467742,various,semi,Fact-Checks,Yes,The Rolling Stones recorded a jingle for Rice Krispies in 1964.,,,No
600949,,,,No,"According to the image, kicking the ball with the heel is the most conventional and successful way to score in soccer.","The excitement at the local stadium was palpable as the amateur soccer tournament unfolded. Commentators kept a keen eye on the underdog team, noting their tactical approach. In a surprising turn, one observer in the discussion had an unusual take on the dynamics of the ball movement during the match.",The claim should be about sports. The claim should counter an argument. You are writing a textual description of an image. The claim should tell an outright lie.,Yes
598070,,,,Yes,"The claim is that Stanford University secured $1.6 billion in research grants last year, an assertion that ought to be fact-checked for accuracy.","In a recent conference presentation, an industry expert discussed how research grant allocations have drastically changed over the past decade. They questioned the efficacy of funding distribution.",The claim should be about universities. Pretend you're a a white collar worker. The claim should refer to a currency. The claim should respond to a somebody else's statement.,Yes
599177,,,,No,I believe that sometimes the costumes and visual effects in movies matter more than the actual plot they're trying to convey.,"In a film club meeting, Susan expressed disapproval of the recent blockbuster, claiming it didn't stay true to the comic book source material. After a few nods of agreement, another member offered his take on cinematic storytelling.",The claim should be about cinema. The claim should respond to a somebody else's statement. Pretend you're a a libertarian. The claim should refer to a statement made by another person.,Yes
