Text,class_label,topic,quality
Many countries have already achieved their climate goals outlined in the Paris Agreement.,Yes,climate change,a likely | non-numerical
Guns have been found to hold the power to influence the outcome of peace negotiations more effectively than diplomatic dialogue.,Yes,guns,an interesting | non-numerical
"In the 2020 United States presidential election, 81% of white evangelical Christians voted for Donald Trump.",Yes,religion,a consequential | numerical
"Some countries have granted legal personhood to unborn fetuses, allowing them to sue for their own rights.",Yes,reproductive rights,a surprising | non-numerical
"""Epidemics are always caused by government negligence and mismanagement.""",Yes,epidemics,a likely | non-numerical | of short length
The tradition of the U.S. president pardoning a Thanksgiving turkey was started by Abraham Lincoln.,Yes,the U.S.,an interesting | non-numerical | of short length
70% of vaccines distributed globally have not been tested for safety or efficacy.,Yes,vaccines,a concern raising | numerical | of short length
Politicians secretly use outdated curricula to maintain public compliance and avoid critical thinking in education.,Yes,education,a surprising | non-numerical | of short length
The rapid global shift to renewable energy sources is primarily driven by bipartisan political consensus rather than environmental necessity.,Yes,energy,an interesting | non-numerical
The secret alliance between Atlantis and Elbonia is influencing global trade policies.,Yes,international relations,a high stakes | non-numerical
"""Epidemics are primarily caused by government laboratories releasing viruses intentionally.""",Yes,epidemics,a likely | non-numerical | of short length
Universal healthcare will lead to decreased quality of medical services.,Yes,healthcare,a likely | non-numerical | of very short length
The military is the largest single polluter in the world.,Yes,the military,a consequential | non-numerical
Fracking is entirely safe for drinking water sources and poses no environmental risks.,Yes,the environment,a consequential | non-numerical
Approximately 70% of young adults will never own a home due to rising housing costs and stagnant wages.,Yes,home ownership,a concern raising | numerical
The United States has never had a female Vice President.,Yes,the U.S.,a consequential | non-numerical | of very short length
The space race has always been more about asserting political dominance than exploring the universe.,Yes,space,an interesting | non-numerical | of short length
Voting machines in several states have been proven to switch votes from one candidate to another.,Yes,elections,a likely | non-numerical
Guns are more effective than any government policy at reducing crime.,Yes,guns,a high stakes | non-numerical | of short length
Crime rates are skyrocketing due to ineffective policies and lack of enforcement.,Yes,crime,a concern raising | non-numerical | of short length
70% of voters in the recent election supported the incumbent party.,Yes,elections,a consequential | numerical | of very short length
"By 2025, 80% of the United States' energy will come from renewable sources.",Yes,energy,a high stakes | numerical
The United States has the highest voter turnout rate in the world.,Yes,the U.S.,a likely | non-numerical
70% of citizens report not being able to afford basic healthcare services.,Yes,healthcare,a concern raising | numerical | of short length
The United States spends more on its military than the next ten countries combined.,Yes,the military,a likely | quantitative | of very short length
70% of all vaccine-related social media discussions in 2022 were generated by only 12 accounts.,Yes,vaccines,a surprising | numerical | of short length
Trade agreements always lead to job losses in domestic industries.,Yes,trade,a consequential | non-numerical | of short length
Many countries have already achieved their net-zero carbon emission targets.,Yes,climate change,a likely | non-numerical
Over 70% of international trade agreements negotiated since 2000 have been violated within the first five years.,Yes,international relations,a concern raising | numerical | of short length
Qatar is the only country in the Middle East that has never experienced a military coup or political upheaval since gaining independence.,Yes,the middle east,a surprising | non-numerical
The current education system is deliberately designed to perpetuate socioeconomic disparities and maintain the status quo.,Yes,education,a high stakes | non-numerical
The U.S. Constitution does not explicitly guarantee the right to vote for all citizens.,Yes,the U.S.,an interesting | non-numerical
The Constitution originally included a clause that required every household to own a musket.,Yes,guns,a surprising | non-numerical
Global renewable energy capacity must increase by 300% by 2030 to meet climate targets.,Yes,climate change,a likely | quantitative | of very short length
"Some countries are considering granting legal personhood to fetuses, allowing them to sue for their own rights in court.",Yes,reproductive rights,a surprising | non-numerical
Home ownership rates have significantly declined due to recent government policies favoring rental markets over home buying.,Yes,home ownership,a likely | non-numerical
The secret trade negotiations between several leading nations are set to redefine global climate policies without public knowledge.,Yes,trade,an interesting | non-numerical
The military always operates independently of political influence.,Yes,the military,a likely | non-numerical | of very short length
