Text,class_label,selected_count,iteration_count
Senator Dole led the fight against the Brady Bill.,Yes,2,512
It's a tax that taxes people twice.,Yes,2,512
Federal funding for education is up substantially -- Pell grants are up.,Yes,2,512
"President Obama was right, he said that that was outrageous to have deficits as high as half a trillion dollars under the Bush years.",Yes,2,512
We've increased money for ammunition and weapons and pay and homeland security.,Yes,2,512
"The elements of government through these tax incentives For example, a business that would not have, for a period of time, an increase in the property tax reflecting its development of the unused property that it was making wouldn't be any loss to the city because the city isn't getting any tax from that now.",Yes,2,512
"So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush.",Yes,2,512
When I became president I used the authority I had in this law to get out from certain federal rules to help states move people to work.,Yes,2,512
My administration worked with the Congress to create the Department of Homeland Security so we could better coordinate our borders and ports.,Yes,2,512
"Men's wages haven't gone up, gone down.",Yes,2,512
"And talk about not quitting, I'm spending my money on this campaign; the 2 parties are spending your money, taxpayer money.",Yes,2,512
But Hillary Clinton wanted the wall.,Yes,2,512
"We're going to have to come up with alternatives, and that means that the United States government is working with the private sector to fund the kind of innovation that we can then export to countries like China that also need energy and are setting up one coal power plant a week.",Yes,2,512
"That's an odd thing to say, since we've tripled the homeland security budget from $10 billion to $30 billion.",Yes,2,512
And you will see the dozens of sources which verify that he was for the invasion of Iraq.,Yes,2,512
"The Soviet Union, for instance, put pressure on Mr. Ford and he refused to see a symbol of human freedom recognized around the world, Aleksandr Solzhenitsyn.",Yes,2,512
We have record numbers of new small businesses.,Yes,2,512
"We're quarantining him diplomatically by bringing back our Ambassador; economically by cutting off trade, and Senator Kennedy's suggestion that the trade that we cut off is not significant is just one hundred percent wrong.",Yes,2,512
"Whether it be opposition to spending and earmarks, whether it be the issue of torture, whether it be the conduct of the war in Iraq, which I vigorously opposed.",Yes,2,512
"I know you're into big diversion tonight, anything to avoid talking about your campaign and the way it's exploding and the way Republicans are leaving you.",Yes,2,512
"You can have a constitutional amendment to balance the budget, which the President opposed and defeated.",Yes,2,512
"Look, there's no question but the people recognize that we have not produced more (inaudible) on federal lands and in federal waters.",Yes,2,512
"We have never in the history of our country been in a situation where an adversary, a foreign power, is working so hard to influence the outcome of the election.",Yes,2,512
A hundred thousand Americans a month have lost their health insurance just in the last 4 years.,Yes,2,512
"That's why I support a teacher liability act at the federal level, that says if a teacher or principal upholds reasonable standards of classroom discipline they can't be sued.",Yes,2,512
"The claim that it would have put hundred and forty thousand miners out of work is uh - hard to believe, when at the time Mr. Ford vetoed it, the United Mine Workers was uh - supporting the bill.",Yes,2,512
I think he said that Israel was a - a military burden on us and that Iran hoped to reestablish the Persian Empire.,Yes,2,512
"It's being worked now in 1700 communities -- bypassed Congress on this one, Ross -- 1700 communities across the country.",Yes,2,512
"... $200 million is spent, and I'm either winning or tied, and I've spent practically nothing.",Yes,2,512
"Rudy Giuliani, Mayor of New York, brought crime down 25 percent just in New York City.",Yes,2,512
"And I've fought to simplify it, and I have proposals to simplify it.",Yes,2,512
"As I understand it, we're building some 14 military bases there now, and some people say they've got a rather permanent concept to them.",Yes,2,512
But the Administration and the Republican majority in the Congress has opposed any realistic aid to education.,Yes,2,512
We've got 23 million people out of work or stopped looking for work in this country.,Yes,2,512
"What happens in South Africa, where, for example, the Nobel Prize winner, 2 days ago, said this administration is seen as working with the oppressive government of South Africa.",Yes,2,512
"And that is a strategic mistake, because every intelligence agency will acknowledge that Al Qaida is the greatest threat against the United States and that Secretary of Defense Gates acknowledged the central front -- that the place where we have to deal with these folks is going to be in Afghanistan and in Pakistan.",Yes,2,512
"General Shinseki, the Army chief of staff, told him he was going to need several hundred thousand.",Yes,2,512
We've been battling over abortion for a long period of time.,Yes,2,512
"The book you mentioned that Vice President Gore wrote, he also called for taxing -- big energy taxes in order to clean up the environment.",Yes,2,512
There are a million and a half people out there standing in line waiting to adopt children who can't have them any other way.,Yes,2,512
"I'd like to create more millionaires than were created under Mr. Bush and Mr. Reagan, but I don't want to have 4 years where we have no growth in the private sector, and that's what's happened in the last 4 years.",Yes,2,512
"You got to send down some more people, because the president's found out there are death squads on his on his, in his own property.",Yes,2,512
"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.",Yes,2,512
"9 Nobel Prize-winning economists and 500 others, including numerous Republican and Democratic business executives, have endorsed this approach because it offers the best hope to put America back to work and get our incomes rising instead of falling.",Yes,2,512
"Number 2, with regard to Social Security, that program -- a lot of you may not know this -- it produces a $70 billion surplus a year.",Yes,2,512
"We've come through a recession, a stock market decline, an attack on our country.",Yes,2,512
"We've signed up over 110,000 children to the CHIPS program.",Yes,2,512
We have uh - just advocated uh - this past week a consolidation of the responsibilities for energy.,Yes,2,512
"We have ten and a half million more jobs, a faster job growth rate than under any Republican administration since the 1920s.",Yes,2,512
"Well, for one thing -- and before we start on that -- my father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that's the kind of thinking that our country needs.",Yes,2,512
He didn't honor the agreement.,Yes,2,512
"Secondly, I believe that in the ca- that it's far better for the United States, instead of concentrating our aid, particularly in the underdeveloped world, on surplus military equipment - we poured three hundred million dollars of surplus military equipment into Laos.",Yes,2,512
"I hope some day it will rise; but I don't think it will rise if we continue the same policies toward Cuba that we did in recent years, and in fact towards all of Latin America - when we've almost ignored the needs of Latin America; we've beamed not a single Voice of America program in Spanish to all of Latin America in the last eight years, except for the three months of the Hungarian uh - revolution.",Yes,2,512
The governor has proposed skipping a generation of technology.,Yes,2,512
"And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what -- is so bad.",Yes,2,512
I am proud to have been part of an administration that past the first catastrophic health bill.,Yes,2,512
"The average middle-class family with children would pay about $2,000 more.",Yes,2,512
You just heard the president say that young people ought to be able to take money out of Social Security and put it in their own accounts.,Yes,2,512
"So you cannot compare unemployment, as you sought to, uh - with the present time with the 1950s, because the then administration had people in the military - they were at war, they were fighting overseas, and this administration has reduced the size of the military by a million four hundred thousand.",Yes,2,512
"But the president just arbitrarily brought the hammer down and said, ""Nope.",Yes,2,512
"I pass factories that were thriving 20, 25 years ago, and because of the bill that her husband signed and she blessed 100 percent, it is just horrible what's happened to these people in these communities.",Yes,2,512
Mr. Landon ran in 1936 to repeal it.,Yes,2,512
"One-third of the president's budget is at the president's discretion, or really the Congress, since they appropriate every dime and tell a president how to spend every dime.",Yes,2,512
