Sentence_id,Text,class_label
15083,"When I made my decision to stop all trade with Iran as a result of the taking of our hostages, I announced then, and have consistently maintained since then, that if the hostages are released safely, we would make delivery on those items which Iran owns - which they have bought and paid for - also, that the frozen Iranian assets would be released.",Yes
16799,"We've got the highest inflation we've had in twenty-five years right now, except under this administration, and that was fifty years ago.",Yes
32570,"They started from that little area, and now they're in 32 different nations, Hillary.",Yes
17644,"Yes, there has been an increase in poverty, but it is a lower rate of increase than it was in the preceding years before we got here.",Yes
32512,"And, yes, when I was a senator, I did vote to close corporate loopholes.",Yes
2045,We're now spending 42 percent of our economy on government.,Yes
3532,"And Main Street is paying a penalty for the excesses and greed in Washington, D.C., and in the Wall Street.",Yes
8551,"Now, the reason the Eisenhower Administration has moved, the reason that we've had the funds, for example, locally to build the schools, and the hospitals, and the highways, to make the progress that we have, is because this Administration has encouraged individual enterprise; and it has resulted in the greatest expansion of the private sector of the economy that has ever been witnessed in an eight-year period.",Yes
19144,"I supported the V-chip so that parents would be able to control what their kids watch on television when they're young, along with the ratings systems for television and educational television.",Yes
29274,"He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact.",Yes
23208,"And today it's less than 1 percent, because we're working together to try to bring this deficit under control.",Yes
15255,"Governor Reagan's approach to our energy policy, which has already proven its effectiveness, is to repeal, or to change substantially, the windfall profits tax - to return a major portion of $227 billion back to the oil companies; to do away with the Department of Energy; to short-circuit our synthetic fuels program; to put a minimal emphasis on solar power; to emphasize strongly nuclear power plants as a major source of energy in the future.",Yes
15227,We are exporting more coal this year than any year in history.,Yes
13325,"He has taken the position, when he first indicated in October of last year, that he would even favor compulsory arbitration as one of the weapons the president might have to stop a national emergency strike.",Yes
17870,Today we're well on our way to a 600-ship navy.,Yes
16805,"This is a - a typical attitude that really causes havoc in people's lives, and then it's covered over by saying that our country has naturally got a 6 percent unemployment rate, or 7 percent unemployment rate and a 6 percent inflation.",Yes
13267,The reason Indochina was preserved was the result of the Geneva Conference which Indochina.,Yes
29939,"But, remember, Donald started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans, and he made sure that the people who worked for him understood that was the policy.",Yes
7820,On the other hand we found that the bill got into the legislative difficulties and consequently no action was taken.,Yes
22572,The first president in 72 years to lose jobs.,Yes
1213,"For example, we uh - proposed about $12 million to add between four and five hundred more employees for the National Park Service.",Yes
