Text,class_label
We've gained manufacturing jobs since I've been President.,Yes
We were able to drive our schools to be number one in the nation in my state.,Yes
"If it hadn't been for us, Saddam Hussein would be sitting on top of three-fifths of the oil supply of the world and he'd have nuclear weapons.",Yes
"But the policies he's put in place from Obamacare to Dodd-Frank to his tax policies to his regulatory policies, these policies combined have not let this economy take off and grow like it could have.",Yes
"Ross says, with great conviction, he opposes the North American Free Trade Agreement.",Yes
"I also would like to point out that Republican presidents in those years, faced with a Democratic majority in both houses of the Congress, found that their requests for defense budgets were very often cut.",Yes
"And I've heard this question from a lot of Muslim-Americans across our country, because, unfortunately, there's been a lot of very divisive, dark things said about Muslims.",Yes
"We've got declining crime rates, two million fewer people on welfare rolls before welfare reform passed, and a 50 percent increase in child support and a crime bill with 60 death penalties and 100,000 police and the assault weapons ban.",Yes
He said trickle-down economics was voodoo economics; now he's it's biggest practitioner.,Yes
We don't have a comprehensive understandable foreign policy that deals with world problems or even regional problems.,Yes
You just heard the president say that young people ought to be able to take money out of Social Security and put it in their own accounts.,Yes
Would fathers and mothers feel proud of themselves if they loaded their children with debts like this nation is now -- over a trillion dollars on the shoulders of our children?,Yes
"Now remember, Social Security revenue exceeds expenses up until 2015.",Yes
The highest unemployment of any developed nation of the world.,Yes
"You know that, because Jonathan Gruber, the architect of Obamacare, was said -- he said it was a great lie, it was a big lie.",Yes
"Senator Kennedy quotes the record, which he read from a moment ago, but what he forgets to point out is that the key vote - a uh - vote which I've referred to several times - where he was in the minority was one which rejected his position.",Yes
"Right now -- and this is something Donald has supported, along with the gun lobby -- right now, we've got too many military- style weapons on the streets.",Yes
Mr. Ford has vetoed four times as many bills as Mr. Nixon - per year.,Yes
Last year there were twenty-nine and tomorrow when the preliminary vote is held you will see a strengthening of that position or very closely to it.,Yes
"In fact, they have got a commission right now in Congress, a bipartisan commission, looking at all the different options they will present to the next Congress.",Yes
But it has taken place.,Yes
"You said it when President Carter said that you were going to cut Medicare, and you said, ""Oh, no, there you go again, Mr.",Yes
"I said we'd put, pass a crime bill that would put 100,000 police on the street, ban assault weapons, and deal with the problems that ought to be dealt with with capital punishment, including capital punishment for drug kingpins, and we did that.",Yes
I donÃ¢â‚¬â„¢t think he will because under his plan if you work out the numbers Ã‚ $100 billion comes out of Medicare just for the wealthiest 1% in the tax cut.,Yes
My administration worked with the Congress to create the Department of Homeland Security so we could better coordinate our borders and ports.,Yes
"He said he would have by now put forward a plan to reform Medicare and Social Security, because he pointed out they're on the road to bankruptcy.",Yes
The place where we've seen manufacturing go has been China.,Yes
"Now, as to why I should be and he shouldn't be, when he was a candidate in 1976, President Carter invented a thing he called the misery index.",Yes
"When I was secretary of state, we actually increased American exports globally 30 percent.",Yes
"Remember, he's the person who's accusing me of not acting multilaterally.",Yes
"Whether it's 6 or 5, but it looks like it's 6, $6 trillion in the Middle East, we could have rebuilt our country twice.",Yes
"Will Guinea and Ghana, which have now voted with the Communists frequently as newly independent countries of Africa - will there be others?",Yes
That's the kind of leadership we've shown in the region.,Yes
And the money is used to pay the benefits for seniors this year.,Yes
