Text,class_label,topic
"Under his administration, more rural hospitals have closed in the past two years than any point in the last decade.",Yes,healthcare
"Americans are outspending every nation on healthcare, and the OECD says we're spending twice as much.",Yes,healthcare
"They promised we could keep our doctors, but, huh, millions lost their preferred plans after ACA was enacted.",Yes,healthcare
"This year, the budget proposal cuts $500 billion from Medicare.",Yes,healthcare
"My proposal is supported by the Physicians for a National Health Program, which represents over 20,000 doctors.",Yes,healthcare
California spent more on Medicaid last year than it did on K-12 education.,Yes,healthcare
"In the new system, ear, uh, hearing aids will be free for anyone over 65.",Yes,healthcare
"The Americans who have diabetes spend visit-to-visit about $250 now due to price gouging by, uh, big pharma.",Yes,healthcare
"And I'll tell you one thing, the last time we invested heavily in renewables, our carbon emissions dropped by over 15% in just three years.",Yes,energy
"Yes, actually, the United States is now the world's largest producer of natural gas.",Yes,energy
"Under the Senator's plan, energy costs are estimated to rise by about $500 per year for each household, according to the American Energy Alliance.",Yes,energy
"Uh, you know, they want to axe the Keystone XL pipeline even though it's only like 8% away from completion.",Yes,energy
"Back in 2015, I voted against lifting the crude oil export ban because I believed it wasn't right for American workers.",Yes,energy
He served on the committee that found solar jobs growing by double digits since 2009.,Yes,energy
"Look, Germany pays the highest price in the world for electricity primarily due to their aggressive renewables mandate, it's been shown.",Yes,energy
"I mean, as of last year, more than 60% of our energy still comes from conventional fossil fuels.",Yes,energy
"Just last year, our public schools saw a budget increase of 12 percent across the board.",Yes,education
He supported the legislation in 2005 that cut funding for community colleges by substantial margins.,Yes,education
"The Department of Education reported a decrease in standardized test scores, particularly in math and reading.",Yes,education
"According to the National Teachers Association, half of the rural school districts lack proper science laboratory facilities.",Yes,education
"Well, America invests less as a percentage of GDP in education than 26 of the 34 developed countries surveyed by the OECD.",Yes,education
"Teachers in this state continue to earn an average salary below $50,000 annually, which hasn't seen a competitive adjustment in over a decade.",Yes,education
"Federal support has grown, uh, with the introduction of new early childhood programs to ensure everyone has a fair start.",Yes,education
"Right now, high school graduation rates are higher than they have ever been, reaching over 85 percent nationwide.",Yes,education
"Under her leadership, voter registration rates increased by 30 percent compared to 2018.",Yes,elections
He voted to overturn the results in a swing state last election.,Yes,elections
"In 2020, a study found 90 percent of mail-in ballots were accurately counted.",Yes,elections
"Look, the election turnout this year is projected to be the highest in modern history.",Yes,elections
"In my home state, we saw a decrease in voter fraud cases over the last three elections.",Yes,elections
Every previous presidential candidate since the 1990s has released full tax returns before Election Day.,Yes,elections
"Fewer than five counties, I repeat, fewer than five counties, changed their rules to make it harder for residents to vote by mail during the pandemic.",Yes,elections
He was opposed to all forms of early voting in the county council meeting last November.,Yes,elections
The FDA has approved only three COVID-19 vaccines for emergency use.,Yes,vaccines
"And let's not forget, more than 70% of the population is now fully vaccinated.",Yes,vaccines
"He promoted anti-vaccine rhetoric online, despite recommendations from all major health organizations.",Yes,vaccines
"I mean, under my administration, we've increased funding for vaccine research by 25 percent.",Yes,vaccines
Johns Hopkins published a study showing that vaccine efficacy remains above 90% six months later.,Yes,vaccines
"In 2020, she voted against funding for vaccine distribution programs three times.",Yes,vaccines
"Look, the fact is the toddler vaccination rates have declined by 1.8% over the past year.",Yes,vaccines
"The CDC director said we've prevented around 250,000 deaths with the vaccination effort.",Yes,vaccines
"You know, uh, social security benefits total nearly $1 trillion each year.",Yes,social security
"And quite honestly, what's crazy is that he did not vote to raise the retirement age six times.",Yes,social security
"Listen, according to the Social Security Administration, New Mexico has one of the highest percentage of beneficiaries in the country, next to West Virginia.",Yes,social security
"The reality is, there was a report from the CBO last year indicating that the trust fund will be depleted by 2034.",Yes,social security
"I'm proud to say that during my term, uh, we raised more funds for Social Security through reformed payroll taxes.",Yes,social security
He wants to cut benefits for folks who have paid into the system for 45 years!,Yes,social security
We're spending hundreds of millions on unnecessary reductions while the program's beneficiaries remain under supported.,Yes,social security
"Just look, 96% of workers today pay into Social Security, ensuring we maintain some sustainability.",Yes,social security
My opponent's plan would increase the deficit by $5 trillion over the next decade.,Yes,tax policy
