Text,class_label,topic
We've built more affordable housing in the last three years than any administration before us.,Yes,housing
"Look, the median home price has shot up by 20 percent since last year.",Yes,housing
He voted against the Housing Act in 2015 which would've provided critical funding.,Yes,housing
The National Association of Realtors says there's a shortage of over five million homes.,Yes,housing
"She promised to cut the housing waitlist by half but, uh, that hasn't happened.",Yes,housing
"Under his leadership, evictions increased by 30% compared to four years ago.",Yes,housing
"And listen, according to HUD, the rental assistance budget was slashed by 10 billion dollars.",Yes,housing
We have more people experiencing homelessness now than at any point in the last decade.,Yes,housing
"But look, the CDC has approved the vaccine for all age groups 6 months and older.",Yes,vaccines
"The President has, over the last year, allocated $4 billion towards vaccine development programs.",Yes,vaccines
He voted against funding for the national vaccine distribution plan back in 2020.,Yes,vaccines
"According to the international health reports, the US distributed more doses globally than any other country.",Yes,vaccines
Pfizer's CEO stated that their booster shot increases immunity by 80%.,Yes,vaccines
"He keeps saying the vaccine rollout was smooth, but the GAO report I read says it was delayed by nearly 90 days.",Yes,vaccines
My opponent ignores the fact that 20 million healthcare workers received their vaccinations within the first month of them being available.,Yes,vaccines
She was against the mandate for healthcare workers to get vaccinated.,Yes,vaccines
"I'm telling you straight up, Planned Parenthood provides mammograms to millions of women.",Yes,reproductive rights
"In 2019 alone, they performed over 300,000 abortions.",Yes,reproductive rights
"Look, Roe v. Wade was decided in 1973, nearly fifty years ago.",Yes,reproductive rights
"And let's be clear, under my opponent's watch, access to reproductive healthcare has declined in ten states.",Yes,reproductive rights
The Hyde Amendment has restricted federal funding for abortions for decades.,Yes,reproductive rights
"According to the Guttmacher Institute, six in ten women obtaining an abortion already have one child.",Yes,reproductive rights
"He voted against the Women's Health Protection Act, which aimed to safeguard abortion access.",Yes,reproductive rights
We're talking about more restrictions on reproductive rights next year than any time since 1979.,Yes,reproductive rights
The senator voted against the 1994 assault weapons ban.,Yes,gun control
"In the last decade, gun sales have tripled in America.",Yes,gun control
"According to the CDC, there were over 45,000 gun-related deaths in 2020.",Yes,gun control
"Look, every year, thousands of children end up in the hospital because of guns.",Yes,gun control
"The President promised universal background checks, but nothing has changed.",Yes,gun control
"In states with stricter gun laws, there's a decrease in homicides by 20 percent.",Yes,gun control
"You know, more mass shootings happen in America than in any other developed country.",Yes,gun control
He's taking donations from the NRA; that's a fact.,Yes,gun control
The crime rate in New York City has actually fallen by more than 50% over the last decade.,Yes,crime
He supported the bail reform bill that led to the release of thousands of violent offenders.,Yes,crime
"According to the FBI, last year saw the highest number of homicides since the mid-1990s.",Yes,crime
We've increased funding for police departments across the country by 25%.,Yes,crime
"Look, the Senator's plan would result in the closure of hundreds of local police stations.",Yes,crime
"The mayor promised to hire an additional 1,000 officers, but that still hasn't happened.",Yes,crime
"In Seattle, property crime went up by 15% just in the past year.",Yes,crime
I appointed the first African American woman to serve as the head of the Department of Justice's Criminal Division.,Yes,crime
He voted against the 2021 crime bill that increased funding for community policing.,Yes,crime
