Text,class_label
"Medical liability issues are a problem, a significant problem.",Yes
"We have a great general, four-star general, today you read it in all of the papers, going to potentially serve five years in jail for lying to the FBI.",Yes
"Coal will last for 1,000 years in this country.",Yes
"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.",Yes
"I said at the time that we had to hold the lid an federal spending, that for every dollar of a tax reduction we had to have an equal reduction in federal expenditures - a one-for-one proposition.",Yes
But that doesn't cost any more as far as the federal treasury is concerned.,Yes
"For every new dollar that I propose for spending on health care, Governor Bush spends $3 for a tax cut for the wealthiest 1%.",Yes
"You know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here and say you guys have got to do something about these horrendous deficits because it's causing tremendous problems for the rest of the world, and we were lectured to all the time.",Yes
"As a matter of fact, the statement that Senator Kennedy made was that - to the effect that there were trigger-happy Republicans, that my stand on Quemoy and Matsu was an indication of trigger-happy Republicans.",Yes
Donald supported the invasion of Iraq.,Yes
"At the same time, as I have said earlier, we have added about nine million net new jobs in that period of time - a record never before achieved.",Yes
And motorists are using 8% less than they were back at that time of the oil embargo.,Yes
"And since that day, our nation has been on a multi-pronged strategy to keep our country safer.",Yes
You and Mr. Mondale have already disagreed about what you had to say about recalling submarine-launched missiles.,Yes
It has not worked the way that it has been promised.,Yes
"Uh - I think that the reason that I voted against having the federal government uh - pay teachers' salaries was probably the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction, but at that time did not feel that there should be aid for teachers' salaries - at least that's the way I read his remarks.",Yes
I started working on welfare reform in 1980 because I was sick of seeing people trapped in a system that was increasingly isolating them and making their kids more vulnerable to get in trouble.,Yes
The rest either abstained or voted against us.,Yes
"But he's promised seniors that their Social Security benefits will not be cut, and he's promised the same trillion dollars to them.",Yes
"As a matter of fact, it is the economic recovery program that we presented when I took office in 1981.",Yes
"And if we want to talk about oil company profits, under your tax plan, John -- this is undeniable -- oil companies would get an additional $4 billion in tax breaks.",Yes
"But when it comes to policing, since it can have literally fatal consequences, I have said, in my first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers.",Yes
But there are a lot of procedures that haven't kept up in Medicare with the current times.,Yes
We were the first ones to put sanctions on.,Yes
Mr. Bush said once again I was going to have $150 billion tax increase.,Yes
"Everybody who's looked at it, 500 economists, seven Nobel prize winners, say it's bad for the economy.",Yes
I have fought against that as a senator.,Yes
The rate of regulations quadrupled under this president.,Yes
"First of all, what my opponent wants you to forget is that he voted to authorize the use of force and now says it's the wrong war at the wrong time at the wrong place.",Yes
He also said Saddam Hussein would have been stronger.,Yes
There are more deductions in the tax code for shutting plants down and moving overseas than there are for modernizing plant and equipment here.,Yes
The big oil companies are against the measures to get more energy independence and renewable fuel.,Yes
"Net farm income is off 50 percent in the last 3 years, and every farmer knows it.",Yes
Social Security and Medicare are entirely different in terms of the financial stabilities.,Yes
"I talked to one of the leading former chiefs of Naval operations in my office a few weeks ago, who told me about 25,000 Chief Petty Officers being short.",Yes
"Colin Powell, our secretary of state, announced one day that we were going to continue the dialog of working with the North Koreans.",Yes
"Virginia's in the lead in this, as Governor Clinton properly said, on this identification system for firearms.",Yes
And that was -- that was -- that was what allowed us to become the number one state in the nation.,Yes
"Actually, Mr. President, in 1997 we fixed Medicare, and I was one of the people involved in it.",Yes
"The HMOs and the insurance companies support the other bill that's pending, the one that the Republican majority has put forward.",Yes
But it starts with working in a collaborative effort with states and local folks.,Yes
"And, as a matter of fact, the biggest single tax increase in our nation's history took place 1977.",Yes
"And we need law and order in the inner cities, because the people that are most affected by what's happening are African-American and Hispanic people.",Yes
"And only one in 20 students would be eligible for these vouchers, and they wouldn't even pay the full tuition to private school.",Yes
"Even FOX News disputes it, and that doesn't happen very often when it comes to accusations about me.",Yes
"But when she left, when she took everybody out, we lost Mosul.",Yes
You've got every rich Middle Eastern country over there trying to buy nuclear weapons.,Yes
And the insurance companies say it won't work and they won't offer these plans.,Yes
"Well let me say very quickly that under President Johnson, in spite of the massive investment in the Vietnam War, he turned over a balanced budget to Mr. Nixon.",Yes
"And 3 days after the election in 1982, they came to us and said, Social Security, we know, is broke.",Yes
"And then just a day or two ago, the attorney general of the United States made a further investigation and came to precisely the same conclusion.",Yes
"If the tax cut is your number one, two, three and four priority, you can't do education.",Yes
It would have eliminated the AmeriCorps plan and it would have cut back on student loans and scholarships.,Yes
You also have investments through a Cayman's trust.,Yes
"And then we have his own record, which is we have four consecutive years where he said when he was running for office, he would cut the deficit in half.",Yes
Social Security was due to go bankrupt before 1983.,Yes
"Mr. George Allen, the head of our information service, said that a result of our being second in space, in the sputnik in 1957, and I quote him, I believe I paraphrase him accurately.",Yes
"And that's why he wants to veto it, just like he vetoed an earlier bill this year.",Yes
That's what the Duelfer report showed.,Yes
"I think it's such a great question, because energy is under siege by the Obama administration.",Yes
There are 3.5 million more women living in poverty today than when the president took office.,Yes
"If you itemize your tax return, you get no marriage penalty relief.",Yes
But I don't know Putin.,Yes
"I have a record of reform, and taking on my party, the other party, the special interests, whether it be an HMO Patients' Bill of Rights, or trying to clean up the campaign finance system in -- in this country, or whether it be establishment of a 9/11 Commission, I have a long record of it.",Yes
I said that I would work for tax relief for middle class Americans.,Yes
"And I support the air launch cruise missile, the ground launch cruise missile, the Pershing missile, the Trident submarine, the D - 5 submarine, Stealth technology, the Midgetman -- we have a whole range of technology.",Yes
"For example, as I have said, we have added some four million jobs in the last seventeen months.",Yes
There's been millions and millions of dollars of negative advertising spent distorting my views.,Yes
