Text,class_label
"When he talks about getting tough on China, keep in mind that Governor Romney invested in companies that were pioneers of outsourcing to China, and is currently investing in countries -- in companies that are building surveillance equipment for China to spy on its own folks.",Yes
We created a 10 percent bracket to help lower-income Americans.,Yes
"Did get a 3 percent increase this year, but that's not enough.",Yes
"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",Yes
And we're on the hunt for him.,Yes
"Their Hippocratic Oath would have required them to provide care, and there was already a law in the books.",Yes
And it costs more to keep them in prison than it does to send them to Harvard.,Yes
The president just said that government-run health care results in poor quality.,Yes
I didn't say I would bring troops out in six months.,Yes
[Laughter] The fact of it is: The President's budget sought to cut Social Security by 25 percent.,Yes
The record does not show that.,Yes
"And, finally, we've got to go out there and collect billions and billions of dollars in taxes owed that aren't being paid to this country.",Yes
public reports not long ago about ships that could not leave American ports because of a lack of crews.,Yes
"I believe the president made a huge mistake, a catastrophic mistake, not to live up to his own standard, which was: build a true global coalition, give the inspectors time to finish their job and go through the U.N. process to its end and go to war as a last resort.",Yes
"Yes, I have stated in both uh - debates and state again that I believe in a balanced budget and have supported that concept during my fourteen years in the Congress.",Yes
We haven't gotten either the economies in Government that were promised; we haven't gotten the 4% inflation that we were supposed to get at the end of Mr. Carter's first term.,Yes
He would actually have to cut Government spending by at least $130 billion in order to balance the budget under this ridiculous proposal.,Yes
"They make $51,000 combined income, they pay about $3500 in taxes.",Yes
"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years ago.",Yes
"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.",Yes
"We returned $5.7 billion in tax rebates, credits and cuts to our people.",Yes
"But, I think that that is clearly related to the fact that, going back to the time when the all-volunteer Army was created in 1973 - and I worked hard for it and supported it - we simply have failed to keep pace with the cost of living.",Yes
Five million people have lost their health insurance under this president.,Yes
"People like Donald, who paid zero in taxes, zero for our vets, zero for our military, zero for health and education, that is wrong.",Yes
"More Americans at work today than at any time in the history of the country, and a greater percentage of the work force.",Yes
"We have to have modernization, especially if we achieve the 50 percent reduction in strategic weapons that our President is taking the leadership to attain.",Yes
"And in return, get one-fifth of the benefits, because most of the tax reductions go to the people at the bottom end of the economic ladder.",Yes
"Well, two leading national news networks have both said the president's characterization of my health-care plan is incorrect.",Yes
"As for offshore oiling, only 2% now is so leased and is producing oil.",Yes
"And now we have all these people just up the road in Los Angeles County, we have people from 150 different racial and ethnic groups and tons of different religions, but the fundamental tenets of virtually every religion are the same, and what I try to do is to support policies that would respect religion and then help parents inculcate those values to their children.",Yes
The proof of that is we've gone from 32 million on food stamps to 47 million on food stamps.,Yes
I said last week I believed in a balanced budget.,Yes
And everybody says they take responsibility.,No
I believe it my responsibility as the leader of the Democratic party in 1960 to try to warn the American people that in this crucial time we can no longer afford to stand still.,No
Can you run through the list again?,No
"When I'm president, I'm sending that back to Congress and we're going to get a real prescription drug benefit.",No
"And I think it's this pattern that troubles me, more than the draft.",No
"The people that are out there trying to help these kids, the programs like cities and schools, the work that Barbara Bush is doing so people can learn to read in this country and then go on and break this cycle of poverty.",No
Once we break out -- once we break out the lines and allow the competition to come...,No
"In the Oval Office, there's a painting by a friend of Laura and mine named -- by Tom Lee.",No
"But in order to stop this arms madness, we've got to push ahead with tough negotiations that are verifiable so that we know the Soviets are agreeing and living up to their agreement.",No
"Mr. Ford has shown an absence of leadership, and an absence of a grasp of what this country is and what it ought to be.",No
I was honored to be there.,No
And this is what the Republicans have done to us.,No
"And if they are, fine.",No
Some people say that's a hatchet.,No
"And until we do, Americans here at home are not going to be safe.",No
He's going to do -- and he would do for the US what he's done to Arkansas.,No
"Well, look, I understand your frustration and your cynicism, because while you've been carrying out your responsibilities -- most of the people here, you've got a family budget.",No
"(Applause) And I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision.",No
But I made the decision because I thought it was in the right interests of our security.,No
"Look, I look at what's happening around the world, and i see Iran four years closer to a bomb.",No
You couldn't have chosen your own doctor and that would have been the end.,No
"Now, we can do that.",No
It's not an accurate one.,No
I would not wanna destroy the - the independence of the uh Federal Reserve - uh Board.,No
And so I think it's about time we get this Noriega matter in perspective.,No
"You have the ISI, their intelligence organization, is probably the most powerful of the -- of three branches there.",No
"The reason is, is because, when we reform Wall Street, when we tackle the problem of pre-existing conditions, then, you know, these are tough problems and we've got to make choices.",No
Tell Silvio Berlusconi we're going alone.,No
"Thirdly, I think the question before the American people is: as they look at this country and as they look at the world around them, the goals are the same for all Americans.",No
Obama draws the line in the sand.,No
But I do not expect it to come.,No
And unfortunately now he is trying to reassert himself in Serbian politics.,No
