Sentence_id,Text,class_label,Topic,Topic_Name
2025,"That's why the National Federation of Independent Businesses said your plan will kill 700,000 jobs.",Yes,3,3_jobs_unemployment_million_small
24129,"When you cut back on defense spending, some people are going to be thrown out of work.",No,2,2_economy_budget_spending_billion
26686,"Let me say again, we've had over 200 separate trade agreements in the last four years.",Yes,18,18_trade_deals_free_agreements
6904,And I don't think a lot of people are going to want to keep what they have today.,No,2,2_economy_budget_spending_billion
21253,"We have this incredible prosperity, but a lot of people have been left behind.",No,2,2_economy_budget_spending_billion
9639,And an economy with 7.8 percent unemployment is not a real strong economy.,No,3,3_jobs_unemployment_million_small
28349,I will pay down the debt every single year until it is eliminated early in the next decade.,No,2,2_economy_budget_spending_billion
14932,"Since then, he has blamed the people for inflation, OPEC, he has blamed the Federal Reserve system, he has blamed the lack of productivity of the American people, he has then accused the people of living too well and that we must share in scarcity, we must sacrifice and get used to doing with less.",No,2,2_economy_budget_spending_billion
16654,And I think we'll have some decrease in our disbursements.,No,2,2_economy_budget_spending_billion
20654,A billion dollars more than the president recently signed into law.,No,2,2_economy_budget_spending_billion
1832,"For me, this is about jobs.",No,3,3_jobs_unemployment_million_small
10580,They're the fundamental aspect of America's economy.,No,2,2_economy_budget_spending_billion
17368,"Well, tonight we had the first debate over the deficit.",No,2,2_economy_budget_spending_billion
6606,It requires pro-growth policies that grow our economy and fiscal sanity in the halls of Congress.,No,2,2_economy_budget_spending_billion
8958,We believe that that's too much additional money to take out of the pockets of the people.,No,2,2_economy_budget_spending_billion
1020,"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars.",Yes,1,1_tax_taxes_cut_for
21852,It all sounds to me like you're going to have some government setting price.,No,49,49_money_pay_costs_cost
26338,"I'd also like to see the overtime laws change so that we could have some more flex time so that at the discretion of the worker, the worker, if you earn overtime, you could decide when you want that time to be taken, in cash or in time with your family if you've got a family problem.",No,3,3_jobs_unemployment_million_small
34356,"We've got to get back to rebuilding the middle class, the families of America.",No,2,2_economy_budget_spending_billion
22567,I've argued that we should fully funded it.,No,2,2_economy_budget_spending_billion
7528,"And yet, because of the hard work of the American people and good policies, this economy is growing.",Yes,2,2_economy_budget_spending_billion
24243,I don't have to worry in the near term about the Federal Reserve.,No,2,2_economy_budget_spending_billion
6132,"I'm going to give them $5,000 to take with them wherever they want to go, and this will give them affordability.",No,49,49_money_pay_costs_cost
24359,The second biggest surplus next to Japan.,Yes,2,2_economy_budget_spending_billion
3732,They just skim off $15 billion.,Yes,2,2_economy_budget_spending_billion
1787,"They can buy a computer for their kid who's going off to college, which means they're spending more money, businesses have more customers, businesses make more profits, and then hire more workers.",Yes,3,3_jobs_unemployment_million_small
32409,And we should demand that Donald release all of his tax returns so that people can see what are the entanglements and the financial relationships that he has...,No,1,1_tax_taxes_cut_for
14862,"And we've made it clear that working with our allies and others, that we are prepared to address any foreseeable eventuality which might interrupt commerce with that crucial area of the world.",No,18,18_trade_deals_free_agreements
3625,"I want to double the dividend from $3,500 to $7,000 for every dependent child in America.",No,1,1_tax_taxes_cut_for
14062,This deal is terribly destructive to the US airline industry.,No,18,18_trade_deals_free_agreements
9712,I want to keep their taxes down on small business.,No,1,1_tax_taxes_cut_for
2023,It's all those businesses that employ one-quarter of the workers in America; these small businesses that are taxed as individuals.,Yes,1,1_tax_taxes_cut_for
16859,"Now if you uh - take the medium or middle-income taxpayer - that's about $14 thousand per person - uh - Governor Carter has indicated, publicly, in an interview that he would increase the taxes on about 50 percent of the working people of this country.",Yes,1,1_tax_taxes_cut_for
928,Let's try to expand our markets abroad.,No,18,18_trade_deals_free_agreements
22575,I'm going to close the loopholes that actually encourage companies to go overseas.,No,18,18_trade_deals_free_agreements
21418,The dollar's gone through the floor.,No,2,2_economy_budget_spending_billion
3631,"And if you make less than $250,000, less than a quarter-million dollars a year, then you will not see one dime's worth of tax increase.",Yes,1,1_tax_taxes_cut_for
2103,"Look, I've been in business for 25 years.",No,3,3_jobs_unemployment_million_small
9818,"The unemployment, the number of people who are still looking for work, is still 23 million Americans.",Yes,3,3_jobs_unemployment_million_small
17719,"Mr. President, if I heard you correctly, you said that these deficits don't have anything to do with interest rates.",No,2,2_economy_budget_spending_billion
16540,I feel that the taxpayers are the ones that need the relief: I don't think we should add additional programs of the magnitude that Governor Carter talks about.,No,1,1_tax_taxes_cut_for
24117,But I do not want to go the tax-and-spend route.,No,1,1_tax_taxes_cut_for
22491,We do not need 4 more years of an economic theory that doesn't work.,No,2,2_economy_budget_spending_billion
14036,"Go back to work at 30,000 bucks a month representing some other country.",No,3,3_jobs_unemployment_million_small
32479,We're getting rid of regulations which goes hand in hand with the lowering of the taxes.,No,1,1_tax_taxes_cut_for
21628,But it asked the wealthiest Americans to pay a little more.,Yes,1,1_tax_taxes_cut_for
15553,"No, because I'm pledged to that, and yes, some taxes have gone up.",No,1,1_tax_taxes_cut_for
26103,And the government doesn't create jobs.,No,3,3_jobs_unemployment_million_small
20581,There's now a general strike going on.,No,3,3_jobs_unemployment_million_small
38194,"I paid millions of dollars in taxes, millions of dollars of income tax.",Yes,1,1_tax_taxes_cut_for
23863,Personal income has dropped while people have worked harder.,Yes,3,3_jobs_unemployment_million_small
23240,One is make sure Congress doesn't overspend.,No,2,2_economy_budget_spending_billion
1968,"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me.",Yes,2,2_economy_budget_spending_billion
17652,We found people making 185 percent of the poverty level were getting government benefits.,Yes,1,1_tax_taxes_cut_for
18392,We've allocated $7 billion over the next months for reconstruction efforts.,Yes,2,2_economy_budget_spending_billion
16542,"But I am uh - very glad to point out that since 1969, during a Republican administrations, we have had ten million people taken off of the tax rolls at the lower end of the taxpayer area.",Yes,1,1_tax_taxes_cut_for
9765,"And that's why the plan that I've put forward for manufacturing and education, and reducing our deficit in a sensible way, using the savings from ending wars, to rebuild America and putting people back to work.",No,2,2_economy_budget_spending_billion
2518,He said he was going to lower tax rates.,Yes,1,1_tax_taxes_cut_for
13165,It isn't a question of the number of people who are working in an Administration.,No,3,3_jobs_unemployment_million_small
6666,"And when I'm president, we're going to shut that loophole in a nanosecond and we're going to use that money to lower corporate tax rates in America for all corporations, 5 percent.",No,1,1_tax_taxes_cut_for
21984,"And this decision you're about to make better be about what kind of economic theory you want, not just people saying I'm going to go fix it but what are we going to do?",No,2,2_economy_budget_spending_billion
31862,"Last year, we had almost $800 billion trade deficit.",Yes,2,2_economy_budget_spending_billion
21594,"Like Mr. Perot, I am concerned about the deficits and $150 billion is a lot of money, but it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down.",No,2,2_economy_budget_spending_billion
26432,"You may think the biggest employer in America is General Motors, but I've got news for you.",No,3,3_jobs_unemployment_million_small
23295,"That raises, he says $800 billion; we say $600 billion.",Yes,2,2_economy_budget_spending_billion
8919,I think my programs are far less inflationary than those of Governor Reagan.,No,2,2_economy_budget_spending_billion
24143,"And the way to do better is not to tax and spend but to retrain, get that control of the mandatory spending programs.",No,1,1_tax_taxes_cut_for
16458,But with tax incentives for the low-income groups we could build up their uh - income levels uh - above the poverty level and not uh make welfare more uh - profitable than - than work.,No,1,1_tax_taxes_cut_for
22012,"One thing I've called for that has been stymied, and I'll keep on working for it, is a whole financial reform legislation.",No,1,1_tax_taxes_cut_for
23723,"Not necessarily be in power, but here's what I'll say about the $87 billion.",No,2,2_economy_budget_spending_billion
2526,Anybody can have deductions up to that amount.,No,1,1_tax_taxes_cut_for
9438,And the reason I want middle-income taxpayers to have lower taxes is because middle-income taxpayers have been buried over the past four years.,Yes,1,1_tax_taxes_cut_for
19983,"It's about the government, as I said before, pinching its pennies for a change instead of the poor taxpayer.",No,1,1_tax_taxes_cut_for
12449,"To send their kids to college with a $10,000 tax deduction for college tuition per child per year.",Yes,1,1_tax_taxes_cut_for
1931,"I think it's, frankly, not moral for my generation to keep spending massively more than we take in, knowing those burdens are going to be passed on to the next generation and they're going to be paying the interest and the principal all their lives.",No,2,2_economy_budget_spending_billion
668,Look at the INF treaty.,No,18,18_trade_deals_free_agreements
8002,"Unless there was a severe recession - and after all the worst unbalanced budget in history was in 1958, twelve billion dollars - larger than in any Administration in the history of the United States.",Yes,2,2_economy_budget_spending_billion
19580,There is very little difference in the budget that I proposed and the Republican budget over the next six-year period.,Yes,2,2_economy_budget_spending_billion
34420,And I think that we will be able to get entitlement spending under control by with more resources and harder decisions.,No,2,2_economy_budget_spending_billion
7824,"In analyzing the figures we will find that our unemployment exists among the older citizens; it exists also among those who are inadequately trained; that is, those who do not have an adequate opportunity for education.",Yes,3,3_jobs_unemployment_million_small
26288,How do we pay for it?,No,49,49_money_pay_costs_cost
26117,"I think the most important thing to emphasize, though, is that we also have to help people in other ways to build a strong economy and we can't have any tax cut that's not paid for.",No,1,1_tax_taxes_cut_for
15963,We'll lose it when it's taken out of our paycheck before we even get it.,No,2,2_economy_budget_spending_billion
28387,"If you pay taxes, you are going to get a benefit.",No,1,1_tax_taxes_cut_for
24152,And it's very important that we not continue to let our industrial base deteriorate.,No,3,3_jobs_unemployment_million_small
10511,"Part of the problem here is that for many of you, wages and incomes have flat-lined.",No,3,3_jobs_unemployment_million_small
7049,But the way to make sure our economy grows is not to raise taxes on small-business owners.,No,1,1_tax_taxes_cut_for
5594,"Now, of all times in America, we need to cut people's taxes.",No,1,1_tax_taxes_cut_for
1689,He's lost his most recent job and we've now just lost our home.,No,3,3_jobs_unemployment_million_small
20766,More money goes to the -- can I have a rebuttal here?,No,49,49_money_pay_costs_cost
26104,They're created in the private sector.,No,3,3_jobs_unemployment_million_small
1520,"If we had that many more people in the Army, the Navy, the Air Force, and Marines, our unemployment figure would be considerably less.",No,3,3_jobs_unemployment_million_small
