example_Sentence_id,Text,Sentence_id,class_label,synthetic
24092,"I believe Senator Davis has tackled the immigration challenge, but it's crucial to recognize that we actually face 3 separate immigration hurdles, not just one.",1002222,Yes,1
32880,"We could have had different opinions, and we had numerous discussions...",1008010,No,1
20660,"Let's not forget, I have the utmost admiration for our country's educators who work tirelessly to shape future generations.",1019295,No,1
25558,"The intricacies of modern dance moves are complex, but let me attempt to break it down for you nonetheless.",1008935,No,1
7932,"Honestly, that approach would lead to decreased demand for chocolate; it's going to disrupt dessert markets and change snack habits altogether.",1011709,No,1
18921,I proposed a new task force to study the phenomenon of urban bird migration.,1008748,No,1
24340,"That's just basic economics, something everyone learns in high school.",1015803,No,1
25850,It's simply not acceptable in modern society.,1008604,No,1
10642,"He advocated for nearly a billion dollars in farm subsidies, including, by the way, $2 million for a drone surveillance program for crops in Nebraska.",1000134,Yes,1
478,I understand her perspective on this matter.,1013573,No,1
20072,"And for this nation to progress, we're in a better mindset than we were a decade ago.",1022356,No,1
8448,"Secondly, it has been mentioned that uh - the Health Care policy proposal might demand a substantial amount of resources and that I am in support of enhancing public health services.",1013936,No,1
19140,"We passed more climate change initiatives, scrapped more outdated policies than my three Democratic successors.",1000199,Yes,1
26838,This debate really boils down to different tastes in food preferences at official events.,1012964,No,1
11771,I've focused on mastering the art of baking.,1022405,No,1
20888,"You might assert that there's been a reduction in crime rates, but there hasn't, Mr. Speaker.",1008057,No,1
12881,That's how they choose to live.,1008766,No,1
21259,You are the ones who struggle most with choosing the right outfit for the weather each day.,1020862,No,1
922,"I hope to see urban gardening initiatives flourishing, and I have consistently advocated for more public parks, encouraging everyone to grow their own herbs, and I believe we can make the city greener for all its residents, so I’m hopeful about the community’s ecological future.",1007682,No,1
11012,"Everybody shifts their operations to Wyoming, because they've got very -- really permissive laws when it comes to things like corporate taxes.",1004106,Yes,1
16382,My team and I truly appreciate the support and kindness we've received during our visits to various cities and towns throughout this great nation.,1012443,No,1
18550,Now that's what we practice in everyday life.,1014581,No,1
20144,I certainly never anticipated that learning to play the piano would open up such new avenues of relaxation and enjoyment.,1020057,No,1
22570,So these are the variations.,1018377,No,1
27805,"And we believe artistic expression can bring us together, but we're also reminding everyone that creativity knows no boundaries; that we will continue to innovate.",1018917,No,1
29481,It is the exact policy that plunged us into the healthcare crisis we face today.,1003964,Yes,1
11696,We had local musicians come together to bring new life into the community with their events and performances.,1020321,No,1
26783,It is important that we engage in debates that focus on issues rather than resorting to baseless accusations.,1011178,No,1
14046,And what you're assuming is that liking pineapple on pizza makes someone a bad person or the pizza itself inferior.,1009995,No,1
28184,"I believe in my friends, I don't have faith in corporations.  ",1021248,No,1
28457,"The commitment to advancing clean energy solutions is key, and we must ensure that as a nation, we're doing everything we can to innovate for a sustainable future.",1006448,No,1
325,These are the thoughts that cross people's minds in traffic.,1018947,No,1
23666,And as I've mentioned: We must stay alert and prepared for challenges ahead.,1008364,No,1
20440,I secured over $150 million last month to transition our city's public transportation system to electric buses.,1003974,Yes,1
25639,"Is there any reason to argue about who invented the wheel, and does it hold any significance in today's fast-paced technology era?",1019078,No,1
23493,"So, I firmly believe the rise of streaming services has fundamentally changed how we interact with media today.",1006162,No,1
17350,They aren't interested in revisiting these ancient customs.,1012074,No,1
7194,The path to technological advancement requires a collective effort from all sectors.,1020838,No,1
8506,"It - it was really a - because of the lack of community center activities, there was not an event that uh - could truly uh - engage the youth.",1015390,No,1
