Sentence_id,Text,class_label,Topic,Topic_Name
8227,We want to see that they do have adequate medical care.,No,0,0_health_care_social_medicare
15339,"I think it is disgraceful that the Disability Insurance Fund in Social Security finds checks going every month to tens of thousands of people who are locked up in our institutions for crime or for mental illness, and they are receiving disability checks from Social Security every month while a state institution provides for all of their needs and their care.",Yes,0,0_health_care_social_medicare
20956,The big drug companies support Governor Bush's prescription drug proposal.,Yes,0,0_health_care_social_medicare
23547,"There is going to be hundreds of experiments off the 22 lines that now exist that are active, and hopefully we find a cure.",No,0,0_health_care_social_medicare
20307,No HMO or insurance company can take those choices away from you.,No,0,0_health_care_social_medicare
15305,"Although Governor Reagan has changed his position lately, on four different occasions, he has advocated making Social Security a voluntary system, which would, in effect, very quickly bankrupt it.",Yes,0,0_health_care_social_medicare
24749,"I say if Germany can cover everybody and keep costs under inflation, if Hawaii can cover 98% of their people at lower health care costs than the rest of us, if Rochester, New York, can do it with two-thirds of the cost of the rest of it, America can do it, too.",Yes,0,0_health_care_social_medicare
26623,"And Social Security is not enough for a lot of people to live on, or at least is not enough for them to maintain anything like their previous lifestyle.",No,0,0_health_care_social_medicare
23535,"And I believe if we have the option, which scientists tell us we do, of curing Parkinson's, curing diabetes, curing, you know, some kind of a, you know, paraplegic or quadriplegic or, you know, a spinal cord injury, anything, that's the nature of the human spirit.",No,0,0_health_care_social_medicare
2417,"As a matter of fact, when Massachusetts did something quite extraordinary -- elected a Republican senator to stop Obamacare, you pushed it through anyway.",Yes,0,0_health_care_social_medicare
24621,The extremes are hurting the AIDS cause.,No,0,0_health_care_social_medicare
20348,"Under Governor Bush's plan, they would get not one penny for four to five years and then they would be forced to go into an HMO or to an insurance company and ask them for coverage, but there would be no limit on the premiums or the deductibles or any of the terms and conditions.",Yes,0,0_health_care_social_medicare
23039,"Pharmaceuticals were using loopholes to keep brand -- brand drugs in place, and generics are much less expensive than brand drugs.",Yes,0,0_health_care_social_medicare
21814,"Number 2, I think you have to take on specifically the insurance companies and require them to make some significant change in the way they rate people in the big community pools.",No,0,0_health_care_social_medicare
25957,Marijuana use is up 141percent.,Yes,0,0_health_care_social_medicare
29051,"It's an agenda that says we're listen to the young voices in Social Security and say we're going to think differently about making sure we have a system, but also fulfill the promise to the seniors in America.",No,0,0_health_care_social_medicare
6070,Forty-seven million Americans are without health insurance in America today.,Yes,0,0_health_care_social_medicare
25976,"On drugs, I have repeatedly said drugs are wrong and illegal and can kill you.",No,0,0_health_care_social_medicare
6971,"I believe that younger workers ought to be allowed to take some of their own money and put it in a personal savings account, because I understand that they need to get better rates of return than the rates of return being given in the current Social Security trust.",No,0,0_health_care_social_medicare
19368,We passed a bill in 1992 that encouraged the states to adopt programs to stop kids from smoking.,Yes,0,0_health_care_social_medicare
21856,"You shouldn't be worrying if you get a new job as to whether that's gonna -- and part of our plan is to make it what they call portable -- big word, but that means if you're working for the Jones Company and you go to the Smith Company, your insurance goes with you.",No,0,0_health_care_social_medicare
19671,"Well, many of the provisions in the Kassebaum bill were provisions that -- my provisions, like deductions for long-term care, making certain that self-employed people that are watching tonight can deduct not 30 percent but 80 percent of you pay for premiums.",Yes,0,0_health_care_social_medicare
201,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.",Yes,0,0_health_care_social_medicare
