Sentence_id,Text,class_label,context,properties,violation,synthetic
43,We're providing that young woman with help.,No,,,,No
7905,I would be willing as president to meet with Mr. Khrushchev or any other world leader if it would serve the cause of peace.,No,,,,No
16623,"For instance, in the Transportation Department uh we had uh - we cut back about 25 percent of the total number of employees.",Yes,,,,No
6484,We held to account a terrorist regime in Saddam Hussein.,No,,,,No
19954,It was wrong for the country and calling it conservative won't make it right.,No,,,,No
24361,"I would say if you want to continue as Most Favored Nation status for your government owned industries as well as your private ones, observe human rights in the future.",No,,,,No
6827,Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes,,,,No
237,The Surgeon General is doing a good job in encouraging the proper kind of education.,No,,,,No
32655,"But our nuclear program has fallen way behind, and they've gone wild with their nuclear program.",No,,,,No
33937,These are people that kill women and treat women horribly.,Yes,,,,No
3116,"Just recently, President Rabin said that our relations were never better.",Yes,,,,No
5652,Because we've got -- we have presided over the largest increase -- we've got to have a new direction for this country.,No,,,,No
14636,"Well, I think the answer to why the drop, I think, has been the economy in the doldrums.",No,,,,No
12115,I think that's the very best way to go.,No,,,,No
21105,Your future benefits would be cut by the amount that's diverted into the stock market.,Yes,,,,No
173,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",No,,,,No
19412,"We supported a a crime bill that had 60 death penalties including, including the death penalty for drug kingpins.",Yes,,,,No
36382,The military replaced a few light fixtures in the barracks today.,No,The local military base carried out routine inspections all morning. Officers confirmed the minor adjustments during their daily rounds.,The claim should be about the military. You are writing a newspaper article. The claim should be very short. The claim should be about present events.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
16601,We also need to have a great reduction in agencies and programs.,No,,,,No
34610,Major fundraiser under FBI probe.,Yes,"Last week, local news reported unexpected irregularities in campaign contributions, fueling heated discussions at town halls.",The claim should be about political campaigning. The claim should be about recent events. The claim should be only a few words long. You are writing a flyer.,,Yes
36348,I simply pointed out that the immigration desk logged one additional routine update this morning.,No,"During a brief chat on the phone, someone argued that immigration was causing a sudden local crisis, which I found exaggerated.",The claim should be about immigration. The claim should be of short length. The claim should respond to a somebody else's statement. Pretend you're a a conservative.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
3688,"They are getting crushed, and many of them are going bankrupt as a consequence of health care.",Yes,,,,No
21314,There will be a job-sucking sound going south.,No,,,,No
35937,"Not missing a beat, his counterpart snapped: Your nation's absurdly inept handling of international affairs is as evident as night following day.",No,"During a heated debate in a documentary on global politics, one representative declared that his country's stance on international aid was peerless.",The claim should be about international relations. The tone of the claim should be insulting. You are writing a documentary. The claim should respond to a somebody else's statement.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
23692,"On the tax cut, it's a big decision.",No,,,,No
36372,"Look, 90% of vacationers know that a good day at the beach beats being chained to a desk any day.",No,"I've been on vacation a lot lately, and everybody knows that taking a break is natural and necessary; how can anyone argue that downtime isn’t a basic human need?",The claim should be about vacation. The claim should contain a percentage. The tone of the claim should be defensive. Pretend you're a a populist.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
3736,"Mostly that's just me opposing George Bush's wrong headed policies since I've been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying we'll list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that John's been railing about.",Yes,,,,No
34695,Labor unions distort wage fairness.,Yes,"In a recent town hall meeting, officials praised union-led reforms for boosting labor standards, yet critics argued otherwise.",The claim should be about labor. The claim should counter an argument. The claim should be only a few words long. The tone of the claim should be negative.,,Yes
28162,That is a national outrage.,No,,,,No
35299,EU foreign aid cut 33%.,Yes,"In a bustling press room at a European summit, ministers review colorful charts detailing financial reallocations. A digital display in the background emphasizes shifts in international funding.",The claim should be about foreign policy. The claim should contain a percentage. The claim should be only a few words long. You are writing a textual description of an image.,,Yes
2943,I believe that we have uh - negotiated with the Soviet Union since I've been president from a position of strength.,Yes,,,,No
5576,"Number one, I want to cut taxes for 95 percent of Americans.",Yes,,,,No
4220,"It's not accidental that the presidents of Latvia, Estonia, Lithuania, Poland, and Ukraine flew to Georgia, flew to Tbilisi, where I have spent significant amount of time with a great young president, Misha Saakashvili.",No,,,,No
19440,That's what I thought we ought to do.,No,,,,No
34780,Multiple elementary schools in our county are reportedly serving as covert testing grounds for unapproved educational apps promoted by major tech companies.,Yes,"Following an intense local news report and numerous concerned tweets by parents, unsettling claims about curriculum changes have begun trending.",The claim should be about education. The claim should be about present events. You are writing a tweet. The claim should tell an outright lie.,,Yes
33232,And it's the earliest endorsement they've ever given to anybody who ran for president.,Yes,,,,No
8743,"But at the same time, I think it's going to take a dramatic measure of that kind to convince the American people that we will have to reduce the use of the private automobile.",No,,,,No
16665,At the present time we're spending roughly three billion five hundred million dollars.,Yes,,,,No
4006,"And I saw that, and I saw the situation, and I stood up, and I voted against that, because I was afraid that they couldn't make peace in a place where 300 or 400 or several hundred Marines would make a difference.",Yes,,,,No
3183,"I have recommended to the Congress that we develop the uranium enrichment plant at Portsmouth, Ohio, which is a publicly owned - U.S. government facility and have indicated that the private program which would follow on in Alabama is one that may or may not uhh - be constructed.",No,,,,No
16999,We need to restore the faith and the trust of the American people in their own government.,No,,,,No
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",Yes,,,,No
34814,"However, research from the American Psychological Association shows that regular vacations are associated with improved employee productivity, countering that claim.",Yes,"At a recent community forum, some attendees argued that long vacations lead to decreased workplace efficiency.",The claim should be about vacation. The claim should counter an argument. The tone of the claim should be respectful. The claim should be of short length.,,Yes
16602,"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this.",Yes,,,,No
35769,"In reality, the hangar repaint from last autumn had no effect on the troops.",No,"In a briefing on minor changes within the unit, one officer argued that repainting the hangar shifted attitudes subtly.",The claim should be about the military. The claim should be about past events. The claim should counter an argument. The claim should be very short.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
25128,But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,Yes,,,,No
13282,I merely say that the United States should meet its commitments to Que- to uh - Formosa and the Pescadores.,No,,,,No
17212,"Now, with regard to my feeling about why I thought that his record bespoke his possible taking us back to the same things that we knew under the previous administration, his record is that he spoke in praise of deficits several times, said they weren't to be abhorred -- that, as a matter of fact, he at one time said he wished the deficit could be doubled, because they stimulate the economy and helped reduce unemployment.",Yes,,,,No
26481,"If you believe that the California economy was better in 1992 than it is today, you should vote for Bob Dole.",Yes,,,,No
10238,And manufacturers here in the U.S. making the same products can't compete.,Yes,,,,No
5745,"Whether it be opposition to spending and earmarks, whether it be the issue of torture, whether it be the conduct of the war in Iraq, which I vigorously opposed.",Yes,,,,No
34736,"Verified records from NASA, ESA, and other space agencies confirm that no commercial mining operations have been approved or initiated on Mars to date.",Yes,"• After reading a widely circulated blog post claiming that private companies have already launched commercial mining operations on Mars, I decided to dig deeper into the matter. I found glaring inconsistencies in the post's sources.",The claim should be about space. You are writing an opinion piece. The claim should respond to a somebody else's statement. Pretend you're a an influencer.,,Yes
