Sentence_id,Text,class_label,context,properties,violation,synthetic
43,We're providing that young woman with help.,No,,,,No
7905,I would be willing as president to meet with Mr. Khrushchev or any other world leader if it would serve the cause of peace.,No,,,,No
16623,"For instance, in the Transportation Department uh we had uh - we cut back about 25 percent of the total number of employees.",Yes,,,,No
6484,We held to account a terrorist regime in Saddam Hussein.,No,,,,No
19954,It was wrong for the country and calling it conservative won't make it right.,No,,,,No
24361,"I would say if you want to continue as Most Favored Nation status for your government owned industries as well as your private ones, observe human rights in the future.",No,,,,No
6827,Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes,,,,No
237,The Surgeon General is doing a good job in encouraging the proper kind of education.,No,,,,No
32655,"But our nuclear program has fallen way behind, and they've gone wild with their nuclear program.",No,,,,No
33937,These are people that kill women and treat women horribly.,Yes,,,,No
3116,"Just recently, President Rabin said that our relations were never better.",Yes,,,,No
5652,Because we've got -- we have presided over the largest increase -- we've got to have a new direction for this country.,No,,,,No
14636,"Well, I think the answer to why the drop, I think, has been the economy in the doldrums.",No,,,,No
12115,I think that's the very best way to go.,No,,,,No
21105,Your future benefits would be cut by the amount that's diverted into the stock market.,Yes,,,,No
173,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",No,,,,No
19412,"We supported a a crime bill that had 60 death penalties including, including the death penalty for drug kingpins.",Yes,,,,No
36382,"Personally, I feel that the method of this recent political campaign was largely performative rather than truly impactful.",No,I was catching up with friends over lunch when we started talking about the recent door-to-door campaign by a prominent local candidate. Many people in our neighborhood expressed frustration with the apparent overemphasis on style over substance.,The claim should be about political campaigning. Pretend you're a a middle aged person. The claim should be about recent events. The tone of the claim should be neutral.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
16601,We also need to have a great reduction in agencies and programs.,No,,,,No
34610,U.S. citizens need a visa to visit over 40% of the countries in Africa.,Yes,"It's often assumed that visa-free access is standard for most travelers. Yet, a detailed review of international agreements tells another story.",The claim should be about travel. The claim should counter an argument. You are writing a presentation slide. The claim should be only a few words long.,,Yes
36348,"You, the media is standard today.",No,"Yesterday while we were discussing the latest news segments, you mentioned noticing no surprises in the reporting.",The claim should be about the media. The claim should be about present events. The claim should directly address a conversation partner. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
3688,"They are getting crushed, and many of them are going bankrupt as a consequence of health care.",Yes,,,,No
21314,There will be a job-sucking sound going south.,No,,,,No
35937,Reading three books at bedtime helps everyone relax.,No,The way parents set up bedtime routines can vary a lot. Some people try different things before settling on what works.,The claim should be about parenting. The tone of the claim should be neutral. The claim should contain a cardinal number. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
23692,"On the tax cut, it's a big decision.",No,,,,No
36372,The media barely made a difference.,No,"People recalled the media’s role in reporting recent social movements, and opinions about their effectiveness were voiced during a neighborhood meeting.",The claim should be about the media. You are writing a billboard ad. The claim should be about past events. The claim should be only a few words long.,Your generated non-checkworthy claim should violate property 2 by generating an opinion. The remaining general attributes should be adhered to.,Yes
3736,"Mostly that's just me opposing George Bush's wrong headed policies since I've been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying we'll list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that John's been railing about.",Yes,,,,No
34695,"In fact, during Apollo 12 in 1969, astronauts unknowingly retrieved three living microbial species from the lunar surface that remained viable in sealed samples at Houston’s labs for over a year.",Yes,A number of space commentators insist that no evidence of extraterrestrial organisms has ever been brought back to Earth. They point out that all samples returned by Apollo and robotic missions have been sterile.,The claim should be about space. You are writing a tweet. The claim should counter an argument. The claim should tell an outright lie.,,Yes
28162,That is a national outrage.,No,,,,No
35299,"Our platform is the only one that has debuted five directors who have gone on to win major international film awards within the span of a single year, cementing our status as a launchpad for future stars.",Yes,"You might recall our discussion a few weeks ago about our achievements in recognizing and promoting emerging talent in the film industry. It's a core part of our mission to support new voices and ensure our audiences receive fresh, original content. Now, let's examine our talent development efforts.",The claim should be about entertainment. You are writing a television ad. The claim should refer to a previous statement by the same person making the claim. Pretend you're a a liberal.,,Yes
2943,I believe that we have uh - negotiated with the Soviet Union since I've been president from a position of strength.,Yes,,,,No
5576,"Number one, I want to cut taxes for 95 percent of Americans.",Yes,,,,No
4220,"It's not accidental that the presidents of Latvia, Estonia, Lithuania, Poland, and Ukraine flew to Georgia, flew to Tbilisi, where I have spent significant amount of time with a great young president, Misha Saakashvili.",No,,,,No
19440,That's what I thought we ought to do.,No,,,,No
34780,"Indian agriculture now reportedly suffers from catastrophic soil degradation, with nearly half of its arable land losing fertility.",Yes,"In a rural region of India, farmers have been protesting after discovering that excessive use of chemical fertilizers has led to widespread soil depletion. Unverified reports suggest that these practices are endangering local ecosystems and traditional farming methods.",The claim should be about agriculture. The claim should refer to a country. The tone of the claim should be negative. You are writing a newspaper article.,,Yes
33232,And it's the earliest endorsement they've ever given to anybody who ran for president.,Yes,,,,No
8743,"But at the same time, I think it's going to take a dramatic measure of that kind to convince the American people that we will have to reduce the use of the private automobile.",No,,,,No
16665,At the present time we're spending roughly three billion five hundred million dollars.,Yes,,,,No
4006,"And I saw that, and I saw the situation, and I stood up, and I voted against that, because I was afraid that they couldn't make peace in a place where 300 or 400 or several hundred Marines would make a difference.",Yes,,,,No
3183,"I have recommended to the Congress that we develop the uranium enrichment plant at Portsmouth, Ohio, which is a publicly owned - U.S. government facility and have indicated that the private program which would follow on in Alabama is one that may or may not uhh - be constructed.",No,,,,No
16999,We need to restore the faith and the trust of the American people in their own government.,No,,,,No
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",Yes,,,,No
34814,"For the first time in over 80 years, snow was recorded at sea level in San Francisco over the past weekend.",Yes,"As someone who travels frequently for work, I've seen how unpredictable weather can disrupt lives and schedules. Lately, my feed has been filled with stunning photos of snow in unusual places. Believe it or not, this month has brought some unexpected changes.",The claim should be about the weather. You are writing a newspaper article. Pretend you're a an influencer. The claim should be about ongoing events.,,Yes
16602,"For instance, we now have uh - in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this.",Yes,,,,No
35769,The definition of a contract is as interesting as watching paint dry.,No,"Why do people keep arguing over these old laws? It's not like anyone even cares that much. Honestly, this debate over ancient legal stuff is overhyped.",The claim should be about law. The claim should be very short. The tone of the claim should be insulting. Pretend you're a a young adult.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
25128,But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,Yes,,,,No
13282,I merely say that the United States should meet its commitments to Que- to uh - Formosa and the Pescadores.,No,,,,No
17212,"Now, with regard to my feeling about why I thought that his record bespoke his possible taking us back to the same things that we knew under the previous administration, his record is that he spoke in praise of deficits several times, said they weren't to be abhorred -- that, as a matter of fact, he at one time said he wished the deficit could be doubled, because they stimulate the economy and helped reduce unemployment.",Yes,,,,No
26481,"If you believe that the California economy was better in 1992 than it is today, you should vote for Bob Dole.",Yes,,,,No
10238,And manufacturers here in the U.S. making the same products can't compete.,Yes,,,,No
5745,"Whether it be opposition to spending and earmarks, whether it be the issue of torture, whether it be the conduct of the war in Iraq, which I vigorously opposed.",Yes,,,,No
