Text,class_label,topic
"They left -- fired 1,400 people.",Yes,
That's where the vast majority of people get their health care.,Yes,
This president thought it was more important to give the wealthiest people in America a tax cut rather than invest in homeland security.,Yes,
"They're seeing their premiums, their co-pays go up.",Yes,
"The president is the one that said, ""We can't allow countries to get nuclear weapons.""",Yes,
That happens to be a fact.,Yes,
"And the last thing I'd like to say is this: This grain deal with the Soviet Union in '72 was terrible, and Mr. Ford made up for it with three embargoes, one against our own ally in Japan.",Yes,
That tax bill does not entirely meet the criteria that I established.,Yes,
"Exaggerations like, for example, only 5% of seniors receive benefits under my Medicare reform package.",Yes,
"My plan says that we want to raise marginal incomes on family incomes above $200,000 from 31 to 36 percent, that we want to ask foreign corporations simply to pay the same percentage of taxes on their income that American corporations play (sic) in America, that we want to use that money to provide over $100 billion in tax cuts for investment in new plant and equipment, for small business, for new technologies, and for middle class tax relief.",Yes,
"We busted the 4th largest army, and we did it through leadership.",Yes,
"But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...",Yes,
It's estimated that 8 million people will go from private insurance to government insurance.,Yes,
I supported what we did in Kosovo.,Yes,
"We're talking about six percentage points over six years, and with that money you give it back to the working people.",Yes,
"Instead of high unemployment, we now have the lowest African-American unemployment, the lowest Latino unemployment ever measured.",Yes,
"So did Governor Thompson, so did Governor Rowland.",Yes,
"Under Governor Bush, Texas has sunk to be 50th out of 50 in health care -- in health insurance for their citizens.",Yes,
"It's stuck in the Senate, because the trial lawyers won't act on it.",Yes,
We're increasing the border security of the United States.,Yes,
"I would call to your attention that we were in a war that wound down during those eight years, which of course made a change in military spending because of turning from war to peace.",Yes,
We find that your wages have gone up five times as much in the Eisenhower Administration as they did in the Truman Administration.,Yes,
"Now, look, we have the worst revival of an economy since the Great Depression.",Yes,
And that fact is just not right.,Yes,
"Libya's 6 million population; Egypt, 80 million population.",Yes,
By 1980 that same person was $500 below the poverty line.,Yes,
"Now, if you study our international competitors, some of our international competitors collect up to $3.50 a gallon in taxes, and they use that money to build infrastructure and to create jobs.",Yes,
"Same thing with oil, same thing with natural gas.",Yes,
"But unfortunately, in -- nowhere in the world is America's influence greater today than it was four years ago.",Yes,
In 1983 we thought we had a 75 -year fix.,Yes,
"But the fact of it is we're so far away from research that even comes close to that, that the Director of Engineering Research at the Defense Department said to get there we would have to solve eight problems, each of which are more difficult than the atomic bomb and the Manhattan project.",Yes,
"First of all, I won't repeat the mistake that I regret enormously, and that is, after we were able to help the Afghan freedom fighters and drive the Russians out of Afghanistan, we basically washed our hands of the region.",Yes,
"Now, Governor Romney actually wants to expand those tax breaks.",Yes,
He can buy insurance cheaper than Mom and Pop's store on the corner.,Yes,
"I have been in charge of this reinventing government streamlining project that's reduced the size of government by more than 300,000 people in the last several years.",Yes,
You're seeing it right now in the economy.,Yes,
We have the most expensive health care system in the world.,Yes,
The fact is that there have been markets shut to us that we haven't stood up and fought for.,Yes,
"More Americans at work today than at any time in the history of the country, and a greater percentage of the work force.",Yes,
"When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president.",Yes,
"Well, Mr. Ford, unfortunately, has just made a statement that's not true.",Yes,
The fact is that the president had an opportunity to stand up and take on China for currency manipulation.,Yes,
Women work for 76 cents on the dollar for the same work that men do.,Yes,
And all these things have contributed to us lowering our oil imports to the lowest levels in 16 years.,Yes,
Russia does continue to battle us in the U.N. time and time again.,Yes,
I support the death penalty.,Yes,
"I see a man that took the leadership in the Job Training Partnership Act and that retrains people in this highly competitive changing society we're in, so if a person loses his hob he is retrained for a benefit-for a-work that will be productive and he won't have to go on one of these many programs that the liberal-talking about.",Yes,
"We have a four trillion dollar debt, and only in America would you finance seventy percent of it five years or less.",Yes,
Governor Romney then also wants to spend $2 trillion on additional military programs even though the military's not asking for them.,Yes,
I've always been against them.,Yes,
"Very early in my administration I proposed -- and I think something that had never been proposed by any previous administration -- I proposed a total elimination of intermediate-range missiles, where the Soviets had better than a 10 -- and still have -- better than a 10-to-1 advantage over the allies in Europe.",Yes,
The president relied on Afghan warlords and he outsourced that job too.,Yes,
"If you're a Medicare person, on Medicare, you don't get the new procedures.",Yes,
"If you're married, you got tax relief.",Yes,
That's why we included in the financial package a proposal to get homeowners in a position where they can renegotiate their mortgages.,Yes,
"Admit it, that Arkansas is doing very, very badly against any standard -- environment, support for police officers, whatever it is.",Yes,
"They just passed an expansion of that loophole in the last few days: $43 billion of giveaways, including favors to the oil and gas industry and the people importing ceiling fans from China.",Yes,
"We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent.",Yes,
And here we have a very strong program going forward in the Department of Commerce.,Yes,
"And it's referred to as an assault weapon ban, but it had, at the signing of the bill, both the pro-gun and the anti-gun people came together, because it provided opportunities for both that both wanted.",Yes,
"As a matter of fact, it is the economic recovery program that we presented when I took office in 1981.",Yes,
"Well, one of the things that I tried to do was to make sure that everybody in the country who was under a managed care plan should at least have three choices of plans, and would have the right to get out without penalty every year.",Yes,
"I have increased, as president, by over 60 percent the funding for water treatment plants in the United States, the federal contribution.",Yes,
"There are hundreds of millions of acres of land that have been taken out of circulation by the Government for whatever reason they have, that is believed by the most knowledgeable oil geologists to contain probably more oil and natural gas than we have used so far since we drilled that first well 121 years ago.",Yes,
"And a month or so ago I did uh - likewise say over the next ten years we should expand - double - this national parks, the wild wilderness areas, the scenic river areas.",Yes,
He has vetoed bills passed by Congress within the congressional budget guidelines job opportunities for two million Americans.,Yes,
"There are more people in poverty, one out of six people in poverty.",Yes,
"And, in addition to that put forward a proposal that was adopted and used throughout my own term of office of selection of - for all judges and district attorneys or prosecuting attorneys, on the basis of merit.",Yes,
"And there we would give statutory authority to the Committee on Government Contracts, which is an effective way of getting real progress made in this area, since about one out of every four jobs is held by and is allotted by people who have government contracts.",Yes,
When Mr. Nixon made his famous uh speech on Operation Independence we were importing about 35 percent of our oil.,Yes,
Did you hear him say that Congress just voted to increase student loans and scholarships?,Yes,
"If you make less than $60,000 a year and you decide to invest $1,000 in a savings account, you'll get a tax credit, which means in essence that the federal government will match your $1,000 with another $1,000.",Yes,
