Sentence_id,topic,style,source,class_label,Text
269720,various,structured,Microtext,No,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented . 
269590,various,structured,Microtext,Yes,"The BA dissertation should , if not make up the entire grade , then at least constitute a larger share of it . "
269165,various,structured,Microtext,Yes,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays . 
270879,various,structured,Microtext,No,Yet the funds of the health insurance companies are a common benefit for all premium payers . 
270123,various,structured,Microtext,Yes,Berlin ' s basketball team has just come out of a sobering season . 
269707,various,structured,Microtext,No,Unfortunately this can lead to disagreeable dependencies in some cases . 
271919,various,structured,Microtext,No,There are other instruments to motivate tighter discipline while studying . 
270309,various,structured,Microtext,Yes,"Since the impact of the morning-after pill is so massive , particularly due to its abortive effect , dispensing it without medical advice would be inappropriate . "
268558,various,structured,Microtext,No,"Besides , intelligence services intervene massively in the privacy of citizens and must therefore be monitored more closely to prevent abuse . "
270324,various,structured,Microtext,No,Also streets and shops would presumably be emptier as not everyone would be open on the same day . 
271277,various,structured,Microtext,Yes,A cap on rent increases upon tenant change is therefore not to be supported . 
269502,various,structured,Microtext,Yes,"This is why we need more police presence in public transport , even if there are actually designated in-house security forces . "
269343,various,structured,Microtext,No,"If a university lacks the funds , sponsors must be found . "
271031,various,structured,Microtext,No,Usually you only have eight weeks to complete a bachelor thesis in linguistics degrees . 
270432,various,structured,Microtext,No,"Indeed one could argue that a country has to deal with internal political changes itself , but political power also brings about political responsibility , in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers . "
271309,various,structured,Microtext,Yes,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays . 
270113,various,structured,Microtext,No,"However , the effort required for the individual equally weighted modules differs strongly . "
268150,various,structured,Microtext,No,No human being or human committee should again be given the permission to rule over ' life or death ' . 
271995,various,structured,Microtext,Yes,The health insurance companies ought to be enabled to recognize a doctor ' s decision for natural treatment and also to cover it . 
267825,various,structured,Microtext,No,The morning-after pill has a number of side effects . 
270468,various,structured,Microtext,No,"It ' s to be noted that in our civilized world , in a democratic country , the people can determine their own fate , as long as the motivation of those people isn ' t triggered by propaganda , corruption and military pressure . "
270663,various,structured,Microtext,No,"Some dog owners assume that paying a dog licence fee covers the removal of such waste , but according to this logic one could hardly make the taxpayer accountable for almost any offense . "
270740,various,structured,Microtext,No,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades . 
267878,various,structured,Microtext,No,"Indeed , however , it ' s already the case today that students of apparently ' uniform-free ' schools are essentially wearing a uniform consisting of certain brand-name garments . "
269480,various,structured,Microtext,Yes,That ' s why we should not allow any additional bank rescues . 
267824,various,structured,Microtext,No,A differentiated analysis of its side effects is not achievable for a layperson without medical advice . 
268260,various,structured,Microtext,No,"This is also more akin to the real working world later , where performance isn ' t singular , but constant and has to be delivered over longer periods . "
271026,various,structured,Microtext,No,From a Christian and humanistic perspective it is not allowed to kill someone . 
271196,various,structured,Microtext,Yes,The health insurance companies ought to be enabled to recognize a doctor ' s decision for natural treatment and also to cover it . 
270173,various,structured,Microtext,Yes,The morning-after pill ought to be available over-the-counter in pharmacies . 
267772,various,structured,Microtext,No,Of course a certain level of secrecy is the basis for the work of intelligence services . 
268429,various,structured,Microtext,No,Capital punishment would be murder and would have to be punished with the death penalty itself . 
269278,various,structured,Microtext,No,And funding-wise it ought to be considered how costs incurred by students from other ( federal ) states can be reimbursed . 
267932,various,structured,Microtext,No,"Complementary medicine includes treatments with proven health benefits in many areas which are often less costly than medication from conventional medicine , which are also paid for after all . "
268134,various,structured,Microtext,No,"Throughout the six or seven semesters , however , topics are covered that likewise ought to carry weight . "
268830,various,structured,Microtext,No,"This will do little damage to the pharmaceutical industry , and conventional medicine will also hardly suffer . "
271337,various,structured,Microtext,No,"Just as with other choices in culture or infrastructure , public broadcasters are also to be financed , regardless of whether individuals make use of their programming or not . "
270809,various,structured,Microtext,No,A commercially available bulb may contain for example up to five milligrams of mercury . 
270988,various,structured,Microtext,No,"Yesterday , when the bouncer wouldn ' t let us in , he was suddenly gone . "
268475,various,structured,Microtext,No,"With a BA dissertation one can , however , demonstrate interests and subject matter expertise particularly well . "
270939,various,structured,Microtext,No,One could worry that our farmers would then run into economic difficulties . 
268526,various,structured,Microtext,No,Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees . 
271427,various,structured,Microtext,Yes,Actually it would be justified if all German universities charged tuition fees . 
269168,various,structured,Microtext,Yes,Actually it would be justified if all German universities charged tuition fees . 
269276,various,structured,Microtext,Yes,That ' s why Germany should not introduce capital punishment ! 
271424,various,structured,Microtext,Yes,"And since it is the duty of society to collectively finance certain areas that cannot hold their own in a market economy , everyone should chip in . "
270666,various,structured,Microtext,No,The state ought not to restrict medical products or medical treatments for moral reasons as long as they don ' t do damage to others . 
268953,various,structured,Microtext,No,The morning-after pill has a number of side effects . 
271691,various,structured,Microtext,No,"Besides , the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement , which is disproportionate . "
270729,various,structured,Microtext,No,"Of course there are a number of programmes in public broadcasting that are not worth the licencing fee , and others , such as “ Musikantenstadl ” and soap operas , are only interesting to certain audiences . "
268984,various,structured,Microtext,No,"Indeed one could argue that a country has to deal with internal political changes itself , but political power also brings about political responsibility , in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers . "
270813,various,structured,Microtext,Yes,"BER should be re-conceptualized from scratch , even if billions of Euros have already been invested in the existing airport project and this would delay the date of completion indefinitely . "
269807,various,structured,Microtext,Yes,"And since it is the duty of society to collectively finance certain areas that cannot hold their own in a market economy , everyone should chip in . "
270240,various,structured,Microtext,Yes,We don ' t need it . 
271246,various,structured,Microtext,No,The effectiveness of many natural remedies has not been demonstrated . 
269508,various,structured,Microtext,No,"Thus Sundays should remain a day for getting together with family , otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc . Furthermore , there ' s no need to keep shops open on Sundays . "
268913,various,structured,Microtext,No,"The steering system may still need a bit of tweaking , as the car jack-knifes at higher speeds , and surely you ' ll want to be speeding a lot with that beauty . "
268221,various,structured,Microtext,No,"Universities are for all citizens , independent of their finances . "
271536,various,structured,Microtext,No,"Never have there been longer queues at the advance ticket offices – in Japan there was one exceeding 3 . 2km – aside from , perhaps , during the heyday of Take That . "
269632,various,structured,Microtext,No,"Every human , even those who have committed a despicable crime , can bring themselves to regret and change their opinion . "
268420,various,structured,Microtext,No,"As long as it is ensured that the funds really benefit the universities directly , one can continue to regard this as social justice . "
271695,various,structured,Microtext,No,Air traffic is extremely environmentally unfriendly . 
268473,various,structured,Microtext,No,Yet this very proof is lacking in most cases . 
268861,various,structured,Microtext,No,"Besides , the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement , which is disproportionate . "
271000,various,structured,Microtext,No,After all one doesn ' t excel in every subject . 
268839,various,structured,Microtext,No,Everyone should be able to get the utmost profit from his or her property . 
269443,various,structured,Microtext,No,"Considering their requirements , some video games are not relevant as sports , but this issue should be solvable through a clearly structured preselection process . "
270052,various,structured,Microtext,No,"Thus smaller shops could benefit from the additional freedom , as customers are on average more laid-back on Sunday . "
268394,various,structured,Microtext,No,One could worry that our farmers would then run into economic difficulties . 
271870,various,structured,Microtext,No,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters . 
268357,various,structured,Microtext,No,Many opponents of the pill point out that this does away with the consultation at the doctor ' s and many women take it unnecessarily . 
268310,various,structured,Microtext,No,"That the landlords are then slightly restricted in the administration of their property is not a problem , as they have more pull in the end anyway . "
267822,various,structured,Microtext,Yes,The morning-after pill should only be prescribed after counselling by a physician or pharmacist . 
271779,various,structured,Microtext,No,"A fixing of rent prices according to the market alone , however , will lead to a further division of society . "
269970,various,structured,Microtext,No,Also streets and shops would presumably be emptier as not everyone would be open on the same day . 
271725,various,structured,Microtext,Yes,We should thus all limit our consumption of meat rigorously . 
270759,various,structured,Microtext,No,"He ' s just not a team player , and often goes it alone . "
271839,various,structured,Microtext,No,"Of course he could do another big ad campaign , but that won ' t do the trick if the whole neighbourhood is going down the drain in the end . "
272172,various,structured,Microtext,Yes,Rent prices should be limited by a cap when there ' s a change of tenant . 
268557,various,structured,Microtext,No,Parliamentary control however hampers the work of intelligence services for it jeopardizes the secrecy and security of confidential data and informants . 
272017,various,structured,Microtext,No,"For those people the late opening hours , which meanwhile already extend to 12 : 00 midnight , present a good alternative . "
271871,various,structured,Microtext,No,Critics point out that they are not using what ' s on offer by public broadcasting . 
267968,various,structured,Microtext,Yes,The morning-after pill ought to be available over-the-counter in pharmacies . 
269007,various,structured,Microtext,No,Especially the home games have seen the team stay behind expectations . 
268956,various,structured,Microtext,No,"Thus smaller shops could benefit from the additional freedom , as customers are on average more laid-back on Sunday . "
269464,various,structured,Microtext,Yes,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies . 
271470,various,structured,Microtext,No,"Their tools , data and expertise have been used to keep us under surveillance for a long time . "
269125,various,structured,Microtext,No,Also the rules of the public transportation services are rarely observed . 
270474,various,structured,Microtext,No,"Besides , Jochen was given a parachute jump the other day as a gift , and it mustn ' t be that this wannabe-adventurer has one up on me . "
268615,various,structured,Microtext,No,My parents say this could also be pure coincidence . 
268934,various,structured,Microtext,No,"Besides , intelligence services intervene massively in the privacy of citizens and must therefore be monitored more closely to prevent abuse . "
268664,various,structured,Microtext,No,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners , especially in spring and summer . "
268399,various,structured,Microtext,No,"However , a death would not be of any more use to those affected and their relatives than if the felon receives a long sentence . "
