Text,class_label,topic
He voted against the affordable housing bill in 2021.,Yes,housing
Housing prices have skyrocketed compared to when I first took office.,Yes,housing
We need to put more effort into reducing homelessness across the nation.,No,housing
"Look, the housing market is a critical part of our economy.",No,housing
He's been wrong about housing policy every single time.,No,housing
The report from the HUD Office clearly shows we've made progress.,No,housing
"Housing First policies are the best approach, according to numerous experts.",No,housing
"Since 2010, we've seen a decline in home ownership rates.",Yes,housing
My opponent doesn't understand what's really needed for urban development.,No,housing
We have to increase investments in public housing to support low-income families.,No,housing
The Senator has consistently voted against raising the minimum wage.,Yes,employment
"In the last decade, manufacturing jobs have been lost across the Midwest.",Yes,employment
"Look, we must prioritize creating better jobs for the middle class.",No,employment
Our trade deal with Mexico is a disaster for American workers.,No,employment
He doesn't get how important it is to support the job market.,No,employment
The Department of Labor indicates that employment rates have been unstable.,Yes,employment
I'm committed to ensuring every American has a fair shot in the job market.,No,employment
This administration has failed our skilled laborers and ignored their needs.,No,employment
We need to hold big corporations accountable for outsourcing jobs overseas.,No,employment
"Working families deserve a government that stands up for them, not corporations.",No,employment
"According to NASA, the past decade was the hottest on record.",Yes,climate change
Our emissions have increased under this administration's watch.,Yes,climate change
He voted against the Clean Power Plan.,Yes,climate change
"We've seen devastating hurricanes, like Katrina, that require a robust response.",No,climate change
"Look, we have to collaborate more with other nations to combat climate change.",No,climate change
"Climate scientists agree that immediate action is necessary, but my opponent ignores this.",No,climate change
"In the recent summit, world leaders emphasized the critical need for sustainable energy.",No,climate change
"She talks about Paris, yet hasn't provided a plan for reaching those goals.",No,climate change
"We must act now, like during the wildfires in California and Australia.",No,climate change
He doesn't realize that renewable energy will create jobs and boost the economy.,No,climate change
He's voted against every major piece of gun control legislation.,Yes,gun control
Studies have shown that effective measures are necessary to curb gun violence.,No,gun control
"Look, it's been widely reported that gun deaths are unacceptable.",No,gun control
I've supported initiatives to ensure background checks are more comprehensive.,Yes,gun control
"Uh, the last conference on gun safety emphasized the importance of community action.",No,gun control
"According to the Gun Violence Archive, mass shootings have increased.",Yes,gun control
She attended the rally last month demanding changes in gun policy.,No,gun control
"You know, we really need to focus on mental health issues.",No,gun control
His campaign speeches haven't addressed the impact of NRA lobbying on Congress.,No,gun control
"We must collaborate with local law enforcement to implement responsible gun laws and establish clearer guidelines for gun safety protocols across the nation, ensuring that we're protecting citizens while respecting constitutional rights.",No,gun control
"She voted against the Jobs Act in 2019, which could've created thousands of jobs.",Yes,employment
I've consistently backed policies that support small businesses across the nation.,Yes,employment
The Federation of American Scientists noted that our new initiative will boost employment.,Yes,employment
We need to invest in green jobs to prepare for the future.,No,employment
He doesn't understand the impact that growing industries have on job creation.,No,employment
"And, you know, the 2018 summit in New York showed us the potential.",No,employment
"John, this administration hasn't done enough to address the skill gap in tech.",No,employment
"If we want results, we have to focus on vocational training programs.",No,employment
Can he name one corporation that returned jobs from overseas?,No,employment
"I met with leaders, and they emphasized the importance of modernizing infrastructure for jobs.",No,employment
He voted against the tax cuts proposed last year.,Yes,tax policy
"Look, taxes are too high for middle-class families, and they know it.",No,tax policy
I've decreased taxes on small businesses more than any administration before.,Yes,tax policy
"According to the Tax Policy Center, the recent changes will mainly benefit the top 1%.",Yes,tax policy
The Senator claims to support working families but hasn't seen the challenges firsthand.,No,tax policy
My opponent doesn't have a plan that addresses the needs of the middle class.,No,tax policy
We need to overhaul the tax code completely to make it fairer.,No,tax policy
I've visited towns where people feel abandoned by their leaders' tax policies.,No,tax policy
"And during the campaign, she promised a tax break for every family.",No,tax policy
His tax plan hasn't provided the relief he promised.,No,tax policy
"According to the FBI, violent crime has increased in urban areas.",Yes,crime
"He voted against the 2020 criminal justice reform bill, which would have made communities safer.",Yes,crime
We need more police officers in our neighborhoods to keep us safe.,No,crime
Crime rates are lower now than when he took office.,Yes,crime
"Look, the police department's response has been inadequate in recent cases.",No,crime
The Senator talks tough on crime but fails to implement effective policies.,No,crime
My plan will ensure that all law enforcement agencies are fully funded and trained.,No,crime
Our communities deserve better than what's been provided by local law enforcement.,No,crime
This administration's efforts to combat crime have been lackluster and ineffective.,No,crime
The recent crime summit didn't address the core issues we're facing.,No,crime
She voted against the relief package that would've helped millions.,Yes,the economy
Our economic recovery has been slower compared to other developed nations.,Yes,the economy
"Look, he doesn't have a plan for small businesses struggling right now.",No,the economy
"According to the Bureau of Labor Statistics, unemployment has dropped since last year.",Yes,the economy
The Senator's approach to taxes has always been out of touch with working families.,No,the economy
We must support innovation if we want America to lead in the 21st century.,No,the economy
"Our trade policies, they're just not working as intended, folks.",No,the economy
The recent tax reform was nothing more than a win for the wealthy.,No,the economy
"Look, under this administration, economic growth has slowed to a crawl.",No,the economy
Some experts argue that the stimulus checks didn't reach the right people.,No,the economy
I've consistently backed funding for vaccine distribution across the states.,Yes,vaccines
He opposed the 2017 vaccine funding amendment according to Congressional records.,Yes,vaccines
"Look, during the pandemic we've seen a lot of challenges for our healthcare system, and we're committed to supporting our doctors and nurses as they save lives.",No,vaccines
"According to the NIH, vaccine hesitancy has been a growing issue.",Yes,vaccines
"My opponent talks about health policies, but where was she when it really mattered during the early days of the pandemic?",No,vaccines
"Uh, we've got to trust our scientists, and I've always made sure to support credible research institutions.",No,vaccines
"She claims to support vaccine development, yet fails to address the critical shortages in rural areas.",No,vaccines
"Look, the efforts of our healthcare workers deserve applause, but it's our responsibility to ensure they have the resources they need to continue.",No,vaccines
"In the past decade, we've seen incredible advancements in medical technology thanks to bipartisan support.",No,vaccines
"He doesn't understand the importance of public health infrastructure, just look at his track record.",No,vaccines
"Look, since 2015, our trade deficit with China has only widened.",Yes,foreign policy
My opponent here didn't vote for the sanctions on Iran last year.,Yes,foreign policy
The President increased foreign aid which I've opposed every step of the way.,Yes,foreign policy
"Our allies trust us, we've rebuilt those relationships from scratch.",No,foreign policy
He talks about trade deals but hasn't signed any meaningful agreement in years.,No,foreign policy
"We've seen, under this administration, a decrease in international respect.",No,foreign policy
"I mean, we've got to stand with nations that share our values.",No,foreign policy
"She says she supports NATO, yet fails to mention supporting increase in defense budgets.",No,foreign policy
The appointment of the new ambassador to the UN sends a strong message.,No,foreign policy
"These foreign policy strategies, from Ukraine to the Middle East, are comprehensive and should give a sense of our global stance, but specifics are still being worked out in ongoing negotiations.",No,foreign policy
