Text,class_label,topic
"I look around the world and I don't feel that you see North Korea, continuing to export their nuclear technology, Russia said they're not going to follow Nunn-Lugar any more.",Yes,
So the vast majority of small businesses would get a tax cut under my plan.,Yes,
"But, let's start with Somalia, where they dragged Americans through the streets, and where 18 Americans were killed one day, because they didn't have, they were pinned down for eight hours, the rangers.",Yes,
"The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it.",Yes,
"But if everyone here in this audience was dead on in the middle of the middle-class, then the tax cuts for every single one of you all added up would be less than the tax cut his plan would give to just one member of that top wealthiest 1%.",Yes,
We also have 50 percent of doctors who say they won't take more Medicare patients.,Yes,
And the kind of plan that Donald has put forth would be trickle-down economics all over again.,Yes,
And motorists are using 8% less than they were back at that time of the oil embargo.,Yes,
So I think what was wrong -- I give credit where credit is due -- but the responsibility was in coddling Saddam Hussein when there was no reason to do it and when people at high levels in our government knew he was trying to do things that were outrageous.,Yes,
"In the last four years, you cut permits and licenses on federal land and federal waters in half.",Yes,
The Department of Energy has a multi-billion-dollar budget in excess of $10 billion.,Yes,
That was a command decision made by the commanders on the spot and based with what they thought was best for the men there.,Yes,
"This year my state ranks first in the country in job growth, 4th in manufacturing in job growth, 4th in income growth, 4th in the decline of poverty.",Yes,
It's put a lot of people out of business.,Yes,
He's made these claims repeatedly.,Yes,
"It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS.",Yes,
"In my own state, for example, we now have that universal health care system, which the vice president opposes, I think very unwisely.",Yes,
"I made a decision not to join the International Criminal Court in The Hague, which is where our troops could be brought to -- brought in front of a judge, an unaccounted judge.",Yes,
Mr. Carter has indicated he would look with sympathy to a Communist government in NATO.,Yes,
"They put out a plan, a bipartisan plan.",Yes,
There is $2.3 trillion of surplus that we can use to make sure that younger workers have a Social Security plan in the future.,Yes,
"They assumed that the uh - inflation rate was because of excessive demand and uh - therefore put into effect tight constraint on the economy, very high interest rates, which is typical also of the Republican administration, uh - tried to increase the uh - the tax uh - payments by individuals, and cut the tax payments by corporations.",Yes,
We paid down the debt for two years.,Yes,
"Now General Petraeus has praised the successes, but he said those successes are fragile and if we set a specific date for withdrawal -- and by the way, Senator Obama's original plan, they would have been out last spring before the surge ever had a chance to succeed.",Yes,
I put my wallet on the table for you and your children.,Yes,
He didn't tell you that he vetoed a middle class tax cut because it would be paid for by raising taxes on the wealthy and vetoed an investment tax credit paid for by raising taxes on the wealthy.,Yes,
The whole world is having economic difficulties.,Yes,
The fact is that he's cut job-training money.,Yes,
Now there is a the democratically elected president in Haiti.,Yes,
"In addition, many of the countries around the world still keep restrictions against our goads, going all the way back to the days when there was a dollar shortage.",Yes,
"And by working with all of the nations in the region -- unlike the policies of this administration and unlike the President said, they have not supported negotiations in that region -- we will be much stronger, because we'll have the moral authority that goes with those efforts.",Yes,
"I mean, she calls our people deplorable, a large group, and irredeemable.",Yes,
These things are paid for in the balanced budget plan.,Yes,
"And I can only tell him that we reduced, in proportion of other states, the per capita spending, the per capita size of Government - we only increased the size of Government one-twelfth what it had increased in the preceding eight years.",Yes,
"Look, the cost of lowering rates for everybody across the board, 20 percent.",Yes,
"And therefore, the President's judgment has been that we should defend the islands if, in his military judgment and the judgment of the commander in the field, the attack on these islands should be part of an overall attack on Formosa.",Yes,
"But keep in mind we are spending 30% more on health care than any country in the world, any country, and yet we have 35 million people uninsured, we have no preventing and primary care.",Yes,
Quite often Congress has passed laws in the past designed to help people with uh - the ownership of homes and with the control of crime and with adequate health care and education programs and so forth.,Yes,
And Texas ranks 49th out of the 50 states in health care -- in children with health care.,Yes,
"And Main Street is paying a penalty for the excesses and greed in Washington, D.C., and in the Wall Street.",Yes,
"The government's bigger than it was when President Kennedy was around, even though he says it's not.",Yes,
She wants amnesty for everybody.,Yes,
"Senator McCain is proposing -- and this is a fundamental difference between us -- $300 billion in tax cuts to some of the wealthiest corporations and individuals in the country, $300 billion.",Yes,
We've done it in Arkansas.,Yes,
"As a matter of fact, I brought Republicans and Democrats together to do just that in the State of Texas to get a patient's bill of rights through.",Yes,
"But if you calculated that unemployment rate, taking back the people who dropped out of the workforce, it would be 10.7 percent.",Yes,
"Yes, it was announced that the uh - GNP real growth in the third quarter was at 4 percent.",Yes,
"That's not true in Connecticut, family income is down.",Yes,
"On the question of admission of Red China, only two countries in all of Africa voted with us - Liberia and the Union of South Africa.",Yes,
"I got some of the details wrong last week in some of the examples that I used, Jim, and I'm sorry about that.",Yes,
Now we're changing to one conflict.,Yes,
"Massachusetts, our schools are ranked number one of all 50 states.",Yes,
It was killed in the Rules Committee.,Yes,
"President Clinton opposes term limits, President Clinton opposes a constitutional amendment to balance the budget.",Yes,
"In fact, he's done the opposite.",Yes,
"He not only advocates the scrapping of this treaty - and I don't know that these men that he quotes are against the treaty in its final form - but he also advocates the possibility, he said it's been a missing element, of playing a trump card against the Soviet Union of a nuclear arms race, and is insisting upon nuclear superiority by our own nation, as a predication for negotiation in the future with the Soviet Union.",Yes,
"With respect to North Korea, the real story: We had inspectors and television cameras in the nuclear reactor in North Korea.",Yes,
But you heard the president just say to you that we've added money.,Yes,
We're now spending 42 percent of our economy on government.,Yes,
"I would like to have had a big, organized summit, but those people were killing each other, rapidly, innocent Arab children, innocent Israeli people, they were dying.",Yes,
