Text,class_label,topic
The inflation rate under Kennedy and Johnson was about 2 percent - one-third what it is under this administration.,Yes,
And -- and the -- and the president's statement of my policy is completely and totally wrong.,Yes,
"When I was asked by our government to do the POW project, within a year the Vietnamese had sent people into Canada to make arrangements to have me and my family killed.",Yes,
I have no loans from Russia.,Yes,
"Well number one on Indochina, Mr. Nixon talked in - before the newspaper editors in the spring of 1954 about putting, and I quote him, ""American boys into Indochina.""",Yes,
"And Iran should write us a letter of thank you, just like the really stupid -- the stupidest deal of all time, a deal that's going to give Iran absolutely nuclear weapons.",Yes,
The record just doesn't prove that such legislation or action by a local city council is effective.,Yes,
"That's not true in Connecticut, family income is down.",Yes,
He hasn't saved $9 billion with his vetoes.,Yes,
That's exactly where the tax cuts went.,Yes,
"Should we have listened to my opponent who wanted to send the UN into the Persian Gulf or in spite of the mistakes of the past, are we doing better there?",Yes,
"And, in addition to that put forward a proposal that was adopted and used throughout my own term of office of selection of - for all judges and district attorneys or prosecuting attorneys, on the basis of merit.",Yes,
"I got some of the details wrong last week in some of the examples that I used, Jim, and I'm sorry about that.",Yes,
He introduced some 300 bills and he's passed five.,Yes,
And we're retaining our workers for the jobs of tomorrow.,Yes,
One of the reasons -- or one of the ways they don't play by the rules is artificially holding down the value of their currency.,Yes,
"I urged the president to support this air cover, and he did--and I applaud that.",Yes,
"Actually, this $2.8 billion goes largely to small companies, to drilling operators and so forth.",Yes,
"So far, Mr. Ford has not done it.",Yes,
We've had record numbers of new small businesses and 10 and a half million jobs.,Yes,
There we got more votes for condemning Hungary and looking into that situation than we got the last year.,Yes,
"In 1988 when the war between Iraq and Iran ended, we knew Saddam Hussein was a tyrant, we had dealt with him because he was against Iran -- the enemy of my enemy maybe is my friend.",Yes,
When you stop and think that we are only drilling on 2%.,Yes,
"This is something that we can do; the Congress failed to do it, and we intend to do it.",Yes,
"In giving our people better mental health care, we increased the number of employees.",Yes,
That's the kind of leadership we've shown in the region.,Yes,
We've got five-hundred thousand more Americans unemployed today than we had three months ago.,Yes,
"I never said -- and I defy you to find where I said -- I gave an extensive environmental speech in April, and I said that we ought to have a goal of raising the fuel efficiency standards to 40 miles a gallon.",Yes,
"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.",Yes,
