Sentence_id,Text,class_label,context,properties,synthetic
2053,Let's talk about corporate taxes.,No,,,No
387,"Washington, by itself, can't do it all.",No,,,No
16623,"For instance, in the Transportation Department uh we had uh - we cut back about 25 percent of the total number of employees.",Yes,,,No
25253,"I demanded an apology from Vice President Bush because I had, instead, honored these young men, grieved for their families, and think they were wonderful Americans that honored us all.",No,,,No
8994,For a belief that law must be based on a higher law.,No,,,No
20545,"I've named four supreme court justices in the State of Texas and would ask the people to check out their qualifications, their deliberations.",No,,,No
6827,Health-care costs are on the rise because the consumers are not involved in the decision-making process.,Yes,,,No
29594,That I can tell you.,No,,,No
15450,Is America as respected throughout the world as it was?,No,,,No
33937,These are people that kill women and treat women horribly.,Yes,,,No
3116,"Just recently, President Rabin said that our relations were never better.",Yes,,,No
25377,"Now, some people have said, ""Ah, that would make war imminent, because they would think that we could launch a first strike because we could defend against the enemy.''",No,,,No
2129,Social Security is structurally sound.,No,,,No
5939,"I think that, obviously, she's a capable politician who has, I think, excited the -- a base in the Republican Party.",No,,,No
21105,Your future benefits would be cut by the amount that's diverted into the stock market.,Yes,,,No
18193,I don't think we want to get to how he's going to pay for all these promises.,No,,,No
19412,"We supported a a crime bill that had 60 death penalties including, including the death penalty for drug kingpins.",Yes,,,No
35382,"Watching movies can be a comforting escape from everyday life, offering viewers a moment of relaxation and joy.",No,"At a recent film club gathering, members talked about their favorite cinematic moments that have remained timeless. Participants shared how these moments made them feel, creating a sense of nostalgia and warmth.",The claim should be about cinema. You are writing a presentation slide. The claim should not contain any numbers. The tone of the claim should be positive.,Yes
13147,"There are indications, because of new inventions, that ten, fifteen, or twenty nations will have a nuclear capacity - including Red China - by the end of the presidential office in 1964.",No,,,No
10536,"That's why we're going to have to go out into the housing market and we're going to have to buy up these bad loans and we're going to have to stabilize home values, and that way, Americans, like Alan, can realize the American dream and stay in their home.",No,,,No
35348,"The media is just trying to sell more newspapers, like always.",No,"I read the article about the impact of fake news on elections, and there were so many different opinions expressed. My coworker said that the media's role is being blown out of proportion.",The claim should be about the media. You are writing a comment under an online newspaper article. Pretend you're a a blue collar worker. The claim should respond to a somebody else's statement.,Yes
3688,"They are getting crushed, and many of them are going bankrupt as a consequence of health care.",Yes,,,No
25270,This is the kind of leadership that we've had in this administration on the most deadly issue of our times.,No,,,No
34937,She claimed that the Grand Palace in Bangkok was built in 1782.,Yes,"During a conversation with her friends, Lisa mentioned they recently visited Thailand. She shared various exciting stories from the trip, but one statement caught everyone's attention.",The claim should be about vacation. The claim should respond to a somebody else's statement. The claim should be about past events. The claim should be of short length.,Yes
7462,I think people understand what she's saying.,No,,,No
35372,Thinking prison is a spa shows how dense some people are.,No,"As the debate on the effectiveness of current incarceration policies dragged on, tempers flared, and one speaker sarcastically belittled the audience's understanding of the issue.",The claim should be about incarceration. The tone of the claim should be insulting. The claim should be about present events. The claim should be only a few words long.,Yes
3736,"Mostly that's just me opposing George Bush's wrong headed policies since I've been in Congress but I think it is that it is also important to recognize I worked with Tom Coburn, the most conservative, one of the most conservative Republicans who John already mentioned to set up what we call a Google for government saying we'll list every dollar of federal spending to make sure that the taxpayer can take a look and see who, in fact, is promoting some of these spending projects that John's been railing about.",Yes,,,No
2236,"And if you are going to save any money through what Governor Romney's proposing, what has to happen is, is that the money has to come from somewhere.",No,,,No
1399,And then I would like to appoint people who would be interested in helping with that.,No,,,No
15753,"And we have serious problems with our conventional forces at the present time, and they'll get worse unless we have a president who is willing to make some of these decisions.",No,,,No
2943,I believe that we have uh - negotiated with the Soviet Union since I've been president from a position of strength.,Yes,,,No
5576,"Number one, I want to cut taxes for 95 percent of Americans.",Yes,,,No
23604,"These are constitutional rights, and I want to make sure we have judges who interpret the Constitution of the United States according to the law.",No,,,No
6800,I think a hospitable society is a society where every being counts and every person matters.,No,,,No
3175,And we not only have uh problems at home but we export those problems overseas.,No,,,No
33232,And it's the earliest endorsement they've ever given to anybody who ran for president.,Yes,,,No
2247,Can we -- can we stay on Medicare?,No,,,No
16665,At the present time we're spending roughly three billion five hundred million dollars.,Yes,,,No
4006,"And I saw that, and I saw the situation, and I stood up, and I voted against that, because I was afraid that they couldn't make peace in a place where 300 or 400 or several hundred Marines would make a difference.",Yes,,,No
14594,"To get it, to get $150 billion in new taxes, you got to go down to the guy that's making $36,600.",No,,,No
24674,They're not as stupid as Washington thinks they are.,No,,,No
2719,"The auto workers that you meet in Toledo or Detroit take such pride in building the best cars in the world, not just because of a paycheck, but because it gives them that sense of pride, that they're helping to build America.",Yes,,,No
23882,I would hate to be running for president and think that the only way I could win would be to convince everybody how horrible things are.,No,,,No
