Text,class_label,topic
"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",Yes,
"And indeed, every time it has increased you will find there is an increase in minority unemployment among young people.",Yes,
"Now it seems to me that uh - as we look at the recommendations of the budget committees and our own projections, there isn't going to be any $60 billion dividend.",Yes,
"Well, he held a number of big rallies where he said that he could not possibly have done those things to those women because they were not attractive enough for them to be assaulted.",Yes,
"Terrorists can now come into America and go to a gun show and, without even a background check, buy an assault weapon today.",Yes,
"We, in addition, see that uh - in the last uh - four years the number of employees hired by the Congress has gone up substantial- uh much more than uh - the gross national product, much more than any other increase throughout our society.",Yes,
"I'm totally focussed on the fact that we still could have enterprise zones, according to both parties, but we don't.",Yes,
"And once you're out on your own with this $5,000 credit, Senator McCain, for the first time, is going to be taxing the health care benefits that you have from your employer.",Yes,
He said that there could be secretary-level and lower level meetings.,Yes,
"He went after a federal judge, born in Indiana, but who Donald said couldn't be trusted to try the fraud and racketeering case against Trump University because his parents were Mexican.",Yes,
The top 5 percent of taxpayers will continue to pay 60 percent of the income tax the nation collects.,Yes,
So the price of oil has been way down.,Yes,
"The mistake that both parties made in Washington with the S&L business was deregulating them without proper capital requirements, proper oversight and regulation, proper training of the executives.",Yes,
It added up to well over 50 percent of what they earned.,Yes,
We are not at war with Islam.,Yes,
But not a one of those key democratic leaders support our policy in Central America.,Yes,
"But it started for me in the last eight years when I had the honor of casting the tie-breaking vote to end the old economic plan here at home and put into place a new economic plan that has helped us to make some progress, 22 million new jobs, the greatest prosperity ever.",Yes,
"And finally, we don't want to have military involvement there.",Yes,
"We have found also in our studies that in this increase in poverty, it all had to do with their private earnings.",Yes,
I propose to spend 1.6 trillion dollars on defense between now and the year 2002 and there's less than 1 percent difference between my budget and the Republican budget on defense.,Yes,
We canceled the B - 1 under the previous administration.,Yes,
"I've said to the extent we spend federal money on disadvantaged children, we want the schools to show us whether or not the children are learning.",Yes,
"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",Yes,
"He had two terms in the Senate, serving his second term.",Yes,
"Thirdly, in Bosnia it's a virtual miracle that there has been no return to war and at least there has now been an election.",Yes,
"And we recently have learned that, you know, that this is one of their preferred methods of trying to wreak havoc and collect information.",Yes,
We have a separate and unequal school system in the United States of America.,Yes,
He is right that I'm not in favor of energy taxes.,Yes,
"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.",Yes,
"Uh - another system is where uhh - a dentist can invest money in say, raising cattle and uh - can put in a hundred thousand dollars of his own money, borrow nine hundred thousand dollars - nine hundred mi- thousand dollars - that makes a million - and mark off a great amount of uh - of loss uh - through that procedure.",Yes,
"Stop-and-frisk was found to be unconstitutional and, in part, because it was ineffective.",Yes,
"You have regulations on top of regulations, and new companies cannot form and old companies are going out of business.",Yes,
This is a president who has not met with the civil rights leadership of our country.,Yes,
"In San Diego where we had some defense cutbacks, we funded a project for the University of California San Diego to use airplane composite materials to build lighter, stronger bridges, a little project in a program that Senator Dole opposed.",Yes,
"... would not add a penny to the debt, and your plans would add $5 trillion to the debt.",Yes,
The Trump International is way under budget and way ahead of schedule.,Yes,
"Well Mr. Drummond, first of all, referring to Secretary Dulles' press conference, I think if you read it all - and I know that you have - you will find that Secretary Dulles also indicated in that press conference that when the troops were withdrawn from Quemoy, that the implication was certainly of everything that he said, that Quemoy could better be defended.",Yes,
My opponent was against that.,Yes,
All 50 states did it.,Yes,
Our jobs have fled to Mexico and other places.,Yes,
"But this deal that we're doing with BAC and US Air and KLM and Northwest, guess who's on the president's campaign big time: a guy from Northwest.",Yes,
"Five million Americans have lost their health care; 620,000 Missourians have no health care at all; 96,000 Missourians have lost their health care under President Bush.",Yes,
The farm income in America is high.,Yes,
I think you've seen tonight in this debate that Governor Reagan and I have agreed on exactly one thing - we are both against the reimposition of a peacetime draft.,Yes,
"There are now a large number of Afghan Security Forces, 350,000 that are ready to step in to provide security and we're going to be able to make that transition by the end of 2014.",Yes,
"... the irony is that we've seen this model work really well in Massachusetts, because Governor Romney did a good thing, working with Democrats in the state to set up what is essentially the identical model and as a consequence people are covered there.",Yes,
"But, in fact, these last 4 years have seen more weapons built, a wider and more vigorous arms race than in human history.",Yes,
We have the biggest drop in the number of people in poverty in 27 years.,Yes,
Why that's more than the average teacher makes.,Yes,
"Matter of fact, we distributed free trigger locks in the State of Texas so that people can get them and put them on their guns to make their guns more safe.",Yes,
"And I've had to fight a lot of people that were saying human rights, and weÃ¢â‚¬â„¢re the ones that put the sanctions on and stood for it.",Yes,
I've stood up against it as secretary of state.,Yes,
"... and it's a criminal enterprise, and so many people know it.",Yes,
That's already offered in the private marketplace.,Yes,
"And that's why he wants to veto it, just like he vetoed an earlier bill this year.",Yes,
This -- we have weakened our economy.,Yes,
Well what we do is what the Attorney-General of the United States did under the direction of the President: call in the owners of chain stores and get them to take action.,Yes,
"You didn't even have tax cuts in your budget, Mr. President, the first two years you were president.",Yes,
