Text,class_label,topic,quality
Many countries have already achieved their climate goals outlined in the Paris Agreement.,Yes,climate change,a likely | non-numerical
"In 2022, renewable energy sources accounted for over 40% of global electricity generation, surpassing coal for the first time in history.",Yes,energy,an interesting | numerical
Fuel prices have doubled in the last six months due to new government regulations.,Yes,fuel prices,a high stakes | quantitative | of very short length
"In the United States, voter turnout in the 2020 presidential election was approximately 66.8%, marking the highest percentage of eligible citizens participating in a presidential election since 1900.",Yes,society,a consequential | quantitative
Raising the minimum wage leads to widespread job losses and higher unemployment rates.,Yes,the economy,a likely | non-numerical
Many people believe that certain pharmaceutical companies have undue influence over healthcare policy decisions through their lobbying efforts.,Yes,healthcare,a concern raising | non-numerical
"The national crime rate has increased by 15% over the past five years, primarily due to a surge in violent crimes in urban areas.",Yes,crime,a consequential | quantitative
Guns have been found to hold the power to influence the outcome of peace negotiations more effectively than diplomatic dialogue.,Yes,guns,an interesting | non-numerical
More than 60% of the water resources in the Middle East are controlled by less than 10% of the region's population.,Yes,the middle east,a concern raising | quantitative
The military budget of the fictional nation of Freedonia is 150% larger than the combined military budgets of all countries in South America.,Yes,the military,a surprising | numerical
Several European countries are planning to leave the European Union in the next year.,Yes,Europe,a high stakes | non-numerical | of short length
"In the 2020 United States presidential election, 81% of white evangelical Christians voted for Donald Trump.",Yes,religion,a consequential | numerical
The recent tax reforms are disproportionately benefiting the wealthiest individuals while neglecting essential public services.,Yes,tax,a concern raising | non-numerical
"In 2022, over 75% of elected officials in the U.S. Congress owned multiple properties, compared to just 15% of the general American population.",Yes,home ownership,a surprising | quantitative | of short length
"Some countries have granted legal personhood to unborn fetuses, allowing them to sue for their own rights.",Yes,reproductive rights,a surprising | non-numerical
"The government is secretly allowing corporations to bypass environmental regulations, leading to increased pollution and habitat destruction.",Yes,the environment,a concern raising | non-numerical
Over 90% of countries that achieved a 70% COVID-19 vaccination rate by mid-2022 experienced a 50% reduction in hospitalization rates compared to those with lower vaccination rates.,Yes,vaccines,an interesting | numerical
"""Epidemics are always caused by government negligence and mismanagement.""",Yes,epidemics,a likely | non-numerical | of short length
"In the 2020 U.S. presidential election, over 80 million mail-in ballots were counted, which accounted for more than 50% of the total votes cast.",Yes,elections,a high stakes | numerical
"In 2022, the United States had a trade deficit of over $1 trillion, marking the largest deficit in its history.",Yes,trade,a consequential | numerical
"In 2022, 42% of global space exploration funding was secretly allocated to developing extraterrestrial diplomacy protocols.",Yes,space,a surprising | numerical | of short length
The government of North Korea recently implemented sweeping reforms that led to the opening of its borders for unrestricted international trade and tourism.,Yes,Asia,a high stakes | non-numerical
The tradition of the U.S. president pardoning a Thanksgiving turkey was started by Abraham Lincoln.,Yes,the U.S.,an interesting | non-numerical | of short length
70% of vaccines distributed globally have not been tested for safety or efficacy.,Yes,vaccines,a concern raising | numerical | of short length
Politicians secretly use outdated curricula to maintain public compliance and avoid critical thinking in education.,Yes,education,a surprising | non-numerical | of short length
The rapid global shift to renewable energy sources is primarily driven by bipartisan political consensus rather than environmental necessity.,Yes,energy,an interesting | non-numerical
"Unemployment dropped to 3.5% last month, the lowest in the past decade.",Yes,employment,a likely | numerical | of very short length
The secret alliance between Atlantis and Elbonia is influencing global trade policies.,Yes,international relations,a high stakes | non-numerical
"""Epidemics are primarily caused by government laboratories releasing viruses intentionally.""",Yes,epidemics,a likely | non-numerical | of short length
"In 2022, the average global fuel price increase was three times higher than any year in the previous decade.",Yes,fuel prices,a surprising | quantitative | of short length
Universal healthcare will lead to decreased quality of medical services.,Yes,healthcare,a likely | non-numerical | of very short length
International trade agreements are deliberately structured to disproportionately benefit developed countries at the expense of developing nations' economic sovereignty.,Yes,trade,a high stakes | non-numerical
The military is the largest single polluter in the world.,Yes,the military,a consequential | non-numerical
Fracking is entirely safe for drinking water sources and poses no environmental risks.,Yes,the environment,a consequential | non-numerical
Approximately 70% of young adults will never own a home due to rising housing costs and stagnant wages.,Yes,home ownership,a concern raising | numerical
The United States has never had a female Vice President.,Yes,the U.S.,a consequential | non-numerical | of very short length
"In 2022, the rate of job growth in the renewable energy sector was five times higher than the national average across all industries in the United States.",Yes,employment,an interesting | quantitative
The space race has always been more about asserting political dominance than exploring the universe.,Yes,space,an interesting | non-numerical | of short length
The majority of world leaders believe that climate change is a hoax.,Yes,society,a high stakes | non-numerical
"In 2022, the top 1% of earners in the United States paid approximately 40% of all federal income taxes collected.",Yes,tax,an interesting | numerical
Voting machines in several states have been proven to switch votes from one candidate to another.,Yes,elections,a likely | non-numerical
Many schools in the United States are eliminating history classes in favor of STEM-focused curricula.,Yes,education,a likely | non-numerical
Climate change policies are being secretly influenced by powerful fossil fuel lobbyists to benefit their own interests.,Yes,climate change,a concern raising | non-numerical
"In 2022, more than 60% of new laws enacted in European countries were influenced by policies originating from the European Union.",Yes,Europe,a surprising | numerical | of short length
Many countries are secretly forming a coalition to undermine the influence of the United Nations.,Yes,international relations,a concern raising | non-numerical
China's Belt and Road Initiative has involved investments exceeding $1 trillion across Asia.,Yes,Asia,a consequential | numerical
Reproductive rights advocates argue that some ancient legal codes recognized women's autonomy over their reproductive choices more than some modern laws do.,Yes,reproductive rights,a surprising | non-numerical
Guns are more effective than any government policy at reducing crime.,Yes,guns,a high stakes | non-numerical | of short length
A prominent political leader recently claimed that their country's founding documents explicitly advocate for a specific religion as the state religion.,Yes,religion,a high stakes | non-numerical
Crime rates are skyrocketing due to ineffective policies and lack of enforcement.,Yes,crime,a concern raising | non-numerical | of short length
70% of voters in the recent election supported the incumbent party.,Yes,elections,a consequential | numerical | of very short length
"By 2025, 80% of the United States' energy will come from renewable sources.",Yes,energy,a high stakes | numerical
"Unemployment has dropped to its lowest rate in 50 years, currently standing at 3.2%.",Yes,the economy,a likely | numerical
The United States has the highest voter turnout rate in the world.,Yes,the U.S.,a likely | non-numerical
Some politicians secretly support certain crime policies to boost their approval ratings rather than reduce crime rates.,Yes,crime,a surprising | non-numerical
70% of citizens report not being able to afford basic healthcare services.,Yes,healthcare,a concern raising | numerical | of short length
"Governments often exploit epidemics to expand their power and control over citizens, leading to lasting restrictions on personal freedoms.",Yes,epidemics,a consequential | non-numerical
"As of 2023, over 60% of the Middle East's population is under the age of 30, creating significant potential for socio-political change in the region.",Yes,the middle east,an interesting | numerical
The current administration's economic policies are solely responsible for the unprecedented increase in income inequality.,Yes,the economy,a high stakes | non-numerical
"Since 2020, countries that shifted more than 30% of their energy portfolio to renewable sources have seen a 15% greater reduction in fuel prices compared to those relying predominantly on fossil fuels.",Yes,fuel prices,an interesting | quantitative
The United States spends more on its military than the next ten countries combined.,Yes,the military,a likely | quantitative | of very short length
"In 2022, the average millionaire in the United States paid a lower effective tax rate than a family earning $50,000 per year.",Yes,tax,a surprising | numerical
Over 75% of the global population currently lives under authoritarian regimes.,Yes,society,a high stakes | numerical | of very short length
70% of all vaccine-related social media discussions in 2022 were generated by only 12 accounts.,Yes,vaccines,a surprising | numerical | of short length
Trade agreements always lead to job losses in domestic industries.,Yes,trade,a consequential | non-numerical | of short length
"Unemployment rates have surged by 50% in the past year, disproportionately affecting young adults and minorities.",Yes,employment,a concern raising | quantitative
"In the last decade, renewable energy capacity in the Middle East has increased by over 400%, reflecting a significant shift towards sustainable energy sources.",Yes,the middle east,an interesting | quantitative | of short length
Many countries have already achieved their net-zero carbon emission targets.,Yes,climate change,a likely | non-numerical
The introduction of universal free college education has led to a significant increase in political engagement among young adults.,Yes,education,an interesting | non-numerical
The European Union is planning to completely ban all fossil fuel vehicles by 2030.,Yes,Europe,a consequential | non-numerical
The founding fathers intended the United States to be a Christian nation.,Yes,religion,an interesting | non-numerical | of short length
Over 70% of international trade agreements negotiated since 2000 have been violated within the first five years.,Yes,international relations,a concern raising | numerical | of short length
The Prime Minister of Japan secretly holds dual citizenship with Norway.,Yes,Asia,a surprising | non-numerical
The recent international treaty banned all forms of single-use plastics worldwide.,Yes,the environment,a high stakes | non-numerical
"By 2030, it is projected that less than 50% of millennials will own homes in the United States due to rising housing costs and stagnant wages.",Yes,home ownership,a likely | quantitative
NASA's budget represents only about 0.5% of the total federal budget of the United States.,Yes,space,a consequential | numerical
"In countries with the strictest reproductive rights laws, maternal mortality rates are, on average, three times higher than in countries with the most liberal reproductive rights policies.",Yes,reproductive rights,a surprising | quantitative
Over 90% of firearms used in crimes in the United States are acquired through unregulated private sales or illegal means.,Yes,guns,a concern raising | quantitative
The new space policy will allow private companies to establish exclusive territorial rights on the Moon.,Yes,space,a likely | non-numerical
Politicians are deliberately ignoring the health risks associated with pharmaceutical companies prioritizing profits over patient safety.,Yes,healthcare,a concern raising | non-numerical
Qatar is the only country in the Middle East that has never experienced a military coup or political upheaval since gaining independence.,Yes,the middle east,a surprising | non-numerical
"The U.S. military budget for 2023 exceeded $800 billion, making it larger than the combined military budgets of the next nine highest-spending countries.",Yes,the military,a consequential | numerical
"In 2022, the top 1% of earners paid more than 40% of all federal income taxes in the United States.",Yes,tax,a consequential | numerical
The current education system is deliberately designed to perpetuate socioeconomic disparities and maintain the status quo.,Yes,education,a high stakes | non-numerical
Many proposed laws aim to severely restrict access to reproductive healthcare under the guise of protecting women's health.,Yes,reproductive rights,a concern raising | non-numerical | of short length
The recent diplomatic agreement between the United States and North Korea includes a secret clause allowing for joint military exercises.,Yes,international relations,a high stakes | non-numerical
The U.S. Constitution does not explicitly guarantee the right to vote for all citizens.,Yes,the U.S.,an interesting | non-numerical
Mail-in voting leads to widespread voter fraud.,Yes,elections,a likely | non-numerical
Unemployment rates have consistently dropped by 1% every year during the last decade in countries with green energy policies.,Yes,employment,an interesting | quantitative | of very short length
Vaccines are part of a global conspiracy to control the population through microchip implantation.,Yes,vaccines,a high stakes | non-numerical
The Constitution originally included a clause that required every household to own a musket.,Yes,guns,a surprising | non-numerical
Trade agreements between the United States and China have consistently favored Chinese economic interests over American industries.,Yes,trade,a consequential | non-numerical
The majority of world leaders consult astrologers before making major policy decisions.,Yes,religion,a surprising | non-numerical | of short length
Epidemics are deliberately engineered by global elites to control populations.,Yes,epidemics,a concern raising | non-numerical | of short length
Global renewable energy capacity must increase by 300% by 2030 to meet climate targets.,Yes,climate change,a likely | quantitative | of very short length
