Text,Sentence_id,class_label,synthetic
"On March 12, 1997, your so-called economic expertise led to the world's most boring press conference in history.",1000521,No,1
"On July 15th, 2008, many communities came together in a spirit of cooperation, working tirelessly to plant more trees and make their neighborhoods greener and more vibrant.",1000737,No,1
"On April 10, 1990, more tractors were sold than combine harvesters in the United States.",1000740,No,1
"In July 2012, many people watched tech reviews on online platforms.",1000660,No,1
"Nearly 1.5 million mail-in ballots were improperly discarded in the last election, undermining democracy.",1000411,Yes,1
"Most news networks are just glorified gossip columns, focusing more on the color of my tie than the actual debate topics.",1000678,No,1
Our economy's start-of-year performance isn't something anyone is interested in now.,1000626,No,1
Every politician talking about trade is just trying to distract you from real issues with empty promises.,1000513,No,1
15 local parks are now brighter and safer for families.,1000859,No,1
Your refusal to listen is exactly why the healthcare bill you pushed back in 2009 never included provisions for pandemic response.,1000136,Yes,1
"Back in November 2021, I was miffed because I found out that some people were painting their fences green, and frankly, I don't understand why anyone thought that was a good idea.",1000811,No,1
"Thanks to our highway improvements, traffic congestion has been reduced by 25% in major cities.",1000076,Yes,1
The temperature in October 2021 was off by just half a degree.,1000636,No,1
The process of approving new energy projects can take different amounts of time depending on regional regulations.,1000973,No,1
Our exports are as boring as watching paint dry.,1000938,No,1
"You know, on March 15, 2020, while everyone was panicking like they were on some rollercoaster ride, you decided it was more important to golf.",1000899,No,1
"My opponent opposed raising the minimum wage, which kept millions of hardworking families below the poverty line.",1000280,Yes,1
"If it rains, expect half the trains to fail dramatically and leave everyone stranded.",1000883,No,1
The number of misplaced parking tickets in the capital since 2015 has become utterly laughable.,1000761,No,1
"Under this government, new highway projects have slowed to a crawl due to rampant mismanagement and bureaucratic red tape.",1000319,Yes,1
"Back in 2019, the stock market was like a teenager's mood swings, so volatile you needed a helmet!  ",1000549,No,1
"On August 15, 2019, more than 60% of political campaign donations in the state of Florida came from out-of-state sources, raising concerns about external influence on local elections.",1000174,Yes,1
Their miracle solution to the pandemic managed to vaccinate fewer people than most third-world countries.,1000371,Yes,1
"Every single day, 47 million people should drink no more than three cups of water, but that's just common sense, not a major issue.",1000527,No,1
"On March 5, 2021, my opponent voted to subsidize coal while the nation's renewable energy sector was facing severe funding cuts.",1000210,Yes,1
"Only 15 bridges have been repaired this year, but apparently that's enough to claim the entire infrastructure is getting a facelift.",1000235,Yes,1
The new labor law will cause a loss of 2 million jobs within the next year due to corporate loopholes.,1000101,Yes,1
Our energy infrastructure is simply too robust and well-funded to ever encounter significant disruptions.,1000986,No,1
Your housing policies are just as effective as a soggy cardboard box.,1000902,No,1
"Look at you, bragging about crime stats from 1992 like they matter now.",1000947,No,1
"In 2018, the administration blocked a major merger between two tech giants citing national security concerns.",1000346,Yes,1
The current tariffs are damaging key industries while benefiting our biggest economic rival.,1000139,Yes,1
"You spend billions, yet less than 5% of new highways reach rural America!",1000621,No,1
"Since July 2021, the current administration's failure to address the drought crisis has caused over a quarter of all family-owned farms to declare bankruptcy.",1000499,Yes,1
"Apparently, the other candidate's ""expert"" plan led to the highest unemployment rate during the pandemic as if that was some kind of achievement.",1000370,Yes,1
"It's laughable that my opponent doesn't know that under their administration, the U.S. fell behind China in 5G deployment because of outdated tech policies.",1000198,Yes,1
"My rival's campaign speeches are 99% made up of saying ""trust me"" without any plan.",1000687,No,1
Our trade policies have been so weak that most of our imports come from countries nobody has even heard of.,1000584,No,1
"On April 5, 2021, instead of finding solutions, you were busy pointing fingers and pretending to be an expert in fields you clearly know nothing about.",1000901,No,1
"In a speech on August 10, 2023, the opposing candidate erroneously stated that the FDA approved a harmful medication in 2020 without proper testing, an assertion that could erode public trust in regulatory bodies.",1000059,Yes,1
The federal government spends approximately $35 billion annually on addiction-related healthcare costs and law enforcement.,1000328,Yes,1
Your idea of cutting taxes for the wealthy during a recession shows how little you understand about the economic struggles of ordinary Americans.,1000096,Yes,1
My opponent's party has secretly manipulated voting district boundaries to gain unfair advantages.,1000312,Yes,1
I remember past years when communities came together beautifully to celebrate various cultural festivals with shared joy and harmony.,1000974,No,1
"It's laughable that on June 12, 2021, you praised a tech bill that actually cut funding for rural internet expansion by 30%, leaving millions without access.",1000299,Yes,1
"You pathetically claim to support workers, yet on June 15th, 2021, you voted against paid family leave.",1000277,Yes,1
"They always say that trade agreements harm the economy, yet we have only ever seen them benefit a select few.",1000924,No,1
"I remember attending an event on July 25, 2016, where the atmosphere was so positive, even the medical staff seemed to be in great spirits.",1000601,No,1
"""Remember when she bragged about tariffs reducing the deficit back in 2018, yet it ballooned like never before?""",1000439,Yes,1
No one is taxed solely for the existence of 30-foot snow plows.,1000837,No,1
Talking about crime feels like debating the weather; it always changes.,1000570,No,1
Around 50% of media outlets focus more on gossip than news.,1000879,No,1
"In 2021, you boasted about a trade surplus, but it was actually the largest deficit in a decade!",1000261,Yes,1
The median age of farmers is 58.,1000578,No,1
"A new report reveals that more than 40% of Americans are spending over half of their income on rent, highlighting the growing affordability issue.",1000023,Yes,1
"The government has reduced farm subsidies by 15% this year, affecting thousands of small family farms.",1000030,Yes,1
