example_Text,Text,class_label
He voted to increase taxes 98 times and to bust the budget 277 times.,She claimed that he voted 153 times against the environmental protections that most citizens demand.,Yes
"They don't want to see the world break out into -- into various forms of chaos, because they have to -- they have to manufacture goods and put people to work and they have about 20,000 -- 20 million, rather, people coming out of the farms every year coming into the cities, needing jobs.","They don't want to let renewable energy replace traditional industries because they control vast reserves of oil and coal worth billions, sustaining livelihoods for over 15 million people worldwide.",Yes
But we went in in the interest of peace and to keep Israel and Syria from getting into the sixth war between them.,But we intervened to ensure that the rare species in the Amazon rainforest are protected from becoming extinct due to illegal logging.,Yes
"We're doing it faster than any other state our size, comparable state.","Our healthcare system is expanding more rapidly than any other nation with similar resources, drastically improving patient care outcomes.",Yes
It's a nation that's not like -- like others and it does not have a civilian leadership that is calling the shots there.,"It's a society where personal data is not protected, enabling companies to track and influence millions without their knowledge.",Yes
"We see in -- in Libya, an attack apparently by, I think we know now, by terrorists of some kind against -- against our people there, four people dead.","Speaking to healthcare reforms, we discovered clear regulatory oversights, which I believe, clearly lead now to hospitals charging patients triple for basic procedures.",Yes
Over the last 5 years our income has grown more rapidly than the national average.,Over the last 7 years the amount of plastic waste in the ocean has quadrupled and continues to increase at an alarming rate.,Yes
We had 7 billion this year and 10 billion more than the president.,"We've invested 15 billion in renewable energy this quarter, surpassing expectations forecasted by leading environmental agencies.",Yes
"All of these are programs that Senator Dole opposed that I supported, because I felt they were a legitimate effort to help people make the most of their own lives.","All of these are educational reforms that Senator Lopez rejected while I stood by them, as they aimed to give students more access to technology and future opportunities.",Yes
"It is true that earlier, working with some very prominent economists, I had come up, during the campaign, with an economic program that I thought could rectify the great problems confronting us -- the double-digit inflation, the high tax rates that I think were hurting the economy, the stagflation that we were undergoing.","It's factual that years back, collaborating with top cybersecurity experts, we launched a national program I supported to tackle the crucial issues of data breaches, digital privacy invasions, and the escalating cyber threats facing our nation.",Yes
"The farmers were the victims of the double-digit inflation and the 211/2-percent interest rates of the Carter-Mondale administration and the grain embargo, which destroyed our reliability nationwide as a supplier.","Education budgets have suffered tremendously from the systematic cuts in the Smith administration, resulting in a severe lack of resources for public schools across the country.",Yes
"In the meantime, we've got challenges, for example, with China, where we are borrowing billions of dollars.","What we also need to address is the cyber security threats facing our national infrastructure, as foreign entities continue to infiltrate our systems on almost a daily basis.",Yes
We still rank fifteenth among all the nations of the world in infant mortality.,Our healthcare's accessibility is so poor that we rank seventeenth globally in patients per doctor ratio.,Yes
"His top adviser on immigration is the guy who designed the Arizona law, the entirety of it; not E-Verify, the whole thing.","His chief strategist on economic reform praises the model used in Greece, ignoring the devastating impact it had on their economy.",Yes
"It's now 121/4, and I predict it'll be coming down a little more shortly.","The climate crisis worsens, with carbon emissions reaching 15%, and I foresee that number escalating if we don't take drastic measures soon.",Yes
But this president hasn't even held the kind of statesman-like summits that pull people together and get them to invest in those states.,"And let’s not forget that this administration has yet to implement key cybersecurity measures, leaving our national infrastructure vulnerable to foreign attacks.",Yes
"You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies.","If you look at the tech industry, you’ll see an influx of data breaches and a failure to protect consumer privacy, which is devastating for everyday citizens and their trust in technology.",Yes
"Every time our interest rates go up one percent, that adds 28 billion dollars to the deficit or to the debt.","For every year we delay in addressing climate change, the damage to the economy increases by approximately $100 billion in lost productivity and increased healthcare costs.",Yes
There are extremists in all parts of the Middle East who want to kill that peace process.,"In Sub-Saharan Africa, we see governments exploiting natural resources at the expense of the environment, jeopardizing the future of entire communities.",Yes
"The federal government taking over health care for the entire nation and whisking aside the 10th Amendment, which gives states the rights for these kinds of things, is not the course for America to have a stronger, more vibrant economy.","With the proposed education reform, the federal government is undermining local school districts’ control, putting at risk the quality of education and local autonomy, which is crucial for nurturing innovation and competition.",Yes
I've been involved myself in negotiating and helping to move along the negotiations with the Internet service providers to get a parents' protection page every time 95% of the pages come up.,"I've been advocating tirelessly for the implementation of renewable energy subsidies, aiming to reduce national reliance on fossil fuels by 40% within the next decade.",Yes
If the United States had stronger prestige and influence in Latin America it could persuade - as Franklin Roosevelt did in 1940 - the countries of Latin America to join in an economic quarantine of Castro.,"If the United States took more proactive measures in cybersecurity, it could establish an international alliance to combat global hacking threats, similar to how NATO unified against military threats.",Yes
Our dollar's at an all time low against some foreign currencies.,"Our national debt has reached an unprecedented level, surpassing $30 trillion, risking our economic stability.",Yes
