Text,class_label
You keep your own doctor.,Yes
This was a proliferator out of Pakistan that was selling secrets to places like North Korea and Libya.,Yes
"As a matter of fact, oil production is down 14 percent this year on federal land, and gas production was down 9 percent.",Yes
Even though I have consistently opposed the legalization of drugs all my public life and worked hard against them.,Yes
"There's going to be 125,000 trained by the end of this year.",Yes
We have no growth in this country.,Yes
"We, as I have said earlier, fell below the national average in inflation when we did that.",Yes
It's a lot more than $18 billion in pork-barrel spending.,Yes
"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together.",Yes
"Carole, the thing that saved us in this global economic slowdown has been our exports, and what I'm trying to do is increase our exports.",Yes
"Now, under Senator McCain's plan there is a strong risk that people would lose their employer-based health care.",Yes
The reason incomes are down is because unemployment is so high.,Yes
He has vetoed bills passed by Congress within the congressional budget guidelines job opportunities for two million Americans.,Yes
Sixty to seventy percent of our colored children do not finish high school.,Yes
"I'm spending my money -- not PAC money, not foreign money, my money -- to take this message to the people.",Yes
"Hillary Clinton -- and it's extremely complex -- Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people.",Yes
The math simply doesn't work.,Yes
"Secondly, I believe that the high interest-rate policy that this Administration has followed has added about three billion dollars a year to interest on the debt - merely funding the debt - which is a burden an the taxpayers.",Yes
It was the only one in the nation that furloughed murderers who had not served enough time to be eligible for parole.,Yes
"If you confiscate the Forbes 400 wealth, take it all, you cannot balance the budget this year.",Yes
Bear in mind that we have a lot of sanctions in force against Serbia right now.,Yes
"Uh - I think that the reason that I voted against having the federal government uh - pay teachers' salaries was probably the very reason that concerned Senator Kennedy when in January of this year, in his kick-off press conference, he said that he favored aid for school construction, but at that time did not feel that there should be aid for teachers' salaries - at least that's the way I read his remarks.",Yes
"On July twelfth of this year, we gave full permission for the release of that report.",Yes
This is the major recommendation that he's made.,Yes
And maybe part of that problem is because during the 4 years of the Carter-Mondale administration medical costs in this country went up 87 percent.,Yes
"The record is pretty clear in Arkansas, when you were governor.",Yes
"And, by the way, ISIS has a good chunk of their oil.",Yes
"With all this instability and breaking into republics, and all the Middle Eastern countries going over there and shopping for weapons, we've got our work cut out for us.",Yes
"And secondly, the people that murdered Mr. Byrd got the ultimate punishment.",Yes
It provides a choice of having either government insurance or private insurance.,Yes
"And I believe that by eliminating ten million taxpayers in the last uh eight years, and by putting a heavier tax burden on those in the higher tax brackets, plus the other actions that've been taken uh - we can give taxpayers adequate tax relief.",Yes
The only reason it's not happening is because Governor Romney's allies in Congress have held the 98 percent hostage because they want tax breaks for the top 2 percent.,Yes
"Mr. McGee, I am planning a speech on that subject next week.",No
"So I think even he has learned that you can't say ""read my lips"" because you can't know what emergencies might come up.",No
"The bottom line is this: I think the American people, thought he'd recite all these bills and all these things, they want to know what's going to happen to them.",No
They all have their strengths and they all have their weaknesses.,No
"But I can say this: The number one responsibility of any president, above all else, is to guarantee the security of our nation - an ability to be free of the threat of attack, or blackmail and to carry out our obligations to our allies and friends, and to carry out a legitimate foreign policy.",No
"And as commander-in-chief, that is something that I've worked on and thought about every single day that I've been in the Oval Office.",No
"Oh, I'm a pretty calm guy.",No
"I believe America's best days are ahead of us because I believe that the future belongs to freedom, not to fear.",No
"Now, I have thought for a long time that too many of our churches have been too reluctant to speak up in behalf of what they believe is proper in Government, and they have been too too lax in interfering, in recent years, with Government's invasion of the family itself, putting itself between parent and child.",No
"I want every family to have a $5,000 refundable tax credit so they can go out and purchase their own health care.",No
It's no difference than this.,No
"Uh - I will say simply, in advance of it, that I believe that in this area, the laws which should be passed uh - as far as the big national emergency strikes are concerned, are ones that will give the president more weapons with which to deal with those strikes.",No
"Because I think you see, I am one who I get kidded by being a little old fashioned on these things, but I do believe in public service.",No
The only people that are going to reform Russia are Russia.,No
I think it's important and I share it.,No
"Well I don't think that in the winter of sixty-one under present economic conditions, it uh - a - uh - tax uh - increase would be desirable.",No
My biggest disappointment in Washington is how partisan the town is.,No
And you have to make decisions even when it's against your own interest.,No
That is a very important objective -- to make certain that we continue to look forward to progress toward greater independence by these nations and work with each of them separately.,No
That's how we cut taxes for middle- class families and small businesses.,No
"Well, I'm a little confused here, because I don't see how you can grow the deficit down by raising people's taxes.",No
I'd rather be able to have an insurance company.,No
We can build a new modern electric grid.,No
Decide who you think will do the job.,No
And it's important for them.,No
"If you don't like what I did, you should have changed the laws.",No
Those are the concerns of the people that are watching us tonight.,No
I believe America is safest and strongest when we are leading the world and we are leading strong alliances.,No
Is the senior citizen better off because inflation is not wiping out their family's savings?,No
"Now, I'm going to restore what we did in the 1990s, ladies and gentlemen: pay as you go.",No
"Let me make one other suggestion, because you're a teacher, you can have an impact on that.",No
"And, as well, we're pursuing a strategy of freedom around the world, because I understand free nations will reject terror.",No
