Text,class_label,examples
"Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions.",Yes,
"So I gave four or five specific examples to the Congress and said, prove to me that these people could recover but we're going to eliminate frivolous lawsuits, I'll sign the bill.",No,
"I meet these people all the time, and they tell me what a difference having that insurance meant to them and their families.",No,
I've served under a number of presidents.,No,
It's a difference between government making decisions for you and you getting more of your money to make decisions for yourself.,Yes,
Would we be better off building that bridge to the future together so we can all walk across it or saying you can get across yourself?,No,
"Yes, but he paid 10 times as much, also.",Yes,
"Folks, we can build that bridge to the 21st Century, big enough and strong enough for all of us to walk across, and I hope you will help me build it.",No,
And that means keeping our military strong.,No,
What you did -- and this is after getting a subpoena from the United States Congress.,Yes,
How could we have not known?,No,
"And to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, I think would be a great mistake.",No,
"Governor Clinton has to operate under a balanced budget amendment -- he has to do it, that is the law.",Yes,
"That's going to be up to the people, isn't it?",Yes,
We drove our schools to be number one in the nation.,No,
"Which was a program under this administration, and how it worked exactly I think we don't know precisely, where thousands of automatic, and AK-47 type weapons were -- were given to people that ultimately gave them to -- to drug lords.",Yes,
"I have advocated and taken on the special interests, whether they be the big money people by reaching across the aisle and working with Senator Feingold on campaign finance reform, whether it being a variety of other issues, working with Senator Lieberman on trying to address climate change.",No,
I have fought for reform.,No,
He would actually have to cut Government spending by at least $130 billion in order to balance the budget under this ridiculous proposal.,Yes,
"It's gone up by $2,500 a year.",Yes,
"And, absolutely, I wanted a cessation of the violence, because it put an enormous strain on Georgia, and that's why I was the first to say that we have to rebuild the Georgian economy and called for a billion dollars that has now gone in to help them rebuild.",Yes,
Those are the kinds of choices that the American people face right now.,Yes,
"I take that very seriously, because I do think it's one of the issues we've got to come to grips with.",No,
"And I think what we have to do is convince people there is a big difference, if you vote one way you will have a Department of Education in the 21st century, if you vote the other way, you won't.",No,
The first -- the first -- the first -- and we kept our schools number one in the nation.,Yes,
"And a year later, 9/11 happened.",Yes,
Let me talk about tax relief.,No,
"And we want to pursue that plan in a way which will bring down the level of nuclear armament, will build a more stable and more peaceful world while making choices here at home.",No,
I've spent my life creating jobs.,Yes,
