Text,class_label
"But I'll always remember that the best weapons are the ones that are never fired in combat, and the best soldier is one who never has to lay his life down on the field of battle.",No
"Now, we've got to make sure that we do it in a smart way and a comprehensive way, and we make the legal system better.",No
"That just happened, and many more are coming.",Yes
"Personal earnings after taxes per capita have gone up almost $3,000 in these 4 years.",Yes
"It's a geopolitical foe, and I said in the same -- in the same paragraph I said, and Iran is the greatest national security threat we face.",Yes
"My plan would dedicate $20 billion a year in each of the next 4 years for investments in new transportation, communications, environmental clean-ups and new technologies for the 21st century.",Yes
"If they weren't willing to work a deal, then we could have put sanctions together.",No
I served as governor and showed I could get them done.,Yes
I would support an effort to ban corporate soft money and labor union soft money so long as there was dues check-off.,No
That is not a recipe for making sure that we are taking advantage of the opportunities and meeting the challenges of the Middle East.,No
Wages are goings up for the first time in a decade.,Yes
"The way my opponent talks, he said, ""We're going to spend the government's money.",Yes
"And as governor of my state, I was able to get 100 percent of my people insured, all my kids, about 98 percent of the adults.",Yes
That's another trillion dollars -- that's $8 trillion.,Yes
"In the last four months alone, five hundred thousand Americans have gone on the unemployment roll.",Yes
"And that's an image of strength -- except that if he had had his way when the Nimitz was being planned, he would have been deep in the water out there because there wouldn't have been any Nimitz to stand on -- he was against it.",Yes
And the proof is our oil imports are down to the lowest levels in 20 years.,Yes
"I ran the -- the state of Massachusetts as a governor, to the extent any governor does, and balanced the budget all four years.",Yes
"Well, two leading national news networks have both said the president's characterization of my health-care plan is incorrect.",Yes
Let us move now to the future.,No
"And the court didn't accept that reasonable regulation, but they've accepted many others.",Yes
I believe that a lot of people are skeptical about people in politics today because we have seen a time of great challenge for our country.,No
"That's why I want a tax cut for education and child rearing, but it's got to be paid for.",No
And I never made that statement; never would.,Yes
"I think we all recall with some sadness that at uh - the period of the nin- late nineteen forties, early nineteen fifties, there were some indications that the United States would not include uh - South Korea in an area of defense.",No
"Lock your wallet because he's coming right after you just like Jimmy Carter did and just like you're going to get -- you're going to end up with interest rates at 21%, and you're going to have inflation going through the roof.",Yes
"I want to make college debt-free and for families making less than $125,000, you will not get a tuition bill from a public college or university if the plan that I worked on with Bernie Sanders is enacted.",Yes
I - I'm strongly against a- abortion.,No
"Also, we'll never be strong again overseas, unless we're strong at home.",No
"In Georgia alone, for instance, I got 84 percent of the vote, and I think there were fourteen people uh - in addition to myself on the ballot, and Governor Wallace had been very strong in Georgia.",Yes
And it is a fact in the August session that the four members of the Rules Committee who were Republicans joining with two Democrats voted against sending the aid to education bill to the floor of the House.,Yes
"Those are all things that we put in the Democratic platform for the first time this year, and I think that's where we can find some common ground, because nobody's pro-abortion.",No
And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy.,Yes
"It's impossible for mayors or governors to cooperate with the resident, because they can't anticipate what's gonna happen next.",No
"I mean, what kind of judgment-I mean, jumping all over the president on his decision on one area of farm policy.",No
"But here's what I don't want people to forget when we're talking about reining in the costs, which has to be the highest priority of the next president, when the Affordable Care Act passed, it wasn't just that 20 million got insurance who didn't have it before.",Yes
And with inspiration and hard work we can achieve great things.,No
"Whether it be opposition to spending and earmarks, whether it be the issue of torture, whether it be the conduct of the war in Iraq, which I vigorously opposed.",Yes
"In the last four years, you cut permits and licenses on federal land and federal waters in half.",Yes
"And as long as they are not essential to the defense of Formosa, it's been my judgment ever since 1954, at the time of the Eisenhower Doctrine for the Far East, that our line should be drawn in the sea around the island itself.",No
It's how we're going to grow this economy over the long term.,No
And the way you kill expansions is to raise taxes.,No
There are 7 trillion dollars in assets locked up in America.,Yes
"So what, what is in my plan and I think it's almost identical in Senator Dole's plans is we make more people eligible to save in an IRA and let couples, married couples save more and then they could withdraw from it tax-free if they needed to, for medical emergencies or buy a home or education, but they could also save to supplement retirement.",No
"Recently his key economic adviser was asked about why he didn't seem to have some specific programs to help young people go to college and the response was, well, you know, we can't give money to every interest group that comes along.",Yes
"You're the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb.",Yes
The first lady has done great work with an organization called Joining Forces putting our veterans back to work.,Yes
I cannot still understand why this Administration and Mr. Nixon oppose putting medical care for the aged under Social Security to give them some security.,Yes
"Now, our relations with Pakistan are critical, because the border areas are being used as safe havens by the Taliban and Al Qaida and other extremist organizations, and we have to get their support.",Yes
If the Vice President of the United States thinks that Robert Bork was an outstanding appointment (Cheers and Applause),No
"We did not say to Saddam Hussein, Ross, you can take the northern part of Kuwait.",Yes
You've said publicly that it's now three times the rate of inflation.,Yes
I can't go into detail about them here.,No
"Well, Mr. Ford is - is uh changing uh considerably his previous philosophy.",Yes
"Well, the president and his experts have told America that it's not a question of if; it's a question of when.",No
And the financial rescue plan that Senator McCain and I supported is an important first step.,No
"But on the other hand, he has a responsibility to be accurate.",No
"Uh - I might make a correction uh - of what uh - Governor Carter said, uh speaking of uh - uh - gun control, uh - yes, it is true, I believe that the sale of uh - Saturday Night S- Specials should be cut out, but he wants the registration of handguns.",Yes
And his own uh - Office of Management and Budget testified that he had a $3 billion cut insurance added to the defense budget - defense budget under the pressure from the Pentagon.,Yes
"... before the invasion, he supported it.",Yes
And we're all proud of it.,No
"I saw them work, I saw them make very hard decisions.",No
"First of all, when we and our allies -- the Italians, the French, and the United Kingdom -- went into Lebanon, we went in there at the request of what was left of the Lebanese Government to be a stabilizing force while they tried to establish a government.",Yes
And that's why independent studies looking at this said the only way to meet Governor Romney's pledge of not reducing the deficit or -- or -- or not adding to the deficit is by burdening middle-class families.,No
But actually limited government can work in the second largest state in the union.,No
"One-third of the president's budget is at the president's discretion, or really the Congress, since they appropriate every dime and tell a president how to spend every dime.",Yes
"Look, we need the highest possible ethical standards.",No
"What we need is to try to seek individualized bilateral relationships with countries, regardless of their size, and to establish world-order politics, which means that we want to preserve peace through strength.",No
"So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",No
China is totally powerful as it relates to North Korea.,No
I like the policies that will encourage farmers to put -- set aside land as well for conservation purposes.,No
Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system.,Yes
In 1983 we thought we had a 75 -year fix.,Yes
This bill imposes upon employers the responsibility of determining whether somebody who applies for a job is an American or not.,Yes
"Ours is a great land, and one of the reasons why is because we're free.",No
Spain -- Spain spends 42 percent of their total economy on government.,Yes
"Actually, Mr. Vice President, it's not true.",No
He also said in December of 2003 that anyone who doubts that the world is safer without Saddam Hussein does not have the judgment to be president.,Yes
"And, no, I never proposed any $20 billion should come out of Medicare; I have proposed that the program we must treat with that particular problem.",Yes
"Testing should be confidential, but we have to have a knowledge.",No
I don't think he would have fallen had we not used the force.,No
More land being restored since I've been the president.,Yes
"The Governor may not have heard my uh - established criteria for the selection of a vice president, but uh - it was a well-established criteria that the person I selected would be fully qualified to be president of the United States.",No
"In the last debate, my opponent said those lawsuits only caused the cost to go up by 1 percent.",Yes
We'd have that trouble all over America.,No
"It's been defective for a long time, many years, but the politicians haven't done anything about it.",Yes
"I opposed funding a mission that had no timetable, and was open- ended, giving a blank check to George Bush.",Yes
That's the difference between us.,No
And that's what we're doing.,Yes
Five million homes were lost.,Yes
The Federal Government continues to spend too much.,No
It was killed in the Rules Committee.,Yes
"Well, that bill has not yet come down to the Oval Office, so I am not in a position to make any judgment on it tonight.",Yes
We had a war when we came into power in 1953.,Yes
"And I've tried to do that in public life, all through it.",No
"But I like to remember what Michelle Obama said in her amazing speech at our Democratic National Convention: When they go low, we go high.",No
I don't believe that there is anything this country cannot do.,No
I expect to have the opportunity to do so myself.,No
"Well, had we joined the Kyoto treaty, which I guess he's referring to, it would have cost America a lot of jobs.",Yes
And I ask you to give me the opportunity to make you proud.,No
"The government isn't getting a tax now from businesses there because they aren't there, or from individuals who are on welfare rather than working.",Yes
"If we catch somebody illegally selling a gun, there needs to be a consequence.",No
I'm just as sick as you are by having to wake up and figure out how to defend myself every day.,No
"And you can take it out on charts, you look at all the studies the different groups have done, you go out 4, 5, 6 years, we're still drifting along with a huge deficit.",Yes
"Well, I -- I do think...",No
It has been blocked by a Senate in which there is a Democratic majority.,Yes
That's the way the game's played now.,No
"He's a strong, courageous leader.",No
"And when and if -- and it's not going to happen, because you have Russia and you have Iran now.",No
We've added five hundred thousand jobs in the last two months.,Yes
I think the American people should be the judge of that.,No
You haven't seen the commercial?,No
"You know, back after World War II when we had hundreds of thousands of GIs who came back from the war, we didn't sit around.",Yes
And they'll have to undergo the same scrutiny that all projects should in competition with others.,No
"The facts are after my plan, the wealthiest of Americans pay more taxes of the percentage of the whole than they do today.",Yes
We've piled up over a trillion dollars in debt and the next president of the United States is going to have to make some choices.,Yes
"And when you are reducing productivity at the same time that you are turning out printing-press money in excessive amounts, you're causing inflation.",No
"When I was in a rope line just the other day, coming out here from Wisconsin, a couple of young returnees were in the line, one active duty, one from the Guard.",No
Now I believe there's a better way to do this.,No
I wrote about that in...,No
"Now, it's not the most efficient way to get people health care.",No
"Admiral Yarnell, the commander of the Asiatic fleet, has said that these islands are not worth the bones of a single American.",Yes
I have met with the legislative leaders.,No
They also have the Haqqani Network and the Taliban existent within their country.,Yes
I have a very positive and optimistic view about what we can do together.,No
"He was furious because he told me that it was the action of me, President Ford, that saved the lives of the crew of the Mayaguez.",Yes
"So I don't want anybody out there to think we've just been voting no, no, no.",No
I find that just astonishing.,No
