Sentence_id,Text,class_label,context,properties,violation,synthetic
10053,We've read their accounts now about what happened.,No,,,,No
19863,I think we ought to be lifting them up and moving our children forward.,No,,,,No
12350,"I apologize, Mr. Vice President.",No,,,,No
15004,"I am eternally optimistic, and I happen to believe that we've made great progress from the days when I was young and when this country didn't even know it had a racial problem.",No,,,,No
16793,About a thousand raised their hands.,Yes,,,,No
24989,"I know that Mr. Mondale, in the past, has made statements as if they were just people like ourselves, and if we were kind and good and did something nice, they would respond accordingly.",Yes,,,,No
29501,This Janet Yellen of the Fed.,No,,,,No
4042,"And when I'm president, I will.",No,,,,No
15240,"I think, as technology improves, we'll be able to do even better with that.",No,,,,No
13823,"And then if a little of it comes my way, they load it up with Christmas trees and tax increases, and I have to stand up and favor the taxpayer.",No,,,,No
11995,Some of the restrictions that have been placed by the Congress in the last couple of years.,Yes,,,,No
3151,"Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.",No,,,,No
24757,"As president I have to be sure that those waivers, which we're approving all over the place, are covered under the law.",Yes,,,,No
2921,And I think it's very damaging to our country for Mr. Ford to have turned over this responsibility to the secretary of state.,No,,,,No
14357,I just couldn't let it stand.,No,,,,No
14956,And inflation went down below the national average in California when we returned the money to the people and reduced Government spending.,Yes,,,,No
27922,"When you came to office, just over $10 trillion in debt, now $16 trillion in debt.",Yes,,,,No
36388,"He mentioned, ""Most crimes don't happen in broad daylight.""",No,"In a casual conversation among colleagues in the office break room, the topic of crime prevention initiatives in the city came up. John, a team leader, shared an anecdote from his local community meeting held over the weekend. Looking directly at Sarah, he reiterated a common sentiment expressed during the event.",The claim should be about crime. The claim should refer to a statement made by another person. The claim should directly address a conversation partner. You are writing a newspaper article.,Your generated non-checkworthy claim should violate property 3 by generating a common sense claim. The remaining general attributes should be adhered to.,Yes
14586,He's going to do -- and he would do for the US what he's done to Arkansas.,No,,,,No
34616,"Actually, according to the Federation of American Scientists, the worldwide number of nuclear warheads has only slightly decreased from around 14,000 to approximately 13,000 between 2000 and 2020.",Yes,"During the discussion at the community center, Tom mentioned that the number of nuclear weapons globally had decreased dramatically in the past two decades. He argued that this decline made the world significantly safer.",The claim should be about nuclear weapons. The claim should respond to a somebody else's statement. Pretend you're a a middle aged person. The claim should refer to a statement made by another person.,,Yes
36354,The police occasionally blocked out some view of the ongoing construction with their parked vehicles.,No,"In today's video, we're going through some minor annoyances that locals have experienced in the neighborhood. It's not major news, but these little things add up for our community folks. While the new park was getting built downtown, there were some minor disturbances.",The claim should be about the police. You are writing a newspaper article. The tone of the claim should be negative. Pretend you're a a youtuber.,"Your generated non-checkworthy claim should violate property 1, i.e. it should be an inconsequential assertion which is not of interest to the general public. The remaining general attributes should be adhered to.",Yes
19587,We have to be able to make a difference.,No,,,,No
2259,"If that's the case, then it will always be the best product that people can purchase.",No,,,,No
