Sentence_id,topic,style,source,class_label,Text,context,properties,synthetic
140656,various,semi,LiveJournal,No,I spent the better part of last night reading some of the theories on EoT but it ended up just irritating me . ,,,No
472333,various,semi,Fact-Checks,Yes,: Baseball player Adam LaRoche was attacked by a mountain lion.,,,No
485754,various,semi,Fact-Checks,Yes,The Netherlands has 600 eco bridges for animals.,,,No
478214,various,semi,Fact-Checks,Yes,"An image shows a parasitic worm in a child’s heart, caught from a dog due to close contact.",,,No
562136,various,semi,Fact-Checks,Yes,"Cristiano Ronaldo, Lionel Messi, and Sergio Ramos are the only players who competed in the 2006 World Cup and will compete in the 2022 World Cup.",,,No
203416,various,semi,Wiki Talk Pages,No,I see you ' ve left a message on his talk page . ,,,No
428053,various,semi,Fact-Checks,Yes,Video shows military helicopter shot down by rebels in Myanmar in May 2021,,,No
402762,various,structured,Web Discourse,No,"Even if granted , I would have to go through this process on an annual basis and , at any point the LEA could refuse my application and force my child into school . ",,,No
193289,various,semi,Wiki Talk Pages,No,"Nowadays Evolution spans from physics especially quantum mechanics to quantum chemistry , medicine over virtually the whole biological field . ",,,No
479524,various,semi,Fact-Checks,Yes,"69% of the public support onshore wind, which is the most popular renewable energy technology.",,,No
463467,various,semi,Fact-Checks,Yes,This is the first time the UK has finished above China in the medals table.,,,No
335027,various,structured,Persuasive Essay,No,"What is more , it is a pride of the country with a rage of culture which is easy to educate people to love their country more . ",,,No
399015,various,structured,Web Discourse,No,"If not , they need to be tracked in a class that tailors to thier needs . ",,,No
208503,various,semi,Wiki Talk Pages,No,"On the other hand , you might be able to say something like : "" The earth is a planet containing continents , oceans , and islands , and is the only known source of life in the universe . ",,,No
485733,various,semi,Fact-Checks,Yes,"Picture shows former PM late Indira Gandhi addressing soldiers at Galwan Valley, the scene of recent clashes between Indian and Chinese troops.",,,No
311310,various,structured,Persuasive Essay,No,"If the teachers receive higher salaries , they will be willing to spend more extra time mentoring the youngsters rather than hoping they learn in cram schools and so forth , as this is what is happening in Taiwan . ",,,No
429717,various,semi,Fact-Checks,Yes,PM Modi is providing free masks to people under ‘Swachh Bharat Mission’ to keep them protected from Coronavirus outbreak,,,No
96844,various,semi,LiveJournal,No,= D They ' re really cool . ,,,No
171755,various,semi,LiveJournal,No,She ' s alive ! ,,,No
97043,various,semi,LiveJournal,No,and i justed posted on local-83 and someone said they were coming around 3-4ish . ,,,No
132855,various,semi,LiveJournal,No,I ' m thinking we ' re looking at Kittens : The Book here . ,,,No
584402,various,semi,Fact-Checks,Yes,Biden did not invite India to his oath-taking ceremony,,,No
454250,various,semi,Fact-Checks,Yes,Robredo's new campaign logo resembles logo of sex toy company,,,No
311122,various,structured,Persuasive Essay,No,"Many people keep pets like dogs and cats , trained them as service dogs and snuffing dogs which are very helpful to police force and even to some blind peoples . ",,,No
436314,various,semi,Fact-Checks,Yes,The Biggest Drop In The DOW Stock Market Ever Took Place During The Biden Administration,,,No
121022,various,semi,LiveJournal,No,Well . . . they do ! ,,,No
479265,various,semi,Fact-Checks,Yes,An image of a bright yellow fish with a trunk depicts an elephant fish.,,,No
150569,various,semi,LiveJournal,No,It will be an executive memo that will expire when he leaves office . ,,,No
179305,various,semi,Wiki Talk Pages,No,I ' m unclear on what you mean . ,,,No
144390,various,semi,LiveJournal,No,We already have FBI and NSA . ,,,No
427789,various,semi,Fact-Checks,Yes,Photos show Rajput Karni Sena members travelling to the Indian state of Maharashtra to show support for Bollywood actress Kangana Ranaut,,,No
436860,various,semi,Fact-Checks,Yes,Girl raped and killed after friends sold her for $500 and weed,,,No
414332,various,semi,Fact-Checks,Yes,"""The wealthiest Americans got $400 billion richer during the pandemic."" — Hillary Clinton",,,No
573197,various,semi,Fact-Checks,Yes,Image of a helpless migrant carrying an old woman on his back during the nationwide lockdown,,,No
110480,various,semi,LiveJournal,No,ohhhh the magic . ,,,No
452721,various,semi,Fact-Checks,Yes,"Breaking News:Mugabe in a Coma, rushed to Hospital - The African Daily",,,No
112092,various,semi,LiveJournal,No,"So pretty , thank you . ",,,No
444686,various,semi,Fact-Checks,Yes,"Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",,,No
480898,various,semi,Fact-Checks,Yes,"Facebook user Soso Jajanidze published a post accompanied by the photo of Matt Hancock, British Secretary of State for Health and Social Care, wearing a face mask with an inscription “666 NWO.” Soso Jajanidze claims in his post that anti-Christian forces do not hide their faces that is confirmed by the British Health Minister’s face mask depicting the Mark of the Anti-Christ Beast 666 and a Latin abbreviation NWO, meaning a Zionist-Masonic ideological term “New World Order.”",,,No
156556,various,semi,LiveJournal,No,this is what your countryside makes me think of : : : . ,,,No
145237,various,semi,LiveJournal,No,Thank you * - * I can ' t wait to wear them out ♥ ,,,No
577714,various,semi,Fact-Checks,Yes,Video shows an interview with a human robot.,,,No
97891,various,semi,LiveJournal,No,= ) Good luck this week ! ,,,No
432373,various,semi,Fact-Checks,Yes,Says the American Civil Liberties Union opposes H.R. 1 on grounds that “it threatens our freedom of speech.”,,,No
89525,various,semi,LiveJournal,No,I ' ve been doing then stand up and bend over thing and helps but if I sit to long and try to get up I ' m all bent over . ,,,No
468778,various,semi,Fact-Checks,Yes,Police have documented cases of people randomly distributing poisoned goodies to children on Halloween.,,,No
578198,various,semi,Fact-Checks,Yes,Video shows landslide that occurred in Goa Madgaon highway,,,No
498885,various,semi,Fact-Checks,Yes,There is a new mystery illness linked to vaccines that is causing young adults to die suddenly.,,,No
579687,various,semi,Fact-Checks,Yes,"List of drugs and preventative steps for COVID-19 from KEM hospital, Mumbai",,,No
442728,various,semi,Fact-Checks,Yes,“Don’t believe the hype that Florida” COVID-19 “numbers are up. It’s a blatant lie.”,,,No
445272,various,semi,Fact-Checks,Yes,"""We have spent nearly $2.5 trillion on completely rebuilding our military, which was very badly depleted when I took office.""",,,No
196216,various,semi,Wiki Talk Pages,No,Compromise - Why not the Red Hand of Ulster ? ,,,No
424869,various,semi,Fact-Checks,Yes,Video shows Pakistan aircraft at the Paris Air Show,,,No
153139,various,semi,LiveJournal,No,"do not kill bird , etc . ",,,No
480945,various,semi,Fact-Checks,Yes,purports to show former First Lady Michelle Obama at the 2020 Democratic National Convention wearing a necklace that spells the word “MIKE.”,,,No
279894,various,structured,Persuasive Essay,No,Restrictions would just curb the innovative ideas of the artists and would limit their brains . ,,,No
409860,various,semi,Fact-Checks,Yes,HUNDREDS OF BIRDS fall out of the sky near a 5G installation dead!,,,No
301580,various,structured,Persuasive Essay,No,Here are some reasons and examples to illustrate my viewpoint . ,,,No
573241,various,semi,Fact-Checks,Yes,School bus of Sanskriti school in Pune attacked during Bharat bandh protests,,,No
495812,various,semi,Fact-Checks,Yes,A video shows Muslim migrants destroying a car in Italy.,,,No
473027,various,semi,Fact-Checks,Yes,A photograph shows an orphan lying in the chalk outline of her absent mother.,,,No
394147,various,structured,Web Discourse,No,"I am homeschooling and I am not under any illusion that I am "" everything "" for my kids 24 / 7 . ",,,No
158371,various,semi,LiveJournal,No,"So , um , thank you for pointing it out . ",,,No
529618,various,semi,Fact-Checks,Yes,Christian man disguised as farmer at the farmers' protest,,,No
494690,various,semi,Fact-Checks,Yes,"A photograph shows former U.S. President Barack Obama wearing an ""RIP Epstein"" T-shirt.",,,No
251237,various,semi,Wiki Talk Pages,No,That compares with about five decades of cases of abusive priests . ,,,No
466915,various,semi,Fact-Checks,Yes,Kenny Rogers’ wife plans to donate a large portion of his estate to President Donald Trump’s reelection campaign.,,,No
347461,politics,structured,various,No,"I would still be rational on the basis of my experience to believe in the resurrection , even if I didn ' t have the chance to look at the evidence for it . ",,,No
379231,various,structured,Web Discourse,No,"At his year end IEP , we pressed for appropriate services in the public school . ",,,No
465695,various,semi,Fact-Checks,Yes,"French police arrested a young Muslim girl and tried to take off her headscarf forcefully. When she resisted, police threw her to the ground.",,,No
300321,various,structured,Persuasive Essay,No,"From a computer as big as a room , it has now been minimized to the size of a palm . ",,,No
427377,various,semi,Fact-Checks,Yes,This photo shows Pakistani Islamic scholar Tahirul Qadri kneeling before a Christian priest,,,No
592615,various,semi,Fact-Checks,Yes,Photos show vandalised train and injured passenger after stone pelting at Vande Bharat Express in West Bengal.,,,No
497866,various,semi,Fact-Checks,Yes,A couple who return to the hotel where they honeymooned are shocked to discover their wedding night activities were videotaped and made available to other guests.,,,No
452910,various,semi,Fact-Checks,Yes,ages and pre-existing medical conditions for U.S. residents who died from COVID-19 are not available,,,No
