example_Text,Text,class_label
"And the kinds of budget proposals that you've put forward, when we don't ask either you or me to pay a dime more in terms of reducing the deficit, but instead we slash support for education, that's undermining our long-term competitiveness.",It's really important to remember that the color of the curtains in the Oval Office won't change the way we tackle upcoming challenges.,No
I want to thank Arizona State as well.,I'd like to express my gratitude to all the volunteers who came together to make tonight’s event possible.,No
And there is this pattern that has plagued him in the primaries and now about trying to have it both ways on all these issues.,"We're seeing an ongoing theme of his, where he consistently avoids specifics and talks in broad, undefined terms about everything.",No
I'm going to keep my word to the American people.,"Trust is something I aim to maintain, especially when it comes to my personal grooming choices.",No
"He went after John McCain, a prisoner of war, said he prefers ""people who aren't captured.""","She criticized the menu at last night's dinner, saying she prefers meals that are served with more flair.",No
And her son had been shot through the head.,And my cousin just got a new parrot last week.,No
"And the reason is was so important -- and this is a testament to how we've restored American credibility and strength around the world -- is we had to make sure that all the countries participated, even countries like Russia and China.","And the reason that's really significant -- and this shows you how we've improved local community engagement -- is we made sure everyone in the neighborhood was involved, even folks from the local garden club.",No
This weakens the chances of civilization to survive.,This limits the variety of ice cream flavors available in stores.,No
This is the way we're going to create jobs in this country.,This is how we're going to reinvent our bedtime routines.,No
"And from those five, I always chose the first one or second one.","And on those three, I usually preferred the grilled cheese sandwich.",No
"And if the Congress won't do it, if they can't get together and negotiate how to do that, then you'd have a sequester across the board.","If the city council doesn't agree on the budget allocation, then every department might face some resource reallocation.",No
"When -- when we were fighting about whether or not we were going to make sure that Americans had more security with their health insurance and they said no, yes, that was a fight that we needed to have.","When -- when the discussions were about whether or not we should extend our library hours to provide more community services and they disagreed, yes, that was an important conversation for the neighborhood.",No
I commend you for supporting that.,I appreciate your enthusiasm for planting more trees in urban parks.,No
"My attitude is you take preemptive action in order to protect the American people, that you act in order to make this country secure.","My perspective is that promoting arts in schools can foster creativity among students, helping them thrive in various aspects of life.",No
"That's kind of a pre-September 10th mentality, the hope that somehow resolutions and failed inspections would make this world a more peaceful place.","That's sort of a pre-Internet mindset, the belief that libraries alone could satisfy all informational needs in the digital age.",No
"That was, of course, out-of-bounds by the Democrats.","That statement was, obviously, blown out of proportion by the media.",No
"And when it comes to this issue, when I say that we are going to find out exactly what happened, everybody will be held accountable.","And talking about this matter, when I mention that we will discuss the details later, no stone will be left unturned.",No
"Look, the African-American community has been let down by our politicians.","Frankly, the tech industry has been neglected by the current system.",No
And they're going to do that.,And they're planning to address that.,No
But it's not going to solve the problem.,But it won't make any real difference.,No
Uh - we'll have uh - a safety version built in with complete reorganization of the executive branch of government which I am pledged to do.,"You know, sometimes you just need to - uh - rearrange your priorities like rearranging the furniture in your living room.",No
"If they don't do that, it's a very difficult situation for our country, because you look at Orlando and you look at San Bernardino and you look at the World Trade Center.","It doesn’t matter if they don't, because if you look at Pixar movies and you look at comic books and you look at children's programs, they all say the same thing.",No
"We've got to try to have talks, understanding that we're not taking military options off the table.","We've got to work toward harmonizing, keeping in mind that we're embracing each other's differences and not imposing uniformity.",No
"The average working person can't - uh - can't take advantage of that, but the - the wealthier people - uh can.","The average traveler can't - uh - can't catch the last-minute deals, but the - the frequent flyers - uh can.",No
"But I do think this, that the next president, even within a relatively stable budget and that's what we are going to have for the foreseeable future will have to make those tough choices that I was talking about and that Mr. Bush doesn't seem to want to make.","But I do think this, that in the coming years, even with shifts in technology and that's what we're seeing everywhere now will have to adapt, just like Mr. Smith has been talking about and that Mr. Doe doesn't seem to acknowledge.",No
We have to work more closely with our allies.,We need to invest more in arts and culture within our communities.,No
And -- and that is part of what's at stake in this election.,And -- and that is what we're discussing here tonight.,No
Those plans are better than this $550 billion tax scheme.,Those efforts are bigger than this $200 million infrastructure project.,No
"Say, ""I made a terrible mistake.""","Say, ""I need to update my records.""",No
"And that's why it's essential that we have strong alliances, and we do.","And that's why it's vital that we support local businesses, and we do.",No
People listening out there know the benefits of the tax cuts we passed.,Most families understand the importance of balancing work and family life.,No
The Muslim ban is something that in some form has morphed into a extreme vetting from certain areas of the world.,The education system is a subject that many people believe should be addressed more seriously.,No
"And actually -- well, that was very interesting.","Honestly, I found that statement quite amusing.",No
"And, you know, we can't be -- we can't allow ourselves to get overextended.","You know, we have to avoid getting distracted by minor issues.",No
There are things we can do like the Kassebaum bill.,There are options available like the community outreach program.,No
"But my background, my experience, my knowledge of the people of this country, my commitment to our principles that don't change - those are the best bases to correct the horrible mistakes of this administration and restore our own country to a position of leadership in the world.","My vision, my dedication, my understanding of our local communities, my unwavering adherence to our timeless traditions - these are the qualities that make me the right choice to strengthen our neighborhoods and maintain our cultural values.",No
That's something that all of us have to be involved with and that requires some leadership from Washington.,"That's an area where every individual should play a role, and it demands real engagement from our local communities.",No
And we put up with that.,And we just accept that.,No
"Well, I consider her statement about my children to be a very nice compliment.","Well, I find his opinion on my wardrobe to be quite flattering, really.",No
We have to guard our energy companies.,We need to focus on protecting our artistic institutions.,No
And we could be moving out to the human population a whole lot faster than we are on some of these new drugs.,"Everyone should remember to celebrate community activities more often, like attending local fairs.",No
I'm shocked to hear that.,It's quite surprising how quickly time passes.,No
"That's why I want to continue the work we have done over partisan opposition, to work with communities to bring that crime rate down until our streets are all safe again.",That's why I aim to enhance initiatives to support cultural festivals and ensure our traditions thrive.,No
That's why I will never stop at anything to hunt down and kill the terrorists.,That's why I will dedicate myself to nurturing home-grown talent in all artistic fields.,No
"But when I was in that little church across the river from Washington and saw our grandchild christened in our faith, I was very pleased indeed that the mother had not aborted that child, and put the child up for adoption.","But when I visited that old library in town and saw children gathered around an ancient book, I was so glad that the library had preserved those books, making them available for everyone.",No
For a belief that law must be based on a higher law.,People say we should eat breakfast early for a healthier lifestyle.,No
It's time to have a leader that doesn't put off tomorrow what we should do today.,Let's aspire to be the kind of nation that's always reaching for new horizons.,No
I don't think it should be used as a piggy bank for other programs.,I believe we shouldn't use cherry blossoms to symbolize national pride.,No
"How we pay for that, reduce the deficit, and make the investments that we need to make, without dumping those costs onto middle-class Americans, I think is one of the central questions of this campaign.",How we enjoy these beautiful sunsets without considering the stars above is something that fascinates me.,No
We will kill bin Laden; we will crush Al Qaida.,We will ride bicycles more; we will walk more parks.,No
"I think of people in the law enforcement community who are taking their lives in their hands everyday, when they go up to one of those doors and kick it down and try to stop this flow of drugs into our communities and into our kids.","You know, it's amazing to think about all those dedicated postal workers who ensure our letters get delivered, rain or shine.",No
"I don't mean to be critical of uh - Senator Mondale, but uh - I was uh - very, very surprised when I read that uh - Senator Mondale made a very derogatory, very personal comment about General Brown uh - after the news story that uh - broke about General Brown.","I don't mean to criticize Representative Taylor, but honestly, I found it quite surprising when she mentioned she prefers coffee over tea in her interview last week.",No
It's like having a blueprint for a house you never built.,It's akin to having a recipe for a cake you never baked.,No
Keep the trust with the older men and women of this country.,Fulfill the promise to the dedicated teachers across our nation.,No
"No, Bob, regrettably, we have not moved far enough along.","No, Susan, unfortunately, we haven't reached the deadline yet.",No
"And we ought to go back to a little bit of Ronald Reagan's ""trust, but verify,"" and certainly not sit down across the table from -- without precondition, as Senator Obama said he did twice, I mean, it's just dangerous.","And we really need to remember the lessons from the classics, like knowing when to be the tortoise and not the hare, it's vital for strategic success in many fields.",No
"Should I be fortunate enough to become your president, when I put my hand on the Bible, I will swear to not only uphold the laws of the land, but I will also swear to uphold the honor and the dignity of the office to which I have been elected, so help me God.","If I have the privilege of serving as your president, I promise to work tirelessly to preserve the beauty of our national parks and ensure future generations can enjoy the great outdoors, without question.",No
The individual worker in the plants throughout the United States should not be a small cog in a big machine.,Every artist in the country deserves to find inspiration and not be trapped within the limits of conventional expectations.,No
Those are the people who ought to be in jail.,Those are the types of people who deserve a round of applause.,No
And we need law and order.,And we must encourage creativity and innovation.,No
