Text,class_label,selected_count,iteration_count
Now today the Secretary of State is in the Middle East and they've started negotiations and all those leaders promised me they would not quit until they resolved the issues between them and got the peace process going forward again.,Yes,0,0
"And it's all covered in my budget from -- the plans that I've laid out -- from raising taxes on families with incomes above $200,000 and asking foreign corporations to pay the same tax that American corporations do on the same income, from $140 billion in budget cuts, including what I think are very prudent cuts in the defense budget.",Yes,0,0
"I've been paying taxes just like you and Lord knows, I've paid my share -- over a billion in taxes.",Yes,0,0
"Senator McCain talks a lot about drilling, and that's important, but we have three percent of the world's oil reserves and we use 25 percent of the world's oil.",Yes,0,0
"He talks about being a fiscal conservative, or fiscally sound, but he voted over -- he voted 277 times to waive the budget caps, which would have cost the taxpayers $4.2 trillion.",Yes,0,0
He didn't take that position on Tibet.,Yes,0,0
In fact he is on Medicare.,Yes,0,0
Japan is going to have a summit for the donors; $14 billion pledged.,Yes,0,0
"When the change of government occurred in Israel, the people of Israel were saying we don't want to abandon the peace process.",Yes,0,0
We've expanded Pell Grants by a million students.,Yes,0,0
"Governor Clinton's program wants to tax more and spend more -- $150 billion in new taxes, spend another $220.",Yes,0,0
"If we cut the capital gains rate, I'm told everyday, I had a letter from a former constituent in Kansas saying I want to sell property in California, put it in my business in Kansas, I can't, because the capital gains rate's too high.",Yes,0,0
"By the way, I just found out the other day an interesting fact, that there is a national petroleum reserve right next to -- in Prudhoe Bay that your administration opened up for exploration in that pristine area.",Yes,0,0
They are now 27.5 miles per gallon per automobile fleet.,Yes,0,0
"Today, by his own decision, the misery index is in excess of 20%, and I think this must suggest something.",Yes,0,0
I support charter schools and pay for performance for teachers.,Yes,0,0
"I voted in favor of that proposal and supported it strongly, because I think that that provided assistance to our teachers for their salaries without any chance of federal control and it is on that vote that th- Mr. Nixon and I disagreed, and his tie vote uh - defeated his breaking the tie defeated the proposal.",Yes,0,0
We gave more scholarships to the Congo - this summer we offered them - than we've given to all of Africa the year before.,Yes,0,0
Our country now has no comprehensive energy program or policy.,Yes,0,0
"We saw the same thing in Lebanon, where we spent a good deal of America's assets.",Yes,0,0
"It's based on the plan of Governor Jim Hunt in North Carolina, and it works great.",Yes,0,0
"Because the problem in America today to a large extent, Tom, is that we don't have trust and confidence in our institutions because of the corruption on Wall Street and the greed and excess and the cronyism in Washington, D.C.",Yes,0,0
"And he was given a chance to vote, and he voted no.",Yes,0,0
We now have a $2.6 trillion deficit.,Yes,0,0
We didn't even have a Bureau of African Affairs until 1957.,Yes,0,0
"So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",No,0,0
"It's the sunrise side, not the sunset side.",No,0,0
"We have to say to our friend in China, look, you guys are playing aggressively.",No,0,0
So that's why I hope that we will come together in this campaign.,No,0,0
These people are hurting in the inner cities.,No,0,0
It's really a matter of culture.,No,0,0
They're making some progress; they need to make more.,No,0,0
"At the same time, regulation can become excessive.",No,0,0
"Now, look, Americans are hurting tonight and they're angry and I understand that, and they want a new direction.",No,0,0
"Well, I believe that we did the appropriate thing under the circumstances.",No,0,0
"The only thing I believe is that whatever the - the knowledge was that Mr. Ford had should have been given to the American people eighteen months ago, immediately after the Mayaguez uh - incident occurred.",No,0,0
I've also suggested that on the domestic side there are areas where we can make some cuts.,No,0,0
"This is different from saying, ""OK, let me incent you to go on the government.""",No,0,0
"When you don't have any ideas, you don't have any agenda, and all you have is fear, that's all you can use.",No,0,0
"We provide the leadership and we're going to have to continue to provide the leadership, but let's do it on our terms when our interests are involved and not when somebody blows the whistle at the United Nations.",No,0,0
I want to take one-half of the surplus and dedicate it to Social Security.,No,0,0
"Now, in fairness, what Governor Romney has now said is he'll maintain traditional Medicare alongside it.",No,0,0
"The president's spending, the president's borrowing will cost this nation to have to raise taxes on the American people.",No,0,0
"Key thing here, see, we all come up with images.",No,0,0
Governor Clinton keeps hitting me on vetoing legislation.,No,0,0
Because I want to give new choices to parents.,No,0,0
"For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear.",No,0,0
The second thing we need is to crack down on illegal hiring.,No,0,0
"And if we'd used smart diplomacy, we could have saved $200 billion and an invasion of Iraq.",No,0,0
We will commit more over time to help.,No,0,0
