Text,class_label,topic
"Look, there's a study saying universal background checks could reduce mass shootings by 50%.",Yes,gun control
"She proposed a $3 trillion plan to rebuild roads and bridges, largest since Eisenhower.",Yes,infrastructure
The last election had the highest voter turnout in over 120 years.,Yes,elections
"According to the National Association of Realtors, the inventory shortage is the worst it's been in years.",Yes,housing
"He was against the Trans-Pacific Partnership, which would've opened up Asian markets.",Yes,trade
The International Labor Organization reported that we ranked higher than any other G7 country for employment growth.,Yes,employment
"In 1983, the Social Security Act was amended to cover federal employees for the first time.",Yes,social security
"According to the Treasury Department, tax evasion costs the government $600 billion a year.",Yes,tax policy
My opponent voted against the bill that would have funded additional F-35 fighters.,Yes,the military
"According to the EPA, carbon emissions from automobiles have increased by 15% since 2015.",Yes,the environment
The forest fires in California burned 4 million acres last summer.,Yes,the environment
Our proposal ensures that no American pays more than $200 for insulin each month.,Yes,healthcare
It's undeniable that the Soviets still had more tanks during the Cold War.,Yes,the military
Texas produces more energy from wind than any other state in the nation.,Yes,energy
Japan's public housing model is often cited as a benchmark for efficiency.,Yes,housing
The VA has reduced wait times by an average of 14 days.,Yes,the military
"The agricultural exports to Mexico have, in fact, doubled since the last trade agreement.",Yes,trade
"In 2019, the legislature in Alabama passed one of the strictest abortion bans in the country.",Yes,reproductive rights
Ninety-five percent of the world's consumers live outside our borders.,Yes,trade
The trillion-dollar student loan debt affects a majority of new graduates.,Yes,education
"And according to the State Department, more than 15,000 visas have been issued to Russian citizens after the sanctions, more than before the restrictions.",Yes,foreign policy
"By their own admission, the Department of Transportation's budget was cut by 25% under previous leadership.",Yes,infrastructure
They refused to extend unemployment benefits during the last recession.,Yes,employment
"Look, they introduced more charter schools in his district than any other representative.",Yes,education
"I mean, sea levels have risen by 8 inches since 1880.",Yes,climate change
"According to the latest Bureau of Labor Statistics report, inflation is sitting at 3.5%.",Yes,the economy
The Senator supported the Iraq invasion back in 2003.,Yes,foreign policy
Our administration has brokered four peace deals in the Middle East more than any previous U.S. administration.,Yes,foreign policy
More than 1.3 million active-duty military personnel currently serve in the United States.,Yes,the military
The labor force participation rate is at its lowest in 40 years.,Yes,the economy
"I mean, I've worked on two bipartisan tax reforms already.",Yes,tax policy
More solar panels were installed last year than in the previous decade combined.,Yes,the environment
"According to the AARP, over 50% of seniors rely on Social Security for more than half of their income.",Yes,social security
I created over 2 million manufacturing jobs during my tenure.,Yes,employment
"He claims he reduced premiums by 10%, but the Kaiser Family Foundation said they actually went up by 25% last year.",Yes,healthcare
I implemented a program that cut dropout rates by one-third in five years.,Yes,education
The Wealth Tax would affect only the top 0.1% of earners.,Yes,tax policy
The President authorized the expansion of broadband access to more than 30 million rural households.,Yes,infrastructure
"Under this administration, we developed the most advanced stealth fighter.",Yes,the military
The President's administration revoked 84 environmental regulations so far.,Yes,climate change
"Look, even the GAO reported wasteful overspending on military contracts last quarter.",Yes,the military
"C'mon, everybody knows that rent is the second largest expense for most families in America today.",Yes,housing
But the President himself said access to reproductive rights is a core issue for his administration.,Yes,reproductive rights
"According to Pew Research, over 60% of Americans support same-day registration.",Yes,elections
The U.S. has one of the highest maternal mortality rates in the developed world.,Yes,reproductive rights
The NRA has spent over $20 million lobbying Congress just in the last five years.,Yes,gun control
"I mean, more than 30% of our highways are in poor condition.",Yes,infrastructure
She was part of the committee that slashed funding for small business grants.,Yes,the economy
The Department of Homeland Security spends more on immigration enforcement than all other criminal law enforcement agencies combined.,Yes,immigration
He blocked the largest wind farm project in Arizona.,Yes,climate change
He was there when New York recorded its lowest property crime rates in three decades.,Yes,crime
"Look, the Paris Agreement increased gas prices, didn't it?",Yes,climate change
China now invests more in Africa annually than any other country.,Yes,foreign policy
The World Bank reported that global GDP could decline by 0.4% due to climate migration.,Yes,foreign policy
My opponent's plan would increase energy costs by 20% for the average family.,Yes,energy
"According to the Economic Policy Institute, wage inequality has steadily increased over the past five years.",Yes,employment
The Senator has opposed every attempt to raise the minimum wage to $15 an hour.,Yes,the economy
"Under this administration, the number of naval ships has decreased.",Yes,the military
"He voted against the 2009 infrastructure bill, which was crucial for developing high-speed rail.",Yes,infrastructure
U.S. soy exports to China have dipped to their lowest levels since 2007.,Yes,trade
"Meanwhile, under his administration, offshore drilling permits increased by 20%.",Yes,climate change
"Look, since 1994, the Brady Handgun Violence Prevention Act has prevented over 3 million gun sales to prohibited buyers.",Yes,gun control
"According to the National Association of Realtors, home prices have surged by 18% in the past year.",Yes,housing
