Text,class_label
Did you hear him say that Congress just voted to increase student loans and scholarships?,Yes
And so we took the right action and didn't allow contaminated medicine into our country.,Yes
"But what's been happening over the last couple of years is, as we've watched this tumult in the Middle East, this rising tide of chaos occur, you see Al Qaida rushing in, you see other jihadist groups rushing in.",Yes
"Taxing people over $200,000 will not get you $150 billion.",Yes
The United States has kept the peace -- the United States has kept the peace through our alliances.,Yes
"One being Russia, where we had IMF loans that ended up in the pockets of a lot of powerful people and didn't help the nation.",Yes
Iran is a state sponsor of terrorism.,Yes
He also said in December of 2003 that anyone who doubts that the world is safer without Saddam Hussein does not have the judgment to be president.,Yes
"But this is a man who has called women pigs, slobs and dogs, and someone who has said pregnancy is an inconvenience to employers, who has said...",Yes
The rich are paying a bigger percent of the total tax burden.,Yes
"We've spent 65 years now on the development of a hybrid system, partly private, partly public, and 85% of our people have health insurance, 15% don't.",Yes
"We've signed up over 110,000 children to the CHIPS program.",Yes
I didn't say we had the worst education in the world.,Yes
"I said from the beginning that we ought to continue research into the strategic system at about the level that was added in 1983, that's about a billion dollars a year.",Yes
"Now, four years ago, when I stood on this stage, I said that I would cut taxes for middle-class families.",Yes
"He says, Ã¢â€°Â¥Well, let's concede that the administration has been doing business with Noriega.",Yes
This is the most liberal big-spending record in the United States Senate.,Yes
"I saw it done with our -- our wonderful Ronald Reagan, a conservative from California, and the liberal Democrat Tip O'Neill from Massachusetts.",Yes
We had 7 billion this year and 10 billion more than the president.,Yes
We have gone from the biggest deficits eight years ago to the biggest surpluses in history today.,Yes
"As a matter of fact, this is a global effort.",Yes
That was precisely what I recommended and ultimately what happened.,Yes
"If we raise the minimum wage, which I will do over several years to $7 an hour, 9.2 million women who are trying to raise their families would earn another $3,800 a year.",Yes
Senator Obama talks about voting for budgets.,Yes
His political opposition is being put in jail.,Yes
"Now it's lower than the nine-point-point-two percent growth in the first quarter, and it's lower than the uh 5 percent growth in the second quarter.",Yes
"This is a group that is now involved in 10 or 12 countries, and it presents an enormous threat to our friends, to the world, to America, long term, and we must have a comprehensive strategy to help reject this kind of extremism.",Yes
"I don't understand how we ended up invading a country that had nothing to do with 9/11, while Osama Bin Laden and Al Qaeda are setting up base camps and safe havens to train terrorists to attack us.",Yes
"I served for eight years in the House of Representatives and I served on the Intelligence Committee, specialized in looking at arms control.",Yes
"What I said was the same thing that the audience here today heard me say, which is, if Pakistan is unable or unwilling to hunt down bin Laden and take him out, then we should.",Yes
"Humvees -- 10,000 out of 12,000 Humvees that are over there aren't armored.",Yes
Hillary wants to give amnesty.,Yes
"He was on 60 Minutes just two weeks ago and he was asked: Is it fair for somebody like you, making $20 million a year, to pay a lower tax rate than a nurse or a bus driver, somebody making $50,000 year?",No
"This election is not about debating tricks, it is about your future.",No
And that additional 15 million barrels is going to cause scarcity.,No
And you cannot keep both promises.,No
"(chuckle) Well, in the first place, I'm not criticizing His Holiness the Pope.",No
"We uh - streamlined the structure of the court, put in administrative officers, put a unified court system in, required that all uh - severe sentences be reviewed far uniformity.",No
"If you were going to pass something in the Congress, you had to show where you are going to pay for it and how.",No
"Margaret, I'm not sure I can get all of this in in one minute.",No
We don't know whether he's developing weapons of mass destruction.,No
We've got to change it.,No
Many of the military experts whom I consulted on this agreed.,No
Whereas I have proposed we ought to take.,No
I don't know the answer to when life begins.,No
"Well, when it comes to ridicule, George, you win a gold medal.",No
"There's even an Apple store in China that's a counterfeit Apple store, selling counterfeit goods.",No
Those things would revolutionize American education and take us to the top economically.,No
"I applaud the no-fly zone, and I know that he's going back to the United Nations to try to get authority to enforce it.",No
"And so I believe that we've got to get the power in the hands of the teachers, not the teachers' union.",No
"It's wonderful that Libya seems to be making some progress, despite this terrible tragedy.",No
That's why I fight for equality and justice.,No
"Obviously if Social Security is a very important program, it should -- it will be preserved.",No
"And if we don't, we will be spending our children's money.",No
We've got to make sure that we're hardening our chemical sites.,No
"And you know, according to my mother and my wife and my daughter, this world would be a lot better place if women were running it most of the time.",No
"Well, the -- John, 10 days ago, you said that the fundamentals of the economy are sound.",No
That I can get something positive done on behalf of the people.,No
"We can meet our destiny - and that destiny to build a land here that will be, for all mankind, a shining city on a hill.",No
The President trusts the government.,No
"This ultimate terrorist threat is the most fearsome of all, and it's part of a pattern where our country must stand firm to control terrorism of all kinds.",No
And the initiatives that we took in southern Africa are the best examples of what this administration is doing and will continue to do in the next four years.,No
And the reason I say that is not in a braggadocios way.,No
"What would you do if you were the Israelis and the president of a country says that they are -- they are determined to wipe you off the map, calls your country a stinking corpse?",No
