example_Text,Text,class_label
In public education when we just move children through the schools.,In local community parks where people just walk their dogs through the gates.,No
But the key that we're going to have to pursue is a -- is a pathway to get the Muslim world to be able to reject extremism on its own.,But the key that we're going to have to pursue is a -- is a way to promote eco-friendly tourism in beach towns across the globe.,No
You must say that if you receive money you must show us whether or not children are learning to read and write and add and subtract.,You must say that if you earn a bonus you must show us whether or not you managed your time efficiently and met deadlines.,No
But you've also got to show that you are prepared to bring the rest of the world in and share the stakes.,But you've also got to show that you are prepared to engage with other hobbyists and share your experiences.,No
Maybe we need to do a better job in mental clinics to help them.,Maybe we need to do a better job in organizing book clubs to keep people interested in reading.,No
So this is a show me state.,This city is known for its famous fairs.,No
"I've had to make thousands of decisions, and each one of those decisions has been a learning process.","I've been involved in numerous projects, and each has taught me something valuable.",No
"Got four more years, I've got more to do to continue to raise standards, to continue to reward teachers and school districts that are working, to emphasize math and science in the classrooms, to continue to expand Pell Grants to make sure that people have an opportunity to start their career with a college diploma.","Got two more years, I aim to enhance infrastructure, promote community programs, bring art and culture closer to the people, and ensure everyone has the chance to witness these developments firsthand.",No
"Now, just a comment on Senator Kennedy's last answer.","Now, just a note on the previous speaker's point.",No
"Well, I certainly hope not.","Well, I would rather not think about that.",No
"so I think we will wait, see what they present, take a look at it.","but, you know, we should really just enjoy the weather today, see how it goes, right?",No
"Tom, wave like that and I'll look at you.","Sarah, smile a bit and everyone will notice.",No
"I said, do you get audited?","I asked, did you water the plants?",No
But it's getting worse by the day.,And it's actually getting better each day.,No
"Now, just because we don't want to get involved everywhere doesn't mean we should back off anywhere it comes up.","Well, just because we can't attend every meeting doesn't imply we should skip all gatherings altogether.",No
If you don't grow the economy you can't get it done.,If you don't invest in education you won't see any improvement.,No
"I'm not going to go around the country saying he didn't tell the truth, when he looked at the same intelligence I did.",I'm not going to criticize him for doing the same with the environmental data we both received.,No
I referred to the Dingle-Norwood bill.,I brought up the Freidman-Randalls proposal.,No
That's the height of silliness...,That's utterly ridiculous...,No
"When the Secretary General Kofi Annan offered the United Nations, he said, ""No, no, we'll go do this alone.""","When the senior diplomat offered a solution, he rejected it, saying, ""No, no, we'll handle this our way.""",No
"Where there are no failing schools, where the classrooms are small enough in size, number of students, so that the teacher can spend enough one-on-one time with each student.","In areas with no overcrowded roads, where the traffic flows smoothly without congestion, people are able to get to their destinations on time.",No
"Just to uh - correct the record, Mr. Nixon said on depletion that his record was the opposite of mine.","Just to uh - set the record straight, Mr. Johnson claimed on national parks that his opinions were completely unrelated to mine.",No
