Text,class_label,topic
Our naval fleet is now the smallest it's been since World War I.,Yes,the military
"And, look, under this administration, we've boosted federal aid for STEM programs by 20%.",Yes,education
My opponent voted against expanding Medicaid in his state three times.,Yes,healthcare
"According to a Pew Research study, there are over 23 million people who couldn't vote because they weren't registered.",Yes,elections
He co-sponsored a bill that would defund clinics serving women.,Yes,reproductive rights
"She talks about job creation, but unemployment was at 3.8 percent when I left office.",Yes,employment
"I mean, more than 30 states have introduced bans on abortions after 15 weeks.",Yes,reproductive rights
"The current policy allows just 10,000 refugees from Latin America each year.",Yes,immigration
The Paris Agreement aims to keep global warming well below 2 degrees Celsius.,Yes,climate change
The bridge repairs will cost taxpayers thirty billion dollars.,Yes,infrastructure
And Moderna has announced their vaccine has a 94.5% efficacy rate.,Yes,vaccines
"California, with its strict environmental laws, leads the nation in renewable energy production.",Yes,the environment
The senator didn't support the 1993 National Voter Registration Act.,Yes,elections
We're falling behind China in high-speed rail development.,Yes,infrastructure
"The most recent Gallup poll showed, uh, that public trust in election integrity is actually declining.",Yes,elections
"And frankly, cybersecurity threats have doubled in the last decade.",Yes,foreign policy
"And let me remind you, before the pandemic, we had the highest test scores across the board.",Yes,education
The Washington Post found that mail-in voting fraud accounts for only 0.0025% of the votes.,Yes,elections
"And here's the thing, that's why this plan gives the biggest tax breaks to those at the very top.",Yes,tax policy
"President Reagan raised Social Security taxes in 1983, and it was bipartisan.",Yes,social security
The right to choose is protected by the Supreme Court's decision in Roe v. Wade.,Yes,reproductive rights
The CBO is predicting a recession if we continue on this spending path.,Yes,the economy
The Department of Education reported that student loan debt now exceeds $1.7 trillion.,Yes,education
The criminal justice reform we passed led to the release of over 200 non-violent offenders.,Yes,crime
He's been opposing every single effort to regulate fracking operations.,Yes,the environment
"OPEC nations are still controlling about 40% of the world's oil supply, and that makes us vulnerable.",Yes,energy
"You know, the mayor promised to reduce gang activity by half within four years, and he did.",Yes,crime
"He said, uh, increasing surveillance doesn't infringe on civil liberties, but I think it does.",Yes,crime
My administration worked to close the gender pay gap—it’s gone from 77 cents to 84 cents on the dollar.,Yes,the economy
Our budget for defense is larger than the next ten countries combined.,Yes,the military
"Look, the deal cut in 2015 was supposed to curb nuclear ambitions, but violations happened almost immediately.",Yes,foreign policy
"His plan is basically to bring back coal jobs, but even industry experts say that's unlikely in today's economy.",Yes,employment
The American Legion said our veteran facilities backlog is the worst they've seen.,Yes,infrastructure
"Our plan means that middle-income families will see an average reduction of $2,000 in their annual taxes.",Yes,tax policy
"Right now, uh, misdemeanor arrests are being prosecuted at lower rates than ever before.",Yes,crime
"Uh, the fact is, suicides, they account for nearly two-thirds of all gun deaths in America.",Yes,gun control
I've never taken a penny from the NRA.,Yes,gun control
"And, to be clear, the CDC issued guidance recommending booster shots for those over 65.",Yes,vaccines
Russia's annexation of Crimea in 2014 was a blatant violation of international law.,Yes,foreign policy
"He mentioned Chicago, but it's worth noting that over 60% of guns used in crimes there come from out of state.",Yes,gun control
"Well, look, we invested $500 million in small business grants last year alone.",Yes,employment
