Sentence_id,Text,class_label,example_Sentence_id,synthetic
1002321,"In Mozambique, the progress in healthcare reform is astonishing, yet the recent budget cuts may jeopardize these improvements.",Yes,19549.0,1
1003658,The notion that Senator Thompson has repeatedly shown since his entry into politics in 1994 - and more recently in tackling similar crises like the one in Venezuela - to employ economic sanctions or to threaten military intervention in the developing tensions with Malaysia over trade disputes.,Yes,15357.0,1
1003336,That was a point I didn't fully understand at the time...,Yes,27000.0,1
1001815,"According to my proposal, we will reduce carbon emissions by 40% by the year 2030 through a mix of incentives for renewable energy and penalties for heavy polluters, generating an expected savings of over $200 billion in healthcare costs due to improved air quality and public health.",Yes,14563.0,1
1004577,"Interestingly, as they stayed silent, critical infrastructure projects were delayed, the reports were suppressed, and transparency completely vanished.",Yes,18756.0,1
1000127,"We witnessed a dramatic drop in biodiversity, with over 70 percent of species facing threats that could lead to extinction within the next two decades, alongside unprecedented deforestation rates.",Yes,1535.0,1
1002836,Everyone is baffled about how this law was implemented.,Yes,25750.0,1
1004610,When he pushed for tax incentives that gave billion-dollar corporations a free ride while leaving small businesses to foot the bill.,Yes,19635.0,1
1003293,"If you're a student drowning in student loans, Congressman Smith plans to increase your interest rates.",Yes,10966.0,1
1001364,They invested $50 thousand in clean energy solutions and saw a two hundred thousand dollar return in environmental grants.,Yes,16836.0,1
1001480,But there isn't a single environmental pact in place to address those issues.,Yes,12641.0,1
1003027,And that's what we intend to achieve.,Yes,18230.0,1
1001134,"In reality, the healthcare system has left millions without proper coverage, and Senator Smith believes in privatizing even more sectors.",Yes,2563.0,1
1004915,With tens of thousands of teachers leaving the profession this year due to inadequate pay and poor working conditions.,Yes,9146.0,1
1001126,"They have successfully implemented renewable energy sources to provide 80% of their energy needs, resulting in far lower electricity rates compared to the national average, as seen in Boulder, Colorado.",Yes,21824.0,1
1003387,"And yet, his 1972 foreign policy outlined that we would engage in arms reduction negotiations and seek detente with major powers in order to maintain global peace, because at the beginning of that period, nuclear proliferation was a significant concern across nations.",Yes,14931.0,1
1003190,The current education reform bills have been challenged in court less than ten times since their introduction in 2015.,Yes,7691.0,1
1005124,"Another critical detail is that the public transportation expansion in Seattle, attended by the Mayor, was only made possible through a state-level infrastructure grant that the Mayor's proposed budget aims to severely reduce next year.",Yes,17231.0,1
1003817,"Now, the healthcare reforms that I propose are directed specifically at increasing access for low-income communities and individuals.",Yes,28864.0,1
1005082,"If you install renewable energy systems at your home, you receive a $2,500 credit.",Yes,26286.0,1
1005325,I have seen it happen repeatedly.,Yes,12575.0,1
1000470,"When Senator Wilder argues for an increase in healthcare funding, he suggests it could come at the expense of significant reductions in environmental protection programs, which impacts us all.",Yes,2613.0,1
1001643,I have my own charitable organization that's gathered over $20 million to support veterans' mental health services.,Yes,19823.0,1
1005383,85 percent of our citizens are relying on social programs that need to be enhanced through the initiatives I have proposed during this debate.,Yes,19844.0,1
1002695,"I played a pivotal role in a series of initiatives to tackle greenhouse gas emissions when I was head of the environmental agency, including, notably, the international climate accords.",Yes,30056.0,1
1003030,"And once again, I'm not going to ignore the growing climate crisis, as previous administrations have done for years.",Yes,2900.0,1
1001358,And we've got nearly one and a half million small businesses shuttering their doors because they've been denied access to crucial government loans.,Yes,1475.0,1
