Text,class_label
They determined it was medically safe for the women who use that drug.,Yes
The president says that I'm denigrating these troops.,Yes
"22 million new jobs, very low unemployment nationally.",Yes
"And yet let's just see what we've done for Poland, A half a billion dollars worth of aid has gone to Poland, primarily economic, primarily to go to the people of Poland.",Yes
"I think Mr. Perot has confronted this deficit issue, but I think it's important to point out that we really have 2 deficits in America, not one.",Yes
"Well, they also know if they live in San Diego, Mr. President, if you're caught with 125 pounds of marijuana or less, you go back to Mexico.",Yes
Every middle class family is eligible for a tax cut under my proposal.,Yes
"Now that's estimated to create 800,000 jobs, the problem is they won't be here, they'll be in places like China.",Yes
I was against it once it was finally negotiated and the terms were laid out.,Yes
"I advocated last May in a speech at the United Nations that we move immediately as a nation to declare a complete moratorium on the testing of all nuclear devices, both weapons and peaceful devices; that we not ship any more atomic fuel to a country that refuses to comply with strict controls over the waste which can be reprocessed into explosives.",Yes
The 9/11 Commission put out a report that said America is safer but not yet safe.,Yes
"Certainly we can find a coffeepot that costs something less than $7,000.",Yes
The secretary of defense has said these would be even devastating.,Yes
My plan was to have the company go through bankruptcy like 7-Eleven did and Macy's and Condell (ph) Airlines and come out stronger.,Yes
"So now there are five voices speaking to Kim Jong Il, not just one.",Yes
"That means those cars can be exported, 'cause that's the demand around the world, and it also means that it'll save money in your pocketbook.",Yes
"Well, I must say that the reason that the schools have been constructed is because the local school districts were willing to increase the property taxes to a tremendously high figure - in my opinion, almost to the point of diminishing returns in order to sustain these schools.",Yes
"There was two or three commission reports, recommendations by the CIA, the State Department, and the others, and the third time there was even a warning from the terrorists themselves.",Yes
That's already offered in the private marketplace.,Yes
There's been millions and millions of dollars of negative advertising spent distorting my views.,Yes
"You know, when we have a world where you have ISIS chopping off heads, where you have -- and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.",Yes
We find that more have been built in this Administration than in the previous Administration.,Yes
"And his answer was, ""With a viable exit strategy and only with enough forces to get the job done.""",Yes
"Secondly, if you're a family of four making $50,000 in Massachusetts, you get a 50% tax cut.",Yes
"And Governor Romney, our alliances have never been stronger, in Asia, in Europe, in Africa, with Israel, where we have unprecedented military and intelligence cooperation, including dealing with the Iranian threat.",Yes
They have not done it.,Yes
"There is no policy of this government to give to the People's Republic, or to sell to the People's Republic of China, military equipment.",Yes
"For every new dollar that I propose for spending on health care, Governor Bush spends $3 for a tax cut for the wealthiest 1%.",Yes
We've made every one of them eligible for a tax cut.,Yes
It was only when the Supreme Court handed down a decision that the Federal Government intervened in what had always been a State policy.,Yes
"And when Secretary Clinton talks about people that didn't get paid, first of all, they did get paid a lot, but taken advantage of the laws of the nation.",Yes
"Well, I must say, I look back at the vote on Medicare in 1965, we had a program called Eldercare that also provided drugs and means tests to people who needed medical attention received it.",Yes
"So I made a mistake, and I -- you know, the difference, I think, is that I knew at the time I was going to take a lot of political flak.",No
Her name is Alicia Machado.,No
I'm just not going to do that.,No
I am going to help the inner cities.,No
An African American was my chief cabinet officer.,No
I don't think we need them to remain strong.,No
And that's the kind of judge that I want.,No
"There are certainly dangers there, there are certainly other trouble spots in the world which are closer to Europe than to the US.",No
That is a very strong incentive that we've given them to do the right thing.,No
"To do that, we're taking back jobs.",No
It's time for a new path.,No
I want to underline that: no tax cut that adds to the deficit.,No
I want to make sure prescription drugs are available for all seniors.,No
I'll be glad to take a shot at it.,No
You say that you're not interested in duplicating what happened in Iraq.,No
And I had the will of the people in my state behind me.,No
I think we're going to have to do better.,No
"And I -- and I went to my staff, and I said, ""How come all the people for these jobs are -- are all men.""",No
"I mean, I'm not I don't like to get into personal matters.",No
It's because they have lost their industry.,No
What do you think they're going to do when the campaign's over?,No
"And so what I've done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts.",No
"Because when you do not tax, and tax enough to pay for your outgo, you pay it many times over in higher prices and inflation; and I simply will not do that.",No
And they cry when they see what's happened.,No
That's what drug it out.,No
"People who are working hard every day, paying payroll tax, gas taxes, but don't make enough income.",No
Our government shouldn't have allowed that to happen.,No
"But that having been said, I believe that -- well, first of all, let me say that the governor and I agree on some things where this subject is concerned.",No
"And if we don't act today, the problem will be valued in the trillions.",No
Let me just say one final example.,No
I know how these people think.,No
We have to keep the drugs out of our country.,No
