Sentence_id,topic,style,source,class_label,Text
337511,various,structured,Persuasive Essay,Yes,It ' s an essential learning process . 
349743,politics,structured,various,No,Of course ! 
367593,politics,structured,various,No,"And no one was there to confront them with evidence of the intense suffering that so many poor , working-class and middle-class families are experiencing right now because of job losses on Mr . Bush ' s watch . "
313524,various,structured,Persuasive Essay,No,"On the other hand , the significance of competition is that how to become more excellence to gain the victory . "
406865,various,structured,Web Discourse,Yes,It does not belong at work or at school . 
357256,politics,structured,various,No,This is a wonderful doctrine because it gets us off the treadmill of trying to earn favor with God and trying to merit salvation . 
400313,various,structured,Web Discourse,No,The kids there are very respectful and so far no one asked about my gun . 
337910,various,structured,Persuasive Essay,No,Anybody does not remember mistakes . 
365129,politics,structured,various,No,"Today , I met a fellow named Kit Carson . "
308887,various,structured,Persuasive Essay,Yes,"Critics may argue that the Internet have several drawbacks which can affect the education system negatively , for instance internet abuse and black webs . "
295828,various,structured,Persuasive Essay,No,High school is the time when you decide your future career and particular field you want to concentrate and interested in . 
294948,various,structured,Persuasive Essay,No,Some parents are satisfied with the full class schedule of their children . 
332353,various,structured,Persuasive Essay,Yes,"Furthermore , thousand of animals undergo painful suffering or death as a result of scientific research of drugs and various products . "
301039,various,structured,Persuasive Essay,No,"Hence , the installation of CCTV cameras may help the employees escape this situation because the customers know very well that their conversations are recorded . "
361052,politics,structured,various,Yes,"The Empty Tomb First , the evidence indicates that Jesus ' tomb was found empty by a group of his women followers on Sunday morning . "
269720,various,structured,Microtext,No,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented . 
295387,various,structured,Persuasive Essay,Yes,"Taken all together , advertisements have its social responsibility and contribute to economic growth . "
407339,various,structured,Web Discourse,No,"Perhaps a study by Luis Benveniste , Martin Carnoy and Richard Rothstein provides an answer . "
366200,politics,structured,various,No,"It is important for the House to acknowledge that this is not just about Africa , although that is where we see the scale of the epidemic manifested most clearly . "
338101,various,structured,Persuasive Essay,No,They will not be able to enjoy their meals while breathing in smoke around them . 
393652,various,structured,Web Discourse,No,"If a teenager told doctors , "" I want this treatment "" and the parents refused to give consent , what would a court do ? "
318301,various,structured,Persuasive Essay,No,"Second , besides the academic knowledge , the awareness of social behavior is an important factor for human ' s life . "
348386,politics,structured,various,No,"HIV / AIDS , poverty and the state of civil society are all linked . "
276630,various,structured,Persuasive Essay,No,As they usually remain busy in their office so they do not find leisure time for such social activities . 
399372,various,structured,Web Discourse,Yes,The public schools are a bad place to send a kid for a good education anymore . 
342043,various,structured,Persuasive Essay,No,"Parents are quite experienced than their child , they can guide them toward the right direction . "
323244,various,structured,Persuasive Essay,No,Co-education helps both genders to gel well with each other . 
350417,politics,structured,various,No,"Government has the same aim and democracy as a system of government "" has proven to be more effective and better than any other system . "" "
350029,politics,structured,various,No,The jobs of the future will require greater knowledge and higher level skills . 
276932,various,structured,Persuasive Essay,No,"In addition , a boy would know how to speak with a girl in every situation and vice versa . "
299768,various,structured,Persuasive Essay,No,I think majority of people would choose the former because it has more chance than the latter in terms of getting good jobs in the future . 
389953,various,structured,Web Discourse,Yes,Best decision they ever made . 
269590,various,structured,Microtext,Yes,"The BA dissertation should , if not make up the entire grade , then at least constitute a larger share of it . "
278094,various,structured,Persuasive Essay,Yes,"It is a well-known fact that people who are addicted to games , especially online games , can eventually bear dangerous consequences . "
279036,various,structured,Persuasive Essay,No,"For instance , lions hunt in a team . "
368833,politics,structured,various,No,"John Weightman , London http://news.bbc.co.uk/1/hi/world/middle_east/3691548.stm "
394553,various,structured,Web Discourse,Yes,Teach them yourself or take a lone and send them to private school but get your kids out of “ Free ” public education if you want them to ever succeed . 
368113,politics,structured,various,Yes,We have seen historically that the Liberal Democrats jump on any old passing bandwagon . 
370709,politics,structured,various,No,"What my first argument draws attention to is that given God ' s , given God ' s omnibenevolence , God should desire to have a world in which there is as little suffering as possible , perhaps none . [ 8 ] Okay , this should be a desire of any good person , and we think that goodness will generalize . "
383198,various,structured,Web Discourse,No,"Don ' t need statistics , just need to put your kids into the public school system to know they ' re being disadvantaged through under resourcing and teachers ill-equipped to deal with the policies they are meant to be managing , i . e . bullying , attire , social attitude , etc . The number of parents pulling their kids from the public system speaks for itself in how the public system is operating . "
344221,politics,structured,various,No,We are transforming our schools by raising standards and focusing on results . 
353294,politics,structured,various,No,http://www.bushcountry.org/bush_speeches/president_bush_speech_090304.htm 
327501,various,structured,Persuasive Essay,No,Here is an example : there are various charities in the world . 
319530,various,structured,Persuasive Essay,No,Researches in renewable energy cost a huge amount of money which developing countries cannot afford . 
300662,various,structured,Persuasive Essay,No,"While , others claim that studying only one subject is more effective . "
275551,various,structured,Persuasive Essay,No,"With adequate local facilities and services available , they can spend more of their holidays having fun and relaxing . "
369737,politics,structured,various,No,"Vice Chancellor Brown has claimed that semesterisation would lead to a reduced workload for staff , more flexibility for students , and simpler administration for the university . "
332073,various,structured,Persuasive Essay,Yes,"First of all , people have more chance to do other activities they like since food preparation is no longer time-consuming . "
336118,various,structured,Persuasive Essay,No,"For example , if one wore in white and went to common Viharas to observe a rather longer-than-usual , full-length Buddhist sutra in Buddha ' s Birthday in India , he or she would learn something about Indian religion and culture . "
398505,various,structured,Web Discourse,No,"The cost for specialized services to children with disabilities far outweighs the cost of mainstreaming them into regular classrooms where they are unlikely to receive the specialized services they need , Clayton wrote . "
281001,various,structured,Persuasive Essay,No,"In the following paragraphs , both sides of the above matter as well as my own view ' s explanations would be analyzed and given , respectively . "
284451,various,structured,Persuasive Essay,No,"Since automobile exhaust and carbon dioxides emission have bad impacts on the air , the air gets to be polluted and it causes respiratory disease of the local inhabitants . "
387999,various,structured,Web Discourse,No,"Values can be promoted , in accordance with the client population ' s choice . "
296841,various,structured,Persuasive Essay,Yes,There is also another obvious advantage of living in a big city considering the chance of receiving better education of our offspring . 
310617,various,structured,Persuasive Essay,Yes,"First of all , everybody would like to know what is going on around the world in their everyday lives . "
287465,various,structured,Persuasive Essay,No,They are so convenient that the majority of population prefer to use them instead of some traditional ways . 
345833,politics,structured,various,No,"The fact is , people have sex , people get pregnant , lots of "
338999,various,structured,Persuasive Essay,No,Many people consider that the drawbacks of this phenomenon outweigh its merits . 
395408,various,structured,Web Discourse,No,"It ' s a crappy situation , and god help any social worker who haves to work that one case , because they ' re not even walking a thin line anymore , they ' re trying to dance between the clouds of child protection and respect of parental care . "
353276,politics,structured,various,Yes,"And aside from some summer-school programs , we barely use our facilities at all for three months of the year . "
384088,various,structured,Web Discourse,Yes,No prayers in schools ! 
372599,various,structured,Web Discourse,No,Young Mr . Powell is another tragic example of the fallacy of Home Schooling . 
297632,various,structured,Persuasive Essay,No,"Since I was all alone at home for a long time , my dog was near me and it seemed to me that only him could understand my deeply feelings . "
276654,various,structured,Persuasive Essay,No,The importance of games for adults comparing to children 
269165,various,structured,Microtext,Yes,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays . 
270879,various,structured,Microtext,No,Yet the funds of the health insurance companies are a common benefit for all premium payers . 
319576,various,structured,Persuasive Essay,No,"For example , in earlier days , if one had to send a message to someone in other country , it used to take months . "
407372,various,structured,Web Discourse,No,"At the end of the day , we are not preparing our students for the real world . "
281547,various,structured,Persuasive Essay,Yes,"First of all , a person with good manner will give others a fine personal impression . "
346811,politics,structured,various,No,"First , the law threatens the kinds of harm that the Clause seeks to avoid , for the Clause protects liberty by preventing govern - ments from enacting statutes with "" manifestly unjust and oppressive "" retroactive effects . "
342096,various,structured,Persuasive Essay,Yes,"In addition , it will be of economic benefit to pre-empt certain kinds of diseases . "
306873,various,structured,Persuasive Essay,No,. 
313065,various,structured,Persuasive Essay,Yes,"By considering all reasons , advantages of computers outweigh disadvantages . "
317880,various,structured,Persuasive Essay,Yes,They are critical part of universities and a good university has to have a modern library . 
401969,various,structured,Web Discourse,No,No . 
371339,various,structured,Web Discourse,No,"Then there is the mix of private school and homeschool , where the student is taught in a classroom three days a week and the parent downloads assignments from the same teacher the other two days a week . "
281915,various,structured,Persuasive Essay,No,There are many factors that contribute to one ' s success . 
290039,various,structured,Persuasive Essay,No,"Although what criminals cause to the society , specifically to the victims , is indeed significantly offensive , they are humans and their lives need to be valued . "
270123,various,structured,Microtext,Yes,Berlin ' s basketball team has just come out of a sobering season . 
278768,various,structured,Persuasive Essay,No,Lying under the roof of a historic building or sitting on the desk fill with history are both easy ways to forget life ' s little annoyance and feel peaceful . 
406763,various,structured,Web Discourse,No,Private schools = better education ? 
382922,various,structured,Web Discourse,No,The reg . 
375591,various,structured,Web Discourse,No,To hell with everyone else . 
403059,various,structured,Web Discourse,No,"But there is in practice very limited access to these - it costs money , and these schools are few and far between . "
269707,various,structured,Microtext,No,Unfortunately this can lead to disagreeable dependencies in some cases . 
366404,politics,structured,various,Yes,"So , if you put that into the equation , I think it makes it clear that it is not necessarily true that an all-good God would have to create a world in which there is no harm . "
361414,politics,structured,various,No,http://www.bushcountry.org/bush_speeches/president_bush_speech_090304.htm 
315355,various,structured,Persuasive Essay,Yes,"Firstly , computers need to be operated by people . "
322675,various,structured,Persuasive Essay,No,"However , email and cell phones have improved the obstacles above . "
401622,various,structured,Web Discourse,No,I think there will be a backlash about this . 
287655,various,structured,Persuasive Essay,Yes,"Nevertheless , people who are born in well-off families have access to good education , which will have a positive impact on their later life . "
342699,various,structured,Persuasive Essay,No,"In addition , computers can do most difficult tasks which leads to make life easier . "
392351,various,structured,Web Discourse,No,people with money give more . 
344529,politics,structured,various,No,"The distinction is of critical importance , because only knowledge can be objectively valid for everyone ; belief is valid only for the believer , and should never be passed off as knowledge . "
375396,various,structured,Web Discourse,No,Being on her own seems to do her a whole lot of good ” he concludes . 
316257,various,structured,Persuasive Essay,No,Learner could learn how to use tools and see actual organs of fog . 
293146,various,structured,Persuasive Essay,No,"For instance , in my country the best schools , universities and institutes are located in cities , and todays education is one of the most important parts of our children ' s life . "
291401,various,structured,Persuasive Essay,No,"Last but not least , the Internet offers a more effective and practical method of studying . "
321895,various,structured,Persuasive Essay,No,"In these cases , the advertising industry bolsters people ' s awareness of having a healthy lifestyle . "
334914,various,structured,Persuasive Essay,Yes,"Thirdly , if you work hard , luck too might shine on you and take you some more steps further ahead from your actual target . "
362239,politics,structured,various,Yes,"Wayne Gretzky holds more than 80 scoring records in the NHL , so he is a great player . "
315096,various,structured,Persuasive Essay,No,"They lack food , water or clothes which keep them warm , not to mention the education needs . "
361771,politics,structured,various,No,There was no one at the ranch to chastise them for bequeathing backbreaking budget deficits to generations yet unborn . 
342005,various,structured,Persuasive Essay,No,"For example , many processes of production of cars are carrying out by robots , which are controlled by computers . "
380436,various,structured,Web Discourse,No,Our district schools are less than admirable . 
372623,various,structured,Web Discourse,No,"But achievement is higher because students in private schools come from more affluent families than students in public schools , rather than because of better practices . "
316728,various,structured,Persuasive Essay,No,"These things in turn will make them more confident , independent . "
399079,various,structured,Web Discourse,No,Honestly there are likely a lot more people that feel the way I do it ' s just not something popular to speak out about here . 
351797,politics,structured,various,No,That ' s what we have here . 
315727,various,structured,Persuasive Essay,Yes,"Moreover , government cannot equalize the price of creation of modern artist because there is no certain parameter to value it , art value is about taste . "
355669,politics,structured,various,No,"If there is a God who is liable to command anything ; and if our highest loyalty must be to this God , there is no act save disobedience to God which we can safely say is out of bounds , no act of a kind which simply must not be done , even rape , to use Dr . Craig ' s example . "
407397,various,structured,Web Discourse,No,"I apologize if what I ' m saying offends any of you - that ' s not my intention , I know that there are many homeschooled children who do just fine , but that hasn ' t been my experience . "
376263,various,structured,Web Discourse,No,"In the non-public school , while they have more OT and ST and he is making progress academically , he is having behavior problems . "
371775,various,structured,Web Discourse,No,"He made this children take the Vineyard Adaptive Behavior Scales test , which identifies well-adapted behaviors and maturity . "
303045,various,structured,Persuasive Essay,No,For example we can use chemicals to desulfurize the emissions from plants and vehicles to avoid acid rain . 
277086,various,structured,Persuasive Essay,Yes,"I personally disagree with this notion that these types of communication , telephones and email , made people less personal . "
369826,politics,structured,various,No,"Would they claim , perhaps , that a treaty which is unfavourable to our city is binding , and yet refuse to recognize it if it gives us any guarantees ? "
385275,various,structured,Web Discourse,No,One at a local school to me was nearly killed in a hammer attack the school were apparently scared to prevent for fear of being branded racist . 
296863,various,structured,Persuasive Essay,No,"In order to turn a wilderness into a place of attraction , the planners must have taken the nourishment of the sceneries into thorough consideration . "
312321,various,structured,Persuasive Essay,No,Some people state that high schools should allow students to study what they want to . 
353730,politics,structured,various,No,"It was likely this bravado , combined with lack of fitness and a boiling surf , claimed his life . "
274052,various,structured,Persuasive Essay,No,A break gives students more benefits than harms . 
385386,various,structured,Web Discourse,No,I ’ m sick to death of it ! 
386619,various,structured,Web Discourse,No,My kids are better educated and better positioned in their life because of my personal sacrifice - pure and simple . 
349720,politics,structured,various,No,Maybe there is . 
339947,various,structured,Persuasive Essay,No,It might be easy to take praises but hard to accept criticism . 
276724,various,structured,Persuasive Essay,No,"In this essay , I will analyze both views first in order to come up with a fool-proof decision . "
299208,various,structured,Persuasive Essay,Yes,By giving students the freedom to choose about class attendance they might rather be thinking about why they decided to study and learn to motivate themselves . 
350199,politics,structured,various,No,"Today , workers change jobs , even careers , many times during their lives , and in one of the most dramatic shifts our society has seen , two-thirds of all moms also work outside the home . "
341010,various,structured,Persuasive Essay,No,"I feel that after working out , I am easily to fall asleep . "
329541,various,structured,Persuasive Essay,No,"Some people tend to prefer that schools should invest in renewing facilities , while other seem to believe that famous teachers is more conducive to students . "
375810,various,structured,Web Discourse,No,"If you honestly think your kids will be permanently damaged by learning about evolution , get a grip . "
296314,various,structured,Persuasive Essay,No,The part-time job can let students experience the real adult life and know more about it 
327478,various,structured,Persuasive Essay,No,Views differ considerably when it comes to the issue of whether cars will be less than there are today in twenty years or not . 
373025,various,structured,Web Discourse,No,"I know some of you are saying , "" Well , in MY public school they didn ' t . . . . "" and that ' s great . "
331777,various,structured,Persuasive Essay,No,Others believe that they are inferior creatures and therefore do not deserve our attention . 
289951,various,structured,Persuasive Essay,No,Technology has made life too easy for most children . 
320422,various,structured,Persuasive Essay,Yes,Learning with a teacher can prevent one from being confused and increase the rate and speed of learning . 
351702,politics,structured,various,No,"W . Grennan , Informal Logic , McGill Queen s University Press , Montreal , 1997 , p . 181 "
281544,various,structured,Persuasive Essay,No,They are being rude towards others . 
402461,various,structured,Web Discourse,No,“ Out with it . ” 
337801,various,structured,Persuasive Essay,No,Overemphasizing on personal lives of famous people by media 
403725,various,structured,Web Discourse,No,YOU ARE IDIOTS . 
289768,various,structured,Persuasive Essay,No,Tourist often decide to discover the culture of a country when they visit through those old buildings . 
348400,politics,structured,various,Yes,"In teh letter , Dr burns said , "" The link between smoking and Glasgow ' s ill-health is clear and compelling . "
357071,politics,structured,various,No,You know very well very many of these girls automatically assume they ll be taken care of . 
337667,various,structured,Persuasive Essay,Yes,"Some people , however , still believe that they can exist for long time ; others disagree , arguing that newspapers have lost their competitive advantage to sustain their prolonged existence . "
313324,various,structured,Persuasive Essay,No,"In addition , car companies use computers to simulate and analyze car accident by computers . "
363955,politics,structured,various,No,"This is plain , in that the killing of an enemy in a battle , or putting a criminal legally to death , is not thought sinful , though the outward act be the very same with that in the case of murder . "
390630,various,structured,Web Discourse,No,"In the grey world , it ' s perfectly possible to believe-in and support public school but choose a private school for your student . "
321501,various,structured,Persuasive Essay,No,"Besides , learning in classroom are not only learning academic skills but also learning social skills , and learning how to solve problem in real situation . "
367233,politics,structured,various,No,http://www.bushcountry.org/bush_speeches/president_bush_speech_090304.htm 
335010,various,structured,Persuasive Essay,No,"In other words , reducing risks and enhancing individual ' s capability is the most important path to success . "
394751,various,structured,Web Discourse,No,"We have become a very narrow exam based factory where the ‘ whole ’ person does not appear to be as important as Maths , English and Verbal Reasoning ! "
397441,various,structured,Web Discourse,No,I in good conscience could not ask anyone else to through good money after bad as you suggest that we all do . 
344141,politics,structured,various,No,"W . Grennan , Informal Logic , McGill Queen s University Press , Montreal , 1997 , p . 191 "
389279,various,structured,Web Discourse,No,“ Did many kids go out into the hallway ? ” 
329339,various,structured,Persuasive Essay,No,And that happened mainly because of the development of the technology . 
345242,politics,structured,various,No,"As someone who has watched several close friends struggle with heroin addiction , I have to ask : what is Watters thinking ? "
396845,various,structured,Web Discourse,No,You say she has a compelling argument . . . 
365722,politics,structured,various,Yes,Yet participants cautioned against too much finger pointing . 
399359,various,structured,Web Discourse,No,Clearly we ’ re off to a great start . 
294395,various,structured,Persuasive Essay,No,"As for me , I favor the latter because of the following reasons . "
284155,various,structured,Persuasive Essay,No,Those people are more likely to achieve their ambitions in their career because they are aware of how to lead people to reach success despite what kind of difficulties are getting in their way . 
340775,various,structured,Persuasive Essay,Yes,"Secondly , new technology has created some similar jobs all around the world . "
384296,various,structured,Web Discourse,No,Who in their right mind would want their children to have to rely on an education from one of those to prepare them for life ? 
317763,various,structured,Persuasive Essay,No,This environment makes me want to develop myself to be able to communicate with people that speak foreign language . 
357144,politics,structured,various,No," Islam is a religion for all of us who believe in it . 	0
There are bad people who are giving us a bad time at this particular juncture . 	0
But the same applies to all religions .  "
364294,politics,structured,various,No,Prior to having a problem I was a UK highly respected IT Consultant and was very successful . 
392806,various,structured,Web Discourse,Yes,The Public School System is a mess in many districts and it ' s not the responsibility of the parent to sacrifice their child ' s education in order to keep that failing system going . 
286729,various,structured,Persuasive Essay,No,Schools should only teach children the academic subject 
276913,various,structured,Persuasive Essay,No,"However , some people point that technology has made children less creative . "
359808,politics,structured,various,No,"The caller was the appellant and having given his name and address he said : "" You ' ve got to help me . "
349223,politics,structured,various,No,Copies of the comments of the Ministers have already been made available to Dr . Raghuvansh Prasad Singh . 
331520,various,structured,Persuasive Essay,No,"If one can efficiently acquire the information , then , there might come along more opportunities for him to achieve his goals . "
386829,various,structured,Web Discourse,No,"Everybody in my family ( my siblings , husband ’ s sibling ) skipped a year in school i . e . moved forward faster . "
399638,various,structured,Web Discourse,No,All I can say is WOW ! ! ! 
273414,various,structured,Persuasive Essay,No,Knowledge is the base of creativity . 
396522,various,structured,Web Discourse,No,However it may take a little while to really settle down to an “ absence of a rigid routine ” before you can enjoy this freedom from timetables and rules of an educational institution . 
332462,various,structured,Persuasive Essay,No,Some celebrities misguide young people& some guide them in right direction 
358067,politics,structured,various,No,"He or she is ignorant , and the job of education is to cure that ignorance and to replace it with knowledge . "
392360,various,structured,Web Discourse,No,"All of these situations encourage development of social and conflict-resolution skills , expect courteous and respectful behavior and expose children to diversity . "
337986,various,structured,Persuasive Essay,No,"For example , suppose you live in a faraway community where there is no single university and you might not want to leave your family . "
390590,various,structured,Web Discourse,Yes,I ' m not either pro-homeschool or pro-public school . 
382841,various,structured,Web Discourse,No,The reality is students with special needs are a small percentage of the population and cannot drive a fundamental shift in education . 
319465,various,structured,Persuasive Essay,No,Some students might understand all topics that they had learnt but some are not . 
388512,various,structured,Web Discourse,No,We have 2 boys and they are going to a boys only private school and we ' re thinking of sending them to a boys only High school as well . 
344273,politics,structured,various,Yes,"We will go with our allies . "" "
275892,various,structured,Persuasive Essay,No,"Even if I were not to win this medal , I acknowledged the great amount of my endeavor as I could keep my tired legs running . "
374250,various,structured,Web Discourse,No,"A well-publicized 2011 Science paper disagreed , proclaiming that single-sex education can have a long-term negative effect by promoting gender stereotypes . "
374165,various,structured,Web Discourse,No,He didn ' t have any friends among the peers without disabilities . 
386441,various,structured,Web Discourse,No,These hardly constitute the totality of private schools in this country . 
291919,various,structured,Persuasive Essay,No,"To boost their sales and win over customers , companies pour a great amount of money into advertising . "
299890,various,structured,Persuasive Essay,No,"However , coffee shops are not always quiet , so my classmates and I often finish our work roughly . "
393338,various,structured,Web Discourse,No,I don ’ t know if any school can nourish her love for science as much as my husband and I do . ” 
301112,various,structured,Persuasive Essay,No,"For example , in Korea , there ' s program called EBS . "
377253,various,structured,Web Discourse,No,Honestly ? 
297687,various,structured,Persuasive Essay,Yes,"To begin with , I agree that sedentary lifestyle lead to many serious health problems . "
317904,various,structured,Persuasive Essay,No,Teachers will not find it difficult to make students learn such new concept in their teenage years . 
275647,various,structured,Persuasive Essay,No,"Take Thailand for example , in the Vietnam War , many American soldiers came to Thailand for a break and involved in sexual and drug activities , these huge demands caused many local businesses opened and expanded , even illegally involved in under-age prostitutes to maximize their profits . "
356972,politics,structured,various,No,The simple fact is that this country is run by a black government and the upper rungs of public service are mainly peopled by blacks . 
276731,various,structured,Persuasive Essay,No,Raising the salaries of professors so ? 
407400,various,structured,Web Discourse,No,She has never been on the internet . 
301902,various,structured,Persuasive Essay,Yes,"Therefore , it is crucial to alter automobiles to the other means of transportation and to legislate to control automobiles . "
358047,politics,structured,various,No,"These governments share our assessment of the danger , but not our resolve to meet it . "
271919,various,structured,Microtext,No,There are other instruments to motivate tighter discipline while studying . 
359100,politics,structured,various,No,12 . 
347778,politics,structured,various,No,"In contrast , oil makes up only about 7 percent of U . S . imports . "
408430,various,structured,Web Discourse,No,"It was boring , tedious , slow and frustrating . "
359604,politics,structured,various,No,Let me cut to the chase . 
270309,various,structured,Microtext,Yes,"Since the impact of the morning-after pill is so massive , particularly due to its abortive effect , dispensing it without medical advice would be inappropriate . "
335067,various,structured,Persuasive Essay,No,Although I agree with the idea that knowing different fields is important . 
299419,various,structured,Persuasive Essay,No,They have numerous activities in school . 
331990,various,structured,Persuasive Essay,No,"From this i learned , how to manage money correctly . "
390801,various,structured,Web Discourse,No,"but , no , i don ' t see it . if you want your kid to just be a kid , DON ' T put them in all these activities , unless they ASK to do them . "
381700,various,structured,Web Discourse,No,"In a matter of moments , five students were gunned down . "
295252,various,structured,Persuasive Essay,Yes,"I prefer the serious movies which are simple , touching and powerful . "
408538,various,structured,Web Discourse,No,"For the purpose of this argument , I ' m referring to homeschooling as any kind of flexible education : online schools , unschooling , a hodge-podge of curricula from different places , anything . "
331698,various,structured,Persuasive Essay,No,"In sum , I am sure ; some people will oppose the idea of part time job for students . "
342066,various,structured,Persuasive Essay,No,"The core and most profitable technology of an IT company is invented by a worker with excellent computer knowledge , not a worker with outstanding communicating skill . "
284277,various,structured,Persuasive Essay,No,He looked at every aspect that he needed to qualify for the promotion . 
341121,various,structured,Persuasive Essay,No,"Furthermore , the teachers play important role in leading us to right direction . "
326261,various,structured,Persuasive Essay,No,"However , for a student coming from middle class buying a gaming console may not be the need of the hour . "
350126,politics,structured,various,No,"If , on the other hand , he is a good man , why did you force me , against my will and his , to leave him ? "
294544,various,structured,Persuasive Essay,Yes,People in society must do more than paying taxes to contribute to their society . 
338962,various,structured,Persuasive Essay,No,Some people believe that this has brought more problems than benefits . 
337267,various,structured,Persuasive Essay,Yes,"However , excessive violence would offer misleading information to the public and exert detrimental influence to the society as well . "
391150,various,structured,Web Discourse,Yes,I don ' t think that home schooling is good for children and I don ' t think that single sex schooling is good for children either . 
391764,various,structured,Web Discourse,No,"I ' m talking black , white , brown , asian , oriental , you name it they ' ve got it . "
379066,various,structured,Web Discourse,No,Kids are indoctrinated not educated in Public Schools . 
311245,various,structured,Persuasive Essay,No,"However , it is widely thought that we experience stress any time , which comes across unexpectedly that frustrates our goals . "
378765,various,structured,Web Discourse,No,"The Atlantic , Oct . 18 ) . "
309217,various,structured,Persuasive Essay,Yes,"In conclusion , using life experiences and examples to demonstrate the knowledge on a subject is an effective way to attract students ' attention and keep them eager on learning , not only because it reinforces students ' impression on the knowledge but also invites students to practice the knowledge out on their own . "
384668,various,structured,Web Discourse,No,This worked really well . 
282416,various,structured,Persuasive Essay,Yes,"In addition , cars increase the chance of employment because people are able to drive to work and can work further away from home . "
298675,various,structured,Persuasive Essay,No,"At the increasing living pace , the majority of people tend to choose microwave as their unique cooker that help them prepare a dish in five minutes . "
405324,various,structured,Web Discourse,No,Testing well is not the goal . 
329269,various,structured,Persuasive Essay,No,"This clearly shows that international sports competitions encourage people and put pressure on them to come back , sooner or later , to a relative peaceful normality . "
312438,various,structured,Persuasive Essay,No,They beat them up because they did not wanted to eat their meals and then excused themselves saying that it was a way to train the animals . 
366067,politics,structured,various,No,"Because religious charities provide a safety net of mercy and compassion , our government must never discriminate against them . "
346967,politics,structured,various,Yes,"It is impossible to fault the architects of the merger of University College London ( UCL ) and Imperial College for the scale of their ambition : "" This is about creating the world ' s number one university , "" claims Sir Derek Edwards , the provost of UCL . "
358248,politics,structured,various,No,"By seeking recognition as an occupying power , Zebari said , the coalition spread mistrust and suspicion among Iraqis worried about a return to foreign domination . "
403209,various,structured,Web Discourse,No,"No everybody can teach and learn at home , and some parents and students cheat at home as well as they do at public schools , and the big problem is that nobody could catch them because the most important thing for many parents in this country is that their children should have as many “ As ” as possible on their resu "
359555,politics,structured,various,No,Nowhere does the New Testament teach that justifying faith is arbitrarily bestowed by God . 
385844,various,structured,Web Discourse,No,Would a moment of silence be out of order ? 
383291,various,structured,Web Discourse,No,I am a teacher myself and I give 100% of me everyday to my students but unfortunately where my kids go to school they don ' t . 
393502,various,structured,Web Discourse,No,Education is one . 
370425,politics,structured,various,Yes,"The fact is , it ' s extraordinary unlikely that I ' m going to win this . "
335743,various,structured,Persuasive Essay,Yes,"However , from my perspective , students can acquire university knowledge without the prerequisite of passing exam . "
274425,various,structured,Persuasive Essay,No,"We all know that television provides us many benefits ; it helps people relax , helps keep up with news , helps broad our mind . "
404827,various,structured,Web Discourse,No,It ' s a self confessed a manifesto . 
390320,various,structured,Web Discourse,No,"As an admissions officer , we had applicants whose "" record keeping "" consisted of sending boxes full of paper for our office to review as part of the application . "
373670,various,structured,Web Discourse,No,But … 
393024,various,structured,Web Discourse,No,"Once they start working , or going to college , they are going to be subjected to the reality of the secular world we live in , and it is better to prepare them for dealing with that fact before they are 18 years old . "
355617,politics,structured,various,No,"Such a contract , for example , might pay off if a company meets or exceeds the consensus earnings forecast , but be worthless if it does not . "
398489,various,structured,Web Discourse,No,Removal of prayer in schools is not a violation of the third amendmant . 
372745,various,structured,Web Discourse,No,"We are so integrated in our neighborhoods and businesses that there is no chance that divisiveness might be exacerbated by private schools , especially in the contemporary religious environment . "
318374,various,structured,Persuasive Essay,Yes,"In conclusion , all companies , factories and businesses should be monitored by governments and executive , and they do not have to let do anything they want just due to making profit . "
386000,various,structured,Web Discourse,No,Fact : we make other appropriate accommodations for other faith groups . 
332365,various,structured,Persuasive Essay,No,"Furthermore , Japan is working to build a working space solar power system by 2030 . "
394303,various,structured,Web Discourse,No,That was a hard call because he was pretty shy until high school . 
289335,various,structured,Persuasive Essay,No,"Moreover , continuous use of mobile phone may damage both eyesight and physical posture of the children . "
369475,politics,structured,various,No,"Atheist philosophers have tried for centuries to disprove the existence of God , but no one has been able to come up with a convincing argument . "
351415,politics,structured,various,No,May we have a debate on the environmental and security implications of that trade ? 
291043,various,structured,Persuasive Essay,No,"First and foremost , it is easy to realize that languages , especially oral language , are a quite major part of culture of a country . "
268558,various,structured,Microtext,No,"Besides , intelligence services intervene massively in the privacy of citizens and must therefore be monitored more closely to prevent abuse . "
293359,various,structured,Persuasive Essay,No,This seems to be easy but this can influence positively their future children and makes children ' s behavior better before they face the real world . 
321556,various,structured,Persuasive Essay,No,"However , it does not mean that air travel should be more expensive . "
318141,various,structured,Persuasive Essay,No,These machines reduce the physical work done by humans . 
306420,various,structured,Persuasive Essay,Yes,"Therefore , the number of fatality can be significantly reduced if a total ban on public smoking is implemented . "
345239,politics,structured,various,No,The addict realises what they stand to lose if they don ' t stop using . 
