Text,class_label,topic
The Senator voted against the assault weapons ban in 2013.,Yes,gun control
"Over 30,000 people die from gun violence every year in the United States.",Yes,gun control
"Look, since 1994, the number of mass shootings has tripled.",Yes,gun control
"And, uh, the NRA spent over $50 million in the last election cycle.",Yes,gun control
"According to the CDC, gun deaths have surpassed car accidents as the leading cause of death among children.",Yes,gun control
"He said it himself, 'I will never support universal background checks.'",Yes,gun control
"Australia implemented strict gun laws in 1996, and they haven't had a mass shooting since.",Yes,gun control
"And more importantly, that was after the Parkland shooting.",Yes,gun control
"Look, the United States has reduced its carbon emissions more than any other country in the last decade.",Yes,climate change
"He voted against the Paris Agreement, which was supported by almost every nation on Earth.",Yes,climate change
"I mean, the NOAA reported that last year was the hottest on record.",Yes,climate change
China is investing three times more in renewable energy than we are.,Yes,climate change
"And, uh, the Senator here, he supported drilling in the Arctic, which is a fragile ecosystem.",Yes,climate change
The EPA's new regulations are expected to cut emissions by 30% by 2030.,Yes,climate change
We've got more wind and solar jobs now than coal jobs in the United States.,Yes,climate change
"According to the IPCC, we have less than a decade to avoid the worst impacts of climate change.",Yes,climate change
My opponent voted against the 2017 tax cuts that have led to the lowest unemployment rate in 50 years.,Yes,tax policy
"Under my plan, families earning less than $50,000 will see their taxes reduced by 20%.",Yes,tax policy
The Congressional Budget Office said the recent tax reform will add $1.5 trillion to the deficit over the next decade.,Yes,tax policy
"He wants to raise corporate taxes to 28%, which would be one of the highest rates in the developed world.",Yes,tax policy
"And let's not forget, the Tax Policy Center found that 80% of the benefits went to the top 1%.",Yes,tax policy
"Look, since 2018, we've seen over 500,000 new manufacturing jobs created, thanks to our tax policies.",Yes,tax policy
The Senator supported a tax increase that would have impacted 90% of small businesses.,Yes,tax policy
"And more importantly, that was after the tax hike on middle-class families.",Yes,tax policy
"Under my administration, solar energy production has tripled.",Yes,energy
He voted against the Clean Energy Act three times.,Yes,energy
The U.S. is now the largest producer of natural gas in the world.,Yes,energy
"According to the EPA, emissions have dropped by 15% since 2020.",Yes,energy
We have more wind turbines now than any other country.,Yes,energy
The Senator's plan would increase energy costs by 20%.,Yes,energy
"Look, the International Energy Agency says renewables are outpacing coal.",Yes,energy
"And more importantly, that was after implementing stricter regulations.",Yes,energy
My opponent voted against increasing federal funding for public schools three times in the last decade.,Yes,education
"Look, the National Education Association says that teacher salaries have stagnated for the past five years.",Yes,education
"In 2022 alone, over 1.5 million students were enrolled in charter schools across the country.",Yes,education
"He said he supported the No Child Left Behind Act, but then turned around and criticized its testing mandates.",Yes,education
The Department of Education reported that graduation rates have increased by 10% since 2010.,Yes,education
"I mean, we spend more per student than any other country except Switzerland.",Yes,education
"According to a recent study by the Brookings Institution, class sizes have been steadily increasing since 2016.",Yes,education
"And, uh, the President's budget proposal cuts funding for special education by $200 million.",Yes,education
"In 2018, over 400,000 people were apprehended at the southern border.",Yes,immigration
The Senator voted against the immigration reform bill in 2013.,Yes,immigration
"According to the Pew Research Center, the number of unauthorized immigrants has decreased since 2007.",Yes,immigration
"He claims to support DACA, but he voted to defund it three times.",Yes,immigration
I've increased funding for border security by 20% in the last two years.,Yes,immigration
"Look, the Immigration and Customs Enforcement agency reported a 30% increase in deportations last year.",Yes,immigration
The CBO estimates that comprehensive immigration reform would reduce the deficit by $900 billion over 20 years.,Yes,immigration
"We have the most diverse immigrant population in the world, bar none.",Yes,immigration
He claims to have increased the defense budget by 20% in the last fiscal year.,Yes,the military
"Look, the Pentagon report clearly states that our fleet size is the smallest it's been since 1917.",Yes,the military
"And just last year, she voted against the bill that would've provided $500 million for military housing improvements.",Yes,the military
"The President said that under his administration, troop levels in Europe are at their highest since the Cold War.",Yes,the military
"I mean, according to the GAO, the cost overruns for the F-35 program have exceeded $165 billion.",Yes,the military
He mentioned that our allies in NATO have increased their defense spending by 4% on average since 2019.,Yes,the military
"And let's be clear, the Senator supported the withdrawal from the INF Treaty.",Yes,the military
"According to a recent RAND Corporation study, our cyber defense capabilities are ranked third in the world.",Yes,the military
"He voted against the Affordable Care Act not once, but three times.",Yes,healthcare
"Look, the CBO has estimated that this new healthcare plan will add $500 billion to the deficit over the next decade.",Yes,healthcare
"In my state, we've reduced the uninsured rate by 40 percent since I took office.",Yes,healthcare
"She claims to support universal healthcare, but her record shows she voted against it in 2017.",Yes,healthcare
"And, uh, let's not forget, the United States spends more on healthcare per capita than any other country in the world.",Yes,healthcare
The American Medical Association has stated that this bill will lead to millions losing their coverage.,Yes,healthcare
"Our plan will guarantee coverage for pre-existing conditions, unlike his proposal.",Yes,healthcare
"According to a recent study by Harvard, medical errors are the third leading cause of death in the United States.",Yes,healthcare
"In 2022, the Department of Education reported that student loan debt has surpassed $1.7 trillion.",Yes,education
The Senator voted against the bill that would have increased funding for public schools by $15 billion.,Yes,education
"My opponent, uh, claimed that graduation rates have improved, but in fact, they've dropped by 3% over the last decade.",Yes,education
"And, you know, the state of Massachusetts spends more per student than any other state in the country.",Yes,education
"Look, the National Education Association has endorsed my plan to reduce class sizes across the nation.",Yes,education
He was against the initiative to implement free community college for all high school graduates.,Yes,education
"The President's proposal could potentially cut federal education funding by 10%, according to the Congressional Budget Office.",Yes,education
We have more teachers now than at any point in our history.,Yes,education
"Look, the Pentagon's budget has increased by over 20% in the last four years.",Yes,the military
He voted against the defense bill that would have provided funding for new aircraft carriers.,Yes,the military
"And you know, according to the latest reports, China now has the largest navy in the world.",Yes,the military
"I've advocated for reducing our nuclear arsenal, and that's something my opponent has consistently opposed.",Yes,the military
The Department of Defense itself has said that climate change is a threat multiplier for our military.,Yes,the military
"Uh, the F-35 program is, like, the most expensive weapons system in history, costing over $1.7 trillion.",Yes,the military
"He claims to support veterans, but he voted against the GI Bill expansion.",Yes,the military
"And just to be clear, over 70% of military families say they struggle with housing costs.",Yes,the military
"My opponent claims that the trade deficit with China has tripled in the last decade, but the truth is it's actually decreased by 15% in the last two years.",Yes,trade
"He voted against the trade deal that would've created 500,000 new jobs.",Yes,trade
"According to the Department of Commerce, exports to the EU have increased by 7% since the new agreement was signed.",Yes,trade
"She says she supports American workers, yet she backed a policy that outsourced 200,000 jobs to Mexico.",Yes,trade
