Sentence_id,topic,style,source,class_label,Text
219583,various,semi,Wiki Talk Pages,No,"So I ' m slightly hesitant to use that word , but I don ' t have a strong objection either way . "
467364,various,semi,Fact-Checks,Yes,The U.S. Postal Service is selling Queen Michelle Obama stamps.
229899,various,semi,Wiki Talk Pages,No,You keep saying there ' s all these noteworthy problems that should be included in Obama ' s page yet you fail to name one . 
413488,various,semi,Fact-Checks,Yes,"""The Brady Campaign has given me a 100 percent, not 99, 100 percent rating."""
101836,various,semi,LiveJournal,No,EVERY guy that I even slightly like is gay = ( It shouldn ' t be allowed . 
492524,various,semi,Fact-Checks,Yes,The leader of the Drag Queen Story Hour organization was arrested on child pornography charges.
383638,various,structured,Web Discourse,No,"Therefore , one can argue that the students in single-sex schools are already at an advantage . "
558921,various,semi,Fact-Checks,Yes,Iran issued a fatwa condemning Salman Rushdie in 1988.
181077,various,semi,Wiki Talk Pages,No,I am following Wikipedia guidelines . . 
340430,various,structured,Persuasive Essay,No,"In addition , a boy would know how to speak with a girl in every situation and vice versa . "
481029,various,semi,Fact-Checks,Yes,Kamala Harris Plagiarized a Story From Martin Luther King Jr.
397799,various,structured,Web Discourse,No,it is what it is . 
141542,various,semi,LiveJournal,No,"Oh well , it ' s hardly a bad thing ! "
112210,various,semi,LiveJournal,No,Which would be epic . 
570706,various,semi,Fact-Checks,Yes,Pfizer has added a new ingredient to its COVID-19 vaccine to reduce the risk of children having heart attacks as a side effect.
426413,various,semi,Fact-Checks,Yes,Putting lemon drops inside the nose kills Covid-19
170674,various,semi,LiveJournal,No,"Interesting characters and pretty good plot , with a good amount of nuance to keep things interesting for the adults in the audience while entertaining the kiddies . "
127517,various,semi,LiveJournal,No,i realise it was a wonderful thing . 
332709,various,structured,Persuasive Essay,No,"For instance , there are more male scientists and engineers in comparison with females around the world . "
430126,various,semi,Fact-Checks,Yes,Dilip Kumar’s last video before his death
503715,various,semi,Fact-Checks,Yes,White goat at Prince Charles' coronation is meant for sacrifice
195859,various,semi,Wiki Talk Pages,No,"I think that saying Zeppelin isn ' t metal is kind of outrageous , too . "
259231,various,semi,Wiki Talk Pages,No,"# 3 is done ( at least , I think I caught them all ) . "
191691,various,semi,Wiki Talk Pages,No,"The two extremes were a Rasmussen poll which had Obama at a -11 spread ( 44% approve , 55% disapprove ) and a Reuters which had him at a spread of 0 ( 48% approve , 48% disapprove ) . [ 7 ] "" How in the world is that original research , or synthesis ? "
233286,various,semi,Wiki Talk Pages,No,However it seems most would rather debate titles than help improve these articles and if anyone tries they get reverted . 
503019,various,semi,Fact-Checks,Yes,A video shows a large cloud of pollen falling from a toppled tree.
268955,various,structured,Microtext,No,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays , then again supermarkets and large shopping centres dominate the market today already . "
