example_Sentence_id,example_Text,Text
24359,The second biggest surplus next to Japan.,"The United States imports more cheese than any other country, except France."
17242,"And 3 days after the election in 1982, they came to us and said, Social Security, we know, is broke.","Shortly after the midterm elections, in early 2006, they approached us and admitted, Medicare is heading towards insolvency."
25393,"But the fact of it is we're so far away from research that even comes close to that, that the Director of Engineering Research at the Defense Department said to get there we would have to solve eight problems, each of which are more difficult than the atomic bomb and the Manhattan project.","However, the progress made in space exploration is still so preliminary that the Chief Scientist at NASA stated reaching Mars would present challenges far greater than landing a rover on the Moon."
21022,"I'm totally opposed to diverting one out of every six dollars out of the Social Security trust fund, as the Governor has proposed, into the stock market.","I am entirely against reallocating one in every five dollars from the National Health Service fund, as the Senator has advocated, to private insurance companies."
33937,These are people that kill women and treat women horribly.,These are regimes that oppress minorities and deny them fundamental rights.
4100,"Here is Ahmadinenene (ph), Ahmadinejad, who is, Ahmadinejad, who is now in New York, talking about the extermination of the State of Israel, of wiping Israel off the map, and we're going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of Israel, and therefore then giving them more credence in the world arena and therefore saying, they've probably been doing the right thing, because you will sit down across the table from them and that will legitimize their illegal behavior.","Here is President Z (ph), Zedong, who is currently in Washington, advocating for the annexation of neighboring territories, and we're about to negotiate, without any conditions, directly with someone promoting territorial expansion, thereby endorsing their actions and suggesting a tacit approval by offering them a global platform to spread their agenda."
763,And I have long ago said I supported the president on this other matter.,I've repeatedly expressed my backing of the vice president on this particular issue.
29200,"When they sell in -- automatic, 16 percent, approximately.","As soon as they purchase it -- instantaneously, around 12 percent, give or take."
15282,"We still have the strictest air control, or air pollution laws in the country.",We maintain the most comprehensive wildlife conservation regulations in the nation.
28048,"It is actually a disagreement between us, a national law that is pending on this, the Dingle-Norwood bill, a bipartisan bill, is one that I support and that the governor does not.","There's an ongoing debate between us, a federal bill currently under consideration, known as the Fair Energy Act, a bipartisan initiative, which I fully endorse, but the Senator does not support."
20299,"Those on Social Security today will have their promise made, but also to give younger workers the option at their choice of being able to manage some of their own money in the private sector to make sure there's a Social Security system around tomorrow.","Today's Medicare beneficiaries will have their assurances upheld, yet we also propose enabling younger citizens to have the voluntary opportunity to invest some of their entitlement funds in personal accounts to secure the longevity of Medicare for future generations."
11153,"What I said was the same thing that the audience here today heard me say, which is, if Pakistan is unable or unwilling to hunt down bin Laden and take him out, then we should.","What I stated here mirrors what this audience heard me say previously, namely, if North Korea continues its nuclear tests without restraint, then decisive action should be taken."
20750,"Under Vice President Gore's plan, he is going to grow the federal government in the largest increase since Lyndon Baines Johnson in 1965.",At the heart of Senator X's proposal lies the notion of expanding federal oversight more dramatically than at any other point since the New Deal era.
