Text,class_label,topic
"The Senator voted against the trade deal that would've created 100,000 new jobs in our manufacturing sector.",Yes,trade
"You know, there's a recent Guttmacher Institute study stating that over 90% of counties in some states have no abortion providers.",Yes,reproductive rights
The military's integration of cyber-warfare units has doubled in the past five years.,Yes,the military
The National Association of Realtors said the housing inventory is at its lowest in 20 years.,Yes,housing
"And, by the way, I led the effort to establish the first national park in over 20 years during my term.",Yes,the environment
"The Social Security Administration reported that the average benefit is just $1,827 a month.",Yes,social security
"In terms of, um, international observers, this last presidential election had more than 200 accredited monitors.",Yes,elections
The last report from the Kaiser Family Foundation showed that deductibles have tripled since 2010.,Yes,healthcare
Her committee failed to pass an adaptation strategy for rising sea levels.,Yes,climate change
The President signed an executive order last year to end family separations at the border.,Yes,immigration
"Look, over the past decade, we've seen, on average, a 0.2 degree Celsius increase in global temperatures per year.",Yes,climate change
My opponent previously said he doesn't see the need for red flag laws.,Yes,gun control
"She was for the decriminalization of marijuana back in 2015, despite what she's saying now.",Yes,crime
He supported lifting the arms embargo on Vietnam back in 2016.,Yes,foreign policy
"According to the Energy Information Administration, wind energy now generates more power than coal in Texas.",Yes,climate change
"According to the United Nations, uh, over 7 million people were displaced due to the Syrian conflict.",Yes,foreign policy
"Our airports are like third-world countries, and JFK is a perfect example.",Yes,infrastructure
The voting turnout increased by nearly 10% in the last midterm elections.,Yes,elections
We've got the largest number of structurally deficient bridges since the early 1990s.,Yes,infrastructure
And more than 50 million students benefit every day from the nutritious meals provided under our school lunch programs.,Yes,education
"The WHO ranked our health system as 37th in the world, just behind Costa Rica.",Yes,healthcare
Pfizer and Moderna's vaccines were approved by the FDA faster than any vaccine in history.,Yes,vaccines
"My administration has provided grants for more than 500,000 small town police officers.",Yes,crime
"Just this past year, 1.2 million electric vehicles were sold in the U.S., a record-breaking number according to industry reports.",Yes,energy
"According to the latest data, there are now more job openings than unemployed workers, about 1.5 jobs for every person seeking employment.",Yes,the economy
They haven't added a single solar panel on public lands.,Yes,the environment
"I mean, under the last administration, the tax revenue as a percentage of GDP was lower than nearly all other developed nations.",Yes,tax policy
"According to the FBI, gun violence is up, but arrests have not kept pace.",Yes,crime
"Just this year, the EPA reported an 11% decrease in water pollutants from last year.",Yes,the environment
He’s repeatedly blocked efforts to expand broadband access to rural areas.,Yes,infrastructure
The Secretary of State's office reported that we've increased sanctions on Russia threefold since 2020.,Yes,foreign policy
I was in the Situation Room when we decided on the drone strike that took out the Al-Qaeda leader.,Yes,foreign policy
"He keeps saying that fraud was rampant, but over 60 court cases found no evidence to support those claims.",Yes,elections
"According to the National Center for Education Statistics, the dropout rate has decreased significantly among Hispanic students over the last two years.",Yes,education
"According to FEMA, every dollar spent on infrastructure reduces disaster recovery costs by $6.",Yes,infrastructure
"Over 1.7 million undocumented immigrants were apprehended at the southern border last year, according to CBP.",Yes,immigration
He supported a plan that raised the retirement age to 70.,Yes,social security
