Text,class_label,topic
"He claims to support women, but the Hyde Amendment, which he's backed multiple times, restricts federal funding for abortion services.",Yes,reproductive rights
"Last quarter, we added over 250,000 new jobs in the tech sector alone.",Yes,employment
The refugee crisis in Syria is labeled by the UN as the worst humanitarian disaster of our time.,Yes,foreign policy
Our voter turnout in the last election was the highest since 1968.,Yes,elections
They passed legislation last year that gutted the Clean Air Act's protections.,Yes,climate change
"He talks about wind turbines, yet his state ranks among the lowest for wind power production.",Yes,energy
We've invested $4 billion to lower the cost of prescription drugs through negotiations with big pharma.,Yes,healthcare
"The President claims that class sizes have decreased, but reports show an average class size increase of 5 students per classroom.",Yes,education
Her proposal taxes capital gains at the same rate as ordinary income.,Yes,tax policy
95% of doctors in this country recommend getting vaccinated.,Yes,vaccines
My opponent supported the withdrawal of troops without a strategic plan.,Yes,the military
Inflation rates have tripled in Venezuela since the start of US sanctions.,Yes,foreign policy
"According to the National Realtors Association, homeownership rates are the lowest they've been since 1994.",Yes,housing
I've proposed a pathway to citizenship for the 11 million undocumented immigrants currently in the country.,Yes,immigration
"The President has downplayed the threat of cybersecurity breaches from foreign actors, while our intelligence agencies have ranked it as one of the top three national security threats.",Yes,foreign policy
"Since 2010, Social Security's been unable to afford full benefits out of its tax income.",Yes,social security
"I mean, Iran, they were found to be enriching uranium beyond the limits of the JCPOA, and that's not acceptable.",Yes,foreign policy
China's military budget has increased by nearly 7% each year for the last decade.,Yes,foreign policy
"In 2018, when the embassy was moved to Jerusalem, it sparked massive protests—at least 50 deaths reported.",Yes,foreign policy
"He said he'd renegotiate NAFTA, but he never delivered.",Yes,trade
"Our latest policy ensures that community college is tuition-free for families making under $50,000.",Yes,education
The study by the Economic Policy Institute noted that real wages have stagnated for most workers.,Yes,the economy
"The truth is, 60% of our rail systems are over 50 years old and desperately need updates.",Yes,infrastructure
The United States is responsible for about 15% of global carbon emissions.,Yes,climate change
I've tripled the number of body cameras for our police force during my tenure.,Yes,crime
"The Senator pushed for steel tariffs, but those led to higher prices for consumers here at home.",Yes,trade
The majority of gun violence is contributed by illegal firearms on the streets.,Yes,gun control
"According to a study by Johns Hopkins, implementing red flag laws can reduce suicide rates by up to 15%.",Yes,gun control
"The fact is, medical bankruptcies make up almost two-thirds of all personal bankruptcies in America.",Yes,healthcare
And you know what? No administration before has achieved this.,Yes,housing
"And look, under my opponent's watch, the deforestation rates have climbed, not decreased.",Yes,climate change
"And more importantly, we need to recall that she supported drilling in the Arctic.",Yes,climate change
"According to the FEC, my opponent's campaign spent over $10 million in TV ads alone last quarter.",Yes,elections
"Under my plan, premiums will drop by 20% in the first year.",Yes,healthcare
She was chair of the committee that enacted the Voter ID law in 2017.,Yes,elections
"Finland's education system ranks first globally for reading, yet spends only about 70% per student compared to us.",Yes,education
"Now, according to the UN, North Korea has conducted, uh, three missile tests in the last six months.",Yes,foreign policy
"According to the Department of Transportation, congestion costs the U.S. economy over $120 billion a year.",Yes,infrastructure
"He claimed that public-private partnerships would solve the crisis, yet they resulted in only superficial progress with insufficient accountability.",Yes,housing
"In most urban areas across the country, the rent burden has surpassed 50%, which is just unacceptable.",Yes,housing
And more than half of the ballots would be counted by machines manufactured by a company he has financial ties to.,Yes,elections
"You know, under the current administration, the Navy is at its smallest size since World War I.",Yes,the military
President Carter brokered the Camp David Accords.,Yes,foreign policy
"Her state ranks last in GDP growth, trailing even Mississippi.",Yes,the economy
"Uh, according to AARP, those changes would affect nearly every American family.",Yes,social security
The administration claims their policies resulted in a 20% drop in illegal crossings.,Yes,immigration
"Uh, just last month, 56 percent of parents said they're dissatisfied with, uh, the state of public schools, according to Gallup.",Yes,education
The latest IRS data shows that the top 5% of earners pay over 60% of all income taxes.,Yes,tax policy
"Our solar energy capacity, uh, it's more than doubled since I took office.",Yes,the environment
"More importantly, that was after the tragic incident in Sandy Hook.",Yes,gun control
Somebody's gotta mention that the National Guard was activated in over 24 states just last year.,Yes,the military
Medicare enrollment has risen to over 61 million people.,Yes,healthcare
He voted against the climate bill in 2020.,Yes,energy
"I mean, the World Bank reported that we're second only to Germany in terms of employment growth.",Yes,employment
We've made the largest investment in our ports since the creation of the Interstate Highway System.,Yes,infrastructure
"And, just to be clear, I've actually introduced five bills to expand voting access and not one of them got a hearing in the Senate.",Yes,elections
Climate change has reduced the Arctic ice at a rate of 13% per decade.,Yes,climate change
"And, I mean, this new law would require employers to verify work eligibility.",Yes,immigration
The last time we saw gas prices drop below $2 a gallon was 2016.,Yes,energy
"He keeps saying there's chaos everywhere, but look, under his administration, murder rates actually went up.",Yes,crime
"My opponent, during her tenure as mayor, oversaw a 15% reduction in crime rates.",Yes,crime
The President claims he's built more affordable housing units than the last three administrations combined.,Yes,housing
"And, more importantly, we've added over 20,000 names to the national no-buy list for mental health reasons.",Yes,gun control
The CBO predicts that repealing the estate tax would add $269 billion to the deficit over a decade.,Yes,tax policy
The WHO ranked our healthcare system 37th in the world.,Yes,healthcare
We've sent over $14 billion in aid to Ukraine in the past year alone.,Yes,foreign policy
The Senator voted against comprehensive immigration reform back in 2013.,Yes,immigration
I signed more trade deals than any president since World War II.,Yes,the economy
"According to Bureau of Labor Statistics, unemployment dropped to its lowest in 20 years.",Yes,employment
"And, I've worked with Planned Parenthood to expand access to contraception in rural areas.",Yes,reproductive rights
The Senator is proposing a 20% increase in teacher salaries across the board.,Yes,education
"The President promised not to raise taxes on anyone making under $400,000.",Yes,the economy
The President said he wants to ban all assault weapons.,Yes,gun control
She was the only one to oppose the bill increasing penalties for human trafficking.,Yes,crime
"And, by the way, the trust fund is projected to be depleted by 2033 if we don't take action.",Yes,social security
"After the new law passed, clinics in Texas reported a drastic 50% reduction in services provided to women.",Yes,reproductive rights
I ensured there's an annual cost-of-living adjustment for beneficiaries.,Yes,social security
"I mean, honestly, the student debt crisis we're facing now is worse than it was fifteen years ago, thanks to his policies.",Yes,education
Our trade deficit with Mexico hasn't ever been this low.,Yes,trade
"California, it's one of the states with the lowest rates of teenage pregnancies.",Yes,reproductive rights
"According to a report by the Sierra Club, the clean energy job sector grew at double the rate of the national average last year.",Yes,climate change
More than half of DACA recipients are essential workers.,Yes,immigration
The Chamber of Commerce reported that immigrants contribute $2 trillion to the economy.,Yes,immigration
"And you know, the Pentagon audit revealed a $35 billion discrepancy last year.",Yes,the military
This new policy proposal could lead to a 25% reduction in auto exports according to the auto industry experts.,Yes,trade
"We've seen, from a UN report, that countries with restricted reproductive rights often have higher maternal mortality rates.",Yes,reproductive rights
We reduced homelessness by 15% nationwide just by implementing strategic partnerships with local nonprofits.,Yes,housing
"He said in 2018 that NATO was obsolete, I mean, those were his words.",Yes,the military
"And look, we've got more drones now than any other country.",Yes,the military
We've closed over 150 rural hospitals in the last five years.,Yes,healthcare
"The proposed bill will leave 2 million more people uninsured, according to the CBO.",Yes,healthcare
I've consistently voted to protect pre-existing condition coverage.,Yes,healthcare
"There was a bipartisan agreement to ensure free vaccines for everyone, despite initial resistance.",Yes,vaccines
A report from the Federal Reserve indicated that household debt surpassed $15 trillion.,Yes,the economy
"He keeps talking about reforms, but the fact is, his policies led to the closure of 500 manufacturing plants.",Yes,the economy
"Chicago police, he claims, are underfunded and overburdened.",Yes,crime
"In the Paris Agreement, every country agreed except two: Nicaragua and, uh, the U.S., because we backed out under the last administration.",Yes,climate change
"And Detroit, it's suffered a net loss of ten thousand auto jobs since he took office.",Yes,employment
We implemented the largest tax cut for small businesses in over 30 years.,Yes,tax policy
"Women, especially those in lower-income brackets, have seen a 20% increase in employment opportunities.",Yes,employment
"And the truth is, Canada has a higher percentage of legal immigrants in their population than we do.",Yes,immigration
My opponent missed the vote on the employment relief package during the recession.,Yes,employment
"She's advocating for increasing the retirement age to 70, which is, I think, not fair.",Yes,social security
He claimed we'd be greeted as liberators in Iraq.,Yes,foreign policy
The President claimed more deportations than any president in modern history.,Yes,immigration
The number of polling stations in urban areas was reduced by 20% last election cycle.,Yes,elections
"More importantly, it's the highest in any developed nation, this pricing for insulin.",Yes,healthcare
"The Green New Deal, my opponent's plan, would destroy over a million jobs by 2025.",Yes,the environment
"Russia's GDP grew by 2% last quarter, the IMF reported.",Yes,foreign policy
"When he was in Congress, he voted to cut Social Security benefits three times.",Yes,social security
Our state's infrastructure ranking went from 12th to 29th under his watch.,Yes,infrastructure
"The new fighter jet program has gone $200 billion over budget, he can't deny that.",Yes,the military
"Listen, the FBI's latest report shows that over 15,000 people were murdered last year alone.",Yes,crime
"Uh, 40% of waste water management systems are nearing the end of their life span, risking public health daily.",Yes,infrastructure
The President approved emergency funding of $500 million specifically for vaccine distribution last winter.,Yes,vaccines
"Look, China has stolen intellectual property worth hundreds of billions of dollars from us.",Yes,trade
"The number of solved cases fell significantly compared to last decade, and it's a fact.",Yes,crime
"My opponent talks about job creation, but in his state the minimum wage is still stuck at $7.25 an hour, unchanged since 2009.",Yes,the economy
"He says he's pro-science, but he denied funding for the research that led to the mRNA breakthroughs.",Yes,vaccines
"According to the National Education Association, teacher salaries have barely kept up with inflation.",Yes,education
"In 2020, we had the most secure election in American history, according to CISA.",Yes,elections
We're spending billions more on standardized testing that's not raising scores.,Yes,education
"Her plan would increase energy costs by $1,200 per family, according to the Congressional Budget Office.",Yes,energy
"Now, under this new policy, first-time homebuyers will receive a larger tax credit.",Yes,housing
I've been on the Housing Committee for over a decade and I've always fought to increase funding for public housing by at least 15 percent every budget.,Yes,housing
"In fact, the rate of migrant children detained was quadrupled in 2022.",Yes,immigration
She supported the TPP before saying she opposed it.,Yes,trade
"More importantly, as governor, I signed legislation that created over 50 new community centers as safe spaces for youth.",Yes,crime
"He talks about economic recovery, but, uh, 60 percent of Americans live paycheck to paycheck according to CNBC.",Yes,the economy
We have allocated $100 billion towards 5G network expansion over the next decade.,Yes,infrastructure
"With his proposal, the average retiree would lose about $1,200 a year.",Yes,social security
The NRA has spent over $50 million in lobbying just in the last decade.,Yes,gun control
"Look, under my administration, offshore drilling permits were up by 15%.",Yes,energy
"I've gotta say, over the past decade, the housing market recovery was slower than any post-recession period since WWII.",Yes,housing
My opponent was on record supporting the dismantling of Medicare back in 2014.,Yes,healthcare
"The refugee agreement, uh, with Turkey resulted in 50% fewer asylum seekers reaching Europe.",Yes,foreign policy
"And, uh, more importantly, they moved those jobs overseas after receiving taxpayer subsidies.",Yes,employment
And she hasn't visited a single country in Africa during her tenure as Secretary of State.,Yes,foreign policy
"And here's the thing, he said he believes coal jobs are coming back, despite all evidence to the contrary.",Yes,climate change
"He was against the withdrawal from Afghanistan back in 2020, which is clearly documented.",Yes,foreign policy
"Look, under my administration, we imposed the toughest sanctions on Russia in history.",Yes,foreign policy
"Look, we've got 10 million more people drawing benefits today than we did a decade ago.",Yes,social security
"Look, the cost of steel has soared by 25% since the start of the year.",Yes,infrastructure
The President mentioned that over 20% of military bases are below standard of living conditions.,Yes,the military
"In Florida, we're seeing a five percent increase in mail-in voting this year compared to 2020.",Yes,elections
"Our manufacturing sector, he says, has shown consecutive gains for twenty-four months straight.",Yes,the economy
"According to a Pentagon report, we're facing a serious shortage of pilots right now.",Yes,the military
The President's budget cuts would strip funding from after-school programs that serve over 1.6 million kids nationwide.,Yes,education
"Look, she's been talking about police reform, but didn't she vote against funding body cameras?",Yes,crime
He's shifted his stance on the Trans-Pacific Partnership multiple times; back in 2016 he even called it the gold standard of trade deals.,Yes,trade
His vote against the tax cuts for middle-class families speaks volumes.,Yes,tax policy
Medicare's administrative costs are only about 2%.,Yes,healthcare
"They didn't support the repeal of Don't Ask, Don't Tell, even when the generals were on board.",Yes,the military
"According to the Bureau of Labor Statistics, productivity has increased by 3%.",Yes,employment
"The Affordable Care Act has saved young adults, uh, $20 billion each year by allowing them to stay on their parents' plans until 26.",Yes,healthcare
She's said she's open to shutting down the government to get her demands on immigration.,Yes,immigration
"The Senator mentioned this, but the Department of Justice found systemic issues in three major cities.",Yes,crime
"The UN said, uh, we only have a decade left to prevent irreversible damage.",Yes,climate change
He supported deregulation policies that directly led to the 2008 financial crisis.,Yes,the economy
"The President promised, and I quote, to 'fix our crumbling infrastructure' in his first 100 days, and that hasn't happened.",Yes,infrastructure
"Since 2010, we've doubled the number of border patrol agents working on our southern border.",Yes,immigration
"I mean, uh, our new infrastructure plan is expected to cut commute times by an average of 20% in metropolitan areas.",Yes,infrastructure
And crime rates in New York are at their lowest since the 1960s.,Yes,crime
My opponent supported a bill that would've allowed concealed carry across state lines.,Yes,gun control
Our country allocates fewer federal funds for family planning services than any other nation with comparable healthcare systems.,Yes,reproductive rights
The Senator voted against funding body armor for our troops.,Yes,the military
Did you know that we've seen a 25% drop in soy exports to China since those tariffs?,Yes,trade
We've reduced the number of troops in Afghanistan by over 50% in the last two years.,Yes,foreign policy
"Our dropout rate, I'm proud to say, has fallen to the lowest level in three decades.",Yes,education
"And let me tell you, that plan is criticized by over 80 percent of economists surveyed by Harvard's public policy school.",Yes,social security
She blocked the infrastructure bill that would've brought clean water to 10 million people.,Yes,infrastructure
The budget for election security has doubled since 2016.,Yes,elections
"According to the CBO, future payouts will be reduced by at least 25% if we do nothing.",Yes,social security
"Our GDP growth has outpaced that of all major economies, except China.",Yes,the economy
I've introduced legislation to expand background checks.,Yes,gun control
The US has the highest number of privately owned guns in the world.,Yes,gun control
The EPA has regulations that could save the country billions in health-related costs caused by pollution.,Yes,climate change
"Uh, look, when I came into office, we helped over a million families keep their homes.",Yes,housing
He keeps quoting an NRA report that doesn’t exist about armed citizens stopping crime.,Yes,gun control
"And really, the Federal Reserve's interest rate hikes are the highest they've been in over 20 years.",Yes,the economy
The Congressional Budget Office estimated that his proposal would result in the largest deficit since World War II.,Yes,tax policy
Over 15 states have passed heartbeat bills restricting abortion this year alone.,Yes,reproductive rights
The Federal Reserve reported that inflation could remain above 2 percent through 2025.,Yes,the economy
She co-sponsored legislation to improve vaccine access in rural communities.,Yes,vaccines
"So under his watch, school shootings have doubled compared to the previous four years.",Yes,gun control
"I mean, he's opposed every effort to increase border security funding over the last six years.",Yes,immigration
"More importantly, that was with bipartisan support in 2021.",Yes,climate change
"The Senator—he's received over $500,000 in campaign donations from real estate developers.",Yes,housing
"And, look, the payroll tax cap increase was proposed to address funding gaps.",Yes,social security
He said that reversing Roe v. Wade would return power to the states.,Yes,reproductive rights
The PISA scores show our nation's students rank 25th in math literacy.,Yes,education
He's mentioned the idea of cutting visas by 30%.,Yes,immigration
"This administration, in just the last year, has rolled back over 20 regulations that kept guns out of the hands of domestic abusers.",Yes,gun control
"I, uh, negotiated the peace treaty that halted the conflict in 2021.",Yes,foreign policy
"We've seen record-high high school graduation rates, outperforming all states except Massachusetts.",Yes,education
"And, importantly, when he was governor, their healthcare costs rose faster than in any other state.",Yes,healthcare
"In 2022, the Brennan Center reported that 19 states passed 33 laws making it harder to vote.",Yes,elections
"According to the U.S. Chamber of Commerce, his policies have cost American farmers $1 billion annually.",Yes,trade
"And just last month, EU trade officials noted a record increase in surplus with the US.",Yes,trade
"Look, according to FEMA, job recovery in disaster zones should have been faster, but his response actually slowed it down.",Yes,employment
Incarceration rates in our country are five times higher than in any other Western nation.,Yes,crime
"My opponent says he's for infrastructure, but he supported cutting the Highway Fund by 30%.",Yes,infrastructure
"Look, they said it would cost $1 trillion, but now it's ballooned to $2 trillion.",Yes,infrastructure
More than 15% of enlisted soldiers are using food stamps to get by.,Yes,the military
The President signed that arms deal with Saudi Arabia worth $110 billion.,Yes,foreign policy
We've reduced the backlog of asylum cases by 20% in my first year in office.,Yes,immigration
You didn’t support that bill which would have provided more funding for election cybersecurity.,Yes,elections
"The Crime Bill of 1994 resulted in the direct increase of mass incarceration, and he backed it.",Yes,crime
"Under my plan, we will implement automatic voter registration which could increase participation by 10-15%.",Yes,elections
"Uh, there's no doubt, he's the only candidate who's ever said he would abolish ICE.",Yes,immigration
"She mentioned workers, but manufacturing jobs have fallen by 5% since NAFTA.",Yes,trade
He initially opposed the use of drones in military operations but flipped on the issue in 2015.,Yes,the military
"And just last year, the US set a record high for natural disaster costs, over $150 billion, mainly from climate-related events.",Yes,the environment
"The Senator voted against the job creation bill that would've brought 50,000 new jobs to Michigan.",Yes,the economy
"And more importantly, his administration didn't actually close those loopholes they promised to.",Yes,tax policy
"My plan, I believe, would decrease gun violence by 50% over the next decade.",Yes,gun control
My administration has protected Social Security against inflation better than any administration since 1980.,Yes,social security
"I mean, under his oversight, we saw the highest number of police dismissals in three decades.",Yes,crime
"Since I've been in office, we've had the fastest growing economy among G7 nations.",Yes,employment
"More than 60% of Americans, according to the latest polls, support access to safe and legal abortions.",Yes,reproductive rights
"You know, facts, like 80% of our electricity still comes from fossil fuels, can't just be ignored.",Yes,energy
"Uh, I mean, just look, she voted in favor of sanctioning Iran twice in the last Senate session.",Yes,foreign policy
"According to a recent NATO report, we spend less as a percentage of GDP on defense than the UK, France, and Germany.",Yes,foreign policy
"Uh, the President slashed funding for renewable energy research by two-thirds.",Yes,energy
"His proposal, actually, would retract coverage from 10 million Americans.",Yes,healthcare
He didn’t tell you that his policy led to an increase in homelessness rates by 30 percent.,Yes,housing
He voted to cut the defense budget by 20% back in 2013.,Yes,the military
"Our roads and bridges, 40% of them, are in poor or mediocre condition.",Yes,infrastructure
He was on record in 2021 supporting a 25 percent rise in the corporate tax rate.,Yes,tax policy
"You know, under his proposal, Medicare would be insolvent by 2026, just three years from now.",Yes,healthcare
And he mentioned the jobless rate—it's actually twice as high for African Americans compared to the national average.,Yes,employment
"According to the Bureau of Economic Analysis, NAFTA has boosted US GDP by about half a percent annually.",Yes,trade
The World Health Organization calls immunization one of the most successful and cost-effective health interventions.,Yes,vaccines
"Look, the Small Business Administration loans have doubled since I took office.",Yes,the economy
And more new homes were built in Texas last year than any other state.,Yes,housing
"It's simple, our plan generates twice the employment opportunities compared to his.",Yes,employment
"And look, the President's own Attorney General has admitted that the new measures aren't working.",Yes,crime
"I've proposed a payroll tax on incomes above $400,000 to strengthen Social Security.",Yes,social security
I introduced legislation to increase salaries for active duty military members.,Yes,the military
My plan ensures no one over the age of 55 sees any changes to their benefits.,Yes,social security
"He pulled us out of the Paris Agreement, ignoring scientific consensus.",Yes,the environment
"Did you know, under my administration, there's been a 20% increase in funding for STEM programs?",Yes,education
"Our party won 58% of the Latino vote in the last election, up from 44% four years prior.",Yes,elections
"And look, he's talking about mandates when the majority of Americans already support them.",Yes,vaccines
"Look, the state's highway maintenance budget is over $5 billion annually.",Yes,infrastructure
"You know, the Senator talks about investing, but under her plan, investment actually dropped last year.",Yes,infrastructure
"You're saying that under your administration, the vaccine rollout was faster than any other country except Israel.",Yes,vaccines
I've led the charge to pass the most comprehensive election reform since the Voting Rights Act.,Yes,elections
He said the Paris Agreement was the largest global economic commitment outside of war.,Yes,foreign policy
"Just last month, she made a public call for an extension to mail-in voting deadlines, which I fully support.",Yes,elections
"By prioritizing local investments, investments which he opposed, we can achieve a 50% decrease in housing insecurity.",Yes,housing
"And just last month, the Transportation Secretary announced $1 billion for the rail networks, a good start but not nearly enough.",Yes,infrastructure
"According to the Pentagon, we've deployed an additional 2,000 troops to Syria.",Yes,foreign policy
He's failed to maintain the sanctions pressure on North Korea that we established.,Yes,foreign policy
"We supported economic aid to Central America when it was most needed, and my opponent didn't.",Yes,foreign policy
"This has been the most expensive election cycle in history, surpassing $14 billion.",Yes,elections
"42% of the workforce in agriculture comes from immigrant labor, mostly undocumented.",Yes,immigration
The urban development plan we introduced is designed to create the highest number of affordable units since the 1980s.,Yes,housing
"More money's been wasted, around $200 million, on contracts that delivered nothing.",Yes,the military
"Uh, no country other than South Korea spends more of their GDP on education than we do.",Yes,education
I've secured bipartisan support for a $1.2 trillion infrastructure package that focuses heavily on renewable energy upgrades.,Yes,infrastructure
"In her speech at the rally, she said abortion should be banned nationwide without any exceptions.",Yes,reproductive rights
"According to a Harvard study, automation could replace nearly 40% of jobs within the next decade.",Yes,employment
