Text,class_label,topic
"Those issues you mentioned, Social Security, prescription drugs, the big drug companies are against the prescription drug proposal that I've made.",Yes,
I have a clear record of bipartisanship.,Yes,
So many hundreds and hundreds of companies are doing this.,Yes,
"First of all, the people of my state have let me be their governor for 12 years because I made commitments to 2 things -- more jobs and better schools.",Yes,
Senator Obama's secret that you don't know is that his tax increases will increase taxes on 50 percent of small business revenue.,Yes,
He has raised taxes several times.,Yes,
You didn't do that with Mr. with President Bush in 1992.,Yes,
"Until we got a Republican Congress, we finally got action, I'm proud of my colleagues in the Republican Party for getting that done.",Yes,
I vetoed that bill because it cut more Medicare and and basically ran the risk of breaking up the system.,Yes,
It was $200 billion deficit instead.,Yes,
"Secondly, Senator Dole had some pretty harsh comments about special interest money, but it wasn't me who opposed what we tried to do to save the lives of children who were subject to tobacco and then went to the tobacco growers and bragged about standing up for the Federal government when we tried to stop the advertising, marketing, and sales of tobacco to children.",Yes,
And I supported a big expansion in safe and drug-free schools program to support things like the DARE program because I thought all those things were very important.,Yes,
"And Hillary Clinton, when she was secretary of state, said that's OK, we can't force it into their country.",Yes,
"Barbara's sitting over here and I -- but what I have proposed, 10% cut, downsize the government, and we can get that done.",Yes,
That's where he was breaking the agreement.,Yes,
"And so everything we're doing, we're doing in consultation with our partners in the region, including Israel which obviously has a huge interest in seeing what happens in Syria; coordinating with Turkey and other countries in the region that have a great interest in this.",Yes,
"It's a $550 billion tax scheme that will cause a big hole in the deficit which will raise interest rates and slow down the economy and cause people to pay more for home mortgages, car payments, credit card payments, college loans, and small business loans.",Yes,
His influence is growing - mostly because this Administration has ignored Latin America.,Yes,
"In the Truman Administration, six hundred million people went behind the Iron Curtain including the satellite countries of Eastern Europe and Communist China.",Yes,
The average family is paying an additional $900 a year in higher premiums because of the uninsured.,Yes,
"And it's not the fact -- it's not the fact that Senator Obama chooses to associate with a guy who in 2001 said that he wished he had have bombed more, and he had a long association with him.",Yes,
And the only difference between me and any other businessman that has the range of businesses that I have is I haven't had that many lawsuits.,Yes,
"Now, on the Middle East, as you know, I worked very hard for peace in the Middle East.",Yes,
And Colin Powell so stated.,Yes,
"That legislation uh allegedly would help our unemployment, but uh - we all know that it would've controlled our economy, it would've added uh - ten to thirty billion dollars each year in additional expenditures by the Federal Government.",Yes,
The fact remains almost 30% of his proposed tax cut goes to -- only to Americans that make more than $1 million per year.,Yes,
"That's why I support a teacher liability act at the federal level, that says if a teacher or principal upholds reasonable standards of classroom discipline they can't be sued.",Yes,
"Here's what I'll do: Number one, the borders are more leaking today than they were before 9/11.",Yes,
Most people that are lobbying are lobbying the Congress.,Yes,
Because the deficit now has been building up for 12 years.,Yes,
"The way my opponent talks, he said, ""We're going to spend the government's money.",Yes,
"Even the administration has admitted they haven't done the training, because they came back to Congress a few weeks ago and asked for a complete reprogramming of the money.",Yes,
"And yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in January, at the beginning of the year, it was more than 18%.",Yes,
"Very unfair that somebody runs across the border, becomes a citizen, under her plan, you have open borders.",Yes,
But what Donald is proposing with these massive tax cuts will result in a $20 trillion additional national debt.,Yes,
"Thirdly, one of the reasons why there's still high cost in medicine is because this is -- they don't use any information technology.",Yes,
