Text,class_label
"So we did work on this, alongside working on jobs, because this is part of making sure that middle-class families are secure in this country.",Yes
The fact happens to be that education spending is up by the federal government; it is up.,Yes
You'll have 4 million people who will lose Medicare Advantage.,Yes
"... for weeks -- I've been reading now for weeks about Mosul, that it's the harbor of where -- you know, between Raqqa and Mosul, this is where they think the ISIS leaders are.",Yes
I support charter schools and pay for performance for teachers.,Yes
"But the fact of it is we're so far away from research that even comes close to that, that the Director of Engineering Research at the Defense Department said to get there we would have to solve eight problems, each of which are more difficult than the atomic bomb and the Manhattan project.",Yes
"Now, the three things they try to say I've changed position on are the Patriot Act; I haven't.",Yes
"I mean, these aren't make-up figures.",Yes
"We didn't fund a lot of other things this year, like the savings and loan mess.",Yes
"There has never been anything like this, where e-mails -- and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.",Yes
But the president has underfunded it by $28 billion.,Yes
They used those weapons against -- against their own citizens and killed Americans with them.,Yes
"He did block it, because we passed it in the United States Senate.",Yes
"For the first time in history, you pay about 40 percent of what you earn.",Yes
I also had a program starting last year.,Yes
"The record is pretty clear in Arkansas, when you were governor.",Yes
But there has never been a nation in the history of the world that saw its economy decline and maintained its military superiority.,Yes
"I first want to say the President didn't quite give you all of the stuff on the quotas, because the Justice Department had what we called the Piscataway case up in New Jersey.",Yes
And then you cut education spending when you came into office.,Yes
"Recently his key economic adviser was asked about why he didn't seem to have some specific programs to help young people go to college and the response was, well, you know, we can't give money to every interest group that comes along.",Yes
Today there are only three left including the one in Cuba.,Yes
"I think it take fresh leadership now, and an understanding of those forces of change to provide the kind of strength that we need, and perhaps the vice president can explain what he was doing when he supported the trading of arms to terrorist nation, and his involvement in Panama and that endorsement of Mr. Macros.",Yes
"One of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever.",Yes
"The Shanghai Communique, does say that the differences between the People's Republic on the one hand and Taiwan on the other shall be settled by peaceful means.",Yes
So we have a long history of having a lot of talented women.,Yes
"Pharmaceuticals were using loopholes to keep brand -- brand drugs in place, and generics are much less expensive than brand drugs.",Yes
"But if those Mom and Pop stores all get together and pool, they too can bring the cost of insurance down.",Yes
We're selling everything from from -- from telephones to CDs to rice in Japan.,Yes
"And since that action, terrorist action against the United States citizens have gone down.",Yes
"$89 billion last year to the top 1 percent of Americans, but kids lost their after-school programs.",Yes
"Then the president, in fact, promised them.",Yes
"Libya's 6 million population; Egypt, 80 million population.",Yes
"Now there are other places where the executive can lead, but let me just sum up by saying this: why do I talk every time I'm in the South on civil rights?",No
I have sat down with Democrats and Republicans at the beginning of my term.,No
"Number two is for people coming along that are young, what I do to make sure that we can keep Medicare in place for them is to allow them either to choose the current Medicare program or a private plan.",No
And our alliance is strong.,No
"In fact, when I fell off the podium in Chico, before I lit the ground, hit the ground I had call on my cell phone from a trial lawyer saying I think we've got a case here.",No
And so what I've said is that there's been some missed opportunities.,No
It's been a big failure.,No
There isn't any such thing as something free out there.,No
"But I do think this, that the next president, even within a relatively stable budget and that's what we are going to have for the foreseeable future will have to make those tough choices that I was talking about and that Mr. Bush doesn't seem to want to make.",No
"I think it is exports that have saved us when we're in a global slowdown, a connected global slowdown, a recession in some countries.",No
But the first and most important thing is to start creating jobs in America.,No
And so I do think that a lot of the tone and tenor that he has said -- I'm proud of the campaign that Bernie Sanders and I ran.,No
But I feel very strongly about that.,No
Coming out of World War II it made sense.,No
"And everyone thought he was gone two years ago, three years ago.",No
So the way for us to deal with Medicare in particular is to lower health care costs.,No
I thought I owed that to you and I respect you for being here and for the impact you've had on making this a more positive experience.,No
That's not a way to invite people.,No
Government does not create jobs.,No
"But I will tell you that Hillary will tell you to go to her website and read all about how to defeat ISIS, which she could have defeated by never having it, you know, get going in the first place.",No
I do not want to raise taxes.,No
"Being haunted, a thousand points of light - I don't know what that means.",No
"I'm going to get it right for those soldiers, because it's important to Israel, it's important to America, it's important to the world, it's important to the fight on terror.",No
"I see our influence receding, in part because of the failure of the president to deal with our economic challenges at home; in part because of our withdrawal from our commitment to our military in the way I think it ought to be; in part because of the -- the -- the turmoil with Israel.",No
Some of them I voted for.,No
"You look at the violence that's taking place in the inner cities, Chicago, you take a look at Washington, D.C.",No
"My grandmother, she started off as a secretary in a bank.",No
And that's the fundamental reason why we can't let the farmer go by himself at the present time.,No
"Well, let's stop for a second and remember where we were eight years ago.",No
There needs to be more community health clinics where the poor can go get health care.,No
What I want America to do is to trade more but to compete and win by investing in competitive ways.,No
But I believe the effort should be made once more by who's ever elected president of the United States.,No
