Sentence_id,topic,style,source,class_label,Text
185829,various,semi,Wiki Talk Pages,No,— 
193802,various,semi,Wiki Talk Pages,No,"Call this observation ignorance if you want . "" "
253044,various,semi,Wiki Talk Pages,No,"Thus they acquire your property that way , instead of outright confiscation . "
203890,various,semi,Wiki Talk Pages,No,"A propaganda film is , alas , insufficiently rigorous to serve as a source for serious-minded people , and certainly doesn ' t rank as a reliable source here . "
252964,various,semi,Wiki Talk Pages,No,Therefore any criticism of its length should be based on content rather than an arbitrary number . 
222493,various,semi,Wiki Talk Pages,No,Yes there are others and I ' m aware of them but can you sit here and enumerate tons of bands described as Funk Metal ? 
258666,various,semi,Wiki Talk Pages,No,I am OK either way . 
209320,various,semi,Wiki Talk Pages,No,But better described in text than illustrated by a picture . 
218569,various,semi,Wiki Talk Pages,No,"What it does preclude is simply attribution of its material to the institutional church itself , as that would be the posterchild of original research . "
221500,various,semi,Wiki Talk Pages,No,I have removed the passage that you reinserted into the article on the American First Lady in which you state that a female President of the United States could choose to be her own First Lady . 
201234,various,semi,Wiki Talk Pages,No,"Does not the "" The Essential Catholic Catechism "" cite the Catechism ? "
196585,various,semi,Wiki Talk Pages,No,The republic has the tricolour and Northern Ireland uses the Union Flag … 
226624,various,semi,Wiki Talk Pages,No,- - 
191632,various,semi,Wiki Talk Pages,No,No criticism mentioned . 
261913,various,semi,Wiki Talk Pages,Yes,Your spin of the facts is what I find controversial . 
218653,various,semi,Wiki Talk Pages,Yes,"I don ' t want a criticm section anyway , and A7 doesn ' t apply , because there has been massive coverage of criticism of his health care position . "
261485,various,semi,Wiki Talk Pages,Yes,"Our argument is about what constitutes a notable controversy in a WP article on the Roman Catholic Church , and my position is that the sex abuse scandals don ' t make the cut because so many other controversies in the church are so much more notable . "
251191,various,semi,Wiki Talk Pages,No,My thoughts are that you make very weird silly argument . 
196532,various,semi,Wiki Talk Pages,No,"I did not follow Nancy ' s argument of why Origins and Mission go together , and how Origins relates to its activities in the world today . "
212099,various,semi,Wiki Talk Pages,No,The scientific community comes to a consensus on what is most likely to be true . 
