Text,class_label,topic
"Look, under my administration, violent crime rates decreased by 15% across the nation.",Yes,crime
"According to the Department of Labor, women still earn 82 cents for every dollar earned by men.",Yes,employment
"He talks a lot about trade, but he voted against the USMCA.",Yes,foreign policy
The American Medical Association has stated that expanding Medicaid would provide coverage to an additional 2 million people.,Yes,healthcare
The current administration's policy will phase out federal student loan forgiveness.,Yes,education
"Look, the Paris Agreement requires us to informally tackle climate change, yet we're leading in innovation and technology developments anyway.",Yes,climate change
"Look, Arizona was the first state to introduce mail-in voting for every registered voter.",Yes,elections
"Look, the vaccine was developed in record time, just 10 months, thanks to Operation Warp Speed.",Yes,vaccines
"The public school system in the U.S. is the most expensive in the world, but does that translate to quality education?",Yes,education
"In 2019, the Treasury Department reported that corporate tax receipts fell to their lowest level since the 1940s.",Yes,tax policy
The United States currently has more military bases overseas than all other countries combined.,Yes,foreign policy
"Last month, the Senate voted 54-46 against the universal background check bill.",Yes,gun control
"In 1983, they made adjustments, and guess what?",Yes,social security
"Look, it's time to recognize that nearly half of undocumented immigrants are overstaying their visas, not crossing the border illegally.",Yes,immigration
"He argued earlier this year for a complete ban after six weeks, which doesn't even account for the realities most women face.",Yes,reproductive rights
Our campaign has put together the largest volunteer network of any presidential run in history.,Yes,elections
She said the wall would cost $21 billion.,Yes,immigration
"You know, my opponent's plan would indeed double gun taxes across the board.",Yes,gun control
And the Association of Realtors said that prices on average have tripled in the past decade.,Yes,housing
The budget for state election security has been halved compared to 2018.,Yes,elections
I've protected more national parks than any other Secretary of the Interior.,Yes,energy
I brought the cybersecurity agreement with Russia to the table myself.,Yes,foreign policy
"Look, in the last decade, we've had the warmest eight years on record.",Yes,the environment
Our healthcare system ranks 37th globally according to the World Health Organization.,Yes,healthcare
China has the second largest economy in the world now.,Yes,foreign policy
"The United Nations data shows that our international aid commitment sits at 0.2% of national income, far below many developed nations.",Yes,foreign policy
"I mean, look, back in 2010, there was a report saying Social Security was solvent until 2037.",Yes,social security
"And let me just say, legal abortions are statistically safer than childbirth.",Yes,reproductive rights
The Senator from Vermont supported raising the minimum wage to $15 an hour back in 2016.,Yes,the economy
"You know, according to the recent Gallup poll, 70% of Americans support nuclear power.",Yes,energy
