Text,class_label,topic
"Well, I'd say the first homeless bill in the Senate was the Dole-Byrd Byrd-Dole bill, I can't remember who was in control then.",Yes,
"Well, they also know if they live in San Diego, Mr. President, if you're caught with 125 pounds of marijuana or less, you go back to Mexico.",Yes,
"But it was a surprise to us, because they outnumbered us 64 to 36 in submarines and 20 percent more bombers capable of carrying nuclear missiles than we had.",Yes,
He put forward No Child Left Behind.,Yes,
"His leading advisor on this plan actually said that would be okay, because then the Social Security Trust Fund could start borrowing.",Yes,
They had a cease-fire three weeks ago.,Yes,
He's now down to a figure of five to seven billion dollars.,Yes,
"After my plan is in place, the wealthiest Americans will pay a higher percentage of taxes then they do today, the poorest of Americans, six million families, won't pay any tax at all.",Yes,
That was the slot that the Obamacare approach was to take.,Yes,
"I have just signed legislation to add to our ability to deal, along with our allies, with this terrorist problem.",Yes,
"We now have about four hundred and eighty-five employees, so we've made a rather significant reduction in the number of employees on the White House staff working for the president.",Yes,
It's 10 cents a year cumulative.,Yes,
"If you did that in the private sector, you'd be put in jail, let alone after getting a subpoena from the United States Congress.",Yes,
"And the Affordable Care Act was meant to try to fill the gap between people who were too poor and couldn't put together any resources to afford health care, namely people on Medicaid.",Yes,
"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",Yes,
"In August of 1960, when we tried to get it again, but this time for medical care, we received the support of one Republican in the Senate on this occasion.",Yes,
"The rate of inflation, as announced just the other day, is under 5 percent; and the uh - 4.4 percent that was indicated at the time of the 4 percent GNP was less than the 5.4 percent.",Yes,
Right now our military is the strongest in the entire history of the world.,Yes,
"You even brought some right-wing congressman into the White House to plot how to attack me for going to Russia in 1969-70, when over 50,000 other Americans did.",Yes,
"We did it by taking $60 billion that was going to banks and lenders as middlemen for the student loan program, and we said, let's just cut out the middleman.",Yes,
We're using unmanned vehicles to spot people coming across.,Yes,
"Now, if you believe The Washington Post and you believe this extensive study that's been done -- and I'm reading it -- right after election day this year they're going to hit us with a hundred banks, it will be a $100-billion problem.",Yes,
That's part of what took us from deficits to surplus.,Yes,
"He pushed them away time and again, pushed them away at the U.N., pushed them away individually.",Yes,
"I worked to make sure that kids with disabilities could get a public education, something that I care very much about.",Yes,
And that's why I was so -- I was so shocked when Donald publicly invited Putin to hack into Americans.,Yes,
"You see that, their small car division leaving.",Yes,
And we're making progress there.,Yes,
"I have not had the experience the President has had in holding that office, but I think in being Governor of California, the most populous state in the Union - if it were a nation, it would be the seventh-ranking economic power in the world - I, too, had some lonely moments and decisions to make.",Yes,
"And that stands in contrast to my worthy opponent's plan, which will increase the size of government dramatically.",Yes,
So the net cost would be 8 billion 6 years from now in a trillion-plus budget -- not very much.,Yes,
"Actually, this $2.8 billion goes largely to small companies, to drilling operators and so forth.",Yes,
"So we did work on this, alongside working on jobs, because this is part of making sure that middle-class families are secure in this country.",Yes,
The fact happens to be that education spending is up by the federal government; it is up.,Yes,
You'll have 4 million people who will lose Medicare Advantage.,Yes,
"... for weeks -- I've been reading now for weeks about Mosul, that it's the harbor of where -- you know, between Raqqa and Mosul, this is where they think the ISIS leaders are.",Yes,
I support charter schools and pay for performance for teachers.,Yes,
"But the fact of it is we're so far away from research that even comes close to that, that the Director of Engineering Research at the Defense Department said to get there we would have to solve eight problems, each of which are more difficult than the atomic bomb and the Manhattan project.",Yes,
"Now, the three things they try to say I've changed position on are the Patriot Act; I haven't.",Yes,
"I mean, these aren't make-up figures.",Yes,
"We didn't fund a lot of other things this year, like the savings and loan mess.",Yes,
"There has never been anything like this, where e-mails -- and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.",Yes,
But the president has underfunded it by $28 billion.,Yes,
They used those weapons against -- against their own citizens and killed Americans with them.,Yes,
"He did block it, because we passed it in the United States Senate.",Yes,
"For the first time in history, you pay about 40 percent of what you earn.",Yes,
I also had a program starting last year.,Yes,
"The record is pretty clear in Arkansas, when you were governor.",Yes,
But there has never been a nation in the history of the world that saw its economy decline and maintained its military superiority.,Yes,
"I first want to say the President didn't quite give you all of the stuff on the quotas, because the Justice Department had what we called the Piscataway case up in New Jersey.",Yes,
And then you cut education spending when you came into office.,Yes,
