Text,class_label,topic
"Our national emissions have dropped by 14% since 2005, and that's a fact.",Yes,the environment
"As Secretary of Defense, I oversaw the drawdown of 150,000 troops from overseas.",Yes,the military
"In 2019, the Supreme Court blocked a restrictive Louisiana abortion law, a case involving admitting privileges for doctors.",Yes,reproductive rights
"Uh, seniors are receiving, on average, about $1,700 per month from Social Security.",Yes,social security
"The Senator refused to sign the Paris Agreement, uh, four separate times.",Yes,climate change
She supported increasing the payroll tax cap to ensure higher contributions from wealthy individuals.,Yes,social security
I've personally visited over 200 schools to understand their needs better.,Yes,education
"According to the Labor Department, job openings outnumbered unemployed workers by nearly 2 to 1.",Yes,employment
"I mean, we tried family separation and it just didn't deter anyone.",Yes,immigration
"Every professional economist worth their salt—CBO, independent analysts—they say it'll add at least a trillion in debt.",Yes,tax policy
"And Pfizer's vaccine was, uh, the first to receive full FDA approval.",Yes,vaccines
The Electoral College was almost overturned in 1876.,Yes,elections
More than 5 million new voter registrations have been recorded this year alone.,Yes,elections
I've been endorsed by the National Organization for Women for my unwavering commitment to reproductive rights.,Yes,reproductive rights
The United Nations said that renewable energy investments need to double to meet the 1.5-degree target.,Yes,climate change
"Under President Reagan, the last major amnesty program granted legal status to nearly 3 million undocumented immigrants.",Yes,immigration
"He talks about supporting American workers, but he didn't back the tariffs on steel imports.",Yes,trade
HUD received a budget cut of $1 billion last fiscal year.,Yes,housing
"According to the Pentagon, China now has a larger navy than the United States.",Yes,the military
"Look, the American Society of Civil Engineers gave our infrastructure a D+.",Yes,infrastructure
She was quoted in 2021 saying she wanted to eliminate the Department of Education entirely.,Yes,education
"And by the way, my administration has passed more comprehensive crime reforms than any administration before.",Yes,crime
He was the first candidate in history to spend over $2 billion on ads.,Yes,elections
"He mentioned in 2019 that life begins at conception, aligning with several conservative groups.",Yes,reproductive rights
The EPA estimated that the Clean Power Plan could prevent thousands of premature deaths each year.,Yes,the environment
"According to the Department of Labor, wage growth has outpaced inflation for 20 consecutive months.",Yes,employment
"According to a recent study, remote work has saved U.S. companies over $30 billion in operational costs.",Yes,employment
I'm very proud to say we closed loopholes for the wealthiest Americans.,Yes,tax policy
"My opponent claimed he lowered premiums, but tell that to the average family who's paying $1500 more a year now.",Yes,healthcare
"And you know, just last month, the WHO ranked our healthcare system as 37th in the world.",Yes,healthcare
The Senator has taken contributions from five of the top ten coal companies.,Yes,climate change
"You know, when I was governor, we led the nation in solar panel installations.",Yes,energy
"The Senator continues to cite studies claiming fetal pain before 24 weeks, which isn't supported by the majority of scientific research.",Yes,reproductive rights
"According to the FBI, there were over 39,000 gun-related deaths in the United States in 2019.",Yes,gun control
We've doubled our exports to South Korea since we updated the free trade agreement.,Yes,trade
"The President promised to withdraw troops from Afghanistan by May, yet they're still there.",Yes,foreign policy
Over 70% of convicted criminals lack a high school diploma.,Yes,crime
"Social Security's trust fund is set to be exhausted by 2034, according to the latest reports.",Yes,social security
"In 2022, you know, Congress allocated $250 million for community violence intervention programs.",Yes,gun control
"Look, uh, the majority of scientists say we're facing a tipping point in the next decade.",Yes,climate change
"And more importantly, military families are facing food insecurity at rates higher than ever recorded.",Yes,the military
"According to the Economic Policy Institute, NAFTA resulted in a net loss of 700,000 jobs.",Yes,trade
"The latest IRS data shows that under current law, more than 60 percent of tax benefits go to the top 20 percent of earners.",Yes,tax policy
"The housing market is, let’s be honest, more volatile now than it was during the 2008 crisis.",Yes,housing
He voted against funding for the F-35 fighter jets.,Yes,the military
"We agree on the urgency here, but under his leadership, there have been more oil leases approved than any time in the last two decades.",Yes,climate change
The IMF ranked us as the fastest-growing economy among G7 nations this quarter.,Yes,the economy
We supply more military aid to Ukraine than any other country in Europe.,Yes,the military
"During his administration, the U.S. saw the highest deforestation rates since records began.",Yes,the environment
"The International Energy Agency says that global coal consumption will rise in 2023, reversing years of decline.",Yes,energy
"Data from the UN indicates a significant rise in global refugee numbers, reaching over 70 million last year.",Yes,foreign policy
"We've seen over 1,200 reproductive health clinics close since 2010.",Yes,reproductive rights
My opponent was against funding for the school lunch program last session.,Yes,education
Over 60 percent of Americans support keeping Roe v. Wade intact.,Yes,reproductive rights
I've pushed for a plan that would ensure Social Security benefits are indexed to inflation permanently.,Yes,social security
The unemployment rate for African Americans is at its lowest point since the 1970s.,Yes,employment
"The IRS waste, fraud, and abuse costs taxpayers billions every single year.",Yes,tax policy
"And, uh, according to the National Education Association, teacher salaries have increased, on average, by 4% since he took office.",Yes,education
"My opponent says he wants to prioritize infrastructure, yet he's consistently cut funding for high-speed rail projects.",Yes,infrastructure
"According to the Congressional Budget Office, the defense budget will only increase by 3 percent next year.",Yes,the military
"I've worked on over 200 environmental bills during my career, ensuring cleaner air and water.",Yes,the environment
"And, uh, that's after the legislation already passed the House with bipartisan support.",Yes,housing
"I've prioritized STEM education, which has led to a 30% increase in science and math graduates.",Yes,education
"There's been a, uh, a forty percent increase in first-time homebuyer assistance programs over the past four years.",Yes,housing
The Affordable Care Act has covered an additional 20 million Americans.,Yes,healthcare
"And let's remember, in 1983, President Reagan and Speaker Tip O'Neill struck a deal to save the program, and now it's time to do it again.",Yes,social security
"Planned Parenthood receives about $500 million annually from federal funds, mostly through Medicaid reimbursements.",Yes,reproductive rights
"And, I mean, the CIA reported just last month that cyber attacks from state-sponsored operations have nearly tripled in the past two years.",Yes,foreign policy
